"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010550056
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;2,06;2,19;2,06;2,18;2,18;175969;31;380852;2,1643
03/11/2023;2,06;2,19;2,06;2,12;2,12;58139;13;121109;2,0831
02/11/2023;2,10;2,10;2,04;2,10;2,10;42893;11;88378;2,0604
01/11/2023;2,03;2,10;2,03;2,06;2,06;15716;5;32553;2,0714
31/10/2023;2,18;2,18;2,03;2,17;2,17;6089;8;12713;2,0879
30/10/2023;2,02;2,18;2,02;2,18;2,18;78128;20;158594;2,0299
27/10/2023;2,07;2,07;2,01;2,05;2,05;6688;11;13688;2,0467
26/10/2023;2,13;2,14;2,04;2,08;2,08;30725;12;63559;2,0686
25/10/2023;2,10;2,13;2,02;2,13;2,13;55661;10;113995;2,0480
24/10/2023;2,03;2,19;2,03;2,14;2,14;42660;16;87601;2,0535
23/10/2023;2,08;2,10;2,08;2,10;2,10;600;2;1258;2,0967
20/10/2023;2,14;2,14;2,08;2,08;2,08;3188;5;6631;2,0801
19/10/2023;2,07;2,17;2,06;2,08;2,08;12699;11;26527;2,0889
18/10/2023;2,15;2,15;2,15;2,15;2,15;50;1;108;2,1500
17/10/2023;0,00;0,00;0,00;0,00;2,15;0;0;0;0,0000
16/10/2023;2,03;2,18;2,03;2,15;2,15;7260;18;15269;2,1031
13/10/2023;2,13;2,18;2,07;2,10;2,10;31309;16;66690;2,1301
12/10/2023;2,01;2,13;2,01;2,13;2,13;205261;38;426319;2,0770
11/10/2023;2,14;2,14;2,02;2,02;2,02;55401;12;112903;2,0379
10/10/2023;2,06;2,13;2,03;2,12;2,12;35980;13;73689;2,0480
09/10/2023;2,08;2,08;2,02;2,06;2,06;64507;18;132064;2,0473
06/10/2023;2,20;2,20;2,01;2,08;2,08;100838;30;205880;2,0417
05/10/2023;2,13;2,13;2,06;2,06;2,06;9925;4;21030;2,1188
04/10/2023;2,08;2,16;2,08;2,08;2,08;66024;15;138382;2,0959
03/10/2023;2,10;2,16;2,09;2,15;2,15;21132;12;44599;2,1105
02/10/2023;2,17;2,17;2,11;2,15;2,15;20558;16;43877;2,1343
29/09/2023;2,20;2,20;2,13;2,16;2,16;79441;34;171901;2,1639
28/09/2023;2,11;2,25;2,11;2,18;2,18;55020;14;119971;2,1805
27/09/2023;2,13;2,15;2,08;2,15;2,15;235559;23;495554;2,1037
26/09/2023;2,20;2,20;2,10;2,10;2,10;68808;17;146743;2,1326
25/09/2023;2,13;2,28;2,13;2,19;2,19;6913;6;15227;2,2026
22/09/2023;2,20;2,20;2,13;2,19;2,19;19286;11;41496;2,1516
21/09/2023;2,20;2,20;2,18;2,19;2,19;6994;5;15293;2,1866
20/09/2023;2,16;2,19;2,16;2,19;2,19;28911;10;62670;2,1677
19/09/2023;2,12;2,20;2,12;2,16;2,16;114866;24;247249;2,1525
18/09/2023;2,22;2,28;2,17;2,17;2,17;136931;29;302192;2,2069
15/09/2023;2,30;2,30;2,17;2,19;2,19;46682;20;102414;2,1939
14/09/2023;2,32;2,32;2,19;2,29;2,29;2064;5;4766;2,3089
13/09/2023;2,32;2,32;2,20;2,27;2,27;37385;14;83773;2,2408
12/09/2023;2,32;2,32;2,32;2,32;2,32;2153;2;4995;2,3200
11/09/2023;2,28;2,31;2,28;2,31;2,31;307;4;704;2,2935
08/09/2023;2,15;2,28;2,15;2,22;2,22;231090;18;508274;2,1995
07/09/2023;2,24;2,31;2,15;2,20;2,20;175780;22;389642;2,2166
06/09/2023;2,30;2,30;2,27;2,27;2,27;33368;6;76298;2,2866
05/09/2023;2,31;2,31;2,27;2,30;2,30;47986;5;109389;2,2796
04/09/2023;2,26;2,33;2,26;2,28;2,28;113674;19;258542;2,2744
01/09/2023;2,25;2,28;2,25;2,28;2,28;26455;14;59531;2,2503
31/08/2023;2,30;2,30;2,22;2,28;2,28;7879;6;17621;2,2364
30/08/2023;2,20;2,29;2,19;2,28;2,28;40462;14;91837;2,2697
29/08/2023;2,33;2,33;2,20;2,29;2,29;36530;16;83397;2,2830
28/08/2023;2,27;2,27;2,20;2,27;2,27;18314;11;40463;2,2094
25/08/2023;2,35;2,35;2,16;2,27;2,27;79460;18;174701;2,1986
24/08/2023;2,36;2,38;2,27;2,27;2,27;42239;16;98886;2,3411
23/08/2023;2,29;2,36;2,27;2,28;2,28;344158;40;795555;2,3116
22/08/2023;2,25;2,29;2,09;2,29;2,29;54349;11;120536;2,2178
21/08/2023;2,35;2,35;2,30;2,30;2,30;10177;7;23907;2,3491
18/08/2023;2,35;2,35;2,25;2,25;2,25;55990;12;128183;2,2894
17/08/2023;2,38;2,38;2,21;2,36;2,36;1199;6;2780;2,3187
16/08/2023;2,38;2,38;2,29;2,30;2,30;22514;14;52271;2,3217
15/08/2023;2,38;2,38;2,30;2,31;2,31;31646;13;73168;2,3121
14/08/2023;2,38;2,38;2,35;2,35;2,35;11580;7;27509;2,3756
11/08/2023;2,28;2,38;2,27;2,37;2,37;49578;14;114246;2,3044
10/08/2023;2,33;2,35;2,26;2,32;2,32;52849;15;122559;2,3190
09/08/2023;2,33;2,33;2,21;2,33;2,33;11213;9;25757;2,2970
08/08/2023;2,28;2,33;2,26;2,33;2,33;109113;13;251597;2,3058
07/08/2023;2,28;2,28;2,21;2,27;2,27;45459;10;102549;2,2558
04/08/2023;2,25;2,30;2,20;2,30;2,30;135936;13;308180;2,2671
03/08/2023;2,25;2,25;2,25;2,25;2,25;8198;3;18446;2,2500
02/08/2023;2,25;2,25;2,25;2,25;2,25;1802;3;4055;2,2500
01/08/2023;2,31;2,31;2,26;2,30;2,30;17533;13;40271;2,2969
31/07/2023;2,26;2,32;2,26;2,31;2,31;83919;24;190922;2,2751
28/07/2023;2,25;2,28;2,21;2,21;2,21;9860;8;22290;2,2606
27/07/2023;2,28;2,28;2,20;2,28;2,28;281428;17;639079;2,2708
