"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG6624L1090
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,79;1,79;1,205;1,26;1,26;1703907;554;2423592;1,4224
03/11/2023;2,33;2,53;1,715;1,74;1,74;3095350;952;6236940;2,0149
02/11/2023;1,97;2,89;1,75;2,13;2,13;8215218;2414;18915916;2,3025
01/11/2023;0,418;1,91;0,38;1,70;1,70;13173769;2461;17172390;1,3035
31/10/2023;0,429;0,429;0,352;0,354;0,354;646264;79;249408;0,3859
30/10/2023;0,45;0,45;0,375;0,40;0,40;544029;75;217832;0,4004
27/10/2023;0,50;0,586;0,42;0,45;0,45;1329328;172;655762;0,4933
26/10/2023;0,65;0,65;0,311;0,499;0,499;4297473;511;2092650;0,4869
25/10/2023;1,20;1,20;0,616;0,82;0,82;828754;202;773512;0,9333
24/10/2023;1,30;1,345;1,00;1,15;1,15;948341;195;1071496;1,1299
23/10/2023;1,30;1,325;1,065;1,245;1,245;715023;243;877449;1,2272
20/10/2023;1,50;2,22;1,005;1,12;1,12;3875020;1311;6063933;1,5649
19/10/2023;3,88;4,13;3,75;3,92;3,92;367103;125;1434491;3,9076
18/10/2023;4,13;4,13;3,66;3,88;3,88;278565;130;1092692;3,9226
17/10/2023;3,70;4,07;3,54;3,80;3,80;562579;288;2190023;3,8928
16/10/2023;3,15;3,69;3,00;3,40;3,40;319639;164;1065838;3,3345
13/10/2023;3,55;3,55;2,90;3,10;3,10;372813;179;1190267;3,1927
12/10/2023;3,43;3,50;3,10;3,25;3,25;341916;172;1124486;3,2888
11/10/2023;3,50;4,20;3,40;3,42;3,42;735417;315;2684010;3,6496
10/10/2023;3,51;3,66;3,32;3,50;3,50;310205;171;1085490;3,4993
09/10/2023;3,50;3,78;3,47;3,67;3,67;128650;86;465781;3,6205
06/10/2023;3,80;3,99;3,50;3,70;3,70;197888;112;732432;3,7012
05/10/2023;3,90;3,94;3,74;3,80;3,80;230600;111;884112;3,8340
04/10/2023;4,01;4,16;3,70;3,80;3,80;627187;339;2453288;3,9116
03/10/2023;4,10;4,49;3,70;3,99;3,99;1482921;585;6189355;4,1738
02/10/2023;4,21;4,24;3,85;4,10;4,10;456513;250;1853318;4,0597
29/09/2023;4,59;4,63;4,03;4,15;4,15;1217028;860;5224366;4,2927
28/09/2023;5,56;5,56;4,11;4,20;4,20;1771008;1070;8396773;4,7412
27/09/2023;5,18;8,92;4,98;5,60;5,60;5088379;2957;30966434;6,0857
26/09/2023;2,44;5,00;2,05;4,42;4,42;4578760;1529;14078177;3,0747
25/09/2023;27,90;28,70;27,50;27,50;27,50;5152;12;144485;28,0445
22/09/2023;29,00;29,00;27,90;27,90;27,90;5336;14;151174;28,3310
21/09/2023;27,80;29,00;27,50;28,00;28,00;17128;32;481930;28,1369
20/09/2023;28,00;28,00;27,20;27,90;27,90;5219;23;144248;27,6390
19/09/2023;26,50;28,00;26,50;28,00;28,00;2842;24;78197;27,5148
18/09/2023;27,00;28,00;26,50;26,50;26,50;2017;12;54820;27,1790
15/09/2023;28,00;28,30;27,50;28,20;28,20;11373;11;316454;27,8251
14/09/2023;27,60;28,30;27,60;28,30;28,30;1400;8;38876;27,7687
13/09/2023;27,80;28,00;27,00;28,00;28,00;2177;7;60692;27,8785
12/09/2023;28,00;28,00;25,80;28,00;28,00;2472;18;67448;27,2849
11/09/2023;28,00;28,00;27,20;27,20;27,20;25226;36;698498;27,6896
08/09/2023;26,50;28,00;26,50;27,10;27,10;20893;27;576760;27,6054
07/09/2023;28,00;28,00;25,90;25,90;25,90;3922;13;105802;26,9765
06/09/2023;25,00;28,00;25,00;27,00;27,00;9461;21;254763;26,9277
05/09/2023;26,80;28,00;26,80;27,00;27,00;4799;9;129721;27,0308
04/09/2023;27,40;27,80;27,00;27,80;27,80;3743;15;102950;27,5046
01/09/2023;27,00;27,90;26,40;27,40;27,40;1038;6;27982;26,9576
31/08/2023;27,70;28,20;26,40;26,90;26,90;11114;25;299073;26,9096
30/08/2023;28,00;28,00;27,90;27,90;27,90;10368;9;290294;27,9990
29/08/2023;28,00;28,00;27,70;27,70;27,70;521;5;14532;27,8919
28/08/2023;27,80;28,40;27,40;28,00;28,00;15955;35;444865;27,8825
25/08/2023;27,20;27,90;27,00;27,90;27,90;3499;9;95959;27,4247
24/08/2023;28,10;28,10;26,80;26,90;26,90;6629;23;181675;27,4062
23/08/2023;27,00;28,80;27,00;28,80;28,80;6230;8;170550;27,3756
22/08/2023;28,80;28,80;26,80;26,80;26,80;11082;26;300926;27,1545
21/08/2023;28,70;28,90;28,10;28,60;28,60;18144;22;518451;28,5743
18/08/2023;26,50;28,80;26,40;28,40;28,40;33025;49;908161;27,4992
17/08/2023;24,90;26,00;24,90;25,50;25,50;9514;20;245792;25,8348
16/08/2023;25,10;26,80;25,10;26,60;26,60;2164;9;57674;26,6517
15/08/2023;25,50;25,50;25,00;25,10;25,10;5554;13;141333;25,4471
14/08/2023;25,70;25,70;25,00;25,50;25,50;21630;42;544812;25,1878
11/08/2023;25,50;25,90;25,00;25,70;25,70;26892;43;681945;25,3587
10/08/2023;24,40;26,70;24,30;25,70;25,70;19669;42;502558;25,5508
09/08/2023;26,60;26,70;25,90;25,90;25,90;9224;20;244887;26,5489
08/08/2023;25,50;27,10;25,50;27,10;27,10;10710;28;281885;26,3198
07/08/2023;25,40;26,60;24,30;25,50;25,50;10412;28;263967;25,3522
04/08/2023;26,10;27,00;24,10;25,50;25,50;12548;28;326300;26,0041
03/08/2023;26,50;26,50;26,40;26,40;26,40;1873;6;49631;26,4981
02/08/2023;26,50;26,80;26,20;26,50;26,50;597;11;15809;26,4814
01/08/2023;27,00;27,00;26,40;26,40;26,40;9705;44;258174;26,6021
31/07/2023;25,90;27,10;25,90;26,20;26,20;13415;41;351802;26,2245
28/07/2023;24,60;25,80;24,00;25,70;25,70;17927;47;455046;25,3832
27/07/2023;24,00;24,70;23,80;24,20;24,20;16371;40;395379;24,1512
26/07/2023;24,70;24,70;23,50;23,50;23,50;19297;42;471110;24,4136
25/07/2023;24,70;25,00;24,00;24,00;24,00;36865;47;895480;24,2908
24/07/2023;24,30;27,30;24,30;25,10;25,10;30328;73;775921;25,5843
21/07/2023;23,80;24,30;23,70;24,00;24,00;4174;14;100151;23,9940
20/07/2023;23,40;24,50;23,40;24,00;24,00;14490;32;349345;24,1094
19/07/2023;24,40;24,70;23,90;24,60;24,60;5678;19;137754;24,2611
18/07/2023;24,20;24,50;24,00;24,50;24,50;5488;26;133449;24,3164
17/07/2023;25,20;25,20;24,60;24,60;24,60;4375;21;107905;24,6640
14/07/2023;24,50;25,00;24,50;24,80;24,80;10411;32;258095;24,7906
13/07/2023;24,90;24,90;24,00;24,50;24,50;7078;27;175274;24,7632
12/07/2023;25,10;25,20;24,20;24,60;24,60;6854;39;169502;24,7304
11/07/2023;25,20;25,90;24,00;24,80;24,80;19837;72;483585;24,3779
10/07/2023;24,50;25,20;23,20;24,10;24,10;19112;55;468113;24,4931
07/07/2023;24,80;25,70;24,80;24,90;24,90;6011;13;149773;24,9166
06/07/2023;23,80;25,00;23,80;24,50;24,50;5574;24;137756;24,7140
