"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG6682J1036
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;13,14;13,70;13,14;13,70;13,70;38292;40;517755;13,5212
03/11/2023;13,66;13,88;13,52;13,84;13,84;95696;91;1314686;13,7381
02/11/2023;13,20;13,86;13,20;13,68;13,68;105511;97;1447814;13,7219
01/11/2023;14,00;14,00;13,12;13,78;13,78;71521;55;965086;13,4937
31/10/2023;13,34;14,00;13,34;13,60;13,60;58517;46;795536;13,5950
30/10/2023;13,30;14,00;13,08;14,00;14,00;103509;22;1406602;13,5892
27/10/2023;13,50;13,56;13,32;13,48;13,48;107813;120;1446782;13,4194
26/10/2023;13,36;13,82;13,36;13,48;13,48;95398;96;1295548;13,5805
25/10/2023;13,72;13,92;13,68;13,88;13,88;101974;43;1409085;13,8181
24/10/2023;13,16;14,10;13,16;13,88;13,88;165917;123;2291147;13,8090
23/10/2023;13,54;14,48;13,50;13,90;13,90;59106;91;808558;13,6798
20/10/2023;14,50;14,50;13,58;14,08;14,08;96572;101;1335729;13,8314
19/10/2023;14,12;14,12;13,86;13,96;13,96;77264;91;1080028;13,9784
18/10/2023;14,20;15,02;14,20;14,32;14,32;30292;70;435996;14,3931
17/10/2023;14,14;14,44;13,90;14,08;14,08;83674;146;1186344;14,1782
16/10/2023;14,66;14,72;14,50;14,60;14,60;137996;63;2017047;14,6167
13/10/2023;15,02;15,02;14,70;14,74;14,74;54023;59;799684;14,8027
12/10/2023;15,00;15,10;14,90;15,02;15,02;40049;28;600459;14,9931
11/10/2023;14,88;15,10;14,88;14,92;14,92;37592;37;560498;14,9100
10/10/2023;15,00;15,26;14,86;15,04;15,04;65379;60;981804;15,0171
09/10/2023;14,80;15,00;14,78;15,00;15,00;48994;71;729456;14,8887
06/10/2023;14,60;15,00;14,60;14,78;14,78;74813;70;1107520;14,8038
05/10/2023;14,60;14,70;14,48;14,64;14,64;141779;147;2068968;14,5929
04/10/2023;14,98;15,06;14,74;14,90;14,90;217061;188;3231040;14,8854
03/10/2023;15,20;15,20;14,98;15,00;15,00;116968;110;1761645;15,0609
02/10/2023;15,80;15,80;15,20;15,20;15,20;13967;36;214903;15,3865
29/09/2023;15,88;15,88;15,00;15,00;15,00;144906;103;2235484;15,4271
28/09/2023;15,40;15,72;15,12;15,26;15,26;115484;136;1775616;15,3754
27/09/2023;14,82;15,32;14,80;15,30;15,30;87847;105;1334291;15,1888
26/09/2023;15,50;15,50;14,76;14,88;14,88;51649;89;773810;14,9821
25/09/2023;14,98;15,54;14,76;15,02;15,02;82184;137;1244296;15,1404
22/09/2023;15,12;15,12;14,86;14,88;14,88;91259;115;1361501;14,9191
21/09/2023;15,70;15,70;14,82;14,96;14,96;201601;191;3042233;15,0904
20/09/2023;14,92;15,24;14,76;15,00;15,00;418123;151;6268030;14,9909
19/09/2023;13,98;15,00;13,98;14,92;14,92;113390;127;1664455;14,6790
18/09/2023;14,20;14,50;14,18;14,50;14,50;30926;47;441848;14,2873
15/09/2023;14,34;14,36;14,24;14,24;14,24;47540;47;680334;14,3108
14/09/2023;14,08;14,12;13,98;14,10;14,10;24160;52;339893;14,0684
13/09/2023;13,96;14,04;13,88;13,96;13,96;173353;96;2417945;13,9481
12/09/2023;14,12;14,30;13,98;14,12;14,12;111558;78;1569729;14,0710
11/09/2023;14,32;14,32;14,06;14,10;14,10;64844;81;916733;14,1375
08/09/2023;13,94;14,26;13,92;14,20;14,20;170691;95;2395802;14,0359
07/09/2023;14,30;14,30;13,64;14,10;14,10;203897;109;2858850;14,0211
06/09/2023;13,24;14,12;13,24;14,08;14,08;74373;65;1020291;13,7186
05/09/2023;13,70;13,70;13,40;13,70;13,70;101045;69;1380542;13,6626
04/09/2023;13,62;13,96;13,62;13,72;13,72;60524;77;836746;13,8250
01/09/2023;13,60;13,94;13,60;13,92;13,92;45953;63;637343;13,8695
31/08/2023;13,80;13,84;13,48;13,50;13,50;82414;83;1126260;13,6659
30/08/2023;13,60;13,88;13,60;13,74;13,74;98788;96;1353869;13,7048
29/08/2023;13,86;13,88;13,50;13,60;13,60;136652;202;1862943;13,6328
28/08/2023;14,20;14,20;13,52;13,90;13,90;33477;57;463665;13,8503
25/08/2023;14,20;14,20;13,32;13,50;13,50;55698;62;753664;13,5313
24/08/2023;13,50;13,82;13,24;13,68;13,68;105281;142;1424496;13,5304
23/08/2023;14,24;14,24;13,40;13,70;13,70;122953;150;1696216;13,7956
22/08/2023;14,28;14,28;13,90;14,06;14,06;27822;73;390870;14,0489
21/08/2023;13,56;14,20;13,56;14,06;14,06;330508;116;4584389;13,8707
18/08/2023;13,56;13,82;13,56;13,74;13,74;50741;56;695562;13,7081
17/08/2023;13,66;14,00;13,66;13,98;13,98;143001;84;1981284;13,8550
16/08/2023;14,00;14,00;13,70;13,70;13,70;95857;56;1329727;13,8720
15/08/2023;14,00;14,04;13,88;13,90;13,90;108731;102;1520239;13,9817
14/08/2023;13,78;14,14;13,78;14,00;14,00;181165;128;2525843;13,9422
11/08/2023;14,10;14,12;13,90;13,90;13,90;133282;95;1869019;14,0230
