"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010984966
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,888;0,888;0,822;0,87;0,87;15306;6;13313;0,8698
03/11/2023;0,89;0,89;0,80;0,888;0,888;29288;10;24525;0,8374
02/11/2023;0,89;0,89;0,778;0,888;0,888;41636;10;34512;0,8289
01/11/2023;0,898;0,99;0,872;0,92;0,92;185154;24;166741;0,9006
31/10/2023;0,83;0,898;0,83;0,88;0,88;74406;15;66290;0,8909
30/10/2023;0,886;0,916;0,822;0,88;0,88;73319;22;62592;0,8537
27/10/2023;0,998;0,998;0,862;0,90;0,90;113757;19;103525;0,9101
26/10/2023;0,92;1,04;0,756;0,888;0,888;297373;53;263216;0,8851
25/10/2023;1,065;1,065;0,98;1,02;1,02;114152;24;114883;1,0064
24/10/2023;1,13;1,13;1,00;1,065;1,065;402279;33;414488;1,0303
23/10/2023;1,105;1,15;1,05;1,10;1,10;564343;56;608574;1,0784
20/10/2023;1,12;1,12;1,00;1,105;1,105;361175;47;388147;1,0747
19/10/2023;1,10;1,16;1,02;1,11;1,11;522608;85;561121;1,0737
18/10/2023;1,10;1,20;1,015;1,13;1,13;1382597;145;1562352;1,1300
17/10/2023;1,02;1,19;0,96;1,045;1,045;1918996;170;1954185;1,0183
16/10/2023;1,03;1,18;1,01;1,135;1,135;3996253;324;4353460;1,0894
13/10/2023;0,86;0,90;0,832;0,90;0,90;92814;13;83078;0,8951
12/10/2023;0,90;0,90;0,834;0,86;0,86;85997;17;73839;0,8586
11/10/2023;0,80;0,95;0,80;0,868;0,868;692201;42;573849;0,8290
10/10/2023;0,77;0,79;0,77;0,78;0,78;110600;10;86282;0,7801
09/10/2023;0,80;0,80;0,732;0,77;0,77;190326;15;143424;0,7536
06/10/2023;0,722;0,80;0,722;0,79;0,79;273698;13;207134;0,7568
05/10/2023;0,75;0,75;0,682;0,722;0,722;50058;6;36502;0,7292
04/10/2023;0,60;0,80;0,60;0,70;0,70;337321;22;243399;0,7216
03/10/2023;0,80;0,80;0,696;0,696;0,696;135311;15;99402;0,7346
02/10/2023;0,756;0,798;0,75;0,78;0,78;106046;11;81369;0,7673
29/09/2023;0,84;0,84;0,78;0,78;0,78;23769;9;19292;0,8117
28/09/2023;0,83;0,83;0,762;0,81;0,81;138160;8;105895;0,7665
27/09/2023;0,75;0,81;0,75;0,81;0,81;252802;13;199047;0,7874
26/09/2023;0,798;0,798;0,76;0,786;0,786;138423;11;107513;0,7767
25/09/2023;0,84;0,84;0,772;0,78;0,78;115747;13;95450;0,8246
