"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003679102
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;12,00;12,14;11,92;12,02;12,02;35675;25;431027;12,0820
03/11/2023;11,74;12,00;11,72;12,00;12,00;67711;34;807694;11,9285
02/11/2023;11,74;11,90;11,74;11,84;11,84;42370;22;499007;11,7774
01/11/2023;11,50;11,74;11,48;11,52;11,52;9171;18;106472;11,6096
31/10/2023;11,74;11,74;11,54;11,70;11,70;27474;28;319943;11,6453
30/10/2023;11,60;11,62;11,48;11,58;11,58;107954;54;1245080;11,5334
27/10/2023;11,02;11,44;11,02;11,44;11,44;44568;29;507559;11,3884
26/10/2023;11,52;11,52;11,24;11,40;11,40;163516;82;1860545;11,3784
25/10/2023;11,30;11,32;11,14;11,22;11,22;796083;46;8929589;11,2169
24/10/2023;11,02;11,74;11,02;11,38;11,38;83304;85;951280;11,4194
23/10/2023;11,60;11,60;11,00;11,04;11,04;114319;53;1265649;11,0712
20/10/2023;11,60;11,60;11,20;11,22;11,22;68188;49;777511;11,4025
19/10/2023;11,60;11,80;11,52;11,68;11,68;59462;40;690975;11,6204
18/10/2023;12,00;12,00;11,50;11,66;11,66;53392;38;622750;11,6637
17/10/2023;11,60;12,16;11,60;11,72;11,72;239417;68;2853582;11,9189
16/10/2023;11,66;11,68;11,44;11,62;11,62;74727;36;869608;11,6371
13/10/2023;11,66;11,74;11,30;11,66;11,66;101212;56;1163307;11,4938
12/10/2023;11,30;11,88;11,30;11,62;11,62;238246;118;2788838;11,7057
11/10/2023;11,56;11,56;11,04;11,30;11,30;7769;18;86861;11,1804
10/10/2023;11,00;11,24;11,00;11,04;11,04;54010;37;596774;11,0493
09/10/2023;11,78;11,78;10,96;11,10;11,10;40044;34;442583;11,0524
06/10/2023;11,12;11,20;11,10;11,10;11,10;29705;22;329911;11,1062
05/10/2023;11,10;11,10;11,00;11,10;11,10;41221;32;454414;11,0238
04/10/2023;11,50;11,50;11,00;11,10;11,10;23081;25;256077;11,0947
03/10/2023;11,40;11,60;11,40;11,60;11,60;64768;30;744240;11,4909
02/10/2023;11,60;12,00;11,40;11,92;11,92;99282;37;1169401;11,7786
