"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010714785
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;18,50;18,57;17,93;18,14;18,14;985847;920;17915143;18,1723
03/11/2023;18,40;18,68;18,05;18,43;18,43;596001;757;10958585;18,3869
02/11/2023;17,10;18,40;16,97;18,02;18,02;959225;958;17134055;17,8624
01/11/2023;17,20;17,20;16,37;17,06;17,06;1030844;973;17354873;16,8356
31/10/2023;16,65;17,48;16,31;17,17;17,17;1402939;1250;23668307;16,8705
30/10/2023;16,82;17,10;16,60;16,60;16,60;999926;774;16801634;16,8029
27/10/2023;17,00;17,10;16,28;16,67;16,67;2908066;1854;48042958;16,5206
26/10/2023;17,70;17,99;16,84;16,84;16,84;4482049;2074;83134137;18,5482
25/10/2023;18,00;18,46;17,32;17,75;17,75;34838079;4266;599549291;17,2096
24/10/2023;18,90;20,16;18,90;20,10;20,10;405995;523;7898212;19,4540
23/10/2023;20,50;20,50;19,36;19,60;19,60;427957;661;8411868;19,6559
20/10/2023;20,32;20,32;18,70;19,96;19,96;571813;540;12879783;22,5245
19/10/2023;21,50;21,54;20,40;20,40;20,40;382166;565;7921666;20,7283
18/10/2023;20,78;21,62;20,58;21,54;21,54;602822;582;12858061;21,3298
17/10/2023;20,64;21,18;20,42;21,00;21,00;503870;688;10473403;20,7859
16/10/2023;21,44;21,50;20,56;20,84;20,84;582087;687;12143212;20,8615
13/10/2023;22,28;22,40;21,40;21,50;21,50;600697;708;13112461;21,8287
12/10/2023;22,14;22,88;22,14;22,48;22,48;302934;545;6844550;22,5942
11/10/2023;22,52;23,00;22,12;22,14;22,14;234202;403;5264833;22,4799
10/10/2023;22,10;22,84;22,10;22,80;22,80;290817;474;6606123;22,7157
09/10/2023;23,10;23,10;22,08;22,10;22,10;497879;498;11180488;22,4562
06/10/2023;23,00;23,50;22,64;22,90;22,90;543127;748;12498717;23,0125
05/10/2023;22,00;22,86;21,70;22,76;22,76;1246603;637;32396148;25,9875
04/10/2023;22,12;22,50;21,66;21,80;21,80;5477582;723;110530787;20,1788
