"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010914641
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;10,00;0;0;0;0,0000
03/11/2023;10,00;10,00;9,58;10,00;10,00;65469;26;649512;9,9209
02/11/2023;10,30;10,55;10,30;10,55;10,55;3000;2;31150;10,3833
01/11/2023;10,15;10,15;10,15;10,15;10,15;1264;1;12830;10,1500
31/10/2023;10,25;11,00;10,25;10,75;10,75;3151;4;32914;10,4455
30/10/2023;10,80;10,80;10,80;10,80;10,80;9;1;97;10,8000
27/10/2023;11,20;12,00;10,80;10,80;10,80;2846;5;32436;11,3972
26/10/2023;0,00;0,00;0,00;0,00;11,10;0;0;0;0,0000
25/10/2023;11,30;11,30;10,80;11,10;11,10;7200;10;78306;10,8759
24/10/2023;11,30;11,30;11,30;11,30;11,30;800;1;9040;11,3000
23/10/2023;12,05;12,05;11,20;11,20;11,20;11956;7;140787;11,7754
20/10/2023;0,00;0,00;0,00;0,00;12,00;0;0;0;0,0000
19/10/2023;12,00;12,00;12,00;12,00;12,00;888;1;10656;12,0000
18/10/2023;12,00;12,05;12,00;12,05;12,05;1927;4;23187;12,0328
17/10/2023;0,00;0,00;0,00;0,00;12,00;0;0;0;0,0000
16/10/2023;12,00;12,00;12,00;12,00;12,00;49;1;588;12,0000
13/10/2023;12,00;12,00;12,00;12,00;12,00;500;1;6000;12,0000
12/10/2023;0,00;0,00;0,00;0,00;12,00;0;0;0;0,0000
11/10/2023;0,00;0,00;0,00;0,00;12,00;0;0;0;0,0000
10/10/2023;0,00;0,00;0,00;0,00;12,00;0;0;0;0,0000
09/10/2023;12,40;12,40;12,00;12,00;12,00;680;2;8160;12,0006
06/10/2023;12,50;12,50;12,45;12,45;12,45;1177;2;14704;12,4925
05/10/2023;11,85;12,30;11,85;12,25;12,25;5500;3;66875;12,1591
04/10/2023;12,10;12,10;11,50;11,50;11,50;7558;10;89934;11,8992
03/10/2023;13,00;13,00;13,00;13,00;13,00;1347;2;17511;13,0000
