"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010887565
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;4,72;4,89;4,40;4,41;4,41;19207;21;87050;4,5322
03/11/2023;4,60;4,80;4,60;4,70;4,70;9854;8;46778;4,7471
02/11/2023;4,91;4,91;4,89;4,89;4,89;1285;2;6289;4,8944
01/11/2023;4,63;4,63;4,62;4,63;4,63;2517;4;11641;4,6248
31/10/2023;4,65;4,99;4,63;4,63;4,63;500;6;2351;4,7011
30/10/2023;4,67;4,67;4,67;4,67;4,67;510;2;2382;4,6700
27/10/2023;4,62;4,62;4,62;4,62;4,62;200;1;924;4,6200
26/10/2023;4,62;4,62;4,62;4,62;4,62;556;2;2569;4,6200
25/10/2023;4,63;4,90;4,62;4,62;4,62;3839;7;18163;4,7311
24/10/2023;4,71;4,90;4,71;4,90;4,90;9018;8;43119;4,7814
23/10/2023;4,71;4,71;4,71;4,71;4,71;352;4;1658;4,7100
20/10/2023;4,71;4,93;4,71;4,93;4,93;3790;3;18627;4,9147
19/10/2023;4,98;5,06;4,73;5,06;5,06;531;5;2632;4,9566
18/10/2023;0,00;0,00;0,00;0,00;4,98;0;0;0;0,0000
17/10/2023;4,62;5,00;4,62;4,98;4,98;2570;5;12020;4,6770
16/10/2023;4,75;4,76;4,63;4,63;4,63;20051;10;95037;4,7397
13/10/2023;5,20;5,20;4,75;4,80;4,80;11496;8;54890;4,7747
12/10/2023;0,00;0,00;0,00;0,00;4,76;0;0;0;0,0000
11/10/2023;4,86;4,86;4,76;4,76;4,76;426;3;2028;4,7609
10/10/2023;4,78;5,28;4,78;4,87;4,87;9987;10;49961;5,0026
09/10/2023;5,46;5,46;4,92;4,93;4,93;1020;5;5199;5,0966
06/10/2023;4,95;5,50;4,95;5,48;5,48;41013;14;220529;5,3771
05/10/2023;5,30;5,30;4,92;4,95;4,95;548;3;2726;4,9747
04/10/2023;5,38;5,38;4,87;5,38;5,38;3347;6;16540;4,9417
03/10/2023;4,82;5,30;4,76;5,30;5,30;7353;10;35510;4,8293
02/10/2023;4,75;5,40;4,75;5,36;5,36;1692;6;8749;5,1710
29/09/2023;5,20;5,30;5,20;5,30;5,30;1880;4;9849;5,2387
28/09/2023;5,04;5,20;5,04;5,20;5,20;1179;7;6002;5,0910
27/09/2023;5,10;5,10;5,10;5,10;5,10;1196;1;6100;5,1000
