"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010317316
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,60;1,60;1,35;1,445;1,445;13617;13;19914;1,4624
03/11/2023;1,20;1,545;1,20;1,505;1,505;61140;30;86459;1,4141
02/11/2023;1,15;1,37;1,15;1,20;1,20;34873;22;45112;1,2936
01/11/2023;1,35;1,385;1,105;1,38;1,38;1900;11;2561;1,3481
31/10/2023;1,37;1,37;1,16;1,365;1,365;4810;11;5767;1,1989
30/10/2023;1,39;1,39;1,21;1,37;1,37;21676;14;26982;1,2448
27/10/2023;1,445;1,445;1,145;1,205;1,205;11727;24;14899;1,2705
26/10/2023;1,10;1,395;1,10;1,385;1,385;36642;13;47222;1,2887
25/10/2023;1,365;1,445;1,17;1,435;1,435;9274;9;12272;1,3233
24/10/2023;1,45;1,45;1,20;1,38;1,38;36600;26;49229;1,3450
23/10/2023;1,30;1,455;1,265;1,45;1,45;31579;17;42667;1,3511
20/10/2023;1,10;1,46;1,10;1,35;1,35;40757;18;51385;1,2608
19/10/2023;1,47;1,47;1,21;1,46;1,46;12215;19;16577;1,3571
18/10/2023;1,335;1,44;1,16;1,44;1,44;118958;26;153608;1,2913
17/10/2023;1,50;1,515;1,305;1,48;1,48;56985;24;77555;1,3610
16/10/2023;1,325;1,48;1,325;1,48;1,48;54436;20;76186;1,3996
13/10/2023;1,505;1,53;1,31;1,52;1,52;40951;22;55665;1,3593
12/10/2023;1,54;1,54;1,51;1,51;1,51;12;4;18;1,5300
11/10/2023;1,53;1,53;1,53;1,53;1,53;5;1;8;1,5300
10/10/2023;1,535;1,535;1,535;1,535;1,535;10;1;15;1,5350
09/10/2023;1,465;1,535;1,465;1,535;1,535;1690;5;2515;1,4884
06/10/2023;1,415;1,55;1,415;1,535;1,535;25032;10;35727;1,4272
05/10/2023;1,42;1,575;1,41;1,56;1,56;62103;16;89459;1,4405
04/10/2023;1,60;1,60;1,415;1,595;1,595;21019;8;31382;1,4930
03/10/2023;1,44;1,585;1,44;1,585;1,585;24915;10;39252;1,5754
02/10/2023;1,59;1,59;1,48;1,48;1,48;10957;4;16765;1,5300
29/09/2023;1,38;1,595;1,38;1,595;1,595;78;2;124;1,5923
28/09/2023;1,60;1,60;1,375;1,60;1,60;7058;11;10693;1,5151
27/09/2023;1,515;1,60;1,515;1,60;1,60;19798;6;31045;1,5681
26/09/2023;1,51;1,61;1,51;1,60;1,60;5646;10;8878;1,5725
25/09/2023;1,51;1,615;1,51;1,56;1,56;1075;6;1679;1,5620
22/09/2023;1,54;1,60;1,50;1,58;1,58;1248;7;1955;1,5662
21/09/2023;1,46;1,60;1,46;1,60;1,60;21066;5;32236;1,5302
20/09/2023;1,585;1,585;1,45;1,555;1,555;33935;31;52581;1,5495
19/09/2023;1,52;1,61;1,44;1,56;1,56;8404;8;12902;1,5353
18/09/2023;1,56;1,625;1,50;1,615;1,615;14462;12;21946;1,5175
15/09/2023;1,60;1,63;1,47;1,60;1,60;2980;8;4717;1,5827
14/09/2023;1,455;1,615;1,455;1,605;1,605;9509;9;15201;1,5986
13/09/2023;1,62;1,62;1,62;1,62;1,62;3;1;5;1,6200
12/09/2023;1,45;1,615;1,45;1,615;1,615;3556;5;5617;1,5795
11/09/2023;1,50;1,575;1,50;1,575;1,575;30500;9;48000;1,5738
08/09/2023;1,44;1,62;1,42;1,62;1,62;24612;8;35502;1,4425
07/09/2023;1,62;1,62;1,42;1,58;1,58;15605;9;23540;1,5085
06/09/2023;1,65;1,66;1,50;1,51;1,51;1070;7;1684;1,5737
05/09/2023;1,52;1,625;1,44;1,625;1,625;31430;12;49969;1,5899
04/09/2023;1,48;1,62;1,48;1,515;1,515;31764;10;50427;1,5876
01/09/2023;1,49;1,655;1,485;1,645;1,645;26875;15;40635;1,5120
31/08/2023;1,67;1,67;1,495;1,665;1,665;265;5;433;1,6335
30/08/2023;1,50;1,675;1,50;1,675;1,675;47062;8;72222;1,5346
29/08/2023;1,47;1,675;1,47;1,665;1,665;876;5;1297;1,4810
28/08/2023;1,585;1,665;1,485;1,665;1,665;13820;7;21495;1,5554
