"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG671801022
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;40,00;40,85;37,95;40,10;40,10;515131;936;20221582;39,2552
03/11/2023;41,00;41,90;40,75;40,85;40,85;665183;847;27455313;41,2748
02/11/2023;39,00;40,80;38,95;40,65;40,65;491636;819;19777461;40,2279
01/11/2023;39,00;39,00;38,20;38,30;38,30;403952;453;15530367;38,4461
31/10/2023;38,00;39,20;37,65;39,00;39,00;308381;614;11960689;38,7854
30/10/2023;37,70;38,00;36,70;37,70;37,70;193920;391;7312984;37,7113
27/10/2023;38,75;38,75;36,75;37,05;37,05;139216;319;5180199;37,2098
26/10/2023;38,80;38,80;36,35;36,75;36,75;172700;321;6346132;36,7466
25/10/2023;38,00;38,25;37,25;37,40;37,40;215936;411;8109895;37,5569
24/10/2023;37,00;38,45;37,00;38,20;38,20;163139;300;6222496;38,1423
23/10/2023;37,90;37,95;37,00;37,60;37,60;239436;382;8986308;37,5311
20/10/2023;38,55;38,80;38,00;38,15;38,15;166531;354;6383232;38,3306
19/10/2023;39,50;39,50;37,75;38,60;38,60;221351;356;8493922;38,3731
18/10/2023;40,05;40,25;39,50;39,55;39,55;279381;332;11124603;39,8188
17/10/2023;40,00;40,30;39,50;40,05;40,05;302167;474;12063106;39,9220
16/10/2023;40,00;40,00;39,50;39,90;39,90;394344;413;15676176;39,7525
13/10/2023;38,85;39,55;38,50;39,55;39,55;228259;355;8934309;39,1411
12/10/2023;39,00;39,00;38,55;38,85;38,85;129798;257;5029852;38,7514
11/10/2023;38,80;39,00;38,00;38,15;38,15;151995;270;5833120;38,3771
10/10/2023;38,00;38,80;37,90;38,50;38,50;235761;430;9037227;38,3322
09/10/2023;37,50;38,00;36,80;38,00;38,00;360933;399;13553383;37,5510
06/10/2023;36,25;36,85;36,25;36,50;36,50;209959;302;7679898;36,5781
05/10/2023;35,65;36,50;35,65;36,50;36,50;208924;358;7550956;36,1421
04/10/2023;36,60;36,80;35,95;36,40;36,40;432517;572;15707356;36,3162
03/10/2023;36,15;37,35;35,80;37,00;37,00;267624;444;9889296;36,9522
02/10/2023;38,60;38,60;37,20;37,20;37,20;280689;414;10592983;37,7392
29/09/2023;38,05;38,45;37,75;37,85;37,85;398111;506;15122826;37,9865
28/09/2023;37,20;38,45;36,85;38,05;38,05;514582;617;19542093;37,9766
27/09/2023;35,10;37,55;35,10;37,40;37,40;533107;1227;19521210;36,6178
26/09/2023;35,40;35,40;34,75;34,75;34,75;304306;371;10648887;34,9940
25/09/2023;34,75;35,95;34,75;35,40;35,40;369315;427;13123487;35,5347
22/09/2023;36,00;36,00;34,85;35,60;35,60;177791;334;6284225;35,3461
21/09/2023;35,35;36,00;35,05;35,50;35,50;343056;453;12178393;35,4997
20/09/2023;36,20;36,20;34,85;35,65;35,65;513831;501;18134980;35,2937
19/09/2023;35,45;36,20;35,00;35,90;35,90;594839;438;21324507;35,8492
18/09/2023;35,50;35,85;34,95;35,30;35,30;287815;473;10172710;35,3446
15/09/2023;35,75;36,40;35,45;35,80;35,80;428487;523;15391912;35,9215
14/09/2023;35,50;35,95;35,35;35,55;35,55;188804;367;6715486;35,5686
13/09/2023;35,95;36,10;35,40;35,60;35,60;534470;458;19112876;35,7604
12/09/2023;35,90;35,90;35,50;35,65;35,65;222822;349;7948301;35,6711
11/09/2023;35,85;36,25;35,60;35,90;35,90;259543;356;9321943;35,9168
08/09/2023;35,90;36,10;35,50;35,85;35,85;270840;330;9710491;35,8532
07/09/2023;36,20;36,30;35,90;35,90;35,90;433324;322;15595805;35,9911
06/09/2023;36,25;36,25;35,60;36,20;36,20;217499;380;7833408;36,0158
05/09/2023;36,10;36,10;35,70;35,85;35,85;240396;345;8633150;35,9122
04/09/2023;36,55;36,90;35,85;36,00;36,00;226109;339;8189096;36,2175
01/09/2023;34,75;36,55;34,75;36,50;36,50;272712;457;9826119;36,0311
31/08/2023;36,35;36,55;36,05;36,10;36,10;245169;354;8886814;36,2477
30/08/2023;36,40;36,50;36,00;36,35;36,35;373815;415;13547025;36,2399
29/08/2023;36,55;36,60;36,20;36,40;36,40;241613;435;8801438;36,4278
28/08/2023;35,75;36,50;35,70;36,50;36,50;357012;494;12929138;36,2149
25/08/2023;35,60;36,10;35,50;35,65;35,65;301743;454;10801013;35,7954
24/08/2023;35,05;35,85;34,80;35,60;35,60;449497;652;15923881;35,4260
23/08/2023;36,20;36,65;34,45;34,65;34,65;883529;1284;31291528;35,4165
22/08/2023;35,90;36,25;35,40;35,85;35,85;413773;552;14829460;35,8396
21/08/2023;35,05;36,10;34,95;35,70;35,70;672582;936;24012427;35,7019
18/08/2023;35,00;35,00;33,65;34,50;34,50;371864;554;12776738;34,3586
17/08/2023;35,00;35,15;34,60;34,80;34,80;373728;524;13000012;34,7847
16/08/2023;33,65;35,05;33,30;35,05;35,05;395046;576;13636735;34,5194
15/08/2023;33,95;34,10;33,60;33,65;33,65;413060;627;13966711;33,8128
14/08/2023;32,90;33,95;32,70;33,60;33,60;422455;613;14151719;33,4988
11/08/2023;32,60;33,30;32,35;33,30;33,30;352912;485;11604018;32,8808
10/08/2023;32,75;32,95;32,25;32,50;32,50;266789;385;8706712;32,6352
09/08/2023;31,30;32,75;31,30;32,75;32,75;336215;541;10849948;32,2709
08/08/2023;32,15;32,15;30,80;31,30;31,30;356858;539;11186446;31,3471
07/08/2023;31,95;32,65;31,95;32,15;32,15;849758;1052;27509431;32,3733
04/08/2023;30,20;31,90;30,20;31,90;31,90;972655;1046;30714718;31,5782
03/08/2023;29,50;30,00;28,85;30,00;30,00;297076;387;8805377;29,6401
02/08/2023;29,00;29,45;28,90;29,40;29,40;991239;289;29139695;29,3972
01/08/2023;28,80;29,35;28,80;29,35;29,35;358031;472;10430673;29,1334
31/07/2023;28,80;29,10;28,60;28,70;28,70;385873;411;11129872;28,8434
28/07/2023;28,60;28,80;28,25;28,60;28,60;178554;308;5091976;28,5179
27/07/2023;28,50;28,85;28,45;28,85;28,85;134713;234;3874406;28,7604
26/07/2023;28,60;28,80;28,20;28,70;28,70;211862;289;6057206;28,5903
25/07/2023;28,70;28,90;28,15;28,60;28,60;715843;326;20499907;28,6374
24/07/2023;28,10;28,60;28,00;28,50;28,50;169974;258;4818897;28,3508
21/07/2023;28,15;28,35;27,85;28,35;28,35;223278;291;6295820;28,1972
20/07/2023;28,00;28,20;27,80;28,05;28,05;255387;336;7164890;28,0550
19/07/2023;26,90;27,85;26,90;27,85;27,85;265014;321;7313913;27,5982
18/07/2023;26,85;27,45;26,65;27,25;27,25;195126;294;5280750;27,0633
17/07/2023;27,40;27,40;26,60;26,85;26,85;232160;326;6246097;26,9043
14/07/2023;27,10;27,45;27,00;27,00;27,00;146799;234;3987973;27,1662
13/07/2023;27,40;27,70;27,10;27,45;27,45;106569;202;2921139;27,4108
12/07/2023;27,25;27,65;27,25;27,65;27,65;211245;353;5815510;27,5297
11/07/2023;26,90;27,30;26,90;27,25;27,25;273888;337;7427360;27,1182
10/07/2023;26,95;26,95;26,55;26,90;26,90;150462;279;4036890;26,8300
07/07/2023;26,90;27,00;26,40;26,75;26,75;147840;237;3943155;26,6718
06/07/2023;26,45;26,75;26,35;26,35;26,35;165174;279;4379863;26,5167
05/07/2023;26,85;26,85;26,30;26,55;26,55;354950;412;9409568;26,5096
04/07/2023;26,55;26,75;26,40;26,65;26,65;155198;269;4125069;26,5794
03/07/2023;26,15;26,65;26,15;26,40;26,40;318703;394;8428639;26,4467
30/06/2023;25,20;26,20;25,20;25,85;25,85;549610;471;14238130;25,9059
29/06/2023;24,10;25,25;24,10;25,20;25,20;213460;365;5314904;24,8988
28/06/2023;24,55;24,75;24,25;24,40;24,40;262996;384;6444274;24,5033
27/06/2023;24,80;24,85;24,55;24,75;24,75;188961;265;4666669;24,6965
