"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003399917
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;115,00;117,50;114,00;117,00;117,00;33968;105;3967517;116,8016
03/11/2023;111,50;116,50;108,00;115,00;115,00;17557;75;1993022;113,5172
02/11/2023;123,50;123,50;102,00;110,00;110,00;37991;127;4152476;109,3016
01/11/2023;118,50;118,50;114,00;116,00;116,00;12708;46;1471855;115,8211
31/10/2023;114,00;118,00;113,50;118,00;118,00;4994;45;580921;116,3238
30/10/2023;116,50;116,50;112,50;115,00;115,00;1935;27;220711;114,0625
27/10/2023;111,50;114,00;109,50;113,50;113,50;15540;70;1738202;111,8534
26/10/2023;114,00;114,00;105,50;110,00;110,00;3269;43;368595;112,7547
25/10/2023;113,50;114,00;113,00;113,50;113,50;13918;62;1581834;113,6538
24/10/2023;111,00;114,00;111,00;113,50;113,50;2734;24;308581;112,8680
23/10/2023;110,00;110,00;107,50;109,50;109,50;583;16;63339;108,6424
20/10/2023;112,00;112,00;108,00;111,00;111,00;2239;22;244858;109,3604
19/10/2023;111,00;111,50;109,50;111,00;111,00;3098;36;341616;110,2697
18/10/2023;111,00;113,00;110,00;110,50;110,50;33140;117;3670941;110,7707
17/10/2023;105,50;108,00;103,00;107,50;107,50;8510;41;899574;105,7079
16/10/2023;105,50;105,50;104,50;105,00;105,00;2832;24;297985;105,2205
13/10/2023;104,50;107,00;104,00;105,50;105,50;4562;23;479457;105,0979
12/10/2023;102,50;104,50;102,50;104,50;104,50;6086;31;630301;103,5657
11/10/2023;104,50;104,50;101,50;102,50;102,50;4607;35;471694;102,3864
10/10/2023;104,50;105,00;102,00;105,00;105,00;12975;56;1351000;104,1233
09/10/2023;99,00;103,50;99,00;103,00;103,00;18166;74;1841283;101,3587
06/10/2023;98,00;99,80;96,00;99,00;99,00;12258;49;1205239;98,3226
05/10/2023;96,60;97,00;94,20;97,00;97,00;7461;45;718397;96,2870
04/10/2023;94,00;99,40;94,00;96,60;96,60;9152;59;884810;96,6794
03/10/2023;92,80;94,00;92,80;94,00;94,00;4807;25;451521;93,9299
02/10/2023;96,60;96,60;93,60;94,00;94,00;4996;40;471001;94,2756
29/09/2023;95,80;95,80;93,60;94,00;94,00;4845;30;455952;94,1077
28/09/2023;94,00;94,00;93,40;94,00;94,00;1735;24;162866;93,8708
27/09/2023;93,20;93,80;92,40;93,40;93,40;16638;53;1544705;92,8420
26/09/2023;94,00;94,00;92,20;93,60;93,60;618;24;57473;92,9977
25/09/2023;94,80;95,20;92,60;93,80;93,80;10182;47;952956;93,5922
22/09/2023;93,60;94,00;92,40;94,00;94,00;4018;28;375021;93,3351
21/09/2023;92,40;93,80;92,00;93,80;93,80;15894;63;1469759;92,4725
20/09/2023;92,60;92,60;92,00;92,60;92,60;14750;61;1365009;92,5430
19/09/2023;92,40;92,80;91,40;92,80;92,80;4144;36;381194;91,9869
18/09/2023;91,40;92,80;91,00;92,80;92,80;4565;30;420970;92,2169
