"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG6716L1081
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;56,30;56,30;54,00;54,10;54,10;96352;288;5281131;54,8108
03/11/2023;58,00;58,00;53,90;55,00;55,00;349393;880;19500244;55,8118
02/11/2023;55,60;57,80;54,90;57,80;57,80;134459;433;7586183;56,4200
01/11/2023;55,70;55,70;54,10;55,30;55,30;81087;231;4437864;54,7297
31/10/2023;55,00;55,90;54,50;55,40;55,40;135021;357;7442175;55,1186
30/10/2023;51,00;54,50;51,00;54,30;54,30;105912;314;5693396;53,7559
27/10/2023;52,00;53,40;51,60;52,30;52,30;57644;193;3035399;52,6577
26/10/2023;52,50;52,50;50,50;51,70;51,70;111243;273;5699874;51,2380
25/10/2023;52,90;52,90;51,20;51,70;51,70;51227;214;2657410;51,8752
24/10/2023;51,50;52,80;50,50;52,70;52,70;78610;248;4078760;51,8860
23/10/2023;52,30;52,40;49,95;50,20;50,20;98217;273;4986339;50,7686
20/10/2023;51,20;52,90;51,20;52,20;52,20;63543;252;3325827;52,3398
19/10/2023;53,20;54,60;52,20;53,20;53,20;136756;317;7308429;53,4414
18/10/2023;53,80;54,40;53,40;53,90;53,90;131510;219;7077334;53,8159
17/10/2023;51,50;53,60;51,00;53,60;53,60;123944;280;6499280;52,4372
16/10/2023;51,10;53,00;51,10;51,80;51,80;109161;260;5711860;52,3251
13/10/2023;51,70;52,80;51,30;52,40;52,40;75823;214;3948406;52,0740
12/10/2023;49,25;53,00;49,25;52,40;52,40;176144;397;9061121;51,4416
11/10/2023;50,80;51,00;48,85;49,25;49,25;88628;289;4385882;49,4864
10/10/2023;50,90;51,50;49,95;50,30;50,30;51146;193;2605397;50,9404
09/10/2023;49,30;51,20;49,30;50,70;50,70;88895;258;4495548;50,5714
06/10/2023;50,00;50,90;48,90;49,20;49,20;123690;493;6154945;49,7611
05/10/2023;48,25;50,40;47,90;49,90;49,90;174310;498;8600303;49,3391
04/10/2023;49,60;49,90;47,95;48,35;48,35;144158;373;7066093;49,0163
03/10/2023;51,00;51,30;49,25;49,90;49,90;110043;367;5524596;50,2040
02/10/2023;53,40;53,60;51,10;51,20;51,20;114418;346;5976679;52,2355
29/09/2023;53,50;54,00;52,70;53,90;53,90;121640;395;6476068;53,2396
28/09/2023;54,00;54,90;53,10;53,50;53,50;44663;268;2399938;53,7344
27/09/2023;52,50;54,90;52,50;54,40;54,40;63740;255;3439303;53,9583
26/09/2023;54,70;54,70;52,00;52,90;52,90;142750;520;7572152;53,0448
25/09/2023;56,00;56,90;54,50;54,70;54,70;101831;295;5656141;55,5444
22/09/2023;57,20;57,20;54,60;56,00;56,00;88446;324;4932291;55,7661
21/09/2023;58,30;58,30;56,50;57,60;57,60;111187;424;6387231;57,4458
20/09/2023;57,50;58,80;56,70;58,80;58,80;107964;330;6247510;57,8666
19/09/2023;55,10;57,90;55,10;57,50;57,50;109355;305;6237452;57,0386
18/09/2023;54,70;56,20;54,70;56,10;56,10;56892;218;3161080;55,5628
15/09/2023;55,50;55,50;54,60;55,50;55,50;112602;241;6232172;55,3469
14/09/2023;54,70;55,30;54,00;55,30;55,30;50620;237;2757663;54,4777
13/09/2023;54,80;55,60;54,20;54,70;54,70;121266;377;6670290;55,0054
12/09/2023;53,00;54,90;52,90;54,50;54,50;92748;247;5024987;54,1789
11/09/2023;52,80;54,50;52,80;53,70;53,70;71795;297;3876089;53,9883
08/09/2023;52,80;53,30;52,40;53,30;53,30;51430;191;2713773;52,7663
07/09/2023;52,50;52,90;51,90;52,60;52,60;48719;217;2551907;52,3801
06/09/2023;51,80;52,50;51,00;52,30;52,30;62349;195;3244882;52,0438
05/09/2023;51,50;52,10;50,20;50,90;50,90;74593;273;3817615;51,1793
04/09/2023;52,60;52,70;51,00;51,50;51,50;56766;246;2945342;51,8857
01/09/2023;50,50;52,30;49,60;52,30;52,30;80626;275;4125543;51,1689
31/08/2023;48,90;50,50;48,75;50,50;50,50;85545;262;4228591;49,4312
30/08/2023;49,80;50,00;49,40;49,85;49,85;97162;327;4830979;49,7209
29/08/2023;50,70;50,70;49,55;49,70;49,70;36589;149;1830113;50,0181
28/08/2023;48,80;50,70;48,35;50,70;50,70;204899;428;10103769;49,3110
25/08/2023;49,85;50,50;48,25;48,40;48,40;134654;448;6631335;49,2472
24/08/2023;54,60;54,60;49,20;49,90;49,90;301167;783;15185108;50,4209
23/08/2023;54,50;54,50;52,60;53,50;53,50;49936;227;2662130;53,3108
22/08/2023;54,70;54,80;53,30;53,50;53,50;38593;205;2084170;54,0038
21/08/2023;54,70;54,70;53,70;54,70;54,70;27259;144;1480013;54,2945
18/08/2023;54,60;54,70;53,10;53,50;53,50;64514;249;3474861;53,8621
17/08/2023;54,90;55,00;53,10;54,70;54,70;60264;189;3256876;54,0435
16/08/2023;54,20;54,70;53,30;53,40;53,40;80749;203;4353515;53,9142
15/08/2023;51,20;55,20;51,20;54,20;54,20;120428;396;6494028;53,9246
14/08/2023;50,20;52,90;50,20;52,50;52,50;83453;276;4326203;51,8400
11/08/2023;49,90;51,60;49,90;51,50;51,50;31157;157;1591482;51,0794
10/08/2023;51,60;51,60;51,10;51,40;51,40;18072;92;927704;51,3338
09/08/2023;49,90;51,80;49,90;51,60;51,60;67181;240;3428334;51,0313
08/08/2023;51,80;51,80;49,10;49,45;49,45;66429;257;3303577;49,7309
07/08/2023;52,90;52,90;50,20;51,40;51,40;58804;280;3000296;51,0220
04/08/2023;49,50;52,60;49,50;52,50;52,50;77637;332;4023887;51,8295
03/08/2023;51,80;51,80;49,00;50,00;50,00;71834;307;3576117;49,7831
02/08/2023;50,30;51,80;50,30;50,50;50,50;36887;201;1872835;50,7722
01/08/2023;51,90;52,20;51,50;51,50;51,50;59353;193;3079079;51,8774
31/07/2023;52,00;52,00;50,70;51,60;51,60;33781;176;1735547;51,3764
28/07/2023;51,70;51,70;50,20;51,60;51,60;25456;155;1298182;50,9971
27/07/2023;51,70;52,10;50,90;51,10;51,10;23524;148;1207716;51,3398
26/07/2023;53,00;53,00;51,30;51,60;51,60;16913;114;875009;51,7359
25/07/2023;51,60;52,10;51,10;51,90;51,90;57365;212;2965417;51,6938
24/07/2023;50,00;51,30;49,55;51,30;51,30;45155;183;2286902;50,6456
21/07/2023;50,40;50,40;49,35;49,60;49,60;18308;140;911296;49,7758
20/07/2023;50,60;50,60;49,05;49,90;49,90;50005;317;2479088;49,5768
19/07/2023;50,50;50,50;49,30;50,00;50,00;40413;166;2015516;49,8730
18/07/2023;48,75;50,10;48,40;50,10;50,10;15950;90;785217;49,2299
17/07/2023;49,00;49,30;47,95;48,75;48,75;35395;145;1719041;48,5673
14/07/2023;48,50;49,55;48,25;49,45;49,45;40789;184;2005024;49,1560
13/07/2023;49,10;50,60;47,75;49,00;49,00;113160;319;5569820;49,2208
12/07/2023;47,60;50,00;46,70;49,95;49,95;152825;472;7464331;48,8423
11/07/2023;45,95;48,30;44,70;47,85;47,85;376641;556;17532897;46,5507
