"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010816895
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;38,70;40,26;38,70;40,00;40,00;307733;636;12256736;39,8291
03/11/2023;39,74;40,16;38,74;39,00;39,00;353855;726;13928205;39,3613
02/11/2023;39,28;39,72;38,74;39,52;39,52;418717;754;16426112;39,2296
01/11/2023;38,18;39,42;38,18;38,82;38,82;451956;690;17584745;38,9081
31/10/2023;38,50;38,74;37,10;38,58;38,58;428183;762;16358478;38,2044
30/10/2023;36,76;38,66;36,40;37,62;37,62;689673;1123;26147415;37,9128
27/10/2023;35,80;37,02;35,02;36,40;36,40;537876;1017;19430184;36,1239
26/10/2023;36,88;36,94;35,32;35,32;35,32;559628;998;20207950;36,1096
25/10/2023;37,10;37,10;36,16;36,58;36,58;467256;691;17119983;36,6394
24/10/2023;37,74;38,38;37,10;37,24;37,24;423211;818;15947175;37,6814
23/10/2023;38,98;38,98;37,70;37,98;37,98;450412;763;17209770;38,2090
20/10/2023;39,40;39,92;39,00;39,34;39,34;561111;1049;22183425;39,5348
19/10/2023;38,38;39,80;38,26;39,32;39,32;762513;1158;29739207;39,0016
18/10/2023;39,50;40,26;39,40;40,00;40,00;594410;966;23739770;39,9384
17/10/2023;39,30;39,46;38,64;39,20;39,20;380157;670;14869651;39,1145
16/10/2023;38,74;39,46;38,42;38,84;38,84;361172;584;14052644;38,9085
13/10/2023;37,68;39,10;37,68;38,64;38,64;572828;982;22169915;38,7026
12/10/2023;37,12;38,18;36,70;38,18;38,18;527102;703;19880567;37,7167
11/10/2023;37,12;37,78;36,58;36,92;36,92;431054;754;16052894;37,2410
10/10/2023;36,10;37,12;35,44;37,12;37,12;494720;852;18123452;36,6338
09/10/2023;36,00;36,26;34,74;35,98;35,98;681478;1380;24145420;35,4310
06/10/2023;34,30;34,54;33,92;34,46;34,46;461787;724;15800156;34,2152
05/10/2023;34,00;34,62;33,22;34,22;34,22;787685;1294;26819465;34,0485
04/10/2023;35,82;36,24;34,90;34,98;34,98;575649;966;20440180;35,5081
03/10/2023;37,00;37,00;35,86;35,88;35,88;464819;961;16854872;36,2612
02/10/2023;38,70;38,70;37,02;37,10;37,10;408808;716;15379916;37,6214
29/09/2023;38,00;38,42;37,32;38,16;38,16;555092;988;21023016;37,8730
28/09/2023;38,72;39,18;37,62;37,86;37,86;338160;868;12926888;38,2271
27/09/2023;37,26;38,30;37,26;38,20;38,20;274446;434;10394264;37,8736
26/09/2023;36,60;37,40;36,50;37,20;37,20;291016;745;10748133;36,9331
25/09/2023;37,44;37,44;36,54;36,90;36,90;502139;835;18525608;36,8934
22/09/2023;38,12;38,12;37,08;37,38;37,38;681922;945;25528952;37,4368
21/09/2023;39,06;39,10;37,94;38,40;38,40;656359;1278;25221692;38,4267
20/09/2023;40,32;40,32;38,90;39,30;39,30;502605;897;19856092;39,5064
19/09/2023;40,00;40,64;40,00;40,16;40,16;536734;1046;21685719;40,4031
18/09/2023;39,80;40,18;39,24;40,00;40,00;609817;792;24365265;39,9550
15/09/2023;39,24;39,48;38,60;39,42;39,42;1076543;1659;42090043;39,0974
14/09/2023;38,50;39,14;38,46;39,10;39,10;563964;842;21914766;38,8584
13/09/2023;38,62;39,34;38,16;38,42;38,42;806951;1171;31327401;38,8219
12/09/2023;38,36;38,80;37,94;38,48;38,48;622236;629;23805355;38,2578
11/09/2023;38,20;38,88;37,84;38,36;38,36;370886;664;14237647;38,3882
08/09/2023;37,54;38,28;37,54;38,18;38,18;364195;796;13873258;38,0929
07/09/2023;38,02;38,02;37,32;37,54;37,54;429145;1049;16136834;37,6023
06/09/2023;38,40;38,60;37,66;38,12;38,12;452003;722;17255166;38,1749
05/09/2023;37,50;38,76;37,24;38,40;38,40;381805;632;14534672;38,0683
04/09/2023;38,74;39,14;37,54;37,76;37,76;1100719;1360;41845378;38,0164
01/09/2023;39,04;39,78;38,70;39,28;39,28;619061;969;24309009;39,2676
31/08/2023;38,44;39,60;38,20;39,14;39,14;711261;1140;27736826;38,9967
30/08/2023;39,50;39,50;38,42;38,44;38,44;420329;790;16312735;38,8094
29/08/2023;39,68;39,80;39,02;39,20;39,20;358031;563;14064524;39,2830
28/08/2023;39,32;39,66;38,92;39,48;39,48;395775;698;15542825;39,2719
25/08/2023;38,86;39,80;38,86;39,12;39,12;323422;539;12721718;39,3347
24/08/2023;39,00;39,84;38,82;39,14;39,14;234565;493;9204063;39,2389
23/08/2023;40,46;40,46;39,16;39,40;39,40;196427;509;7777719;39,5960
22/08/2023;40,48;40,48;39,62;40,30;40,30;151015;344;6039314;39,9915
