"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010894512
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;29,40;30,10;29,40;30,10;30,10;91287;36;2745039;30,0704
03/11/2023;29,40;30,00;29,40;29,80;29,80;10470;23;311374;29,7397
02/11/2023;30,00;30,50;29,30;29,60;29,60;22000;48;660716;30,0326
01/11/2023;29,90;30,00;29,70;30,00;30,00;11717;22;351170;29,9710
31/10/2023;30,10;30,70;29,50;30,00;30,00;60774;51;1826255;30,0499
30/10/2023;30,00;30,00;29,50;30,00;30,00;70074;67;2101575;29,9908
27/10/2023;30,50;30,50;27,80;29,50;29,50;3491;15;103381;29,6136
26/10/2023;33,10;33,10;28,20;29,80;29,80;7544;29;221946;29,4202
25/10/2023;30,90;30,90;30,50;30,50;30,50;3606;20;111267;30,8562
24/10/2023;31,90;31,90;29,60;31,00;31,00;10729;42;330340;30,7894
23/10/2023;32,00;35,00;31,10;32,00;32,00;4436;23;144583;32,5932
20/10/2023;33,30;34,20;31,30;32,00;32,00;11427;33;370304;32,4060
19/10/2023;31,90;32,00;30,60;31,30;31,30;3242;13;102929;31,7487
18/10/2023;34,00;34,20;32,10;32,50;32,50;10135;33;336855;33,2368
17/10/2023;33,60;36,10;31,90;32,00;32,00;10282;22;335748;32,6539
16/10/2023;34,50;34,90;31,60;31,60;31,60;14254;37;476729;33,4453
13/10/2023;33,50;33,80;32,60;32,60;32,60;10673;45;352405;33,0184
12/10/2023;35,00;35,00;33,10;33,20;33,20;13617;41;468100;34,3761
11/10/2023;33,60;33,70;31,80;32,80;32,80;17890;41;592352;33,1108
10/10/2023;32,90;32,90;32,10;32,60;32,60;5282;13;171819;32,5292
09/10/2023;32,50;32,50;32,50;32,50;32,50;600;1;19500;32,5000
06/10/2023;33,70;36,00;30,30;33,20;33,20;14524;38;499300;34,3776
05/10/2023;32,00;32,00;30,10;30,30;30,30;99240;25;3171396;31,9568
04/10/2023;33,40;33,40;30,50;31,30;31,30;8746;22;278127;31,8005
