"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003733800
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;77,74;78,10;77,40;78,10;78,10;772766;863;60286556;78,0140
03/11/2023;78,02;78,16;77,32;77,74;77,74;624526;894;48538473;77,7205
02/11/2023;77,48;78,34;77,34;78,18;78,18;577294;1005;45062416;78,0580
01/11/2023;77,14;77,68;76,34;77,48;77,48;1019718;1441;78820232;77,2961
31/10/2023;75,76;76,94;75,72;76,94;76,94;1446448;1410;111068684;76,7872
30/10/2023;74,60;75,92;74,50;75,58;75,58;780378;1461;58888475;75,4615
27/10/2023;74,18;75,74;73,66;74,40;74,40;1565690;3206;116951544;74,6965
26/10/2023;80,30;80,94;73,88;74,78;74,78;1805064;3693;136193863;75,4510
25/10/2023;80,04;81,30;80,04;81,16;81,16;694208;981;56188899;80,9396
24/10/2023;79,46;80,42;79,44;80,18;80,18;744076;1115;59589450;80,0852
23/10/2023;80,06;80,28;79,24;79,54;79,54;955027;1164;76089941;79,6731
20/10/2023;80,28;80,92;80,06;80,28;80,28;939867;1294;75525288;80,3574
19/10/2023;80,64;81,38;80,52;80,68;80,68;642855;937;51951003;80,8129
18/10/2023;81,66;81,70;80,80;81,40;81,40;469559;874;38203072;81,3595
17/10/2023;80,42;81,78;80,12;81,68;81,68;766525;1026;62473005;81,5016
16/10/2023;81,02;81,02;80,02;80,50;80,50;481820;731;38782633;80,4920
13/10/2023;80,78;81,32;80,60;80,96;80,96;599741;800;48546731;80,9462
12/10/2023;80,42;81,18;80,24;80,94;80,94;1054894;1040;85332707;80,8922
11/10/2023;80,04;80,70;79,70;80,30;80,30;1122447;1269;90157280;80,3221
10/10/2023;80,52;80,92;79,00;79,72;79,72;1129140;1548;90245062;79,9237
09/10/2023;79,84;80,32;79,52;79,90;79,90;702330;1013;56113963;79,8969
06/10/2023;80,70;80,70;79,56;79,56;79,56;691215;942;55136735;79,7679
05/10/2023;80,26;81,14;79,98;80,80;80,80;558303;722;45085763;80,7550
04/10/2023;79,50;80,86;79,42;80,04;80,04;829807;1189;66513290;80,1551
03/10/2023;79,80;80,56;79,68;79,72;79,72;953401;1048;76091144;79,8102
02/10/2023;80,00;80,52;79,52;79,60;79,60;1808875;1079;144083130;79,6534
29/09/2023;79,98;80,70;79,82;79,98;79,98;1838913;1233;147169831;80,0309
28/09/2023;79,58;80,32;79,22;79,56;79,56;933087;1186;74283839;79,6108
27/09/2023;80,24;81,08;80,24;80,24;80,24;724492;1028;58214162;80,3517
26/09/2023;82,40;82,40;80,02;80,50;80,50;1228749;1432;99102521;80,6532
25/09/2023;82,80;82,80;81,94;82,50;82,50;680955;1009;56103271;82,3891
22/09/2023;83,00;83,26;82,64;82,92;82,92;699316;1019;57970608;82,8962
21/09/2023;83,12;83,48;82,70;83,26;83,26;614030;799;51087869;83,2009
20/09/2023;83,00;83,54;83,00;83,20;83,20;500917;834;41698356;83,2440
19/09/2023;83,24;83,86;82,70;82,92;82,92;504136;770;41850204;83,0137
18/09/2023;82,48;83,32;82,26;83,30;83,30;402099;817;33433445;83,1473
15/09/2023;82,26;83,84;82,26;82,74;82,74;2743124;1969;227404256;82,8997
14/09/2023;82,40;82,50;81,54;82,14;82,14;771091;1306;63276107;82,0605
13/09/2023;81,14;82,12;81,12;82,12;82,12;813470;943;66714257;82,0119
12/09/2023;81,80;83,02;81,68;81,68;81,68;1191922;1469;97660051;81,9349
11/09/2023;80,66;81,88;80,66;81,70;81,70;729539;1016;59491200;81,5463
08/09/2023;80,04;81,14;79,84;80,56;80,56;609237;847;49080758;80,5610
07/09/2023;78,86;79,92;78,86;79,86;79,86;579148;763;46185255;79,7469
06/09/2023;79,06;79,22;78,34;79,04;79,04;700927;762;55377356;79,0059
05/09/2023;79,50;79,52;78,66;79,10;79,10;806184;917;63733581;79,0559
04/09/2023;80,20;80,26;79,56;79,72;79,72;423692;746;33816596;79,8141
01/09/2023;81,14;81,42;80,20;80,20;80,20;702701;1104;56493603;80,3949
31/08/2023;81,00;81,30;80,60;81,28;81,28;2639982;1099;214514936;81,2562
30/08/2023;80,72;81,02;80,14;81,02;81,02;500888;956;40501947;80,8603
29/08/2023;81,32;81,44;80,52;80,56;80,56;618085;751;49869172;80,6834
28/08/2023;81,00;81,24;80,82;81,16;81,16;379215;623;30761859;81,1198
25/08/2023;80,82;81,04;80,48;80,54;80,54;543873;569;43839813;80,6067
24/08/2023;80,90;81,10;80,32;80,84;80,84;533205;839;43068545;80,7730
23/08/2023;79,74;80,68;79,44;80,46;80,46;1626384;1172;130650144;80,3317
22/08/2023;80,34;80,34;79,40;79,48;79,48;835955;935;66486911;79,5341
21/08/2023;80,24;81,08;79,88;79,98;79,98;926155;1133;74325234;80,2514
18/08/2023;80,44;80,58;79,56;80,20;80,20;982383;881;78769021;80,1816
17/08/2023;80,42;80,88;80,00;80,70;80,70;1216225;918;98032346;80,6038
16/08/2023;80,06;80,60;79,94;80,58;80,58;636871;749;51289137;80,5330
15/08/2023;79,54;80,20;79,54;80,04;80,04;630067;758;50386255;79,9697
14/08/2023;79,62;79,98;79,34;79,68;79,68;499355;740;39787652;79,6781
11/08/2023;79,92;80,40;79,60;79,70;79,70;496910;618;39671837;79,8371
10/08/2023;79,40;80,20;79,20;80,04;80,04;519666;767;41523677;79,9045
09/08/2023;79,54;79,58;79,00;79,16;79,16;711369;929;56346581;79,2087
08/08/2023;79,02;79,80;79,02;79,32;79,32;726532;734;57651834;79,3521
07/08/2023;79,00;79,12;78,62;79,00;79,00;475600;757;37539394;78,9306
04/08/2023;79,82;79,82;78,76;79,02;79,02;641124;701;50703560;79,0854
03/08/2023;79,88;80,08;79,50;79,74;79,74;634285;714;50594557;79,7663
02/08/2023;79,96;80,82;79,94;80,54;80,54;811529;718;65336278;80,5101
01/08/2023;79,84;80,42;79,48;80,42;80,42;529957;764;42525074;80,2425
31/07/2023;80,02;80,34;79,88;80,08;80,08;1156054;992;92572768;80,0765
28/07/2023;80,90;80,98;80,08;80,36;80,36;438899;555;35284505;80,3932
27/07/2023;80,44;81,30;80,26;81,14;81,14;727398;947;58973649;81,0748
26/07/2023;80,34;80,44;79,68;80,18;80,18;512294;823;41023944;80,0789
25/07/2023;80,16;80,66;80,00;80,44;80,44;352259;647;28312465;80,3740
24/07/2023;81,14;81,20;80,10;80,34;80,34;425131;873;34199116;80,4437
21/07/2023;80,70;81,18;80,22;81,18;81,18;653413;1037;52897872;80,9563
20/07/2023;79,88;80,84;79,52;80,70;80,70;1062828;1191;85677651;80,6129
19/07/2023;80,00;80,36;79,88;80,04;80,04;643307;1031;51501389;80,0572
18/07/2023;79,24;80,08;79,08;79,84;79,84;477326;720;38056579;79,7287
17/07/2023;81,40;81,66;79,04;79,18;79,18;1052145;1419;83704658;79,5562
14/07/2023;79,40;81,38;79,08;80,72;80,72;1582943;2208;127697893;80,6712
13/07/2023;77,00;77,26;76,66;76,76;76,76;1652740;1169;126939163;76,8053
12/07/2023;77,18;77,34;76,76;76,94;76,94;907115;1161;69837950;76,9891
11/07/2023;77,30;77,46;76,90;77,12;77,12;1375580;1211;106083719;77,1193
10/07/2023;76,74;77,56;76,56;77,38;77,38;692454;1065;53546442;77,3285
07/07/2023;77,52;77,54;76,64;76,82;76,82;790742;877;60791046;76,8785
06/07/2023;78,06;78,24;77,52;77,56;77,56;929911;943;72176586;77,6167
05/07/2023;77,84;78,18;77,74;77,88;77,88;1118381;901;87061063;77,8456
04/07/2023;77,50;78,28;77,46;78,16;78,16;536018;720;41860782;78,0959
03/07/2023;77,12;77,78;77,00;77,54;77,54;653296;1046;50621571;77,4864
30/06/2023;76,72;77,20;76,40;77,10;77,10;1247196;875;96135965;77,0817
29/06/2023;76,68;77,08;76,24;76,70;76,70;833693;1154;63937198;76,6915
28/06/2023;76,84;76,98;76,30;76,82;76,82;834962;1019;64107854;76,7794
27/06/2023;76,36;76,78;75,88;76,52;76,52;843882;973;64510005;76,4443
26/06/2023;77,34;77,34;76,16;76,32;76,32;928190;1093;70959189;76,4490
23/06/2023;77,04;77,56;77,04;77,26;77,26;476442;669;36824119;77,2898
22/06/2023;77,56;77,56;76,48;76,90;76,90;1033642;1130;79522444;76,9342
21/06/2023;77,16;78,08;76,52;77,54;77,54;1113190;1371;86381367;77,5980
20/06/2023;77,70;78,02;77,12;77,22;77,22;1650443;1712;127694773;77,3700
19/06/2023;78,70;78,70;77,72;77,72;77,72;660456;689;51393539;77,8152
16/06/2023;77,68;79,16;77,52;78,88;78,88;3039352;2190;239537191;78,8119
15/06/2023;76,96;77,84;76,94;77,56;77,56;1130849;1090;87655386;77,5129
14/06/2023;77,18;77,66;76,74;76,94;76,94;1467066;1472;113095969;77,0899
13/06/2023;77,82;78,20;77,14;77,30;77,30;948196;1179;73343742;77,3508
12/06/2023;78,00;78,32;77,68;77,70;77,70;1186127;1479;92306920;77,8221
09/06/2023;77,90;78,06;77,34;77,80;77,80;844206;1128;65646492;77,7612
08/06/2023;78,20;78,30;77,46;77,76;77,76;1187227;1374;92329008;77,7686
07/06/2023;78,78;79,10;78,32;78,40;78,40;1326396;1336;104185662;78,5479
06/06/2023;79,42;79,50;78,78;79,06;79,06;763702;1031;60410276;79,1019
05/06/2023;79,26;79,60;78,92;79,60;79,60;797102;780;63378253;79,5108
02/06/2023;80,20;80,20;78,62;79,20;79,20;1131211;1560;89641145;79,2435
01/06/2023;80,22;80,70;80,10;80,28;80,28;572721;898;46001992;80,3218
31/05/2023;80,06;80,82;79,86;79,86;79,86;4047227;1830;323394230;79,9051
30/05/2023;81,44;81,50;80,28;80,44;80,44;696761;1059;56140853;80,5740
29/05/2023;0,00;0,00;0,00;0,00;81,36;0;0;0;0,0000
26/05/2023;81,14;81,36;80,82;81,36;81,36;867365;575;70450627;81,2237
25/05/2023;81,70;81,70;80,70;81,02;81,02;914497;967;74114694;81,0442
24/05/2023;81,04;81,72;80,76;81,72;81,72;1000349;1184;81621179;81,5927
23/05/2023;81,84;82,14;81,20;81,24;81,24;906165;893;73666654;81,2950
22/05/2023;82,90;82,90;81,50;82,08;82,08;809253;1168;66430861;82,0891
19/05/2023;81,30;82,88;81,22;82,88;82,88;1185843;1477;97972838;82,6187
18/05/2023;0,00;0,00;0,00;0,00;81,70;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;81,70;0;0;0;0,0000
