"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010040611
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;7,58;7,68;7,52;7,68;7,68;84130;37;639216;7,5980
03/11/2023;7,48;7,58;7,48;7,58;7,58;19548;21;147682;7,5549
02/11/2023;7,76;7,76;7,50;7,50;7,50;55567;45;422798;7,6088
01/11/2023;7,38;7,66;7,38;7,40;7,40;18337;25;138072;7,5297
31/10/2023;7,22;7,50;7,22;7,42;7,42;273217;49;1995692;7,3044
30/10/2023;7,50;7,50;7,24;7,26;7,26;77662;36;567360;7,3055
27/10/2023;7,36;7,56;7,32;7,40;7,40;73939;51;548243;7,4148
26/10/2023;7,50;7,50;7,30;7,34;7,34;81672;51;598986;7,3340
25/10/2023;7,42;7,62;7,42;7,54;7,54;16265;23;123293;7,5802
24/10/2023;7,50;7,50;7,44;7,44;7,44;12501;13;93630;7,4898
23/10/2023;7,34;7,60;7,34;7,48;7,48;56331;41;418834;7,4352
20/10/2023;7,52;7,66;7,40;7,52;7,52;50209;58;377140;7,5114
19/10/2023;7,66;7,80;7,50;7,50;7,50;64167;42;488270;7,6094
18/10/2023;7,92;7,92;7,60;7,66;7,66;88957;72;684753;7,6976
17/10/2023;7,66;7,80;7,66;7,76;7,76;19907;25;154507;7,7614
16/10/2023;7,90;7,90;7,76;7,76;7,76;37507;31;292564;7,8003
13/10/2023;7,72;7,80;7,72;7,78;7,78;17670;13;137462;7,7794
12/10/2023;7,80;7,86;7,72;7,80;7,80;72167;36;563800;7,8124
11/10/2023;7,80;7,80;7,74;7,74;7,74;42452;42;328951;7,7488
10/10/2023;7,74;7,76;7,64;7,66;7,66;41634;38;320747;7,7040
09/10/2023;7,70;7,78;7,70;7,76;7,76;21320;26;165780;7,7758
06/10/2023;7,86;7,86;7,58;7,60;7,60;26838;36;206712;7,7022
05/10/2023;7,60;7,88;7,58;7,88;7,88;28207;23;215865;7,6529
04/10/2023;7,76;7,76;7,52;7,52;7,52;27600;25;212591;7,7026
03/10/2023;7,74;7,92;7,72;7,72;7,72;20567;31;160306;7,7943
02/10/2023;7,72;7,90;7,72;7,80;7,80;23452;30;183258;7,8142
29/09/2023;7,84;7,88;7,76;7,84;7,84;33091;39;259185;7,8325
28/09/2023;7,94;7,94;7,78;7,82;7,82;112341;105;880685;7,8394
27/09/2023;8,00;8,00;7,86;7,94;7,94;25376;42;201559;7,9429
26/09/2023;7,78;7,98;7,70;7,88;7,88;19919;38;156029;7,8332
25/09/2023;7,94;8,00;7,80;7,88;7,88;81231;64;635907;7,8284
22/09/2023;7,96;8,20;7,84;7,94;7,94;115052;126;909340;7,9037
21/09/2023;8,20;8,20;7,94;7,96;7,96;69645;52;558293;8,0163
20/09/2023;8,06;8,28;8,06;8,24;8,24;18261;40;150069;8,2180
19/09/2023;8,16;8,28;8,00;8,14;8,14;22736;14;184910;8,1329
18/09/2023;8,10;8,38;8,10;8,26;8,26;50489;34;420640;8,3313
15/09/2023;8,30;8,40;8,10;8,24;8,24;58374;46;484651;8,3025
14/09/2023;0,00;0,00;0,00;0,00;8,22;0;0;0;0,0000
13/09/2023;8,14;8,22;8,14;8,22;8,22;2385;14;19477;8,1666
12/09/2023;8,10;8,10;8,10;8,10;8,10;697;4;5646;8,1000
11/09/2023;8,26;8,26;8,08;8,12;8,12;24947;41;204242;8,1870
08/09/2023;8,10;8,28;8,10;8,18;8,18;11290;22;92750;8,2152
07/09/2023;8,20;8,50;8,14;8,14;8,14;22402;42;185241;8,2690
06/09/2023;8,50;8,50;8,26;8,26;8,26;11212;16;93298;8,3213
05/09/2023;8,60;8,60;8,22;8,26;8,26;15316;27;129219;8,4369
04/09/2023;8,30;8,30;8,06;8,12;8,12;40401;39;331057;8,1943
01/09/2023;8,16;8,28;8,14;8,28;8,28;26706;50;218536;8,1830
31/08/2023;8,14;8,16;8,02;8,14;8,14;17606;34;143157;8,1312
30/08/2023;8,46;8,46;8,14;8,14;8,14;45599;42;374331;8,2092
29/08/2023;8,50;8,78;8,28;8,28;8,28;58086;29;498543;8,5828
28/08/2023;8,20;8,36;8,10;8,10;8,10;20765;19;172472;8,3059
25/08/2023;8,22;8,34;8,14;8,14;8,14;34282;13;282477;8,2398
24/08/2023;8,30;8,52;8,28;8,52;8,52;27690;23;230560;8,3265
23/08/2023;8,26;8,28;8,26;8,28;8,28;565;3;4673;8,2710
22/08/2023;8,50;8,52;8,26;8,26;8,26;77959;17;655193;8,4043
21/08/2023;8,60;8,60;8,60;8,60;8,60;25119;13;216023;8,6000
18/08/2023;8,66;8,70;8,40;8,56;8,56;32106;28;276955;8,6263
17/08/2023;8,68;8,70;8,64;8,70;8,70;43017;32;373277;8,6774
16/08/2023;8,58;8,76;8,58;8,66;8,66;65607;38;570071;8,6892
15/08/2023;8,70;8,78;8,62;8,78;8,78;11269;12;98040;8,7000
14/08/2023;8,46;9,14;8,46;8,70;8,70;140984;81;1235959;8,7667
11/08/2023;9,06;9,06;8,38;8,38;8,38;57339;37;516982;9,0162
10/08/2023;9,10;9,24;9,06;9,06;9,06;35333;20;324954;9,1969
09/08/2023;9,04;9,10;9,04;9,06;9,06;14607;16;132385;9,0631
08/08/2023;9,16;9,30;9,16;9,20;9,20;93875;42;871121;9,2796
07/08/2023;9,12;9,32;9,12;9,12;9,12;59500;33;551640;9,2713
04/08/2023;9,08;9,48;9,08;9,18;9,18;92272;47;864025;9,3639
03/08/2023;9,40;9,40;9,26;9,26;9,26;67980;43;636367;9,3611
02/08/2023;9,20;9,28;9,18;9,24;9,24;94953;42;875566;9,2211
01/08/2023;9,32;9,32;9,22;9,22;9,22;105037;31;975370;9,2860
31/07/2023;9,34;9,48;9,20;9,20;9,20;93870;30;876525;9,3376
28/07/2023;9,30;9,42;9,26;9,38;9,38;101391;34;945153;9,3219
27/07/2023;9,36;9,36;9,24;9,26;9,26;91122;48;851622;9,3459
26/07/2023;9,30;9,30;8,90;9,04;9,04;104557;51;965961;9,2386
25/07/2023;9,40;9,40;9,12;9,18;9,18;83296;20;780768;9,3734
24/07/2023;9,30;9,42;9,22;9,32;9,32;123749;63;1158046;9,3580
21/07/2023;9,30;9,34;9,28;9,28;9,28;26256;22;244419;9,3091
20/07/2023;8,50;9,40;8,50;9,36;9,36;164683;79;1519436;9,2264
19/07/2023;8,24;8,94;8,24;8,84;8,84;271298;77;2402119;8,8542
18/07/2023;8,72;8,84;8,72;8,84;8,84;108068;24;950326;8,7938
17/07/2023;8,42;8,88;8,42;8,70;8,70;211968;61;1851390;8,7343
14/07/2023;8,88;8,88;8,60;8,60;8,60;260996;50;2273369;8,7104
13/07/2023;8,66;8,82;8,66;8,78;8,78;146675;32;1281279;8,7355
12/07/2023;8,98;8,98;8,64;8,66;8,66;223424;60;1957081;8,7595
11/07/2023;8,56;8,78;8,44;8,78;8,78;198320;85;1711813;8,6316
10/07/2023;8,30;8,50;8,16;8,46;8,46;1298733;100;10901967;8,3943
07/07/2023;8,30;8,30;8,16;8,18;8,18;203141;45;1662238;8,1827
06/07/2023;8,48;8,48;8,16;8,24;8,24;223175;78;1838130;8,2363
05/07/2023;8,58;8,60;8,08;8,22;8,22;1857885;99;15285865;8,2276
