"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010564701
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;31,80;32,88;31,64;31,88;31,88;794312;821;25520760;32,1294
03/11/2023;31,32;32,00;31,16;31,22;31,22;938671;789;29432990;31,3560
02/11/2023;31,04;31,36;30,82;31,14;31,14;457300;444;14207846;31,0690
01/11/2023;30,90;31,12;30,46;30,94;30,94;340056;479;10459169;30,7572
31/10/2023;30,20;31,20;30,00;30,92;30,92;562638;647;17317475;30,7791
30/10/2023;29,90;30,84;29,72;30,20;30,20;421246;541;12726741;30,2121
27/10/2023;29,00;30,14;29,00;29,86;29,86;419334;509;12491060;29,7879
26/10/2023;29,00;29,06;28,60;28,74;28,74;333097;433;9612942;28,8593
25/10/2023;29,70;29,70;28,88;28,90;28,90;608590;619;17685433;29,0597
24/10/2023;30,00;30,00;29,16;29,64;29,64;321256;479;9479703;29,5083
23/10/2023;30,60;30,80;29,26;29,44;29,44;622928;579;18637938;29,9199
20/10/2023;31,00;31,20;30,32;30,90;30,90;688730;533;21302541;30,9302
19/10/2023;31,20;31,20;30,38;30,60;30,60;368875;380;11305566;30,6488
18/10/2023;30,70;31,38;30,70;31,14;31,14;983953;923;30542860;31,0410
17/10/2023;30,60;30,60;30,10;30,56;30,56;419626;575;12743264;30,3681
16/10/2023;30,38;30,76;30,08;30,38;30,38;486157;566;14833542;30,5118
13/10/2023;29,84;30,46;29,50;30,36;30,36;1071146;528;32035260;29,9075
12/10/2023;30,50;30,50;28,96;29,56;29,56;508199;510;14960345;29,4380
11/10/2023;29,36;29,90;29,08;29,08;29,08;607194;508;17808957;29,3299
10/10/2023;29,50;29,90;29,06;29,62;29,62;520920;675;15378838;29,5225
09/10/2023;29,30;29,82;29,04;29,82;29,82;616869;793;18180375;29,4720
06/10/2023;28,68;29,16;28,56;28,96;28,96;381013;452;11014454;28,9083
05/10/2023;30,00;30,00;28,40;28,78;28,78;666665;990;19159244;28,7389
04/10/2023;30,60;30,60;29,22;29,22;29,22;366260;529;10874161;29,6897
