"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010397581
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;52,00;53,10;51,80;52,50;52,50;249588;90;13061887;52,3338
03/11/2023;51,90;52,00;51,30;51,40;51,40;29338;87;1514452;51,6208
02/11/2023;51,00;51,60;51,00;51,10;51,10;10026;58;513594;51,2262
01/11/2023;51,90;52,00;50,80;51,00;51,00;6909;47;354816;51,3556
31/10/2023;50,40;52,00;50,40;52,00;52,00;9450;60;489379;51,7861
30/10/2023;50,00;51,40;50,00;51,40;51,40;43367;138;2203034;50,7998
27/10/2023;51,40;51,40;50,50;50,60;50,60;10791;76;550238;50,9904
26/10/2023;52,00;52,00;50,00;50,90;50,90;38587;164;1957394;50,7268
25/10/2023;51,60;52,50;50,60;50,60;50,60;68278;193;3493009;51,1586
24/10/2023;52,00;52,30;51,30;51,50;51,50;36498;94;1895593;51,9369
23/10/2023;53,60;53,60;51,80;52,00;52,00;50803;128;2666646;52,4899
20/10/2023;53,20;53,60;53,20;53,60;53,60;5592;29;297897;53,2720
19/10/2023;53,20;54,00;53,20;53,90;53,90;16416;83;878092;53,4900
18/10/2023;54,00;54,00;53,90;54,00;54,00;6487;42;350035;53,9595
17/10/2023;53,80;54,10;53,80;53,80;53,80;28406;80;1532514;53,9504
16/10/2023;54,40;54,40;53,30;53,80;53,80;20458;84;1102518;53,8918
13/10/2023;53,90;54,30;53,50;53,50;53,50;11394;61;613023;53,8023
12/10/2023;52,80;54,00;52,80;54,00;54,00;25728;126;1384692;53,8204
11/10/2023;53,00;53,50;52,40;53,20;53,20;22878;75;1206419;52,7327
10/10/2023;53,00;53,40;52,40;53,30;53,30;10721;36;568387;53,0162
09/10/2023;53,50;53,50;52,80;53,30;53,30;8842;53;469406;53,0882
06/10/2023;53,90;54,40;53,20;53,50;53,50;36393;113;1958872;53,8255
05/10/2023;52,30;53,50;52,30;53,40;53,40;32655;98;1731364;53,0199
04/10/2023;54,50;54,50;52,80;52,80;52,80;21920;93;1167004;53,2392
03/10/2023;54,50;54,50;53,70;54,10;54,10;19054;87;1029199;54,0148
02/10/2023;53,10;53,80;53,10;53,50;53,50;22208;109;1191101;53,6338
29/09/2023;55,00;55,00;53,40;53,80;53,80;25932;68;1403846;54,1357
28/09/2023;55,20;55,20;53,60;53,70;53,70;14841;84;802374;54,0647
27/09/2023;55,50;55,50;55,00;55,30;55,30;17541;85;969467;55,2686
26/09/2023;55,30;55,30;54,00;55,20;55,20;47751;91;2600716;54,4641
25/09/2023;55,30;55,50;54,50;54,80;54,80;24874;93;1369857;55,0719
22/09/2023;56,50;56,50;55,20;55,30;55,30;15255;68;849056;55,6575
21/09/2023;57,00;57,00;56,00;56,40;56,40;50520;105;2854754;56,5074
20/09/2023;55,40;56,50;55,20;56,50;56,50;66237;121;3712159;56,0436
19/09/2023;53,80;55,20;53,20;55,20;55,20;108561;197;5934643;54,6664
18/09/2023;54,50;54,50;53,80;53,80;53,80;15870;66;856693;53,9819
15/09/2023;54,00;54,00;53,30;53,60;53,60;10110;58;540207;53,4330
14/09/2023;54,20;54,20;53,20;53,20;53,20;17376;108;930061;53,5256
13/09/2023;53,40;54,30;52,30;54,20;54,20;169949;359;9176233;53,9940
