"Historical Data"
"From 2021-11-08 to 2023-11-07"
CY0102630916
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;4,24;4,24;4,12;4,12;4,12;143;2;605;4,2283
03/11/2023;4,35;4,39;4,24;4,30;4,30;7083;9;31040;4,3824
02/11/2023;4,26;4,26;4,24;4,24;4,24;1605;7;6822;4,2502
01/11/2023;4,12;4,26;4,12;4,26;4,26;1936;4;8116;4,1923
31/10/2023;4,17;4,39;4,17;4,39;4,39;936;3;4108;4,3888
30/10/2023;4,37;4,39;4,13;4,39;4,39;3697;8;16107;4,3569
27/10/2023;4,18;4,39;4,18;4,39;4,39;589;3;2470;4,1933
26/10/2023;4,18;4,25;4,12;4,16;4,16;10527;7;44336;4,2117
25/10/2023;4,22;4,30;4,20;4,20;4,20;15502;7;65521;4,2266
24/10/2023;4,16;4,30;4,16;4,30;4,30;192;2;800;4,1688
23/10/2023;4,55;4,69;4,20;4,20;4,20;14494;6;62832;4,3350
20/10/2023;4,35;4,58;4,26;4,56;4,56;15194;13;66487;4,3759
19/10/2023;4,18;4,35;4,15;4,35;4,35;10933;5;45378;4,1506
18/10/2023;4,58;4,58;4,25;4,42;4,42;2780;15;12481;4,4894
17/10/2023;4,16;4,57;4,16;4,57;4,57;113;3;475;4,2048
16/10/2023;4,30;4,30;4,23;4,30;4,30;3880;6;16681;4,2992
13/10/2023;4,52;4,67;4,33;4,33;4,33;16173;8;72484;4,4818
12/10/2023;4,61;4,65;4,40;4,41;4,41;13142;12;59063;4,4943
11/10/2023;4,26;4,67;4,26;4,48;4,48;5949;10;27050;4,5470
10/10/2023;4,65;4,65;4,31;4,59;4,59;15253;11;69774;4,5745
09/10/2023;4,33;4,70;4,33;4,60;4,60;33534;24;151981;4,5321
06/10/2023;4,78;4,78;4,31;4,38;4,38;33000;36;147905;4,4820
05/10/2023;4,00;4,29;4,00;4,22;4,22;2316;7;9780;4,2229
04/10/2023;4,42;4,43;4,07;4,17;4,17;25463;10;107077;4,2052
03/10/2023;4,40;4,40;4,36;4,36;4,36;4480;5;19640;4,3840
02/10/2023;4,56;4,59;4,27;4,40;4,40;30746;15;135469;4,4061
29/09/2023;4,50;4,78;4,37;4,58;4,58;65013;29;298449;4,5906
28/09/2023;4,76;4,99;4,70;4,70;4,70;10030;13;48623;4,8478
27/09/2023;5,00;5,00;4,75;4,76;4,76;36102;37;178521;4,9449
26/09/2023;4,13;4,94;4,13;4,79;4,79;97777;70;449989;4,6022
25/09/2023;4,29;4,54;4,11;4,11;4,11;2425;12;10375;4,2784
22/09/2023;4,50;4,61;4,20;4,29;4,29;52743;31;235455;4,4642
21/09/2023;4,82;4,82;4,34;4,66;4,66;25546;20;114955;4,4999
20/09/2023;4,80;5,00;4,70;4,82;4,82;89520;55;433123;4,8383
19/09/2023;4,28;4,79;4,27;4,77;4,77;159976;92;725587;4,5356
18/09/2023;4,28;4,28;4,08;4,28;4,28;100610;29;422285;4,1973
15/09/2023;4,13;4,13;4,10;4,10;4,10;27008;6;110937;4,1076
14/09/2023;4,15;4,15;4,06;4,09;4,09;18554;18;75880;4,0897
13/09/2023;4,10;4,10;4,06;4,08;4,08;22373;13;91009;4,0678
12/09/2023;4,10;4,15;4,02;4,15;4,15;41071;17;168686;4,1072
11/09/2023;4,15;4,20;4,03;4,10;4,10;26033;15;107311;4,1221
08/09/2023;4,00;4,16;4,00;4,15;4,15;14777;12;60606;4,1014
07/09/2023;3,94;4,19;3,94;4,08;4,08;5941;9;24346;4,0980
06/09/2023;4,10;4,11;4,10;4,11;4,11;1491;4;6128;4,1099
05/09/2023;4,30;4,30;4,18;4,18;4,18;6500;9;27553;4,2389
04/09/2023;4,27;4,47;4,25;4,36;4,36;81443;32;350996;4,3097
01/09/2023;4,06;4,10;3,88;4,10;4,10;41992;23;170267;4,0548
31/08/2023;3,95;4,20;3,95;3,98;3,98;8550;7;34157;3,9949
30/08/2023;4,27;4,27;4,08;4,10;4,10;5840;4;23914;4,0948
29/08/2023;4,00;4,27;3,92;4,27;4,27;1141;8;4577;4,0112
28/08/2023;4,10;4,10;3,88;4,00;4,00;8878;6;35407;3,9881
25/08/2023;3,96;3,96;3,96;3,96;3,96;16;1;63;3,9600
24/08/2023;3,97;4,09;3,94;4,09;4,09;4425;6;17772;4,0162
23/08/2023;3,92;4,23;3,92;3,97;3,97;3399;8;14311;4,2105
22/08/2023;3,96;4,00;3,96;4,00;4,00;4303;5;17124;3,9796
21/08/2023;0,00;0,00;0,00;0,00;4,10;0;0;0;0,0000
18/08/2023;4,17;4,17;4,02;4,10;4,10;7550;3;31264;4,1409
17/08/2023;4,12;4,28;4,11;4,16;4,16;44182;12;185057;4,1885
16/08/2023;4,25;4,28;3,98;4,10;4,10;26078;14;106352;4,0782
15/08/2023;4,14;4,25;4,14;4,25;4,25;36600;14;153151;4,1845
14/08/2023;4,00;4,18;4,00;4,06;4,06;38688;26;158623;4,1000
11/08/2023;3,80;4,00;3,80;3,88;3,88;28547;16;113608;3,9797
10/08/2023;4,09;4,09;3,85;3,86;3,86;6349;11;25139;3,9596
09/08/2023;3,90;4,10;3,90;4,10;4,10;5015;7;19788;3,9458
08/08/2023;3,89;3,89;3,80;3,80;3,80;22516;9;86622;3,8471
07/08/2023;4,05;4,05;3,99;3,99;3,99;1440;7;5770;4,0067
04/08/2023;3,90;3,98;3,71;3,98;3,98;18961;18;72622;3,8301
03/08/2023;3,67;3,97;3,67;3,96;3,96;19883;13;77488;3,8972
02/08/2023;3,70;3,70;3,70;3,70;3,70;320;4;1184;3,7000
01/08/2023;0,00;0,00;0,00;0,00;3,70;0;0;0;0,0000
31/07/2023;3,72;3,72;3,70;3,70;3,70;180;3;668;3,7100
28/07/2023;0,00;0,00;0,00;0,00;3,64;0;0;0;0,0000
