"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010199151
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;10,12;10,255;9,986;9,986;9,986;10152313;12709;102996564;10,1451
03/11/2023;10,29;10,445;10,055;10,095;10,095;10545977;3379;108033846;10,2441
02/11/2023;10,08;10,20;9,998;10,20;10,20;18523043;3355;187415541;10,1180
01/11/2023;10,09;10,24;10,045;10,185;10,185;11633235;3170;118217008;10,1620
31/10/2023;10,02;10,135;9,914;10,09;10,09;10351462;2383;104150692;10,0614
30/10/2023;9,866;10,19;9,828;10,045;10,045;17159303;3930;172279304;10,0400
27/10/2023;9,45;9,988;9,446;9,71;9,71;24614338;6102;239592059;9,7338
26/10/2023;9,168;9,55;9,08;9,34;9,34;25721713;6341;240389350;9,3458
25/10/2023;9,132;9,222;8,946;8,946;8,946;7337282;1934;66454142;9,0571
24/10/2023;8,88;9,176;8,88;9,102;9,102;7341477;2154;66858897;9,1070
23/10/2023;8,952;9,12;8,70;8,904;8,904;8234492;2064;73362219;8,9091
20/10/2023;9,15;9,15;8,936;8,958;8,958;11130695;3253;100326266;9,0135
19/10/2023;9,204;9,23;9,05;9,128;9,128;8683586;1950;75705313;8,7182
18/10/2023;9,35;9,382;9,092;9,29;9,29;9506909;2160;87878289;9,2436
17/10/2023;9,264;9,43;9,126;9,36;9,36;9245847;2287;85802976;9,2802
16/10/2023;9,50;9,558;9,234;9,242;9,242;12893152;2774;120576694;9,3520
13/10/2023;9,264;9,564;9,21;9,404;9,404;16015331;4552;151625807;9,4675
12/10/2023;9,10;9,492;8,90;9,348;9,348;16256168;3776;151812216;9,3387
11/10/2023;9,02;9,14;8,804;9,136;9,136;20875069;6239;187693815;8,9913
10/10/2023;8,90;9,22;8,738;9,022;9,022;31289805;6963;282358917;9,0240
09/10/2023;9,218;9,65;9,15;9,50;9,50;27614312;7415;260642115;9,4387
06/10/2023;8,668;8,906;8,588;8,74;8,74;11339698;2670;99398065;8,7655
05/10/2023;8,928;9,014;8,544;8,72;8,72;21871215;7388;191569382;8,7590
04/10/2023;9,21;9,346;9,156;9,158;9,158;9196971;2124;84862727;9,2272
03/10/2023;9,314;9,43;9,206;9,26;9,26;16024284;4601;149033704;9,3005
02/10/2023;9,492;9,688;9,47;9,478;9,478;14542052;3396;139128850;9,5673
29/09/2023;9,416;9,656;9,33;9,37;9,37;16342773;4244;155145241;9,4932
28/09/2023;9,328;9,56;9,206;9,384;9,384;22118430;8533;206913421;9,3548
27/09/2023;9,36;9,44;9,18;9,184;9,184;13041608;2933;121032028;9,2805
26/09/2023;9,00;9,40;8,90;9,31;9,31;21532219;5175;196804701;9,1400
25/09/2023;9,38;9,39;9,06;9,13;9,13;18387843;4714;169113095;9,1970
22/09/2023;9,45;9,544;9,28;9,394;9,394;15614977;4552;147117268;9,4215
21/09/2023;9,802;9,848;9,45;9,52;9,52;25295378;6304;242319147;9,5796
20/09/2023;9,82;10,075;9,752;9,97;9,97;30575692;6194;302553814;9,8952
19/09/2023;9,78;10,175;9,73;9,90;9,90;38871230;9474;386118517;9,9333
18/09/2023;9,48;10,24;8,92;10,10;10,10;98446723;23655;956631924;9,7173
15/09/2023;8,472;8,66;8,208;8,344;8,344;28710840;4510;240253697;8,3680
14/09/2023;8,172;8,424;8,06;8,42;8,42;13650685;3251;113440115;8,3102
13/09/2023;8,174;8,338;8,136;8,192;8,192;11555975;2517;95126124;8,2318
12/09/2023;7,942;8,268;7,812;8,174;8,174;12977967;3318;104989980;8,0899
11/09/2023;8,00;8,12;7,874;7,922;7,922;10935819;2131;87343981;7,9870
08/09/2023;7,75;7,94;7,71;7,892;7,892;8348950;1850;65580785;7,8550
07/09/2023;7,588;7,89;7,40;7,83;7,83;14546664;3116;111424740;7,6598
06/09/2023;7,668;7,754;7,534;7,628;7,628;11062235;2376;84758583;7,6620
05/09/2023;7,646;7,90;7,50;7,686;7,686;14524066;3025;111694310;7,6903
04/09/2023;7,91;7,994;7,636;7,664;7,664;21153324;3692;164309731;7,7676
01/09/2023;7,42;7,96;7,40;7,892;7,892;18058394;3930;139891564;7,7466
31/08/2023;7,398;7,466;7,29;7,356;7,356;9093247;2190;66957600;7,3634
30/08/2023;7,55;7,65;7,356;7,40;7,40;13134389;2609;98552666;7,5034
29/08/2023;7,274;7,48;7,076;7,37;7,37;18534027;3671;135628616;7,3178
28/08/2023;7,744;7,808;7,13;7,286;7,286;23062399;4409;171109277;7,4194
25/08/2023;7,73;7,962;7,682;7,728;7,728;10620857;2377;83121479;7,8263
24/08/2023;8,05;8,12;7,75;7,79;7,79;14171717;3197;112210141;7,9179
23/08/2023;7,88;8,002;7,60;7,798;7,798;15974993;3747;124551814;7,7967
22/08/2023;7,97;8,074;7,72;7,928;7,928;16220481;3951;128247576;7,9065
21/08/2023;8,146;8,242;8,036;8,036;8,036;12080627;3056;98331871;8,1396
18/08/2023;8,598;8,598;7,986;8,09;8,09;26307354;6019;216234379;8,2195
17/08/2023;8,42;8,612;8,14;8,542;8,542;22485926;4285;189381607;8,4222
16/08/2023;8,01;8,548;7,96;8,50;8,50;20432479;4114;170959778;8,3671
15/08/2023;8,40;8,45;8,042;8,142;8,142;26035508;4810;213942199;8,2173
14/08/2023;7,88;8,42;7,84;8,284;8,284;21899062;5238;180053458;8,2220
11/08/2023;7,664;8,04;7,614;7,986;7,986;18525746;3606;146479601;7,9068
10/08/2023;7,57;7,756;7,474;7,756;7,756;15633452;3332;119322269;7,6325
09/08/2023;7,448;7,584;7,42;7,488;7,488;10294499;2309;77360539;7,5147
08/08/2023;7,26;7,47;7,158;7,426;7,426;13896929;3502;101372015;7,2946
07/08/2023;7,55;7,70;7,268;7,30;7,30;19293906;3770;143290237;7,4267
04/08/2023;7,402;7,622;7,388;7,598;7,598;19570230;3898;147133535;7,5182
03/08/2023;6,94;7,20;6,896;7,18;7,18;11840445;2058;83764144;7,0744
02/08/2023;7,02;7,096;6,916;7,01;7,01;11013684;2069;77400040;7,0276
01/08/2023;7,196;7,296;7,116;7,116;7,116;12009627;2579;86440124;7,1976
31/07/2023;6,856;7,176;6,856;7,11;7,11;13599475;2609;95805441;7,0448
28/07/2023;6,88;6,95;6,70;6,822;6,822;18971084;3736;129339330;6,8177
27/07/2023;7,28;7,30;7,008;7,016;7,016;12756937;2917;90955812;7,1299
26/07/2023;7,242;7,45;7,156;7,204;7,204;19400127;3827;141326884;7,2848
25/07/2023;7,27;7,366;7,154;7,29;7,29;19079441;3705;138441121;7,2560
24/07/2023;6,926;7,21;6,80;7,17;7,17;17068794;3133;119936387;7,0266
21/07/2023;7,038;7,24;6,782;6,91;6,91;36344735;6717;253366007;6,9712
20/07/2023;6,14;7,268;6,06;7,11;7,11;65025862;11880;436929851;6,7193
19/07/2023;5,80;5,80;5,58;5,584;5,584;13417460;2736;76063175;5,6690
18/07/2023;5,718;5,798;5,67;5,798;5,798;7949478;1590;45659372;5,7437
17/07/2023;5,79;5,87;5,668;5,702;5,702;11000296;2684;63288788;5,7534
14/07/2023;6,038;6,07;5,784;5,85;5,85;11682241;2178;69098258;5,9148
13/07/2023;6,14;6,19;5,91;6,028;6,028;19316409;3360;116436809;6,0279
12/07/2023;5,73;6,192;5,634;6,166;6,166;33435437;5845;198587362;5,9394
11/07/2023;5,20;5,77;5,122;5,47;5,47;52172239;7302;285104383;5,4647
10/07/2023;5,988;6,094;5,364;5,774;5,774;33460404;6499;190509555;5,6936
07/07/2023;6,172;6,33;6,132;6,29;6,29;13425033;2751;83635018;6,2298
06/07/2023;6,35;6,35;5,94;6,012;6,012;14655339;3186;90079369;6,1465
05/07/2023;6,38;6,524;6,34;6,354;6,354;15209310;2824;97672509;6,4219
04/07/2023;6,394;6,504;6,12;6,366;6,366;14260146;2936;90189394;6,3246
03/07/2023;6,276;6,514;6,264;6,388;6,388;23201015;5501;148729872;6,4105
30/06/2023;5,88;6,018;5,846;5,958;5,958;22544594;4827;133711387;5,9310
29/06/2023;5,39;5,78;5,31;5,744;5,744;20485390;3901;114792501;5,6036
28/06/2023;5,50;5,60;5,276;5,31;5,31;16387515;3758;88993020;5,4305
27/06/2023;5,222;5,62;5,10;5,51;5,51;22795158;3858;121867213;5,3462
26/06/2023;5,098;5,188;4,95;5,106;5,106;13581234;2771;68677199;5,0568
23/06/2023;5,412;5,446;4,986;5,016;5,016;19426901;4239;100182223;5,1569
22/06/2023;5,36;5,538;5,348;5,504;5,504;12611852;2667;68531017;5,4339
21/06/2023;5,74;5,766;5,264;5,40;5,40;25469048;5341;138145642;5,4241
20/06/2023;5,464;5,82;5,43;5,678;5,678;12751420;2664;72467780;5,6831
19/06/2023;5,632;5,678;5,428;5,54;5,54;14924528;2889;85283787;5,7143
16/06/2023;5,74;5,932;5,562;5,562;5,562;27025677;5113;156053509;5,7743
15/06/2023;5,73;5,908;5,57;5,662;5,662;17077377;3719;97602899;5,7153
14/06/2023;6,00;6,00;5,68;5,69;5,69;24753156;4857;142812603;5,7695
13/06/2023;6,00;6,17;5,874;6,038;6,038;21315532;4471;128435723;6,0255
12/06/2023;6,50;6,52;5,85;5,85;5,85;40781024;9443;249003350;6,1059
09/06/2023;7,128;7,158;6,854;6,966;6,966;16327920;3707;114390751;7,0058
08/06/2023;7,20;7,38;7,15;7,204;7,204;9358224;2105;67792193;7,2441
07/06/2023;7,10;7,242;7,05;7,19;7,19;9650710;1981;68917823;7,1412
06/06/2023;7,10;7,232;6,992;7,08;7,08;10736504;2803;76346418;7,1109
05/06/2023;7,70;7,78;7,186;7,23;7,23;12525854;3168;93740522;7,4838
02/06/2023;7,46;7,72;7,45;7,508;7,508;18299410;2673;138137998;7,5488
01/06/2023;7,148;7,43;7,148;7,32;7,32;12078974;2513;88373820;7,3163
31/05/2023;7,08;7,192;6,894;7,042;7,042;10327929;2257;72508168;7,0206
