"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010395577
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;41,50;43,00;40,80;41,50;41,50;93851;135;3888920;41,4372
03/11/2023;40,00;42,50;40,00;40,80;40,80;25946;64;1064714;41,0358
02/11/2023;39,80;43,00;38,40;39,50;39,50;37732;87;1499971;39,7533
01/11/2023;38,00;40,00;37,20;38,80;38,80;10075;29;388293;38,5402
31/10/2023;40,00;41,00;39,00;39,00;39,00;12462;35;493805;39,6248
30/10/2023;39,70;41,50;38,50;39,50;39,50;21050;45;840506;39,9290
27/10/2023;40,00;42,00;38,50;39,00;39,00;47065;77;1880929;39,9645
26/10/2023;39,30;40,00;38,10;38,60;38,60;17320;36;680932;39,3148
25/10/2023;43,00;43,50;39,20;39,30;39,30;15526;43;635550;40,9345
24/10/2023;40,00;42,00;40,00;42,00;42,00;15360;19;639516;41,6352
23/10/2023;42,00;42,00;40,00;40,00;40,00;30564;53;1232122;40,3129
20/10/2023;41,00;41,90;41,00;41,00;41,00;55501;60;2281783;41,1125
19/10/2023;40,40;41,30;40,20;40,20;40,20;19320;31;787488;40,7603
18/10/2023;43,90;43,90;41,50;41,50;41,50;33280;59;1409796;42,3617
17/10/2023;45,00;45,00;42,50;43,00;43,00;52678;114;2314290;43,9328
16/10/2023;42,00;46,50;42,00;46,00;46,00;112839;145;5070401;44,9348
13/10/2023;44,00;44,00;42,40;43,80;43,80;13592;34;582173;42,8321
12/10/2023;43,60;44,50;43,00;43,00;43,00;62973;88;2769797;43,9839
11/10/2023;43,00;47,00;42,70;43,00;43,00;147421;199;6479962;43,9555
10/10/2023;45,00;45,00;39,00;43,50;43,50;81370;195;3513109;43,1745
09/10/2023;31,10;32,00;31,10;32,00;32,00;2196;6;68309;31,1059
06/10/2023;32,10;32,90;32,00;32,90;32,90;2849;4;91998;32,2913
05/10/2023;31,00;32,80;30,10;31,70;31,70;2576;8;79327;30,7945
04/10/2023;32,20;32,30;31,40;31,40;31,40;2450;5;78373;31,9890
03/10/2023;33,30;33,70;32,20;32,20;32,20;2590;7;86215;33,2878
02/10/2023;30,30;33,40;30,30;33,00;33,00;1729;12;56069;32,4286
29/09/2023;33,50;33,50;33,40;33,40;33,40;210;3;7018;33,4190
28/09/2023;31,70;33,50;31,00;33,50;33,50;4059;13;127956;31,5239
27/09/2023;30,80;31,70;30,60;31,70;31,70;3834;11;118972;31,0309
26/09/2023;33,50;33,50;31,00;31,00;31,00;220;3;7050;32,0455
25/09/2023;34,00;34,00;34,00;34,00;34,00;147;2;4998;34,0000
22/09/2023;32,90;34,00;30,00;34,00;34,00;2333;13;72204;30,9492
21/09/2023;32,90;32,90;32,90;32,90;32,90;300;1;9870;32,9000
20/09/2023;31,90;32,90;31,80;32,90;32,90;13108;18;419299;31,9880
19/09/2023;31,00;31,90;31,00;31,80;31,80;6413;12;203544;31,7392
18/09/2023;31,00;32,00;31,00;31,40;31,40;5374;16;168472;31,3494
15/09/2023;30,60;31,30;30,00;31,00;31,00;6214;13;191441;30,8080
14/09/2023;30,00;30,50;30,00;30,50;30,50;801;4;24430;30,4994
13/09/2023;31,00;31,00;30,00;30,50;30,50;2691;6;81321;30,2196
12/09/2023;31,60;31,60;30,00;30,80;30,80;5723;18;175929;30,7406
11/09/2023;32,90;32,90;30,00;30,00;30,00;976;9;30069;30,8086
08/09/2023;28,50;29,60;28,10;29,60;29,60;4718;17;136528;28,9377
07/09/2023;28,00;29,90;28,00;29,90;29,90;4750;21;137875;29,0263
06/09/2023;28,10;29,10;28,10;29,10;29,10;948;10;26773;28,2412
05/09/2023;29,10;29,10;28,00;28,20;28,20;3521;13;99481;28,2537
04/09/2023;28,90;29,20;28,20;29,00;29,00;5694;12;162059;28,4613
01/09/2023;29,50;29,50;28,20;29,40;29,40;9921;17;287694;28,9984
31/08/2023;28,00;29,90;28,00;29,90;29,90;2584;22;75554;29,2391
30/08/2023;28,50;28,50;28,10;28,50;28,50;7729;14;218730;28,2998
29/08/2023;30,00;30,00;28,00;28,00;28,00;5040;12;148298;29,4243
28/08/2023;29,10;30,50;29,10;30,20;30,20;3422;8;103809;30,3357
25/08/2023;28,50;30,00;28,50;30,00;30,00;1244;10;36697;29,4990
24/08/2023;29,10;30,40;29,10;30,40;30,40;929;5;28223;30,3804
23/08/2023;31,00;31,00;29,00;30,50;30,50;3932;16;115994;29,4999
22/08/2023;29,90;31,00;29,80;31,00;31,00;2717;6;81294;29,9203
21/08/2023;29,90;29,90;29,70;29,90;29,90;1937;8;57667;29,7712
18/08/2023;31,30;31,30;29,90;29,90;29,90;568;8;17235;30,3430
17/08/2023;32,00;32,00;30,00;31,40;31,40;3407;14;104133;30,5645
16/08/2023;30,00;30,30;30,00;30,30;30,30;5179;11;155441;30,0137
15/08/2023;29,80;31,90;29,80;31,90;31,90;3522;6;105649;29,9968
14/08/2023;29,60;30,00;29,60;29,90;29,90;5648;9;168693;29,8678
11/08/2023;29,00;29,80;29,00;29,60;29,60;3010;11;89120;29,6079
