"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010735681
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;89,00;89,00;88,00;89,00;89,00;833;8;73972;88,8017
03/11/2023;88,60;88,60;88,60;88,60;88,60;3502;12;310277;88,6000
02/11/2023;88,00;88,20;87,60;87,80;87,80;3506;18;307832;87,8015
01/11/2023;89,00;89,00;87,00;87,00;87,00;10212;37;896476;87,7866
31/10/2023;87,80;89,00;87,80;87,80;87,80;6018;17;532030;88,4064
30/10/2023;89,00;89,00;87,80;87,80;87,80;5496;16;482809;87,8473
27/10/2023;88,80;89,00;87,80;88,80;88,80;5103;11;451993;88,5739
26/10/2023;88,80;88,80;87,60;88,60;88,60;892;13;78672;88,1975
25/10/2023;88,40;88,60;88,00;88,60;88,60;3572;16;315433;88,3072
24/10/2023;88,60;89,00;88,60;89,00;89,00;3140;11;278933;88,8320
23/10/2023;89,00;89,00;87,60;88,00;88,00;3425;21;302223;88,2402
20/10/2023;89,00;89,00;88,60;88,60;88,60;1698;12;150483;88,6236
19/10/2023;89,40;89,40;88,60;88,60;88,60;4108;20;364884;88,8229
18/10/2023;89,40;89,40;88,80;88,80;88,80;1087;11;96850;89,0988
17/10/2023;89,40;89,40;88,80;88,80;88,80;2306;17;205111;88,9467
16/10/2023;89,00;89,40;89,00;89,20;89,20;575;12;51290;89,1993
13/10/2023;89,40;89,40;89,00;89,00;89,00;827;13;73914;89,3758
12/10/2023;89,20;89,40;89,20;89,40;89,40;961;13;85906;89,3921
11/10/2023;88,60;89,40;88,60;88,80;88,80;309;5;27402;88,6803
10/10/2023;88,60;89,40;88,60;89,40;89,40;1014;9;89964;88,7221
09/10/2023;89,00;89,40;89,00;89,40;89,40;325;4;28935;89,0308
06/10/2023;89,00;89,40;89,00;89,00;89,00;1133;7;101030;89,1707
05/10/2023;89,00;89,40;89,00;89,40;89,40;652;7;58255;89,3479
04/10/2023;88,80;89,20;88,60;88,60;88,60;1620;12;143745;88,7314
03/10/2023;89,40;89,60;88,80;88,80;88,80;1315;10;117620;89,4447
02/10/2023;89,20;89,40;88,60;89,00;89,00;8719;30;775401;88,9323
29/09/2023;91,00;91,00;88,80;89,00;89,00;3763;30;336857;89,5183
28/09/2023;91,60;91,60;91,00;91,60;91,60;4421;24;403817;91,3407
27/09/2023;91,00;91,00;90,40;91,00;91,00;837;11;76055;90,8662
26/09/2023;91,20;91,20;90,20;90,20;90,20;1639;12;148412;90,5502
25/09/2023;90,40;91,80;90,40;91,00;91,00;7695;25;700629;91,0499
22/09/2023;89,80;90,40;89,40;90,40;90,40;1832;8;164813;89,9634
21/09/2023;89,80;89,80;89,80;89,80;89,80;1922;8;172596;89,8000
20/09/2023;89,80;89,80;89,20;89,80;89,80;2858;16;255664;89,4557
19/09/2023;90,00;90,00;89,20;89,80;89,80;1781;11;159254;89,4184
18/09/2023;89,80;90,00;89,20;90,00;90,00;1117;17;99819;89,3638
15/09/2023;90,00;90,00;89,80;89,80;89,80;249;4;22402;89,9679
14/09/2023;89,80;89,80;89,60;89,60;89,60;1429;5;128042;89,6028
13/09/2023;89,00;89,00;89,00;89,00;89,00;263;6;23407;89,0000
12/09/2023;89,20;89,80;88,80;89,80;89,80;2676;24;238307;89,0534
11/09/2023;90,00;90,00;89,00;89,20;89,20;5024;26;448937;89,3586
08/09/2023;90,00;90,20;89,00;90,00;90,00;6500;22;580792;89,3527
07/09/2023;89,80;89,80;89,80;89,80;89,80;1025;2;92045;89,8000
06/09/2023;89,80;89,80;89,40;89,80;89,80;3216;24;288277;89,6383
05/09/2023;89,80;89,80;89,20;89,20;89,20;5009;25;448862;89,6110
04/09/2023;90,00;90,00;89,80;89,80;89,80;1311;6;117734;89,8050
01/09/2023;90,00;90,00;89,20;89,40;89,40;8184;22;732653;89,5226
31/08/2023;90,20;90,20;89,40;89,40;89,40;1005;3;90647;90,1960
30/08/2023;89,80;90,00;89,20;89,20;89,20;4389;13;393097;89,5642
29/08/2023;89,80;90,00;89,00;89,80;89,80;1814;11;162226;89,4301
28/08/2023;89,80;89,80;89,20;89,80;89,80;1847;13;165580;89,6483
25/08/2023;89,80;89,80;89,00;89,00;89,00;5226;23;466341;89,2348
24/08/2023;89,80;89,80;89,80;89,80;89,80;1090;5;97882;89,8000
23/08/2023;89,40;89,80;89,40;89,80;89,80;270;2;24186;89,5778
22/08/2023;89,80;89,80;89,40;89,40;89,40;375;5;33547;89,4587
21/08/2023;89,60;89,60;89,40;89,40;89,40;1410;7;126273;89,5553
18/08/2023;90,00;90,00;89,60;89,60;89,60;2037;7;182968;89,8221
17/08/2023;89,80;90,00;89,80;89,80;89,80;1016;6;91309;89,8711
16/08/2023;89,80;90,00;89,80;90,00;90,00;3735;8;335990;89,9572
15/08/2023;90,00;90,00;89,80;90,00;90,00;2722;11;244979;89,9995
14/08/2023;90,00;90,00;90,00;90,00;90,00;8064;5;725760;90,0000
11/08/2023;90,00;90,00;89,80;89,80;89,80;1828;9;164308;89,8840
10/08/2023;89,80;90,00;89,80;89,80;89,80;4154;14;373058;89,8069
09/08/2023;90,00;90,00;89,80;89,80;89,80;140;7;12595;89,9614
08/08/2023;89,80;90,00;89,80;89,80;89,80;1364;6;122611;89,8905
07/08/2023;90,00;90,00;89,80;89,80;89,80;1484;13;133466;89,9369
04/08/2023;90,00;90,00;89,80;89,80;89,80;656;8;59034;89,9909
03/08/2023;90,00;90,00;89,80;89,80;89,80;3559;11;319667;89,8193
02/08/2023;89,80;90,00;89,80;90,00;90,00;1814;11;163227;89,9817
01/08/2023;89,80;90,00;89,80;90,00;90,00;2205;14;198346;89,9529
31/07/2023;90,00;90,00;89,80;90,00;90,00;12238;21;1101393;89,9978
28/07/2023;90,00;90,00;89,80;90,00;90,00;2348;6;211257;89,9732
27/07/2023;90,00;90,00;89,60;90,00;90,00;3151;15;282629;89,6950
26/07/2023;90,00;90,00;89,80;90,00;90,00;959;9;86302;89,9917
25/07/2023;90,00;90,00;89,80;90,00;90,00;5533;10;497940;89,9946
24/07/2023;89,80;90,00;89,60;90,00;90,00;7529;22;676774;89,8889
21/07/2023;90,00;90,00;89,80;89,80;89,80;2165;13;194706;89,9337
20/07/2023;90,80;90,80;90,00;90,00;90,00;6738;19;607167;90,1109
19/07/2023;90,00;91,00;90,00;90,20;90,20;2185;10;197973;90,6055
18/07/2023;91,80;91,80;90,00;90,20;90,20;4336;21;392006;90,4072
17/07/2023;91,80;91,80;91,20;91,20;91,20;382;8;35049;91,7513
14/07/2023;91,80;91,80;90,20;90,80;90,80;5482;8;499781;91,1677
13/07/2023;91,60;91,80;91,40;91,80;91,80;6604;18;604808;91,5821
