"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010466022
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;52,00;52,00;52,00;52,00;52,00;255;2;13260;52,0000
03/11/2023;52,00;52,00;52,00;52,00;52,00;47;1;2444;52,0000
02/11/2023;51,00;55,00;51,00;55,00;55,00;2919;11;152809;52,3498
01/11/2023;0,00;0,00;0,00;0,00;53,00;0;0;0;0,0000
31/10/2023;52,50;53,00;52,50;53,00;53,00;1000;3;52750;52,7500
30/10/2023;48,40;53,00;48,40;53,00;53,00;1681;6;89050;52,9746
27/10/2023;52,50;52,50;52,50;52,50;52,50;150;1;7875;52,5000
26/10/2023;48,80;52,50;48,80;52,50;52,50;321;5;16684;51,9751
25/10/2023;54,00;54,00;53,00;53,00;53,00;1819;5;98077;53,9181
24/10/2023;49,40;54,50;49,40;54,50;54,50;1130;8;58254;51,5518
23/10/2023;53,50;53,50;48,20;48,60;48,60;1615;10;83283;51,5683
20/10/2023;52,00;53,50;52,00;53,50;53,50;516;7;27438;53,1735
19/10/2023;54,00;54,00;52,50;52,50;52,50;5085;5;274413;53,9652
18/10/2023;54,50;56,00;54,50;56,00;56,00;3403;8;186979;54,9453
17/10/2023;53,50;53,50;53,50;53,50;53,50;24;2;1284;53,5000
16/10/2023;53,50;55,00;53,50;55,00;55,00;159;3;8730;54,9057
13/10/2023;53,50;55,00;53,50;55,00;55,00;351;3;18855;53,7179
12/10/2023;52,50;53,00;52,00;52,00;52,00;2965;5;155197;52,3428
11/10/2023;52,50;52,50;52,50;52,50;52,50;129;2;6773;52,5000
10/10/2023;53,50;53,50;52,50;52,50;52,50;1052;3;55630;52,8802
09/10/2023;52,50;53,00;52,50;53,00;53,00;4001;4;212003;52,9874
06/10/2023;52,00;52,00;52,00;52,00;52,00;1;1;52;52,0000
05/10/2023;52,00;52,00;52,00;52,00;52,00;723;1;37596;52,0000
04/10/2023;54,50;54,50;54,50;54,50;54,50;38;1;2071;54,5000
03/10/2023;50,00;54,00;50,00;54,00;54,00;21;2;1094;52,0952
02/10/2023;55,00;55,00;52,50;52,50;52,50;536;6;28322;52,8396
29/09/2023;53,50;55,00;53,50;55,00;55,00;5000;11;269664;53,9328
28/09/2023;52,00;52,00;52,00;52,00;52,00;396;3;20592;52,0000
27/09/2023;51,00;53,00;51,00;53,00;53,00;504;4;25712;51,0159
26/09/2023;52,50;53,50;52,00;53,00;53,00;16400;14;869955;53,0460
25/09/2023;51,00;51,00;51,00;51,00;51,00;200;1;10200;51,0000
22/09/2023;51,00;53,00;51,00;53,00;53,00;4122;6;214834;52,1188
21/09/2023;51,00;52,50;51,00;51,50;51,50;5494;7;284888;51,8544
20/09/2023;52,50;52,50;52,50;52,50;52,50;2497;3;131093;52,5000
19/09/2023;50,00;53,00;50,00;52,50;52,50;3618;9;188785;52,1794
18/09/2023;50,00;52,00;50,00;50,00;50,00;88;4;4414;50,1591
15/09/2023;51,00;52,00;51,00;52,00;52,00;9940;13;513446;51,6545
14/09/2023;49,20;50,50;49,20;49,80;49,80;8298;9;418441;50,4267
13/09/2023;49,20;49,20;49,20;49,20;49,20;80;5;3936;49,2000
12/09/2023;49,20;49,20;49,20;49,20;49,20;67;2;3296;49,2000
11/09/2023;49,20;49,20;49,20;49,20;49,20;2;1;98;49,2000
08/09/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
07/09/2023;50,00;50,00;48,80;50,00;50,00;739;4;36891;49,9204
06/09/2023;50,00;50,00;48,40;48,40;48,40;25;4;1237;49,4880
05/09/2023;48,80;50,00;48,80;50,00;50,00;470;4;23182;49,3234
04/09/2023;48,40;49,60;48,40;49,60;49,60;2207;5;107566;48,7387
01/09/2023;49,80;49,80;49,80;49,80;49,80;50;1;2490;49,8000
31/08/2023;49,00;49,00;49,00;49,00;49,00;599;1;29351;49,0000
30/08/2023;50,00;50,00;50,00;50,00;50,00;47;1;2350;50,0000
29/08/2023;51,00;51,50;50,00;50,00;50,00;2517;9;129001;51,2519
28/08/2023;48,20;50,50;48,20;50,50;50,50;6394;7;322583;50,4508
25/08/2023;52,00;52,00;49,40;49,40;49,40;234;5;11583;49,5000
24/08/2023;48,20;48,20;48,20;48,20;48,20;237;2;11423;48,2000
23/08/2023;50,50;51,00;49,20;49,80;49,80;14219;7;723886;50,9098
22/08/2023;50,50;52,00;49,60;52,00;52,00;1629;11;82925;50,9057
21/08/2023;49,20;51,00;49,20;51,00;51,00;618;2;30409;49,2058
18/08/2023;49,00;50,00;49,00;50,00;50,00;708;4;35192;49,7062
17/08/2023;50,00;50,50;49,20;49,20;49,20;2493;10;124595;49,9779
16/08/2023;49,00;49,00;49,00;49,00;49,00;71;1;3479;49,0000
15/08/2023;50,00;50,50;49,20;49,20;49,20;1522;5;75898;49,8670
14/08/2023;49,00;50,50;49,00;49,00;49,00;2400;11;119393;49,7471
11/08/2023;49,00;50,50;49,00;50,50;50,50;35;6;1736;49,6000
10/08/2023;49,20;49,20;49,20;49,20;49,20;795;4;39114;49,2000
09/08/2023;48,40;50,00;48,40;50,00;50,00;162;4;7865;48,5481
08/08/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
07/08/2023;50,00;50,00;50,00;50,00;50,00;200;2;10000;50,0000
04/08/2023;49,60;49,60;49,60;49,60;49,60;297;1;14731;49,6000
03/08/2023;49,00;49,00;49,00;49,00;49,00;236;2;11564;49,0000
02/08/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
01/08/2023;51,00;51,00;50,00;50,00;50,00;13;2;651;50,0769
31/07/2023;50,50;51,00;50,50;51,00;51,00;223;3;11273;50,5516
28/07/2023;50,50;50,50;50,00;50,00;50,00;208;2;10404;50,0192
27/07/2023;0,00;0,00;0,00;0,00;50,50;0;0;0;0,0000
26/07/2023;51,00;51,00;50,50;50,50;50,50;406;3;20506;50,5074
25/07/2023;49,40;49,40;49,40;49,40;49,40;250;2;12350;49,4000
24/07/2023;48,20;49,40;48,20;49,40;49,40;3192;6;154454;48,3880
21/07/2023;50,00;50,00;48,20;48,20;48,20;2737;6;132883;48,5505
20/07/2023;50,50;50,50;50,00;50,00;50,00;599;5;30001;50,0843
19/07/2023;49,00;49,00;49,00;49,00;49,00;100;2;4900;49,0000
18/07/2023;48,60;48,60;48,60;48,60;48,60;2021;3;98221;48,6000
17/07/2023;50,00;51,50;50,00;51,50;51,50;249;2;12468;50,0723
14/07/2023;48,60;51,50;48,60;51,50;51,50;46;2;2239;48,6630
13/07/2023;0,00;0,00;0,00;0,00;51,00;0;0;0;0,0000
12/07/2023;48,20;51,00;48,20;51,00;51,00;886;3;42708;48,2032
11/07/2023;49,80;49,80;48,00;48,00;48,00;1375;4;66131;48,0956
10/07/2023;50,00;50,00;50,00;50,00;50,00;13;1;650;50,0000
07/07/2023;50,00;50,00;50,00;50,00;50,00;250;1;12500;50,0000
06/07/2023;0,00;0,00;0,00;0,00;51,00;0;0;0;0,0000
05/07/2023;49,60;51,00;49,00;51,00;51,00;2990;5;148101;49,5321
04/07/2023;0,00;0,00;0,00;0,00;51,00;0;0;0;0,0000
03/07/2023;49,00;51,00;49,00;51,00;51,00;209;2;10243;49,0096
30/06/2023;0,00;0,00;0,00;0,00;49,80;0;0;0;0,0000
29/06/2023;49,80;49,80;49,00;49,80;49,80;2075;6;102735;49,5108
28/06/2023;49,60;50,00;49,60;50,00;50,00;1115;3;55746;49,9968
27/06/2023;48,80;49,60;48,80;49,60;49,60;1145;8;56384;49,2437
26/06/2023;48,40;51,00;48,40;51,00;51,00;19;3;924;48,6105
23/06/2023;0,00;0,00;0,00;0,00;51,50;0;0;0;0,0000
22/06/2023;50,00;51,50;48,20;51,50;51,50;830;4;41339;49,8061
21/06/2023;51,00;51,00;51,00;51,00;51,00;631;2;32181;51,0000
20/06/2023;50,00;52,00;50,00;52,00;52,00;2005;7;103314;51,5282
19/06/2023;48,60;51,00;48,60;51,00;51,00;425;4;20657;48,6056
16/06/2023;0,00;0,00;0,00;0,00;52,00;0;0;0;0,0000
15/06/2023;0,00;0,00;0,00;0,00;52,00;0;0;0;0,0000
14/06/2023;51,50;52,00;51,50;52,00;52,00;4060;3;209415;51,5800
13/06/2023;49,80;51,50;49,80;51,50;51,50;395;3;20006;50,6478
12/06/2023;52,00;52,50;52,00;52,50;52,50;3400;7;178300;52,4412
09/06/2023;50,50;52,00;50,50;52,00;52,00;2087;4;107892;51,6969
08/06/2023;51,00;52,50;51,00;52,50;52,50;772;5;38824;50,2895
07/06/2023;0,00;0,00;0,00;0,00;52,50;0;0;0;0,0000
06/06/2023;53,00;53,00;52,50;52,50;52,50;91;3;4823;52,9945
05/06/2023;50,00;53,00;49,60;53,00;53,00;8964;12;448961;50,0849
02/06/2023;54,50;54,50;50,00;52,00;52,00;22;3;1183;53,7727
01/06/2023;49,00;54,50;49,00;54,50;54,50;1555;6;77375;49,7591
31/05/2023;49,60;49,60;49,60;49,60;49,60;997;2;49451;49,6000
30/05/2023;49,00;49,20;48,20;49,20;49,20;3764;12;182593;48,5104
29/05/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
26/05/2023;49,00;49,00;49,00;49,00;49,00;400;1;19600;49,0000
25/05/2023;49,00;49,40;49,00;49,00;49,00;700;5;34312;49,0177
24/05/2023;49,40;49,40;49,40;49,40;49,40;3;1;148;49,4000
23/05/2023;49,20;49,40;49,00;49,40;49,40;3761;7;184973;49,1819
22/05/2023;48,80;49,00;48,40;49,00;49,00;4280;11;208101;48,6218
19/05/2023;48,80;49,00;48,40;48,40;48,40;950;7;46218;48,6505
18/05/2023;0,00;0,00;0,00;0,00;49,40;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;49,40;0;0;0;0,0000
16/05/2023;49,60;49,60;48,40;49,40;49,40;1452;8;70307;48,4205
15/05/2023;49,60;49,60;49,60;49,60;49,60;80;2;3968;49,6000
12/05/2023;48,40;49,80;48,40;49,80;49,80;1276;10;61855;48,4757
11/05/2023;0,00;0,00;0,00;0,00;49,80;0;0;0;0,0000
10/05/2023;49,80;49,80;49,80;49,80;49,80;173;1;8615;49,8000
09/05/2023;50,00;50,00;48,60;49,00;49,00;1952;3;96436;49,4035
08/05/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
05/05/2023;47,80;49,00;47,80;49,00;49,00;1181;10;57299;48,5170
04/05/2023;47,40;47,40;47,40;47,40;47,40;3;1;142;47,4000
03/05/2023;48,00;50,00;48,00;50,00;50,00;976;6;47927;49,1059
02/05/2023;49,60;50,00;49,60;50,00;50,00;1072;9;53522;49,9269
28/04/2023;50,00;50,00;50,00;50,00;50,00;1250;5;62500;50,0000
27/04/2023;50,00;50,00;50,00;50,00;50,00;50;1;2500;50,0000
26/04/2023;49,80;49,80;47,80;49,80;49,80;2059;6;101439;49,2662
25/04/2023;49,00;50,00;49,00;49,40;49,40;1900;4;94387;49,6772
24/04/2023;48,00;50,00;48,00;50,00;50,00;527;3;25298;48,0038
21/04/2023;49,00;49,00;49,00;49,00;49,00;731;8;35819;49,0000
20/04/2023;0,00;0,00;0,00;0,00;51,00;0;0;0;0,0000
19/04/2023;48,00;51,00;48,00;51,00;51,00;2669;12;130938;49,0587
18/04/2023;50,00;50,00;50,00;50,00;50,00;42;1;2100;50,0000
17/04/2023;52,00;52,00;49,20;51,00;51,00;177;7;8992;50,8034
14/04/2023;49,00;51,00;48,20;51,00;51,00;1436;10;70526;49,1130
13/04/2023;49,00;50,00;49,00;50,00;50,00;1066;4;53278;49,9794
12/04/2023;47,40;50,50;47,40;50,50;50,50;20;2;979;48,9500
11/04/2023;49,00;49,00;48,00;49,00;49,00;1150;7;56341;48,9922
06/04/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
05/04/2023;50,50;50,50;49,00;49,00;49,00;821;3;40231;49,0018
04/04/2023;50,00;50,00;48,80;49,00;49,00;721;4;35742;49,5725
03/04/2023;50,00;50,00;47,60;47,60;47,60;463;5;22200;47,9473
31/03/2023;48,50;49,60;48,00;49,60;49,60;1288;7;62794;48,7534
30/03/2023;47,20;48,80;47,20;48,50;48,50;3538;8;168445;47,6103
29/03/2023;49,20;50,00;47,20;47,20;47,20;3609;9;174618;48,3840
28/03/2023;48,10;48,10;48,10;48,10;48,10;150;1;7215;48,1000
27/03/2023;52,80;52,80;48,20;48,30;48,30;7612;14;370707;48,7003
24/03/2023;0,00;0,00;0,00;0,00;49,50;0;0;0;0,0000
23/03/2023;49,40;49,50;49,40;49,50;49,50;1167;5;57696;49,4395
22/03/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
21/03/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
