"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012535832
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;10,70;10,70;10,24;10,28;10,28;162394;179;1681027;10,3515
03/11/2023;10,50;10,74;10,20;10,42;10,42;201957;237;2104941;10,4227
02/11/2023;11,10;11,10;10,30;10,44;10,44;577987;471;6082490;10,5236
01/11/2023;11,68;11,68;10,90;11,00;11,00;174051;152;1930693;11,0927
31/10/2023;11,10;11,58;10,90;10,90;10,90;166141;147;1861540;11,2046
30/10/2023;11,70;11,96;11,00;11,30;11,30;175718;134;2003100;11,3995
27/10/2023;11,76;11,82;11,64;11,64;11,64;28948;43;338898;11,7071
26/10/2023;12,20;12,20;11,72;11,74;11,74;48393;45;574813;11,8780
25/10/2023;11,84;12,00;11,60;11,84;11,84;46045;76;539040;11,7068
24/10/2023;12,20;12,20;11,70;11,70;11,70;79995;117;950084;11,8768
23/10/2023;12,00;12,68;11,80;11,86;11,86;136432;149;1651223;12,1029
20/10/2023;12,44;12,66;12,20;12,46;12,46;101555;122;1266554;12,4716
19/10/2023;12,60;12,78;12,48;12,50;12,50;70484;99;885785;12,5672
18/10/2023;12,76;12,92;12,54;12,78;12,78;113059;113;1435330;12,6954
17/10/2023;12,60;12,98;12,60;12,80;12,80;100005;108;1275368;12,7530
16/10/2023;12,40;12,96;12,40;12,62;12,62;90101;85;1131709;12,5605
13/10/2023;12,62;12,78;12,38;12,48;12,48;140092;117;1756546;12,5385
12/10/2023;12,78;12,80;12,32;12,62;12,62;144572;104;1817299;12,5702
11/10/2023;12,50;12,80;12,22;12,72;12,72;181924;135;2277369;12,5182
10/10/2023;12,60;12,60;12,30;12,46;12,46;185940;109;2300697;12,3733
09/10/2023;12,82;12,82;12,32;12,54;12,54;112423;109;1412433;12,5636
06/10/2023;13,00;13,16;12,56;12,80;12,80;83772;103;1066938;12,7362
05/10/2023;12,84;13,06;12,70;12,80;12,80;130840;132;1675890;12,8087
04/10/2023;13,40;13,40;12,70;12,80;12,80;185216;165;2411251;13,0186
03/10/2023;13,60;13,60;13,12;13,32;13,32;93409;126;1242095;13,2974
02/10/2023;13,32;13,68;13,32;13,50;13,50;111105;156;1499092;13,4926
29/09/2023;13,38;13,64;13,24;13,38;13,38;203423;219;2739270;13,4659
28/09/2023;13,16;13,20;12,80;13,04;13,04;110395;128;1435198;13,0006
27/09/2023;12,98;13,42;12,80;12,90;12,90;509990;435;6704088;13,1455
26/09/2023;13,00;13,10;12,62;13,00;13,00;244453;129;3139492;12,8429
25/09/2023;13,20;13,46;12,76;12,96;12,96;216835;219;2806141;12,9414
22/09/2023;12,82;13,84;12,80;12,92;12,92;281366;216;3689352;13,1123
21/09/2023;13,08;13,08;12,70;12,82;12,82;99719;102;1284220;12,8784
20/09/2023;12,80;13,12;12,78;13,00;13,00;123550;161;1601176;12,9597
19/09/2023;12,70;12,84;12,50;12,64;12,64;87827;102;1111781;12,6588
18/09/2023;12,76;13,08;12,64;12,70;12,70;119276;148;1529995;12,8274
15/09/2023;12,96;12,98;12,76;12,84;12,84;88624;115;1142472;12,8912
14/09/2023;12,46;12,82;12,26;12,78;12,78;82109;104;1026047;12,4962
13/09/2023;12,78;12,78;12,32;12,48;12,48;98613;121;1230125;12,4743
12/09/2023;12,40;12,90;12,24;12,56;12,56;122067;115;1535573;12,5798
11/09/2023;12,50;12,50;12,22;12,40;12,40;29254;59;359565;12,2911
08/09/2023;12,12;12,42;12,10;12,16;12,16;71443;83;869968;12,1771
07/09/2023;12,38;12,46;12,10;12,22;12,22;191910;109;2367285;12,3354
06/09/2023;12,50;12,50;12,02;12,24;12,24;59409;83;726457;12,2281
05/09/2023;12,40;12,40;12,08;12,12;12,12;118815;86;1451287;12,2147
04/09/2023;12,80;12,80;12,26;12,42;12,42;77807;93;967239;12,4313
01/09/2023;12,80;12,80;12,34;12,66;12,66;54795;91;683842;12,4800
31/08/2023;11,92;12,70;11,88;12,50;12,50;289698;230;3574478;12,3386
30/08/2023;12,06;12,16;11,92;11,92;11,92;104584;118;1256753;12,0167
29/08/2023;12,20;12,20;11,82;12,04;12,04;40645;65;486255;11,9635
28/08/2023;11,96;12,14;11,76;11,76;11,76;169655;129;2025505;11,9390
25/08/2023;12,30;12,30;11,70;12,00;12,00;103546;98;1234376;11,9210
24/08/2023;11,98;12,50;11,62;11,84;11,84;297352;250;3586490;12,0614
23/08/2023;12,10;12,10;11,56;11,80;11,80;184927;228;2187961;11,8315
22/08/2023;12,08;12,34;11,96;12,00;12,00;153609;186;1861468;12,1182
21/08/2023;12,58;12,58;12,12;12,12;12,12;225270;211;2776151;12,3237
18/08/2023;12,66;12,72;12,08;12,56;12,56;359315;219;4436275;12,3465
17/08/2023;12,96;13,42;12,62;12,80;12,80;353706;352;4571736;12,9252
16/08/2023;14,00;14,00;13,56;13,80;13,80;386412;263;5310492;13,7431
15/08/2023;13,70;14,00;13,28;13,86;13,86;314842;259;4320141;13,7216
14/08/2023;13,84;13,84;13,26;13,42;13,42;288103;228;3878053;13,4606
11/08/2023;13,50;13,96;13,30;13,84;13,84;226440;238;3096224;13,6735
10/08/2023;13,74;13,74;13,12;13,46;13,46;303919;246;4084134;13,4382
09/08/2023;12,90;13,68;12,90;13,50;13,50;141420;149;1876547;13,2693
08/08/2023;13,68;13,68;12,98;12,98;12,98;191090;162;2510819;13,1395
07/08/2023;13,88;13,88;13,20;13,40;13,40;129106;182;1737435;13,4574
04/08/2023;12,72;13,78;12,72;13,78;13,78;309248;268;4148953;13,4163
03/08/2023;12,42;13,14;12,36;13,04;13,04;312411;257;4034302;12,9134
02/08/2023;12,80;12,80;12,38;12,42;12,42;85916;122;1070499;12,4598
