"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010893902
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;4,99;4,99;4,98;4,99;4,99;12451;12;62065;4,9847
03/11/2023;4,95;4,98;4,87;4,98;4,98;49536;18;242481;4,8951
02/11/2023;4,99;4,99;4,88;4,95;4,95;42322;14;207976;4,9141
01/11/2023;4,99;4,99;4,91;4,91;4,91;37930;16;187786;4,9509
31/10/2023;4,99;4,99;4,96;4,97;4,97;8158;7;40539;4,9692
30/10/2023;5,02;5,02;4,86;4,87;4,87;87368;53;430997;4,9331
27/10/2023;4,96;5,02;4,82;5,02;5,02;27149;18;133717;4,9253
26/10/2023;4,97;5,06;4,92;4,92;4,92;30538;14;151187;4,9508
25/10/2023;5,10;5,14;4,99;5,00;5,00;13269;10;66666;5,0242
24/10/2023;5,00;5,14;4,94;5,14;5,14;18034;12;91070;5,0499
23/10/2023;4,78;5,06;4,78;4,96;4,96;24348;15;120433;4,9463
20/10/2023;4,98;5,00;4,74;4,93;4,93;113362;28;557873;4,9212
19/10/2023;5,10;5,10;5,00;5,00;5,00;14403;12;72763;5,0519
18/10/2023;5,16;5,16;4,98;5,00;5,00;193086;51;973599;5,0423
17/10/2023;5,16;5,28;5,12;5,16;5,16;58270;11;301182;5,1687
16/10/2023;5,22;5,22;5,18;5,20;5,20;28396;9;147521;5,1951
13/10/2023;5,40;5,40;5,22;5,28;5,28;27834;12;148363;5,3303
12/10/2023;5,30;5,40;5,30;5,40;5,40;28000;11;149167;5,3274
11/10/2023;5,26;5,40;5,12;5,30;5,30;63353;14;328297;5,1820
10/10/2023;5,18;5,30;5,18;5,30;5,30;16106;8;83957;5,2128
09/10/2023;5,14;5,30;5,14;5,14;5,14;47332;21;244529;5,1663
06/10/2023;5,04;5,28;5,04;5,28;5,28;35034;17;180508;5,1524
05/10/2023;5,24;5,24;5,06;5,12;5,12;38952;15;198265;5,0900
04/10/2023;5,46;5,46;5,04;5,20;5,20;185140;47;962060;5,1964
03/10/2023;5,30;5,52;5,28;5,38;5,38;98325;20;529032;5,3804
02/10/2023;5,42;5,64;5,30;5,30;5,30;130404;38;710963;5,4520
29/09/2023;5,36;5,46;5,36;5,46;5,46;9786;6;52653;5,3804
28/09/2023;5,28;5,34;5,18;5,18;5,18;74948;15;393051;5,2443
27/09/2023;5,32;5,32;5,22;5,22;5,22;42992;11;225332;5,2413
26/09/2023;5,28;5,28;5,24;5,26;5,26;9786;7;51448;5,2573
25/09/2023;5,36;5,36;5,24;5,30;5,30;5640;5;29720;5,2696
22/09/2023;5,40;5,40;5,32;5,32;5,32;3990;9;21437;5,3726
21/09/2023;5,28;5,40;5,26;5,40;5,40;10284;9;54446;5,2942
