"Historical Data"
"From 2021-11-08 to 2023-11-07"
DE000A2G8ZX8
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;356,00;368,00;350,00;364,00;364,00;1338;12;483172;361,1151
03/11/2023;350,00;366,00;342,00;342,00;342,00;1981;28;701454;354,0909
02/11/2023;366,00;380,00;350,00;358,00;358,00;6523;72;2393052;366,8637
01/11/2023;366,00;370,00;366,00;370,00;370,00;423;4;155906;368,5721
31/10/2023;370,00;376,00;364,00;366,00;366,00;2132;15;791780;371,3790
30/10/2023;368,00;384,00;362,00;366,00;366,00;3030;29;1132092;373,6277
27/10/2023;380,00;380,00;360,00;362,00;362,00;1026;14;375222;365,7135
26/10/2023;400,00;400,00;378,00;378,00;378,00;864;11;336842;389,8634
25/10/2023;420,00;420,00;400,00;406,00;406,00;986;13;402470;408,1846
24/10/2023;430,00;430,00;410,00;416,00;416,00;1923;14;809178;420,7894
23/10/2023;440,00;440,00;418,00;418,00;418,00;334;8;143986;431,0958
20/10/2023;0,00;0,00;0,00;0,00;452,00;0;0;0;0,0000
19/10/2023;0,00;0,00;0,00;0,00;452,00;0;0;0;0,0000
18/10/2023;450,00;452,00;448,00;452,00;452,00;295;4;133020;450,9153
17/10/2023;434,00;448,00;434,00;448,00;448,00;435;7;193320;444,4138
16/10/2023;450,00;452,00;440,00;450,00;450,00;521;15;233528;448,2303
13/10/2023;454,00;460,00;454,00;460,00;460,00;217;3;99118;456,7650
12/10/2023;434,00;456,00;434,00;454,00;454,00;1712;18;767182;448,1203
11/10/2023;464,00;466,00;424,00;436,00;436,00;1485;19;680660;458,3569
10/10/2023;448,00;466,00;448,00;460,00;460,00;950;15;438112;461,1705
09/10/2023;444,00;466,00;444,00;450,00;450,00;386;9;177432;459,6684
06/10/2023;450,00;466,00;450,00;466,00;466,00;265;5;121668;459,1245
05/10/2023;460,00;462,00;460,00;462,00;462,00;173;3;79646;460,3815
04/10/2023;478,00;478,00;460,00;472,00;472,00;159;7;74328;467,4717
03/10/2023;458,00;474,00;458,00;474,00;474,00;880;10;415152;471,7636
02/10/2023;450,00;484,00;450,00;470,00;470,00;3244;26;1523228;469,5524
29/09/2023;458,00;464,00;450,00;464,00;464,00;1421;12;654592;460,6559
28/09/2023;432,00;456,00;428,00;456,00;456,00;1503;19;661790;440,3127
27/09/2023;430,00;452,00;430,00;452,00;452,00;580;9;259724;447,8000
