"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003103103
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;11,90;11,95;11,90;11,90;11,90;59994;11;713996;11,9011
03/11/2023;11,90;11,95;11,90;11,95;11,95;352082;29;4189845;11,9002
02/11/2023;11,90;11,95;11,90;11,95;11,95;107192;32;1275671;11,9008
01/11/2023;11,90;11,95;11,90;11,90;11,90;3777543;29;44952778;11,9000
31/10/2023;11,85;11,90;11,85;11,85;11,85;286035;22;3399170;11,8838
30/10/2023;11,85;11,90;11,85;11,90;11,90;420951;46;5008783;11,8987
27/10/2023;11,85;11,90;11,85;11,90;11,90;1358959;90;16157879;11,8899
26/10/2023;11,80;11,85;11,80;11,85;11,85;84831;21;1001089;11,8010
25/10/2023;11,85;11,85;11,75;11,80;11,80;779623;48;9196365;11,7959
24/10/2023;11,85;11,85;11,80;11,85;11,85;153210;39;1808713;11,8055
23/10/2023;11,80;11,85;11,80;11,85;11,85;770496;95;9116631;11,8322
20/10/2023;11,80;11,85;11,80;11,80;11,80;346996;48;4094620;11,8002
19/10/2023;11,80;11,85;11,80;11,85;11,85;276928;44;3267951;11,8007
18/10/2023;11,75;11,80;11,75;11,80;11,80;473180;67;5582116;11,7970
17/10/2023;11,75;11,80;11,75;11,80;11,80;44474;52;522647;11,7517
16/10/2023;11,80;11,80;11,75;11,80;11,80;63992;34;752987;11,7669
13/10/2023;11,75;11,80;11,75;11,80;11,80;192547;51;2262527;11,7505
12/10/2023;11,75;11,80;11,75;11,80;11,80;68703;40;808601;11,7695
11/10/2023;11,75;11,80;11,75;11,80;11,80;35636;20;418803;11,7522
10/10/2023;11,75;11,80;11,75;11,80;11,80;226022;34;2656135;11,7517
09/10/2023;11,75;11,80;11,75;11,80;11,80;216276;54;2541369;11,7506
06/10/2023;11,80;11,80;11,75;11,80;11,80;371260;71;4378457;11,7935
05/10/2023;11,70;11,80;11,70;11,80;11,80;781912;77;9177942;11,7378
04/10/2023;11,70;11,75;11,65;11,70;11,70;443885;60;5202966;11,7214
03/10/2023;11,65;11,75;11,60;11,75;11,75;567723;72;6628409;11,6754
02/10/2023;11,65;11,70;11,60;11,65;11,65;676605;90;7883373;11,6514
29/09/2023;11,55;11,70;11,55;11,65;11,65;1231912;111;14303976;11,6112
28/09/2023;11,55;11,60;11,50;11,55;11,55;952554;197;10998972;11,5468
27/09/2023;11,60;11,65;11,50;11,60;11,60;2693887;559;31154528;11,5649
26/09/2023;5,80;5,94;5,80;5,94;5,94;32582;12;190749;5,8544
25/09/2023;6,14;6,14;5,80;6,02;6,02;73134;50;432942;5,9198
22/09/2023;6,14;6,14;6,00;6,14;6,14;33539;24;203861;6,0783
21/09/2023;6,00;6,18;6,00;6,10;6,10;5787;9;35174;6,0781
20/09/2023;5,98;6,10;5,88;6,06;6,06;135747;51;815523;6,0077
19/09/2023;6,00;6,00;5,70;5,92;5,92;18391;17;106500;5,7909
18/09/2023;6,00;6,00;5,68;5,90;5,90;30779;25;181548;5,8984
15/09/2023;5,96;5,98;5,76;5,90;5,90;58804;42;344114;5,8519
14/09/2023;5,64;5,96;5,64;5,96;5,96;110766;61;643596;5,8104
13/09/2023;5,78;5,82;5,70;5,76;5,76;14332;9;82018;5,7227
12/09/2023;5,80;5,80;5,62;5,74;5,74;3901;8;22237;5,7004
