"Historical Data"
"From 2021-11-08 to 2023-11-07"
CA74836K1003
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,70;1,746;1,68;1,722;1,722;680613;103;1164945;1,7116
03/11/2023;1,708;1,748;1,674;1,70;1,70;1477925;143;2534183;1,7147
02/11/2023;1,78;1,78;1,68;1,706;1,706;2065357;310;3546253;1,7170
01/11/2023;1,798;1,82;1,734;1,754;1,754;1484625;135;2645223;1,7817
31/10/2023;1,80;1,85;1,754;1,794;1,794;4416014;293;8010206;1,8139
30/10/2023;1,72;1,84;1,72;1,762;1,762;5496652;604;9782628;1,7797
27/10/2023;1,678;1,70;1,65;1,70;1,70;1827019;290;3065154;1,6777
26/10/2023;1,62;1,696;1,60;1,64;1,64;251630;76;409298;1,6266
25/10/2023;1,688;1,688;1,63;1,63;1,63;386919;47;636853;1,6460
24/10/2023;1,656;1,72;1,632;1,698;1,698;932684;138;1565578;1,6786
23/10/2023;1,612;1,66;1,58;1,64;1,64;800700;79;1278025;1,5961
20/10/2023;1,61;1,70;1,566;1,67;1,67;1348941;182;2208146;1,6369
19/10/2023;1,62;1,642;1,59;1,606;1,606;627771;80;1022608;1,6290
18/10/2023;1,64;1,67;1,628;1,64;1,64;871126;84;1436609;1,6491
17/10/2023;1,65;1,65;1,572;1,62;1,62;641443;87;1023849;1,5962
16/10/2023;1,582;1,68;1,582;1,62;1,62;1060607;149;1736869;1,6376
13/10/2023;1,572;1,628;1,572;1,60;1,60;813252;86;1304527;1,6041
12/10/2023;1,552;1,62;1,552;1,598;1,598;623413;118;996155;1,5979
11/10/2023;1,58;1,594;1,558;1,562;1,562;401924;70;632971;1,5749
10/10/2023;1,55;1,60;1,55;1,588;1,588;442941;87;696766;1,5730
09/10/2023;1,59;1,632;1,56;1,568;1,568;452318;88;712679;1,5756
06/10/2023;1,59;1,59;1,566;1,57;1,57;502201;68;789686;1,5725
05/10/2023;1,628;1,628;1,55;1,57;1,57;561904;75;887941;1,5802
04/10/2023;1,57;1,618;1,57;1,578;1,578;553921;97;883563;1,5951
03/10/2023;1,61;1,62;1,574;1,58;1,58;1423102;136;2268603;1,5941
02/10/2023;1,67;1,67;1,612;1,612;1,612;617237;76;1004964;1,6282
29/09/2023;1,632;1,668;1,63;1,638;1,638;562040;103;924488;1,6449
28/09/2023;1,632;1,696;1,62;1,622;1,622;813110;130;1336294;1,6434
27/09/2023;1,664;1,67;1,63;1,64;1,64;451650;91;741962;1,6428
26/09/2023;1,666;1,668;1,624;1,638;1,638;688669;102;1133044;1,6453
25/09/2023;1,698;1,698;1,648;1,67;1,67;1118801;125;1861326;1,6637
22/09/2023;1,74;1,74;1,682;1,682;1,682;268663;52;453721;1,6888
21/09/2023;1,70;1,73;1,682;1,71;1,71;563370;101;956476;1,6978
20/09/2023;1,712;1,752;1,69;1,69;1,69;1057902;111;1812362;1,7132
19/09/2023;1,758;1,764;1,71;1,73;1,73;1171323;142;2030379;1,7334
18/09/2023;1,746;1,772;1,684;1,71;1,71;859720;122;1478898;1,7202
15/09/2023;1,78;1,814;1,76;1,762;1,762;356475;75;633060;1,7759
14/09/2023;1,772;1,836;1,77;1,772;1,772;747014;101;1336246;1,7888
13/09/2023;1,752;1,834;1,752;1,804;1,804;1193221;108;2167346;1,8164
12/09/2023;1,798;1,82;1,798;1,80;1,80;313912;48;566918;1,8060
11/09/2023;1,752;1,81;1,752;1,80;1,80;1240073;101;2212103;1,7838
08/09/2023;1,722;1,80;1,722;1,80;1,80;1282057;127;2286134;1,7832
07/09/2023;1,722;1,772;1,722;1,758;1,758;1160054;86;2022351;1,7433
06/09/2023;1,72;1,788;1,71;1,768;1,768;894735;95;1558662;1,7420
05/09/2023;1,748;1,75;1,72;1,72;1,72;796341;87;1379713;1,7326
04/09/2023;1,65;1,75;1,65;1,75;1,75;1674984;145;2895729;1,7288
01/09/2023;1,65;1,696;1,65;1,686;1,686;807916;100;1357792;1,6806
31/08/2023;1,65;1,70;1,65;1,662;1,662;867862;116;1445371;1,6654
30/08/2023;1,69;1,71;1,672;1,69;1,69;333374;49;560875;1,6824
29/08/2023;1,66;1,718;1,654;1,672;1,672;410950;58;687927;1,6740
28/08/2023;1,72;1,72;1,67;1,678;1,678;319084;48;536521;1,6814
25/08/2023;1,70;1,72;1,676;1,72;1,72;156801;42;267156;1,7038
24/08/2023;1,66;1,75;1,66;1,70;1,70;766800;85;1314981;1,7149
23/08/2023;1,746;1,746;1,672;1,69;1,69;710125;91;1205151;1,6971
22/08/2023;1,706;1,762;1,70;1,746;1,746;403662;62;694046;1,7194
21/08/2023;1,79;1,79;1,702;1,702;1,702;497201;93;858232;1,7261
18/08/2023;1,706;1,79;1,70;1,708;1,708;779876;82;1343350;1,7225
17/08/2023;1,728;1,77;1,69;1,76;1,76;713395;98;1243398;1,7429
16/08/2023;1,75;1,798;1,71;1,71;1,71;1048039;117;1826810;1,7431
15/08/2023;1,83;1,83;1,772;1,774;1,774;1070601;152;1923465;1,7966
14/08/2023;1,74;1,84;1,702;1,826;1,826;3437435;296;6187962;1,8002
11/08/2023;1,72;1,78;1,68;1,73;1,73;2486646;276;4307985;1,7324
10/08/2023;1,68;1,788;1,68;1,734;1,734;4974925;547;8646059;1,7379
09/08/2023;1,556;1,67;1,556;1,65;1,65;1915127;194;3126194;1,6324
08/08/2023;1,57;1,598;1,56;1,58;1,58;595123;51;935777;1,5724
07/08/2023;1,62;1,636;1,56;1,588;1,588;977204;82;1564594;1,6011
04/08/2023;1,56;1,62;1,56;1,62;1,62;1087268;127;1733526;1,5944
03/08/2023;1,57;1,59;1,55;1,58;1,58;365331;69;572763;1,5678
02/08/2023;1,554;1,59;1,554;1,568;1,568;465022;42;732000;1,5741
01/08/2023;1,588;1,598;1,55;1,596;1,596;978989;80;1545340;1,5785
31/07/2023;1,60;1,60;1,542;1,572;1,572;337356;65;530616;1,5729
28/07/2023;1,61;1,624;1,552;1,60;1,60;719475;56;1133623;1,5756
27/07/2023;1,57;1,604;1,57;1,598;1,598;263052;44;416863;1,5847
26/07/2023;1,59;1,59;1,544;1,562;1,562;1092109;130;1708625;1,5645
25/07/2023;1,596;1,62;1,59;1,60;1,60;308473;35;493597;1,6001
24/07/2023;1,59;1,628;1,582;1,61;1,61;262882;47;419473;1,5957
21/07/2023;1,60;1,612;1,594;1,61;1,61;81925;22;131457;1,6046
20/07/2023;1,584;1,624;1,584;1,59;1,59;199609;38;320754;1,6069
19/07/2023;1,576;1,63;1,574;1,63;1,63;208904;38;332223;1,5903
18/07/2023;1,63;1,63;1,53;1,608;1,608;545641;82;852883;1,5631
17/07/2023;1,57;1,60;1,518;1,60;1,60;928494;114;1430410;1,5406
14/07/2023;1,604;1,634;1,566;1,578;1,578;510194;80;810779;1,5892
13/07/2023;1,64;1,644;1,60;1,61;1,61;495847;41;804728;1,6229
12/07/2023;1,62;1,67;1,604;1,64;1,64;653098;75;1066261;1,6326
11/07/2023;1,584;1,62;1,58;1,604;1,604;281094;37;449814;1,6002
10/07/2023;1,63;1,648;1,58;1,618;1,618;425699;46;683505;1,6056
07/07/2023;1,60;1,646;1,58;1,618;1,618;276548;56;443777;1,6047
06/07/2023;1,558;1,616;1,558;1,606;1,606;286861;50;455330;1,5873
05/07/2023;1,68;1,68;1,572;1,572;1,572;749296;100;1196993;1,5975
04/07/2023;1,63;1,65;1,59;1,598;1,598;948522;97;1527846;1,6108
03/07/2023;1,62;1,656;1,62;1,628;1,628;370219;79;606111;1,6372
30/06/2023;1,61;1,694;1,61;1,644;1,644;582737;91;966728;1,6589
29/06/2023;1,60;1,69;1,60;1,648;1,648;763911;90;1265981;1,6572
28/06/2023;1,622;1,65;1,60;1,60;1,60;735136;75;1186346;1,6138
27/06/2023;1,664;1,714;1,58;1,61;1,61;1857366;209;3007887;1,6194
26/06/2023;1,70;1,758;1,662;1,688;1,688;836794;120;1417057;1,6934
23/06/2023;1,76;1,764;1,668;1,70;1,70;2478435;222;4272508;1,7239
22/06/2023;1,84;1,876;1,81;1,81;1,81;1110469;192;2041044;1,8380
21/06/2023;1,792;1,94;1,788;1,864;1,864;5403296;418;10103118;1,8698
20/06/2023;1,836;1,836;1,756;1,80;1,80;649406;111;1164971;1,7939
19/06/2023;1,84;1,844;1,794;1,80;1,80;1301233;117;2367082;1,8191
16/06/2023;1,89;1,89;1,802;1,836;1,836;538836;93;981281;1,8211
15/06/2023;1,90;1,90;1,80;1,81;1,81;2527902;240;4596229;1,8182
14/06/2023;1,90;1,93;1,84;1,88;1,88;1238330;180;2327579;1,8796
13/06/2023;1,97;2,015;1,882;1,922;1,922;3257636;370;6385303;1,9601
12/06/2023;1,928;2,00;1,90;1,946;1,946;1947835;261;3791261;1,9464
09/06/2023;1,916;1,928;1,856;1,928;1,928;1715173;239;3251660;1,8958
08/06/2023;1,822;1,916;1,81;1,902;1,902;2831847;306;5292460;1,8689
07/06/2023;1,78;1,86;1,78;1,848;1,848;611378;89;1110020;1,8156
06/06/2023;1,868;1,868;1,78;1,82;1,82;523838;48;946308;1,8065
05/06/2023;1,80;1,868;1,80;1,854;1,854;572041;63;1049403;1,8345
02/06/2023;1,85;1,88;1,812;1,862;1,862;735413;75;1362412;1,8526
01/06/2023;1,77;1,888;1,77;1,83;1,83;1245143;149;2268839;1,8222
31/05/2023;1,832;1,84;1,75;1,78;1,78;733584;95;1310196;1,7860
30/05/2023;1,85;1,862;1,776;1,83;1,83;1015377;128;1830477;1,8028
29/05/2023;0,00;0,00;0,00;0,00;1,82;0;0;0;0,0000
26/05/2023;1,80;1,846;1,782;1,82;1,82;627831;59;1136547;1,8103
