"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010907389
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;63,60;64,30;63,50;64,00;64,00;63391;250;4054115;63,9541
03/11/2023;62,00;64,20;61,40;63,50;63,50;181047;465;11400305;62,9688
02/11/2023;62,30;62,40;61,70;62,00;62,00;74741;248;4644987;62,1478
01/11/2023;62,00;62,40;61,50;62,00;62,00;58748;243;3635694;61,8863
31/10/2023;60,60;62,00;60,10;62,00;62,00;117835;304;7234434;61,3946
30/10/2023;59,10;60,80;58,50;60,70;60,70;118470;276;7081047;59,7708
27/10/2023;59,50;59,50;58,40;59,20;59,20;101702;195;6012305;59,1169
26/10/2023;58,00;59,30;57,70;59,30;59,30;71896;251;4222540;58,7312
25/10/2023;58,70;59,10;58,20;58,80;58,80;102630;250;6018558;58,6433
24/10/2023;58,50;58,50;57,70;58,20;58,20;51371;192;2985203;58,1107
23/10/2023;57,80;58,00;57,20;58,00;58,00;68436;220;3933483;57,4768
20/10/2023;58,00;58,20;57,40;57,60;57,60;61213;196;3532477;57,7080
19/10/2023;59,40;59,40;57,80;58,80;58,80;84336;172;4936100;58,5290
18/10/2023;59,20;59,40;58,70;59,30;59,30;28130;141;1661407;59,0617
17/10/2023;59,10;59,40;58,30;59,20;59,20;53355;177;3142641;58,9006
16/10/2023;58,30;59,20;58,30;59,00;59,00;36855;145;2170461;58,8919
13/10/2023;59,20;59,50;58,50;58,70;58,70;60880;196;3584437;58,8771
12/10/2023;58,90;59,50;58,70;59,20;59,20;70771;159;4185490;59,1413
11/10/2023;58,90;58,90;58,10;58,50;58,50;28807;113;1685527;58,5110
10/10/2023;57,10;58,90;57,10;58,90;58,90;64848;188;3769561;58,1292
09/10/2023;56,70;57,70;56,70;57,40;57,40;48467;183;2774234;57,2397
06/10/2023;57,30;58,40;57,10;57,40;57,40;52334;216;3017936;57,6668
05/10/2023;56,80;57,20;55,60;57,10;57,10;109281;313;6180633;56,5573
04/10/2023;57,10;57,40;56,00;56,80;56,80;114710;306;6479708;56,4877
03/10/2023;58,00;58,80;57,30;57,80;57,80;48784;213;2835926;58,1323
02/10/2023;59,50;59,50;58,00;58,20;58,20;38490;209;2259012;58,6909
29/09/2023;57,80;59,00;57,70;59,00;59,00;76160;190;4457442;58,5273
28/09/2023;57,90;58,10;57,50;58,00;58,00;24244;125;1403604;57,8949
27/09/2023;56,70;58,20;56,00;57,90;57,90;96697;232;5580859;57,7149
26/09/2023;57,00;57,10;56,00;57,00;57,00;103932;340;5895292;56,7226
25/09/2023;57,40;57,40;56,30;57,10;57,10;120882;265;6875494;56,8777
22/09/2023;58,00;58,00;57,30;57,60;57,60;27118;135;1560230;57,5349
21/09/2023;58,00;58,00;57,30;58,00;58,00;33345;149;1926681;57,7802
20/09/2023;58,10;58,20;57,30;58,20;58,20;33624;148;1942328;57,7661
19/09/2023;58,80;58,80;57,70;57,70;57,70;42487;152;2470998;58,1589
18/09/2023;58,50;58,80;57,60;58,40;58,40;48065;262;2798121;58,2154
15/09/2023;57,30;58,50;57,30;58,50;58,50;104332;350;6053626;58,0227
14/09/2023;57,40;58,00;57,00;57,10;57,10;74557;265;4277787;57,3761
13/09/2023;57,20;57,90;57,10;57,80;57,80;30602;166;1757519;57,4315
12/09/2023;57,80;57,80;56,90;57,80;57,80;93730;262;5385803;57,4608
11/09/2023;56,90;57,90;56,90;57,90;57,90;51535;153;2958726;57,4120
08/09/2023;56,70;57,20;56,40;57,20;57,20;46467;208;2638341;56,7788
07/09/2023;56,70;57,20;56,30;56,80;56,80;41529;162;2359356;56,8122
06/09/2023;57,00;57,40;56,60;57,10;57,10;43390;153;2475192;57,0452
05/09/2023;57,40;57,40;56,70;56,90;56,90;35091;137;2001500;57,0374
04/09/2023;56,60;57,70;56,50;57,10;57,10;37478;152;2138429;57,0583
01/09/2023;57,80;57,80;56,10;56,10;56,10;72204;267;4089183;56,6337
31/08/2023;57,40;58,00;56,00;57,80;57,80;142028;475;8071219;56,8284
30/08/2023;58,50;59,30;58,50;58,80;58,80;81088;266;4764573;58,7581
