"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003117202
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;4,55;4,87;4,55;4,84;4,84;744063;147;3540173;4,7579
03/11/2023;4,47;4,54;4,45;4,50;4,50;185095;56;833123;4,5011
02/11/2023;4,47;4,50;4,36;4,46;4,46;255571;59;1141445;4,4663
01/11/2023;4,34;4,44;4,33;4,43;4,43;71420;43;313846;4,3944
31/10/2023;4,36;4,45;4,33;4,33;4,33;322184;78;1412432;4,3839
30/10/2023;4,45;4,48;4,38;4,43;4,43;138494;40;612802;4,4248
27/10/2023;4,47;4,47;4,41;4,45;4,45;117026;45;519582;4,4399
26/10/2023;4,36;4,49;4,36;4,40;4,40;54811;33;242481;4,4240
25/10/2023;4,46;4,50;4,37;4,40;4,40;398732;68;1773036;4,4467
24/10/2023;4,36;4,46;4,36;4,42;4,42;132514;29;588802;4,4433
23/10/2023;4,44;4,50;4,34;4,36;4,36;124170;46;547845;4,4121
20/10/2023;4,55;4,57;4,35;4,50;4,50;386158;109;1740118;4,5062
19/10/2023;4,50;4,54;4,48;4,54;4,54;116812;46;525305;4,4970
18/10/2023;4,59;4,59;4,50;4,55;4,55;29286;25;132375;4,5201
17/10/2023;4,58;4,58;4,48;4,56;4,56;116245;50;525883;4,5239
16/10/2023;4,58;4,60;4,46;4,55;4,55;257464;90;1164315;4,5222
13/10/2023;4,46;4,56;4,40;4,56;4,56;201972;51;905230;4,4820
12/10/2023;4,44;4,49;4,41;4,46;4,46;246824;32;1099179;4,4533
11/10/2023;4,32;4,47;4,32;4,46;4,46;106724;32;470207;4,4058
10/10/2023;4,42;4,47;4,27;4,47;4,47;296205;82;1287767;4,3476
09/10/2023;4,32;4,41;4,32;4,41;4,41;312389;78;1363495;4,3647
06/10/2023;4,50;4,50;4,35;4,37;4,37;502258;118;2217103;4,4143
05/10/2023;4,45;4,49;4,41;4,49;4,49;193357;66;858500;4,4400
04/10/2023;4,51;4,55;4,31;4,40;4,40;265145;102;1177399;4,4406
03/10/2023;4,64;4,64;4,48;4,60;4,60;206872;89;943750;4,5620
02/10/2023;4,62;4,65;4,60;4,64;4,64;68935;32;317919;4,6119
29/09/2023;4,66;4,66;4,59;4,62;4,62;247718;101;1139357;4,5994
28/09/2023;4,64;4,65;4,54;4,65;4,65;165511;77;761264;4,5995
27/09/2023;4,63;4,65;4,55;4,56;4,56;71655;40;329863;4,6035
26/09/2023;4,49;4,64;4,49;4,60;4,60;366633;82;1674580;4,5675
25/09/2023;4,53;4,57;4,46;4,57;4,57;258549;63;1168987;4,5213
22/09/2023;4,50;4,55;4,49;4,51;4,51;135551;44;611138;4,5085
21/09/2023;4,66;4,66;4,50;4,54;4,54;380632;106;1731741;4,5496
20/09/2023;4,40;4,65;4,40;4,63;4,63;503155;120;2281949;4,5353
19/09/2023;4,43;4,48;4,40;4,47;4,47;145504;52;645045;4,4332
