"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010112675
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;15,20;15,40;14,775;14,775;14,775;1694372;814;25433425;15,0105
03/11/2023;15,035;15,20;14,85;15,07;15,07;960982;624;14461810;15,0490
02/11/2023;14,55;15,035;14,415;14,975;14,975;1105878;679;16423352;14,8510
01/11/2023;14,70;14,70;14,27;14,35;14,35;1001963;737;14430782;14,4025
31/10/2023;14,10;14,55;14,055;14,505;14,505;974935;698;13990560;14,3502
30/10/2023;14,16;14,45;14,05;14,10;14,10;1052073;667;14987753;14,2459
27/10/2023;14,10;14,365;14,10;14,155;14,155;906755;698;12893195;14,2191
26/10/2023;14,35;14,38;13,93;14,135;14,135;1632531;964;23059349;14,1249
25/10/2023;14,80;14,80;14,265;14,33;14,33;1168586;788;16889084;14,4526
24/10/2023;14,73;14,78;14,44;14,78;14,78;1110465;850;16239775;14,6243
23/10/2023;15,10;15,125;14,40;14,455;14,455;2977239;1598;43473807;14,6021
20/10/2023;15,40;15,485;14,95;15,155;15,155;1772867;878;26798220;15,1158
19/10/2023;15,39;15,555;15,27;15,34;15,34;831553;530;12778412;15,3669
18/10/2023;15,815;15,885;15,465;15,465;15,465;812091;575;12681217;15,6155
17/10/2023;15,96;16,125;15,79;15,815;15,815;749383;586;11917122;15,9026
16/10/2023;15,70;16,19;15,70;16,125;16,125;1173662;850;18835538;16,0485
13/10/2023;15,98;16,17;15,765;15,82;15,82;958231;692;15260862;15,9261
12/10/2023;15,81;16,14;15,81;16,00;16,00;957549;585;15353911;16,0346
11/10/2023;15,845;16,15;15,64;15,805;15,805;1193422;896;18936085;15,8670
10/10/2023;15,48;15,88;15,455;15,845;15,845;763686;515;11973938;15,6791
09/10/2023;15,19;15,55;15,12;15,485;15,485;821409;608;12635282;15,3824
06/10/2023;15,45;15,525;15,05;15,19;15,19;921027;699;14030966;15,2340
05/10/2023;15,20;15,525;14,96;15,255;15,255;2225129;1296;33777891;15,1802
04/10/2023;15,31;15,48;15,05;15,05;15,05;1375753;950;20968524;15,2415
03/10/2023;15,94;15,94;15,40;15,40;15,40;1367664;886;21316131;15,5858
02/10/2023;16,00;16,29;15,90;15,905;15,905;1090652;721;17537312;16,0797
