"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010859689
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;2,26;2,26;2,26;2,26;2,26;229;1;518;2,2600
03/11/2023;2,26;2,26;2,18;2,18;2,18;7120;2;15531;2,1813
02/11/2023;2,16;2,16;2,16;2,16;2,16;23111;1;49920;2,1600
01/11/2023;0,00;0,00;0,00;0,00;2,16;0;0;0;0,0000
31/10/2023;0,00;0,00;0,00;0,00;2,16;0;0;0;0,0000
30/10/2023;2,16;2,16;2,16;2,16;2,16;889;1;1920;2,1600
27/10/2023;2,24;2,24;2,16;2,16;2,16;1120;2;2429;2,1686
26/10/2023;2,22;2,22;2,16;2,16;2,16;52978;9;116711;2,2030
25/10/2023;2,18;2,40;2,18;2,40;2,40;23690;2;51686;2,1818
24/10/2023;2,16;2,18;2,16;2,18;2,18;3140;2;6792;2,1632
23/10/2023;2,04;2,04;2,04;2,04;2,04;7066;2;14415;2,0400
20/10/2023;0,00;0,00;0,00;0,00;2,28;0;0;0;0,0000
19/10/2023;2,50;2,50;2,28;2,28;2,28;25099;7;57389;2,2865
18/10/2023;2,80;2,88;2,44;2,44;2,44;31706;5;84837;2,6757
17/10/2023;2,40;2,62;2,40;2,62;2,62;53554;6;134325;2,5082
16/10/2023;0,00;0,00;0,00;0,00;2,56;0;0;0;0,0000
13/10/2023;2,40;2,56;2,40;2,56;2,56;3909;3;9404;2,4057
12/10/2023;2,50;2,78;2,50;2,54;2,54;27301;9;68971;2,5263
11/10/2023;2,10;2,60;1,92;2,50;2,50;201017;40;430570;2,1420
10/10/2023;2,00;2,10;2,00;2,06;2,06;16824;7;34119;2,0280
09/10/2023;2,74;2,74;1,95;1,96;1,96;191809;33;409526;2,1351
06/10/2023;2,80;2,80;2,52;2,52;2,52;43140;6;113961;2,6416
05/10/2023;2,94;3,22;2,90;3,20;3,20;95086;13;291220;3,0627
04/10/2023;3,10;3,32;3,10;3,10;3,10;58956;7;188485;3,1970
03/10/2023;3,24;3,24;2,94;3,10;3,10;70228;9;216166;3,0781
02/10/2023;3,32;3,60;3,32;3,52;3,52;27602;7;94154;3,4111
29/09/2023;4,10;4,10;3,20;3,30;3,30;69827;20;256164;3,6686
28/09/2023;4,74;4,74;4,50;4,50;4,50;34519;4;157976;4,5765
27/09/2023;5,20;5,20;5,00;5,00;5,00;12720;5;64020;5,0330
26/09/2023;4,84;4,84;4,84;4,84;4,84;40;1;194;4,8400
25/09/2023;5,00;5,00;5,00;5,00;5,00;4200;2;21000;5,0000
22/09/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
21/09/2023;5,20;5,20;5,00;5,00;5,00;510;2;2650;5,1961
20/09/2023;0,00;0,00;0,00;0,00;5,20;0;0;0;0,0000
19/09/2023;0,00;0,00;0,00;0,00;5,20;0;0;0;0,0000
18/09/2023;5,20;5,20;5,20;5,20;5,20;8800;1;45760;5,2000
15/09/2023;6,00;6,00;5,55;5,55;5,55;17001;5;95523;5,6186
14/09/2023;6,15;6,15;5,95;5,95;5,95;3410;3;20307;5,9550
13/09/2023;5,40;6,10;5,40;6,10;6,10;33506;14;200582;5,9865
12/09/2023;4,40;5,10;4,40;5,10;5,10;26869;8;122934;4,5753
11/09/2023;4,40;4,40;4,40;4,40;4,40;160;1;704;4,4000
08/09/2023;4,30;4,30;4,30;4,30;4,30;8800;1;37840;4,3000
07/09/2023;4,36;4,36;4,16;4,16;4,16;14000;2;59640;4,2600
06/09/2023;0,00;0,00;0,00;0,00;4,30;0;0;0;0,0000
05/09/2023;4,28;4,30;4,28;4,30;4,30;5000;2;21401;4,2801
04/09/2023;4,16;4,16;4,16;4,16;4,16;400;1;1664;4,1600
01/09/2023;4,30;4,30;4,30;4,30;4,30;4974;1;21388;4,3000
31/08/2023;0,00;0,00;0,00;0,00;4,30;0;0;0;0,0000
30/08/2023;0,00;0,00;0,00;0,00;4,30;0;0;0;0,0000
29/08/2023;0,00;0,00;0,00;0,00;4,30;0;0;0;0,0000
28/08/2023;0,00;0,00;0,00;0,00;4,30;0;0;0;0,0000
25/08/2023;0,00;0,00;0,00;0,00;4,30;0;0;0;0,0000
