"Historical Data"
"From 2021-11-08 to 2023-11-07"
NL0015001BF4
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;31,50;0;0;0;0,0000
03/11/2023;31,50;31,50;31,50;31,50;31,50;20;1;630;31,5000
02/11/2023;0,00;0,00;0,00;0,00;31,50;0;0;0;0,0000
01/11/2023;0,00;0,00;0,00;0,00;31,50;0;0;0;0,0000
31/10/2023;0,00;0,00;0,00;0,00;31,50;0;0;0;0,0000
30/10/2023;0,00;0,00;0,00;0,00;31,50;0;0;0;0,0000
27/10/2023;31,50;31,50;31,50;31,50;31,50;20;1;630;31,5000
26/10/2023;0,00;0,00;0,00;0,00;31,72;0;0;0;0,0000
25/10/2023;0,00;0,00;0,00;0,00;31,72;0;0;0;0,0000
24/10/2023;31,72;31,72;31,72;31,72;31,72;72;1;2284;31,7200
23/10/2023;31,75;31,75;31,75;31,75;31,75;3;1;95;31,7500
20/10/2023;31,75;31,75;31,50;31,50;31,50;470;3;14848;31,5904
19/10/2023;31,75;31,75;31,75;31,75;31,75;319;3;10128;31,7500
18/10/2023;31,75;31,75;31,75;31,75;31,75;50;1;1588;31,7500
17/10/2023;31,75;31,75;31,75;31,75;31,75;50;1;1588;31,7500
16/10/2023;0,00;0,00;0,00;0,00;31,75;0;0;0;0,0000
13/10/2023;0,00;0,00;0,00;0,00;31,75;0;0;0;0,0000
12/10/2023;31,75;31,75;31,75;31,75;31,75;80;1;2540;31,7500
11/10/2023;31,75;31,75;31,75;31,75;31,75;20;1;635;31,7500
10/10/2023;31,75;31,75;31,75;31,75;31,75;130;2;4128;31,7500
09/10/2023;31,75;31,75;31,75;31,75;31,75;4;1;127;31,7500
06/10/2023;31,75;31,75;31,75;31,75;31,75;100;1;3175;31,7500
05/10/2023;31,50;31,50;31,00;31,50;31,50;70;3;2205;31,4929
04/10/2023;31,50;31,50;31,50;31,50;31,50;68;1;2142;31,5000
03/10/2023;0,00;0,00;0,00;0,00;32,00;0;0;0;0,0000
02/10/2023;0,00;0,00;0,00;0,00;32,00;0;0;0;0,0000
29/09/2023;32,00;32,00;32,00;32,00;32,00;6;1;192;32,0000
28/09/2023;0,00;0,00;0,00;0,00;30,055;0;0;0;0,0000
27/09/2023;30,055;30,055;30,055;30,055;30,055;468;3;14066;30,0550
26/09/2023;32,00;32,00;32,00;32,00;32,00;300;4;9600;32,0000
25/09/2023;32,00;32,00;31,05;31,05;31,05;905;5;28590;31,5912
22/09/2023;32,00;32,00;32,00;32,00;32,00;57;1;1824;32,0000
21/09/2023;0,00;0,00;0,00;0,00;31,795;0;0;0;0,0000
20/09/2023;0,00;0,00;0,00;0,00;31,795;0;0;0;0,0000
19/09/2023;31,795;31,795;31,795;31,795;31,795;400;1;12718;31,7950
18/09/2023;31,00;31,95;30,005;30,005;30,005;1148;5;35635;31,0412
15/09/2023;31,20;32,00;31,20;32,00;32,00;250;2;7862;31,4496
14/09/2023;29,995;31,00;28,205;31,00;31,00;2566;7;77929;30,3697
13/09/2023;28,40;29,995;28,40;29,995;29,995;981;3;29305;29,8731
12/09/2023;32,00;32,00;29,80;29,80;29,80;2524;9;77947;30,8825
11/09/2023;0,00;0,00;0,00;0,00;32,995;0;0;0;0,0000
08/09/2023;32,995;32,995;32,995;32,995;32,995;31;1;1023;32,9952
07/09/2023;32,995;32,995;32,995;32,995;32,995;2;1;66;32,9950
06/09/2023;32,40;32,995;32,40;32,995;32,995;234;3;7661;32,7407
05/09/2023;0,00;0,00;0,00;0,00;32,995;0;0;0;0,0000
04/09/2023;32,70;32,995;32,70;32,995;32,995;510;2;16789;32,9198
01/09/2023;31,205;32,795;31,20;32,00;32,00;1255;10;39423;31,4126
31/08/2023;32,80;33,00;32,80;33,00;33,00;314;3;10299;32,8006
30/08/2023;32,40;32,40;32,40;32,40;32,40;155;1;5022;32,4000
29/08/2023;32,00;32,80;32,00;32,80;32,80;1091;6;35483;32,5235
28/08/2023;0,00;0,00;0,00;0,00;32,00;0;0;0;0,0000
25/08/2023;31,80;32,50;31,80;32,00;32,00;1053;5;34137;32,4186
24/08/2023;31,80;31,80;31,80;31,80;31,80;50;2;1590;31,8000
23/08/2023;31,80;31,80;31,80;31,80;31,80;100;2;3180;31,8000
22/08/2023;31,80;31,80;31,80;31,80;31,80;135;2;4293;31,8000
21/08/2023;31,80;31,80;31,80;31,80;31,80;260;2;8268;31,8000
18/08/2023;0,00;0,00;0,00;0,00;32,00;0;0;0;0,0000
17/08/2023;32,00;32,00;32,00;32,00;32,00;1113;3;35616;32,0000
16/08/2023;31,805;31,805;31,80;31,80;31,80;30466;8;968823;31,8001
15/08/2023;0,00;0,00;0,00;0,00;32,00;0;0;0;0,0000
14/08/2023;32,00;32,00;32,00;32,00;32,00;3;1;96;32,0000
11/08/2023;0,00;0,00;0,00;0,00;32,00;0;0;0;0,0000
