"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG763301022
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;1,90;0;0;0;0,0000
03/11/2023;0,00;0,00;0,00;0,00;1,90;0;0;0;0,0000
02/11/2023;1,90;1,90;1,90;1,90;1,90;2178;1;4138;1,9000
01/11/2023;0,00;0,00;0,00;0,00;2,10;0;0;0;0,0000
31/10/2023;2,10;2,10;2,10;2,10;2,10;6;1;13;2,1000
30/10/2023;2,04;2,04;2,04;2,04;2,04;4;1;8;2,0400
27/10/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
26/10/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
25/10/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
24/10/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
23/10/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
20/10/2023;2,04;2,04;2,04;2,04;2,04;96;1;196;2,0400
19/10/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
18/10/2023;2,04;2,04;2,04;2,04;2,04;6;1;12;2,0400
17/10/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
16/10/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
13/10/2023;1,87;2,04;1,87;2,04;2,04;1045;2;2124;2,0327
12/10/2023;1,89;2,04;1,89;2,04;2,04;41;2;78;1,8973
11/10/2023;1,86;1,86;1,86;1,86;1,86;5;1;9;1,8600
10/10/2023;2,04;2,06;2,04;2,04;2,04;3749;8;7690;2,0512
09/10/2023;1,71;2,04;1,71;2,00;2,00;12689;11;24683;1,9452
06/10/2023;0,00;0,00;0,00;0,00;1,70;0;0;0;0,0000
05/10/2023;0,00;0,00;0,00;0,00;1,70;0;0;0;0,0000
04/10/2023;0,00;0,00;0,00;0,00;1,70;0;0;0;0,0000
03/10/2023;1,70;1,70;1,70;1,70;1,70;4900;3;8330;1,7000
02/10/2023;1,74;1,74;1,73;1,73;1,73;1172;2;2031;1,7326
29/09/2023;1,98;1,98;1,72;1,74;1,74;5497;9;10418;1,8951
28/09/2023;1,72;1,72;1,72;1,72;1,72;36;1;62;1,7200
27/09/2023;1,72;1,72;1,72;1,72;1,72;303;2;521;1,7200
26/09/2023;1,98;1,98;1,98;1,98;1,98;56;3;111;1,9800
25/09/2023;1,72;2,02;1,72;2,02;2,02;117;3;230;1,9687
22/09/2023;1,80;1,95;1,80;1,83;1,83;3901;5;7532;1,9307
21/09/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
20/09/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
19/09/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
18/09/2023;0,00;0,00;0,00;0,00;2,04;0;0;0;0,0000
15/09/2023;2,04;2,04;2,04;2,04;2,04;1009;1;2058;2,0400
14/09/2023;2,00;2,02;2,00;2,02;2,02;6932;4;13867;2,0004
13/09/2023;0,00;0,00;0,00;0,00;2,06;0;0;0;0,0000
12/09/2023;0,00;0,00;0,00;0,00;2,06;0;0;0;0,0000
11/09/2023;0,00;0,00;0,00;0,00;2,06;0;0;0;0,0000
08/09/2023;1,78;2,06;1,78;2,06;2,06;2096;7;3976;1,8972
07/09/2023;1,75;2,00;1,75;2,00;2,00;16810;14;30230;1,7983
06/09/2023;1,92;2,50;1,92;2,18;2,18;1750;5;3417;1,9523
05/09/2023;0,00;0,00;0,00;0,00;1,75;0;0;0;0,0000
