"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010759988
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;131,00;0;0;0;0,0000
03/11/2023;0,00;0,00;0,00;0,00;131,00;0;0;0;0,0000
02/11/2023;131,00;131,00;131,00;131,00;131,00;35;1;4585;131,0000
01/11/2023;0,00;0,00;0,00;0,00;128,00;0;0;0;0,0000
31/10/2023;128,00;128,00;128,00;128,00;128,00;663;2;84864;128,0000
30/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
27/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
26/10/2023;127,00;127,00;127,00;127,00;127,00;1;1;127;127,0000
25/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
24/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
23/10/2023;127,00;127,00;127,00;127,00;127,00;10;1;1270;127,0000
20/10/2023;127,00;127,00;127,00;127,00;127,00;55;1;6985;127,0000
19/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
18/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
17/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
16/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
13/10/2023;127,00;127,00;127,00;127,00;127,00;5;1;635;127,0000
12/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
11/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
10/10/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
09/10/2023;126,00;127,00;126,00;127,00;127,00;831;4;105406;126,8424
06/10/2023;0,00;0,00;0,00;0,00;125,00;0;0;0;0,0000
05/10/2023;129,00;129,00;125,00;125,00;125,00;1500;6;188830;125,8867
04/10/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
03/10/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
02/10/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
29/09/2023;127,00;129,00;127,00;129,00;129,00;280;2;36040;128,7143
28/09/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
27/09/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
26/09/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
25/09/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
22/09/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
21/09/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
