"Historical Data"
"From 2021-11-08 to 2023-11-07"
CY0101550917
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,96;1,974;1,95;1,968;1,968;997113;96;1960752;1,9664
03/11/2023;1,968;1,968;1,94;1,95;1,95;623766;75;1216543;1,9503
02/11/2023;1,95;1,956;1,94;1,954;1,954;1672955;154;3257624;1,9472
01/11/2023;1,92;1,944;1,908;1,934;1,934;1334972;115;2567087;1,9230
31/10/2023;1,938;1,938;1,918;1,924;1,924;194134;45;374788;1,9306
30/10/2023;1,92;1,938;1,92;1,932;1,932;463269;68;894833;1,9316
27/10/2023;1,90;1,946;1,90;1,92;1,92;512617;49;988218;1,9278
26/10/2023;1,912;1,924;1,902;1,91;1,91;1766908;120;3379527;1,9127
25/10/2023;1,922;1,948;1,902;1,924;1,924;2048560;152;3938545;1,9226
24/10/2023;1,948;1,958;1,934;1,944;1,944;514196;69;1000764;1,9463
23/10/2023;1,97;1,97;1,922;1,96;1,96;1582141;116;3055149;1,9310
20/10/2023;1,922;1,954;1,92;1,942;1,942;975498;139;1890219;1,9377
19/10/2023;1,896;1,938;1,89;1,92;1,92;1577483;115;3023518;1,9167
18/10/2023;1,89;1,91;1,886;1,906;1,906;302139;43;573645;1,8986
17/10/2023;1,882;1,894;1,868;1,892;1,892;606460;79;1143574;1,8857
16/10/2023;1,83;1,88;1,83;1,868;1,868;341581;56;636071;1,8621
13/10/2023;1,866;1,88;1,86;1,88;1,88;637446;52;1193026;1,8716
12/10/2023;1,842;1,88;1,842;1,872;1,872;1013690;77;1895722;1,8701
11/10/2023;1,852;1,87;1,848;1,858;1,858;462140;53;857106;1,8546
10/10/2023;1,85;1,86;1,844;1,856;1,856;606046;53;1123336;1,8536
09/10/2023;1,852;1,856;1,832;1,85;1,85;2261070;102;4162988;1,8412
06/10/2023;1,85;1,866;1,842;1,844;1,844;551179;52;1021820;1,8539
05/10/2023;1,84;1,858;1,84;1,85;1,85;267846;58;494694;1,8469
04/10/2023;1,862;1,866;1,842;1,842;1,842;1139309;117;2113925;1,8554
03/10/2023;1,862;1,88;1,858;1,868;1,868;1212189;55;2261422;1,8656
02/10/2023;1,89;1,91;1,86;1,86;1,86;972560;99;1838716;1,8906
29/09/2023;1,91;1,91;1,874;1,88;1,88;279611;45;526239;1,8820
28/09/2023;1,906;1,906;1,872;1,876;1,876;886146;81;1678760;1,8945
27/09/2023;1,872;1,91;1,872;1,894;1,894;618454;49;1174664;1,8994
26/09/2023;1,876;1,896;1,876;1,894;1,894;198247;31;374397;1,8885
25/09/2023;1,884;1,896;1,874;1,888;1,888;1071983;118;2019705;1,8841
