"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010572589
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,37;1,386;1,36;1,374;1,374;631623;53;866764;1,3723
03/11/2023;1,38;1,39;1,36;1,372;1,372;693980;58;956681;1,3785
02/11/2023;1,372;1,396;1,368;1,368;1,368;444136;45;609143;1,3715
01/11/2023;1,378;1,388;1,37;1,372;1,372;351884;46;484028;1,3755
31/10/2023;1,37;1,39;1,37;1,372;1,372;135104;29;185866;1,3757
30/10/2023;1,394;1,396;1,374;1,39;1,39;687240;44;950159;1,3826
27/10/2023;1,38;1,39;1,374;1,376;1,376;568604;56;785697;1,3818
26/10/2023;1,382;1,384;1,374;1,374;1,374;520039;56;717349;1,3794
25/10/2023;1,40;1,40;1,382;1,384;1,384;503331;42;697104;1,3850
24/10/2023;1,39;1,41;1,38;1,408;1,408;223534;33;313867;1,4041
23/10/2023;1,39;1,40;1,38;1,382;1,382;616741;59;854220;1,3851
20/10/2023;1,386;1,404;1,386;1,398;1,398;779408;44;1084537;1,3915
19/10/2023;1,39;1,398;1,382;1,382;1,382;148865;30;207370;1,3930
18/10/2023;1,398;1,40;1,39;1,39;1,39;706158;40;983670;1,3930
17/10/2023;1,394;1,408;1,394;1,40;1,40;509642;35;714116;1,4012
16/10/2023;1,398;1,41;1,39;1,394;1,394;473505;31;661289;1,3966
13/10/2023;1,40;1,41;1,396;1,406;1,406;273079;44;382753;1,4016
12/10/2023;1,40;1,416;1,392;1,416;1,416;572653;51;803879;1,4038
11/10/2023;1,40;1,40;1,39;1,396;1,396;166694;30;232502;1,3948
10/10/2023;1,384;1,398;1,384;1,398;1,398;620304;53;863929;1,3928
09/10/2023;1,394;1,40;1,39;1,396;1,396;469206;52;655333;1,3967
06/10/2023;1,414;1,414;1,382;1,394;1,394;969669;70;1354757;1,3971
05/10/2023;1,392;1,406;1,388;1,402;1,402;1671451;118;2340186;1,4001
04/10/2023;1,402;1,408;1,388;1,392;1,392;928382;64;1297426;1,3975
03/10/2023;1,418;1,418;1,404;1,404;1,404;413349;57;581988;1,4080
02/10/2023;1,42;1,428;1,408;1,408;1,408;76130;29;107825;1,4163
29/09/2023;1,412;1,422;1,41;1,418;1,418;347471;45;491702;1,4151
28/09/2023;1,404;1,42;1,404;1,414;1,414;202237;47;286277;1,4156
27/09/2023;1,404;1,42;1,404;1,41;1,41;528468;79;747108;1,4137
26/09/2023;1,408;1,42;1,406;1,412;1,412;338942;59;478460;1,4116
25/09/2023;1,414;1,43;1,41;1,414;1,414;423234;60;598980;1,4152
22/09/2023;1,422;1,428;1,41;1,416;1,416;2022938;88;2867348;1,4174
21/09/2023;1,44;1,472;1,42;1,422;1,422;1429234;104;2040649;1,4278
20/09/2023;1,45;1,454;1,438;1,438;1,438;1787715;127;2582981;1,4449
19/09/2023;1,472;1,472;1,44;1,456;1,456;1684372;132;2445916;1,4521
18/09/2023;1,43;1,468;1,43;1,46;1,46;1688113;127;2450018;1,4513
15/09/2023;1,43;1,436;1,428;1,43;1,43;380107;55;543742;1,4305
14/09/2023;1,44;1,44;1,42;1,43;1,43;229314;50;327806;1,4295
13/09/2023;1,424;1,436;1,424;1,43;1,43;349970;49;500135;1,4291
12/09/2023;1,434;1,444;1,42;1,436;1,436;488511;55;698067;1,4290
11/09/2023;1,432;1,442;1,43;1,44;1,44;451098;46;648581;1,4378
08/09/2023;1,422;1,442;1,422;1,432;1,432;815170;72;1168022;1,4329
07/09/2023;1,42;1,426;1,418;1,422;1,422;686174;68;975938;1,4223
06/09/2023;1,438;1,438;1,424;1,428;1,428;464657;48;663645;1,4282
05/09/2023;1,422;1,438;1,422;1,436;1,436;1681926;113;2406505;1,4308
04/09/2023;1,40;1,42;1,40;1,414;1,414;770630;57;1092553;1,4177
01/09/2023;1,40;1,426;1,40;1,416;1,416;997180;67;1413601;1,4176
31/08/2023;1,40;1,414;1,392;1,41;1,41;861906;93;1209849;1,4037
30/08/2023;1,40;1,41;1,394;1,41;1,41;2485406;122;3482724;1,4013
29/08/2023;1,444;1,444;1,396;1,43;1,43;5189050;273;7361169;1,4186
28/08/2023;1,43;1,464;1,43;1,46;1,46;248370;27;357337;1,4387
25/08/2023;1,44;1,448;1,43;1,436;1,436;428330;43;615682;1,4374
24/08/2023;1,44;1,456;1,43;1,442;1,442;793564;47;1141987;1,4391
23/08/2023;1,426;1,45;1,426;1,45;1,45;595510;44;858610;1,4418
22/08/2023;1,44;1,444;1,428;1,438;1,438;505564;46;726209;1,4364
21/08/2023;1,436;1,444;1,424;1,444;1,444;311570;34;446271;1,4323
18/08/2023;1,466;1,466;1,44;1,444;1,444;177050;31;256137;1,4467
17/08/2023;1,464;1,486;1,464;1,466;1,466;106097;21;156424;1,4743
16/08/2023;1,47;1,486;1,458;1,47;1,47;465745;48;687352;1,4758
15/08/2023;1,45;1,474;1,448;1,464;1,464;327856;55;478163;1,4585
14/08/2023;1,47;1,478;1,456;1,456;1,456;314167;38;461070;1,4676
11/08/2023;1,476;1,482;1,45;1,47;1,47;240156;47;353482;1,4719
10/08/2023;1,45;1,482;1,434;1,458;1,458;1131011;104;1649356;1,4583
09/08/2023;1,426;1,448;1,426;1,448;1,448;391679;48;564612;1,4415
08/08/2023;1,44;1,45;1,43;1,432;1,432;192996;33;278380;1,4424
07/08/2023;1,422;1,46;1,422;1,46;1,46;647038;46;935359;1,4456
04/08/2023;1,424;1,446;1,424;1,436;1,436;496019;47;711658;1,4347
03/08/2023;1,422;1,444;1,42;1,444;1,444;898318;87;1284926;1,4304
02/08/2023;1,428;1,448;1,42;1,426;1,426;396970;43;566039;1,4259
01/08/2023;1,43;1,446;1,428;1,446;1,446;56740;23;81342;1,4336
31/07/2023;1,422;1,448;1,422;1,434;1,434;190900;34;274117;1,4359
28/07/2023;1,428;1,45;1,428;1,442;1,442;161500;29;232215;1,4379
27/07/2023;1,42;1,44;1,42;1,43;1,43;216974;33;310655;1,4318
26/07/2023;1,42;1,438;1,42;1,438;1,438;213005;30;305776;1,4355
25/07/2023;1,418;1,44;1,418;1,44;1,44;130868;24;187703;1,4343
24/07/2023;1,424;1,45;1,424;1,438;1,438;120532;27;173221;1,4371
21/07/2023;1,43;1,446;1,424;1,446;1,446;86102;16;123295;1,4320
20/07/2023;1,422;1,458;1,42;1,436;1,436;174852;22;252160;1,4421
19/07/2023;1,412;1,45;1,412;1,422;1,422;117186;19;167140;1,4263
18/07/2023;1,412;1,434;1,412;1,424;1,424;90875;25;129480;1,4248
17/07/2023;1,414;1,426;1,414;1,424;1,424;470794;29;669878;1,4229
14/07/2023;1,432;1,438;1,428;1,43;1,43;46281;18;66245;1,4314
13/07/2023;1,436;1,448;1,412;1,43;1,43;722539;49;1038066;1,4367
12/07/2023;1,434;1,458;1,434;1,446;1,446;784560;79;1135582;1,4474
11/07/2023;1,426;1,442;1,426;1,436;1,436;333699;35;477182;1,4300
10/07/2023;1,42;1,438;1,42;1,426;1,426;201949;32;288750;1,4298
07/07/2023;1,42;1,438;1,42;1,426;1,426;370214;35;527523;1,4249
06/07/2023;1,43;1,44;1,42;1,42;1,42;312503;44;446521;1,4289
05/07/2023;1,45;1,45;1,422;1,43;1,43;366782;40;524990;1,4313
04/07/2023;1,44;1,45;1,426;1,45;1,45;230341;38;331562;1,4394
03/07/2023;1,44;1,44;1,424;1,44;1,44;575390;67;826945;1,4372
30/06/2023;1,438;1,438;1,412;1,43;1,43;249448;42;355267;1,4242
29/06/2023;1,41;1,42;1,41;1,418;1,418;169764;26;240025;1,4139
28/06/2023;1,408;1,422;1,408;1,42;1,42;309961;39;438744;1,4155
27/06/2023;1,404;1,42;1,404;1,416;1,416;344542;43;486739;1,4127
26/06/2023;1,428;1,428;1,402;1,412;1,412;721381;59;1015649;1,4079
23/06/2023;1,418;1,456;1,402;1,41;1,41;1438025;64;2043107;1,4208
22/06/2023;1,42;1,456;1,42;1,43;1,43;980622;88;1411908;1,4398
21/06/2023;1,422;1,454;1,422;1,43;1,43;141741;28;203228;1,4338
20/06/2023;1,426;1,442;1,418;1,442;1,442;566785;67;812817;1,4341
19/06/2023;1,43;1,438;1,424;1,424;1,424;259248;53;370753;1,4301
16/06/2023;1,446;1,446;1,43;1,438;1,438;264759;58;379992;1,4352
15/06/2023;1,416;1,44;1,416;1,43;1,43;612550;65;875767;1,4297
14/06/2023;1,436;1,446;1,406;1,44;1,44;521785;50;742935;1,4238
13/06/2023;1,408;1,436;1,408;1,436;1,436;149303;41;212894;1,4259
12/06/2023;1,43;1,446;1,414;1,418;1,418;1371195;180;1955776;1,4263
09/06/2023;1,434;1,448;1,43;1,43;1,43;253982;53;365330;1,4384
08/06/2023;1,44;1,444;1,434;1,434;1,434;238795;44;343527;1,4386
07/06/2023;1,448;1,448;1,432;1,448;1,448;328804;46;472311;1,4365
06/06/2023;1,45;1,45;1,434;1,448;1,448;548102;58;789292;1,4400
05/06/2023;1,434;1,45;1,41;1,446;1,446;292639;61;422093;1,4424
02/06/2023;1,41;1,434;1,40;1,432;1,432;1000647;94;1424141;1,4232
01/06/2023;1,40;1,426;1,40;1,412;1,412;633638;75;897430;1,4163
31/05/2023;1,468;1,468;1,394;1,402;1,402;1739406;121;2447763;1,4072
30/05/2023;1,468;1,468;1,418;1,42;1,42;1433996;100;2040751;1,4231
29/05/2023;0,00;0,00;0,00;0,00;1,426;0;0;0;0,0000
26/05/2023;1,43;1,45;1,418;1,426;1,426;1146587;112;1640222;1,4305
25/05/2023;1,48;1,48;1,422;1,426;1,426;929252;94;1340018;1,4420
24/05/2023;1,46;1,472;1,454;1,47;1,47;461746;47;674186;1,4601
23/05/2023;1,434;1,472;1,434;1,46;1,46;758137;102;1108728;1,4624
22/05/2023;1,43;1,468;1,43;1,468;1,468;1434289;148;2086385;1,4546
19/05/2023;1,422;1,44;1,412;1,426;1,426;518103;61;738558;1,4255
18/05/2023;0,00;0,00;0,00;0,00;1,42;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;1,42;0;0;0;0,0000
16/05/2023;1,412;1,43;1,412;1,42;1,42;1621634;164;2305534;1,4217
15/05/2023;1,47;1,47;1,398;1,422;1,422;11099774;704;15679788;1,4126
12/05/2023;1,47;1,494;1,446;1,472;1,472;387960;91;565911;1,4587
11/05/2023;1,456;1,496;1,452;1,486;1,486;294909;55;432322;1,4660
10/05/2023;1,446;1,498;1,446;1,474;1,474;811962;84;1194893;1,4716
09/05/2023;1,48;1,48;1,454;1,46;1,46;363672;49;535633;1,4728
08/05/2023;1,46;1,48;1,452;1,48;1,48;223588;62;327349;1,4641
05/05/2023;1,466;1,49;1,462;1,476;1,476;561315;48;825771;1,4711
04/05/2023;1,482;1,492;1,47;1,476;1,476;385131;81;569699;1,4792
03/05/2023;1,49;1,50;1,482;1,492;1,492;198883;52;296512;1,4909
02/05/2023;1,50;1,508;1,49;1,498;1,498;496221;66;742160;1,4956
28/04/2023;1,528;1,528;1,492;1,51;1,51;294286;46;442437;1,5034
27/04/2023;1,556;1,556;1,492;1,522;1,522;281199;58;423674;1,5067
26/04/2023;1,532;1,532;1,50;1,51;1,51;428628;76;648704;1,5134
25/04/2023;1,56;1,56;1,52;1,524;1,524;44573;31;68168;1,5294
24/04/2023;1,528;1,548;1,512;1,53;1,53;185616;51;282567;1,5223
21/04/2023;1,54;1,56;1,53;1,534;1,534;356968;64;547984;1,5351
