"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010310956
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;535,40;538,00;529,60;533,20;533,20;156997;1254;83698741;533,1232
03/11/2023;542,00;544,80;533,80;535,60;535,60;122079;1032;65554435;536,9837
02/11/2023;534,00;540,80;531,80;539,00;539,00;121195;1097;65221221;538,1511
01/11/2023;529,00;534,60;526,00;533,00;533,00;179973;1034;95547504;530,8991
31/10/2023;523,20;531,60;523,00;528,80;528,80;169304;1132;89451607;528,3490
30/10/2023;517,00;522,20;513,00;520,60;520,60;139107;1289;72283140;519,6226
27/10/2023;511,40;525,00;511,40;516,60;516,60;143441;1207;74400756;518,6854
26/10/2023;506,00;514,80;500,00;512,40;512,40;220762;1381;112586489;509,9903
25/10/2023;511,00;514,40;502,40;506,80;506,80;215969;1863;109631795;507,6275
24/10/2023;502,20;512,20;499,00;510,40;510,40;146610;1397;74306948;506,8341
23/10/2023;512,20;513,00;501,40;504,80;504,80;186590;1372;94331426;505,5546
20/10/2023;528,00;530,00;510,20;511,60;511,60;207942;1632;107250718;515,7723
19/10/2023;533,80;535,40;526,80;529,40;529,40;127292;1242;67483492;530,1472
18/10/2023;539,00;539,40;529,60;536,00;536,00;154508;1333;82694375;535,2110
17/10/2023;538,80;544,60;538,00;542,60;542,60;97305;1020;52704717;541,6445
16/10/2023;542,40;542,40;532,80;539,40;539,40;127940;1235;68945128;538,8864
13/10/2023;545,00;549,00;535,20;542,80;542,80;130959;1099;71028835;542,3746
12/10/2023;542,80;551,40;539,40;545,60;545,60;130332;1372;71178257;546,1303
11/10/2023;536,40;547,80;533,80;544,20;544,20;194317;1498;105701009;543,9617
10/10/2023;535,80;537,00;530,60;537,00;537,00;174088;1776;93230515;535,5367
09/10/2023;531,00;534,20;526,20;530,60;530,60;139704;1446;74045265;530,0154
06/10/2023;532,00;536,00;527,80;530,80;530,80;121098;1198;64384557;531,6732
05/10/2023;524,80;535,00;524,80;532,60;532,60;148480;1251;78866908;531,1618
04/10/2023;535,00;536,40;522,80;524,00;524,00;234577;1963;123520973;526,5690
03/10/2023;549,00;550,00;537,00;537,20;537,20;193611;1404;104690867;540,7279
02/10/2023;543,00;551,60;542,00;547,60;547,60;230852;1405;126441766;547,7179
29/09/2023;539,00;546,60;538,40;543,40;543,40;143625;1302;78001395;543,0907
28/09/2023;547,60;547,60;532,80;535,60;535,60;157805;1513;84869266;537,8110
27/09/2023;537,80;550,80;533,00;547,80;547,80;168162;1736;91761625;545,6740
26/09/2023;538,60;541,20;533,00;537,80;537,80;146906;1434;79021758;537,9069
25/09/2023;553,00;553,00;539,00;541,00;541,00;173893;1318;94559461;543,7796
22/09/2023;559,20;559,20;550,60;554,00;554,00;111651;1274;61850114;553,9593
21/09/2023;560,00;565,80;556,40;560,20;560,20;156872;1363;87908387;560,3829
20/09/2023;565,40;567,80;557,40;563,00;563,00;142064;1430;80124120;564,0002
19/09/2023;562,40;567,40;556,60;563,40;563,40;175692;1828;98708135;561,8249
18/09/2023;547,80;563,20;547,40;562,40;562,40;174059;1453;96816020;556,2253
15/09/2023;557,80;561,00;550,80;555,00;555,00;359750;2330;199710908;555,1380
14/09/2023;549,00;558,80;548,00;555,20;555,20;227257;2016;126213984;555,3800
13/09/2023;542,00;547,40;541,80;546,20;546,20;124816;1304;68029428;545,0377
12/09/2023;538,00;543,40;537,20;540,20;540,20;190239;1808;102760600;540,1658
11/09/2023;527,60;538,80;526,60;534,20;534,20;171725;1333;91780599;534,4627
08/09/2023;528,00;531,80;523,80;526,20;526,20;161297;1289;85054015;527,3131
07/09/2023;526,00;534,60;525,00;525,40;525,40;213483;1823;112837321;528,5541
06/09/2023;538,40;543,00;523,40;527,80;527,80;398365;2627;211700285;531,4229
05/09/2023;521,00;524,40;519,40;522,40;522,40;116127;967;60630467;522,1048
04/09/2023;522,40;526,00;520,40;522,00;522,00;100879;1020;52730848;522,7138
01/09/2023;518,20;527,40;516,20;524,00;524,00;163576;1481;85545506;522,9710
31/08/2023;516,80;520,00;513,20;520,00;520,00;311877;1827;161773693;518,7099
30/08/2023;512,00;520,20;512,00;516,80;516,80;145903;1357;75409906;516,8496
29/08/2023;506,40;511,00;502,80;511,00;511,00;206196;1341;104792094;508,2159
28/08/2023;502,00;507,00;499,40;505,20;505,20;106259;1016;53612285;504,5435
25/08/2023;494,00;501,40;491,20;500,00;500,00;176008;1478;87675030;498,1309
24/08/2023;494,10;503,80;479,10;497,00;497,00;486090;3547;241126769;496,0538
23/08/2023;472,00;487,50;472,00;479,70;479,70;276361;1968;132950015;481,0737
22/08/2023;480,50;480,50;471,50;472,60;472,60;162414;1601;77026897;474,2627
21/08/2023;474,20;484,80;473,00;480,40;480,40;191921;1988;92367840;481,2805
18/08/2023;483,00;484,00;468,10;474,00;474,00;236234;1810;112012148;474,1576
17/08/2023;484,00;487,60;480,00;484,00;484,00;170662;1578;82650949;484,2961
16/08/2023;472,70;485,10;472,00;485,10;485,10;191941;1533;92521162;482,0292
15/08/2023;473,60;484,00;473,00;473,00;473,00;136644;1511;65017064;475,8135
14/08/2023;467,70;477,00;466,00;473,00;473,00;200732;1637;95088382;473,7081
11/08/2023;461,00;470,90;457,00;467,00;467,00;162468;1577;75961142;467,5453
10/08/2023;459,70;464,80;449,40;463,00;463,00;191405;2019;87777521;458,5958
09/08/2023;458,20;465,30;455,30;463,00;463,00;179099;1325;82838882;462,5312
08/08/2023;458,50;460,40;453,70;458,60;458,60;88327;1003;40464135;458,1174
07/08/2023;462,00;463,00;452,80;458,50;458,50;100515;936;46048734;458,1280
04/08/2023;460,00;461,60;450,40;461,10;461,10;144278;1408;66094578;458,1057
03/08/2023;460,60;462,50;457,00;460,40;460,40;73267;813;33690582;459,8330
02/08/2023;470,70;473,90;461,60;461,90;461,90;138012;1077;64244412;465,4987
01/08/2023;467,00;470,80;461,20;469,70;469,70;114741;1063;53593049;467,0785
31/07/2023;458,40;471,00;458,40;468,30;468,30;191102;1462;89361589;467,6120
28/07/2023;460,00;462,00;451,50;458,40;458,40;72517;892;33128519;456,8380
27/07/2023;450,00;461,90;449,00;461,50;461,50;108200;978;49744313;459,7441
26/07/2023;447,20;456,30;446,30;448,50;448,50;111288;1215;50099326;450,1772
25/07/2023;450,00;450,00;441,50;447,20;447,20;144225;1179;64278888;445,6848
24/07/2023;454,20;457,00;449,20;451,10;451,10;110660;1263;49971157;451,5738
21/07/2023;455,00;457,80;451,40;457,20;457,20;94635;1009;43134650;455,8002
20/07/2023;447,80;455,00;444,90;453,60;453,60;145862;1091;66008459;452,5405
19/07/2023;431,30;447,50;431,30;445,80;445,80;157371;1203;69902428;444,1888
18/07/2023;424,40;432,60;422,00;430,90;430,90;115125;1000;49511536;430,0676
17/07/2023;440,40;441,40;425,30;425,30;425,30;198185;1295;84840323;428,0865
14/07/2023;447,00;451,00;440,10;444,90;444,90;123403;1138;54882940;444,7456
13/07/2023;441,70;450,20;440,60;446,50;446,50;202966;1024;90530085;446,0357
12/07/2023;429,70;442,80;426,70;441,50;441,50;134259;1350;58735265;437,4773
11/07/2023;424,00;429,20;419,90;428,60;428,60;151334;1175;64612204;426,9510
10/07/2023;421,80;429,00;419,30;427,20;427,20;168639;1594;71828733;425,9319
07/07/2023;435,20;436,10;421,90;426,00;426,00;197075;1699;84057583;426,5259
