"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010892094
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;6,01;6,05;5,88;5,92;5,92;739805;249;4383572;5,9253
03/11/2023;6,08;6,08;5,97;5,98;5,98;676935;235;4069465;6,0116
02/11/2023;5,98;6,11;5,96;6,08;6,08;450463;234;2728191;6,0564
01/11/2023;6,00;6,06;5,91;5,98;5,98;382291;166;2278271;5,9595
31/10/2023;6,02;6,10;6,00;6,03;6,03;439013;184;2655476;6,0487
30/10/2023;6,10;6,12;6,01;6,02;6,02;303360;130;1841715;6,0711
27/10/2023;5,98;6,14;5,89;6,09;6,09;941312;289;5698684;6,0540
26/10/2023;5,90;5,95;5,81;5,93;5,93;991727;298;5829350;5,8780
25/10/2023;6,00;6,05;5,85;5,89;5,89;1023096;221;6082101;5,9448
24/10/2023;5,92;5,95;5,84;5,95;5,95;666659;238;3935407;5,9032
23/10/2023;6,03;6,03;5,88;5,90;5,90;552472;211;3280263;5,9374
20/10/2023;6,03;6,04;5,96;6,00;6,00;608752;252;3654648;6,0035
19/10/2023;6,10;6,13;6,02;6,03;6,03;386130;191;2344206;6,0710
18/10/2023;6,12;6,12;5,95;6,11;6,11;1115833;322;6723825;6,0258
17/10/2023;6,03;6,08;6,01;6,07;6,07;316505;207;1910403;6,0359
16/10/2023;6,09;6,10;6,02;6,05;6,05;436254;222;2644958;6,0629
13/10/2023;6,12;6,15;6,07;6,09;6,09;229802;165;1400800;6,0957
12/10/2023;6,23;6,24;6,13;6,15;6,15;573210;252;3541103;6,1777
11/10/2023;6,20;6,23;6,12;6,23;6,23;375520;167;2324342;6,1897
10/10/2023;6,10;6,11;6,02;6,10;6,10;567810;259;3439329;6,0572
09/10/2023;6,17;6,18;6,02;6,06;6,06;522516;266;3183555;6,0927
06/10/2023;6,19;6,19;6,12;6,16;6,16;356703;186;2194915;6,1533
05/10/2023;6,20;6,23;6,12;6,15;6,15;306403;185;1888830;6,1645
04/10/2023;6,20;6,25;6,14;6,16;6,16;468193;221;2901926;6,1981
03/10/2023;6,40;6,40;6,16;6,22;6,22;737161;333;4601243;6,2418
02/10/2023;6,28;6,55;6,28;6,36;6,36;884269;404;5681111;6,4246
29/09/2023;6,22;6,32;6,21;6,21;6,21;207903;174;1304107;6,2727
28/09/2023;6,36;6,37;6,24;6,27;6,27;481434;256;3025028;6,2834
27/09/2023;6,20;6,38;6,20;6,38;6,38;425239;193;2676434;6,2940
26/09/2023;6,30;6,30;6,17;6,19;6,19;457674;222;2848050;6,2229
25/09/2023;6,28;6,34;6,19;6,32;6,32;417680;311;2615055;6,2609
22/09/2023;6,44;6,44;6,34;6,34;6,34;161420;150;1028366;6,3707
21/09/2023;6,43;6,49;6,40;6,44;6,44;215199;140;1384053;6,4315
20/09/2023;6,35;6,50;6,31;6,46;6,46;618064;298;3974636;6,4308
19/09/2023;6,42;6,44;6,27;6,30;6,30;553998;238;3501442;6,3203
18/09/2023;6,47;6,48;6,35;6,42;6,42;664728;291;4255232;6,4015
15/09/2023;6,45;6,54;6,44;6,48;6,48;387762;220;2513434;6,4819
14/09/2023;6,31;6,50;6,31;6,49;6,49;484766;263;3117051;6,4300
13/09/2023;6,29;6,39;6,27;6,33;6,33;316607;260;2004354;6,3307
12/09/2023;6,20;6,40;6,19;6,27;6,27;525213;292;3306330;6,2952
11/09/2023;6,16;6,24;6,13;6,18;6,18;663965;317;4097898;6,1719
08/09/2023;6,24;6,27;6,13;6,16;6,16;619166;382;3825562;6,1786
07/09/2023;6,36;6,36;6,20;6,24;6,24;458062;249;2869797;6,2651
06/09/2023;6,56;6,60;6,35;6,36;6,36;465687;299;3022940;6,4914
05/09/2023;6,30;6,62;6,30;6,62;6,62;997543;300;6515768;6,5318
04/09/2023;6,20;6,45;6,11;6,32;6,32;1961923;592;12382743;6,3115
01/09/2023;6,20;6,25;6,17;6,20;6,20;269677;194;1673279;6,2048
31/08/2023;6,15;6,26;6,11;6,22;6,22;532921;238;3288705;6,1711
