"Historical Data"
"From 2021-11-08 to 2023-11-07"
SE0003366871
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,04;0,0445;0,04;0,042;0,042;21609077;189;918383;0,0425
03/11/2023;0,0433;0,047;0,04;0,0411;0,0411;19072220;138;804675;0,0422
02/11/2023;0,045;0,0481;0,04;0,043;0,043;35347598;169;1561190;0,0442
01/11/2023;0,049;0,049;0,0445;0,0447;0,0447;14559714;105;672031;0,0462
31/10/2023;0,056;0,056;0,047;0,0488;0,0488;27835077;169;1377829;0,0495
30/10/2023;0,05;0,0549;0,0455;0,0543;0,0543;43103204;262;2204750;0,0512
27/10/2023;0,038;0,051;0,0321;0,051;0,051;41691501;281;1770760;0,0425
26/10/2023;0,05;0,05;0,0364;0,037;0,037;42386286;247;1641150;0,0387
25/10/2023;0,0464;0,0491;0,0433;0,046;0,046;19204267;147;863690;0,0450
24/10/2023;0,049;0,0513;0,0459;0,0484;0,0484;21495373;144;1030115;0,0479
23/10/2023;0,053;0,0535;0,0457;0,0493;0,0493;28016020;270;1391381;0,0497
20/10/2023;0,07;0,07;0,0521;0,055;0,055;40354341;272;2283034;0,0566
19/10/2023;0,0509;0,0624;0,0452;0,0586;0,0586;65724933;438;3736468;0,0569
18/10/2023;0,0528;0,0562;0,0444;0,0516;0,0516;79344253;470;3828819;0,0483
17/10/2023;0,0702;0,0705;0,0527;0,0558;0,0558;70440159;488;4028194;0,0572
16/10/2023;0,0729;0,0777;0,0628;0,069;0,069;94540811;858;6893414;0,0729
13/10/2023;0,06;0,077;0,06;0,067;0,067;211238935;1363;14648676;0,0693
12/10/2023;0,0501;0,059;0,0501;0,0573;0,0573;106256665;805;5998548;0,0565
11/10/2023;0,043;0,0644;0,042;0,0489;0,0489;178697338;1362;9410701;0,0527
10/10/2023;0,0247;0,0557;0,0247;0,043;0,043;241684670;1932;11262944;0,0466
09/10/2023;0,03;0,03;0,0206;0,0246;0,0246;24516747;340;607354;0,0248
06/10/2023;0,0353;0,0356;0,027;0,0282;0,0282;34970814;502;1046476;0,0299
05/10/2023;0,0487;0,0506;0,035;0,036;0,036;52772849;1000;2075683;0,0393
04/10/2023;0,055;0,0785;0,0405;0,0488;0,0488;153445830;3178;8407255;0,0548
03/10/2023;0,27;0,39;0,27;0,30;0,30;41975547;1295;13642942;0,3250
02/10/2023;0,2501;0,2778;0,2501;0,268;0,268;4666401;192;1258550;0,2697
29/09/2023;0,26;0,2699;0,2491;0,2598;0,2598;3458387;147;897534;0,2595
28/09/2023;0,2541;0,26;0,2377;0,253;0,253;4452297;167;1098456;0,2467
27/09/2023;0,2672;0,2672;0,2363;0,2453;0,2453;6605070;249;1643793;0,2489
26/09/2023;0,293;0,293;0,2568;0,2744;0,2744;8897909;312;2432241;0,2734
25/09/2023;0,282;0,312;0,2799;0,2931;0,2931;5668275;174;1691723;0,2985
22/09/2023;0,29;0,2912;0,2767;0,2809;0,2809;1504992;80;422062;0,2804
21/09/2023;0,285;0,2962;0,275;0,285;0,285;2915891;126;825814;0,2832
20/09/2023;0,29;0,294;0,2853;0,2906;0,2906;1106090;73;320309;0,2896
19/09/2023;0,293;0,2999;0,2917;0,294;0,294;1007671;80;295972;0,2937
18/09/2023;0,295;0,3016;0,294;0,2956;0,2956;1545420;133;460901;0,2982
15/09/2023;0,3016;0,302;0,2953;0,2978;0,2978;2363309;93;705531;0,2985
14/09/2023;0,3058;0,3099;0,2987;0,3003;0,3003;2264213;96;688712;0,3042
13/09/2023;0,3001;0,309;0,2985;0,2985;0,2985;2735770;129;826188;0,3020
12/09/2023;0,32;0,325;0,3046;0,3089;0,3089;4386821;149;1378289;0,3142
11/09/2023;0,332;0,3323;0,3226;0,3239;0,3239;1356751;85;441432;0,3254
08/09/2023;0,3392;0,3392;0,3259;0,328;0,328;2214716;83;733495;0,3312
07/09/2023;0,3464;0,3465;0,329;0,3321;0,3321;3885530;127;1311217;0,3375
06/09/2023;0,3385;0,3504;0,3333;0,3364;0,3364;4026063;119;1376556;0,3419
05/09/2023;0,3468;0,3549;0,3391;0,3394;0,3394;1507953;97;518029;0,3435
04/09/2023;0,37;0,3752;0,338;0,3475;0,3475;8928725;309;3138408;0,3515
01/09/2023;0,3757;0,4512;0,353;0,3588;0,3588;23602927;844;9436881;0,3998
31/08/2023;0,339;0,3561;0,339;0,3512;0,3512;1450108;82;504684;0,3480
30/08/2023;0,3418;0,3468;0,3378;0,339;0,339;211084;29;72131;0,3417
29/08/2023;0,3428;0,345;0,3392;0,3418;0,3418;793833;49;271152;0,3416
28/08/2023;0,34;0,3419;0,3382;0,3382;0,3382;314595;47;106928;0,3399
25/08/2023;0,35;0,35;0,3357;0,3374;0,3374;489346;49;166912;0,3411
