"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003028904
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;231,40;234,80;231,40;234,50;234,50;77268;573;18082159;234,0187
03/11/2023;227,20;230,10;226,90;229,90;229,90;52893;407;12109647;228,9461
02/11/2023;223,10;230,40;223,10;227,80;227,80;120413;594;27467891;228,1140
01/11/2023;223,20;224,20;218,10;220,20;220,20;191100;1717;42122901;220,4233
31/10/2023;226,00;226,00;220,50;223,20;223,20;135017;825;30127847;223,1411
30/10/2023;217,80;223,20;217,80;219,40;219,40;75208;677;16538219;219,8997
27/10/2023;222,10;222,10;215,00;217,80;217,80;81099;647;17677880;217,9790
26/10/2023;213,20;220,10;212,00;216,30;216,30;150452;1029;32588237;216,6022
25/10/2023;210,70;224,60;210,40;217,30;217,30;205736;1261;44820138;217,8527
24/10/2023;218,00;221,30;215,90;220,50;220,50;75921;640;16635738;219,1191
23/10/2023;220,00;222,90;214,30;216,50;216,50;185345;1374;40305352;217,4612
20/10/2023;232,90;234,10;226,20;232,00;232,00;150445;1149;34779318;231,1763
19/10/2023;235,80;239,50;232,90;235,20;235,20;120602;703;28480514;236,1529
18/10/2023;235,10;237,80;231,50;237,40;237,40;143267;872;33746946;235,5528
17/10/2023;239,00;240,20;234,90;238,60;238,60;83724;773;19953051;238,3194
16/10/2023;238,00;238,00;232,70;237,60;237,60;84774;775;20050047;236,5118
13/10/2023;232,00;239,40;232,00;238,00;238,00;100276;987;23882021;238,1629
12/10/2023;237,80;240,30;236,80;238,60;238,60;76066;813;18157436;238,7063
11/10/2023;228,60;238,60;228,60;237,90;237,90;140376;756;33295782;237,1900
10/10/2023;233,00;241,00;233,00;239,50;239,50;104319;537;24977538;239,4342
09/10/2023;237,30;239,30;233,30;237,70;237,70;100028;888;23765179;237,5853
06/10/2023;233,30;238,20;232,00;237,00;237,00;104777;658;24826743;236,9484
05/10/2023;239,00;239,00;231,20;234,20;234,20;135734;814;31770446;234,0640
04/10/2023;228,50;237,20;226,40;236,00;236,00;156462;832;36680524;234,4373
03/10/2023;231,00;234,10;228,40;228,80;228,80;138305;1192;31864625;230,3939
02/10/2023;241,00;242,60;232,80;232,80;232,80;207884;1034;48703719;234,2832
29/09/2023;246,90;247,80;240,90;240,90;240,90;316407;967;76503207;241,7873
28/09/2023;245,00;245,50;238,50;242,00;242,00;216986;1154;52691518;242,8337
27/09/2023;242,00;247,90;238,70;241,80;241,80;289169;1794;70228675;242,8638
26/09/2023;244,40;246,90;238,90;241,80;241,80;243370;1905;58863782;241,8695
25/09/2023;246,20;252,60;241,90;244,90;244,90;403339;3406;99625030;247,0007
22/09/2023;239,30;254,60;238,70;247,70;247,70;1216008;7090;301172482;247,6731
21/09/2023;214,70;222,00;212,40;219,40;219,40;245409;1317;53639396;218,5714
20/09/2023;211,50;215,00;209,50;214,70;214,70;184783;846;39573809;214,1637
19/09/2023;211,00;213,40;208,90;208,90;208,90;200534;1287;42102591;209,9524
18/09/2023;211,00;212,00;209,50;209,50;209,50;127951;728;26898586;210,2257
15/09/2023;210,00;211,10;207,60;210,30;210,30;317365;1338;66634718;209,9624
14/09/2023;207,00;210,20;203,20;208,10;208,10;433098;2779;89457710;206,5530
13/09/2023;220,00;220,00;202,60;209,00;209,00;378247;2029;79282286;209,6045
12/09/2023;218,00;220,00;216,00;216,20;216,20;63163;423;13694537;216,8126
11/09/2023;217,10;218,50;215,00;218,00;218,00;60242;457;13075617;217,0515
08/09/2023;215,20;218,30;215,20;215,40;215,40;69975;532;15143392;216,4115
07/09/2023;217,60;217,60;212,00;214,80;214,80;132962;555;28446569;213,9451
06/09/2023;220,00;220,30;214,10;214,10;214,10;78426;594;16882806;215,2705
05/09/2023;220,10;221,40;218,30;219,50;219,50;65517;486;14387543;219,6002
04/09/2023;221,50;224,40;220,20;220,70;220,70;84736;677;18766742;221,4731
01/09/2023;226,50;226,50;222,40;223,60;223,60;116014;895;25978217;223,9231
31/08/2023;227,50;230,40;221,90;226,50;226,50;167325;964;37865145;226,2970
30/08/2023;225,90;228,10;225,50;227,30;227,30;100587;714;22850980;227,1763
29/08/2023;223,90;225,90;223,50;225,20;225,20;88134;757;19841530;225,1291
28/08/2023;219,00;224,00;219,00;223,90;223,90;72428;512;16125367;222,6400
25/08/2023;214,10;220,80;214,10;218,90;218,90;115770;712;25326286;218,7638
24/08/2023;217,50;219,90;215,20;216,10;216,10;206668;826;44765193;216,6044
23/08/2023;218,00;218,00;213,30;216,90;216,90;276417;754;59644276;215,7764
22/08/2023;210,70;215,00;210,70;214,40;214,40;93778;591;20064598;213,9585
21/08/2023;211,70;214,00;211,00;212,10;212,10;138798;893;29470918;212,3296
18/08/2023;214,90;214,90;210,50;212,00;212,00;133838;736;28265521;211,1920
17/08/2023;216,00;216,00;212,30;214,90;214,90;67655;528;14526463;214,7138
16/08/2023;217,20;219,00;215,50;216,10;216,10;108208;743;23487872;217,0622
15/08/2023;218,60;219,90;216,40;218,40;218,40;89106;559;19436064;218,1230
14/08/2023;221,00;221,00;216,90;217,70;217,70;81189;532;17680056;217,7642
11/08/2023;217,90;221,50;216,10;220,00;220,00;116500;860;25612421;219,8491
10/08/2023;217,60;219,50;216,10;218,10;218,10;188727;1179;41142185;217,9984
09/08/2023;213,00;219,20;210,30;218,60;218,60;134567;1084;29309829;217,8084
08/08/2023;209,00;213,60;206,80;213,20;213,20;132894;1124;28145797;211,7913
07/08/2023;210,20;211,20;207,80;209,40;209,40;89750;866;18768488;209,1196
04/08/2023;208,00;210,30;203,00;210,20;210,20;129377;827;27101034;209,4734
03/08/2023;207,00;209,10;204,00;208,40;208,40;134475;748;27901252;207,4828
02/08/2023;209,00;210,10;205,80;206,20;206,20;209597;1105;43593175;207,9857
01/08/2023;215,00;215,70;208,70;211,00;211,00;304279;1488;64515684;212,0281
