"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010736879
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;214,00;217,80;214,00;217,20;217,20;49748;341;10782495;216,7423
03/11/2023;211,20;213,20;210,40;212,60;212,60;27627;227;5857719;212,0288
02/11/2023;206,00;213,40;206,00;211,20;211,20;63751;435;13470688;211,3016
01/11/2023;206,60;209,20;202,00;204,80;204,80;132543;989;27068786;204,2264
31/10/2023;205,80;208,40;205,00;207,00;207,00;75060;579;15558358;207,2790
30/10/2023;192,00;207,20;192,00;204,20;204,20;38520;262;7886040;204,7259
27/10/2023;203,20;204,60;200,20;202,80;202,80;65706;337;13335845;202,9624
26/10/2023;208,00;208,00;197,60;201,60;201,60;85687;471;17251893;201,3362
25/10/2023;202,80;208,40;197,00;202,20;202,20;159583;977;32406457;203,0696
24/10/2023;196,50;205,00;196,50;203,60;203,60;120193;709;24375290;202,8012
23/10/2023;202,40;206,20;197,50;199,50;199,50;148590;965;29874598;201,0539
20/10/2023;216,20;217,20;210,20;214,00;214,00;72110;461;15429988;213,9785
19/10/2023;224,00;224,00;216,00;217,60;217,60;129312;687;28319026;218,9977
18/10/2023;216,60;220,00;212,20;218,20;218,20;228891;924;49747949;217,3434
17/10/2023;219,00;220,00;214,80;218,40;218,40;323425;559;70685407;218,5527
16/10/2023;218,00;218,00;213,80;217,40;217,40;90075;695;19485118;216,3210
13/10/2023;214,80;219,80;214,80;217,80;217,80;83807;509;18276720;218,0811
12/10/2023;219,80;219,80;217,00;218,40;218,40;77176;593;16851607;218,3530
11/10/2023;218,40;219,00;214,80;217,00;217,00;76567;495;16603587;216,8504
10/10/2023;220,00;222,00;218,20;219,00;219,00;73215;422;16064102;219,4100
09/10/2023;217,00;220,40;215,80;219,00;219,00;52943;448;11593431;218,9795
06/10/2023;219,80;219,80;216,00;219,00;219,00;58070;272;12712055;218,9092
05/10/2023;218,60;220,80;214,00;216,00;216,00;91939;331;19858497;215,9964
04/10/2023;230,00;230,00;210,20;218,60;218,60;131992;686;28531882;216,1637
03/10/2023;214,00;217,00;211,20;211,20;211,20;167775;586;35772591;213,2176
02/10/2023;222,80;225,60;215,60;216,00;216,00;432975;804;94875811;219,1254
29/09/2023;226,40;229,60;223,20;223,20;223,20;110475;454;24738444;223,9280
28/09/2023;223,00;228,40;221,80;225,00;225,00;55491;377;12515979;225,5497
27/09/2023;222,60;229,60;221,60;223,80;223,80;136274;812;30687904;225,1927
26/09/2023;229,40;229,40;221,80;223,80;223,80;148630;921;33331764;224,2600
25/09/2023;225,20;234,20;224,40;226,00;226,00;339746;2338;77870498;229,2021
22/09/2023;219,80;233,80;219,80;226,20;226,20;564008;3639;128720942;228,2254
21/09/2023;195,60;205,00;194,20;202,20;202,20;162902;958;32702695;200,7507
20/09/2023;205,20;205,20;194,60;195,20;195,20;194605;526;38090476;195,7323
19/09/2023;196,00;198,00;193,00;193,80;193,80;161530;777;31463587;194,7848
18/09/2023;192,70;194,50;192,40;192,80;192,80;95200;641;18403639;193,3155
15/09/2023;193,00;193,90;191,00;191,60;191,60;258084;682;49514764;191,8552
14/09/2023;191,90;193,40;187,30;189,80;189,80;278973;1174;52873603;189,5295
13/09/2023;198,80;202,80;188,20;191,90;191,90;235682;1257;45479289;192,9689
12/09/2023;205,80;205,80;198,90;200,00;200,00;67450;249;13504012;200,2077
11/09/2023;198,90;200,80;198,20;200,80;200,80;48171;303;9639875;200,1178
08/09/2023;193,80;201,00;193,80;198,40;198,40;64131;483;12786304;199,3779
07/09/2023;199,00;199,00;195,30;197,30;197,30;61743;369;12194709;197,5076
06/09/2023;196,40;202,60;196,40;197,70;197,70;70535;522;14038888;199,0344
05/09/2023;203,40;205,20;201,80;203,20;203,20;44376;303;9022352;203,3160
04/09/2023;203,40;207,00;203,40;203,40;203,40;63576;404;13022722;204,8371
01/09/2023;208,40;209,00;206,00;206,80;206,80;117633;685;24356047;207,0511
31/08/2023;212,00;212,80;206,00;209,20;209,20;141977;611;29690290;209,1204
30/08/2023;209,80;211,00;206,80;210,40;210,40;81507;459;17115331;209,9860
29/08/2023;208,40;209,40;200,00;208,00;208,00;78278;371;16271420;207,8671
28/08/2023;195,80;208,40;195,80;208,40;208,40;157989;535;32629222;206,5284
25/08/2023;200,60;204,00;199,40;202,00;202,00;69738;430;14073161;201,8005
24/08/2023;202,00;202,60;198,00;200,80;200,80;112182;457;22536477;200,8921
23/08/2023;198,40;200,40;196,50;200,40;200,40;76259;423;15187488;199,1567
22/08/2023;193,00;198,00;193,00;197,40;197,40;72600;335;14319442;197,2375
21/08/2023;193,00;197,30;193,00;195,00;195,00;66990;561;13098827;195,5341
18/08/2023;193,40;197,30;193,40;194,50;194,50;85552;615;16686816;195,0488
17/08/2023;198,00;198,50;195,70;197,30;197,30;70458;490;13900698;197,2906
16/08/2023;199,40;201,20;198,30;198,30;198,30;116601;900;23245750;199,3615
15/08/2023;199,80;202,00;199,20;199,70;199,70;77918;559;15595501;200,1527
14/08/2023;199,00;203,40;199,00;199,40;199,40;70297;391;14068412;200,1282
11/08/2023;199,00;204,20;199,00;202,80;202,80;77592;401;15751313;203,0018
10/08/2023;199,00;203,20;199,00;203,00;203,00;142312;743;28714504;201,7715
09/08/2023;195,60;201,80;195,50;200,00;200,00;108936;814;21733926;199,5110
08/08/2023;192,50;196,70;191,40;195,60;195,60;127873;886;24942617;195,0577
07/08/2023;192,10;194,40;191,30;192,60;192,60;86786;542;16687683;192,2854
04/08/2023;187,00;193,60;187,00;193,10;193,10;95260;501;18328463;192,4046
03/08/2023;188,00;192,60;187,80;192,60;192,60;128398;683;24526510;191,0194
02/08/2023;191,00;193,30;189,60;189,70;189,70;180062;961;34357491;190,8092
01/08/2023;191,00;198,60;191,00;193,00;193,00;306093;844;59852850;195,5381
