"Historical Data"
"From 2021-11-08 to 2023-11-07"
CY0101162119
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;5,29;5,54;5,28;5,50;5,50;141924;53;772693;5,4444
03/11/2023;5,30;5,30;5,17;5,29;5,29;221691;81;1162484;5,2437
02/11/2023;5,25;5,40;5,15;5,26;5,26;317660;107;1678551;5,2841
01/11/2023;5,45;5,45;5,20;5,25;5,25;239448;96;1270353;5,3053
31/10/2023;5,24;5,45;5,24;5,40;5,40;386422;110;2072931;5,3644
30/10/2023;5,10;5,45;5,10;5,36;5,36;218643;74;1157245;5,2929
27/10/2023;5,31;5,38;5,00;5,01;5,01;397583;105;2066293;5,1971
26/10/2023;5,40;5,48;5,08;5,16;5,16;471879;97;2482877;5,2617
25/10/2023;5,36;5,52;5,36;5,50;5,50;91934;44;502566;5,4666
24/10/2023;5,45;5,57;5,21;5,57;5,57;305726;98;1648218;5,3912
23/10/2023;5,64;5,64;5,40;5,45;5,45;196289;74;1072791;5,4654
20/10/2023;5,65;5,71;5,53;5,60;5,60;177759;67;992008;5,5806
19/10/2023;5,69;5,70;5,61;5,66;5,66;74321;35;420043;5,6517
18/10/2023;5,70;5,79;5,66;5,79;5,79;71464;30;407569;5,7031
17/10/2023;5,67;5,79;5,67;5,73;5,73;102749;51;588927;5,7317
16/10/2023;5,78;5,79;5,67;5,69;5,69;81189;37;464933;5,7265
13/10/2023;5,89;5,89;5,75;5,78;5,78;147751;61;858954;5,8135
12/10/2023;5,70;5,91;5,61;5,89;5,89;286510;92;1662297;5,8019
11/10/2023;5,65;5,70;5,54;5,70;5,70;266717;108;1495348;5,6065
10/10/2023;5,63;5,78;5,28;5,78;5,78;283523;75;1564878;5,5194
09/10/2023;6,00;6,00;5,55;5,63;5,63;489525;158;2770887;5,6604
06/10/2023;5,83;5,83;5,68;5,82;5,82;260855;84;1494168;5,7280
05/10/2023;5,92;5,92;5,70;5,80;5,80;244451;104;1412630;5,7788
04/10/2023;5,60;5,99;5,60;5,94;5,94;510572;177;2936863;5,7521
03/10/2023;5,64;5,79;5,50;5,60;5,60;554989;144;3116470;5,6154
02/10/2023;5,68;5,80;5,60;5,67;5,67;874464;114;4954454;5,6657
29/09/2023;5,78;5,89;5,68;5,74;5,74;330772;86;1913111;5,7838
28/09/2023;5,88;5,90;5,70;5,80;5,80;383989;99;2240562;5,8350
27/09/2023;5,85;5,90;5,76;5,89;5,89;367646;138;2152025;5,8535
26/09/2023;5,75;5,92;5,45;5,88;5,88;693997;226;3901494;5,6218
25/09/2023;5,15;5,94;5,15;5,70;5,70;1320319;509;7409107;5,6116
22/09/2023;5,25;5,26;5,15;5,19;5,19;297979;97;1552892;5,2114
21/09/2023;5,20;5,30;5,15;5,23;5,23;543339;161;2835808;5,2192
20/09/2023;5,19;5,36;5,17;5,24;5,24;604773;147;3172008;5,2450
19/09/2023;5,17;5,35;5,15;5,20;5,20;222990;93;1167318;5,2348
18/09/2023;5,02;5,28;4,90;5,20;5,20;1082914;291;5510600;5,0887
15/09/2023;5,08;5,16;4,965;4,98;4,98;256696;109;1289446;5,0232
14/09/2023;5,11;5,20;4,95;5,04;5,04;868647;250;4372429;5,0336
13/09/2023;5,03;5,28;5,03;5,20;5,20;168183;77;876812;5,2134
12/09/2023;5,34;5,34;5,11;5,22;5,22;655410;259;3436601;5,2434
11/09/2023;5,36;5,36;5,11;5,16;5,16;275995;106;1435381;5,2007
08/09/2023;5,23;5,34;5,20;5,23;5,23;198609;104;1047963;5,2765
07/09/2023;5,02;5,26;5,00;5,23;5,23;436578;166;2243209;5,1382
06/09/2023;5,00;5,06;4,905;5,02;5,02;71749;51;357892;4,9881
05/09/2023;4,815;5,08;4,815;4,95;4,95;261758;72;1305235;4,9864
04/09/2023;4,88;5,01;4,82;4,90;4,90;393502;96;1920189;4,8797
01/09/2023;4,93;4,97;4,80;4,90;4,90;269793;71;1318797;4,8882
31/08/2023;4,90;5,00;4,82;5,00;5,00;46274;35;225166;4,8659
30/08/2023;4,90;4,92;4,81;4,90;4,90;218605;69;1068744;4,8889
29/08/2023;4,865;4,93;4,82;4,90;4,90;55677;32;270206;4,8531
28/08/2023;4,98;4,98;4,73;4,895;4,895;494602;182;2372900;4,7976
25/08/2023;4,92;5,10;4,87;4,96;4,96;379801;135;1885166;4,9636
24/08/2023;5,20;5,20;4,89;4,94;4,94;270417;114;1346005;4,9775
23/08/2023;5,10;5,29;4,965;5,09;5,09;539778;245;2752893;5,1000
22/08/2023;4,89;5,04;4,765;5,03;5,03;949330;322;4693473;4,9440
21/08/2023;4,85;4,965;4,76;4,80;4,80;1010860;520;4913457;4,8607
18/08/2023;4,90;5,20;4,54;4,63;4,63;2013289;582;9547566;4,7423
17/08/2023;4,65;4,815;4,59;4,705;4,705;701310;183;3293937;4,6968
16/08/2023;4,62;4,83;4,58;4,68;4,68;295257;216;1377324;4,6648
15/08/2023;4,80;4,85;4,60;4,66;4,66;341113;139;1597456;4,6831
14/08/2023;4,63;4,77;4,62;4,70;4,70;420492;320;1980890;4,7109
11/08/2023;4,80;4,80;4,585;4,65;4,65;325754;170;1512318;4,6425
10/08/2023;4,79;4,885;4,72;4,725;4,725;903464;287;4310358;4,7709
09/08/2023;4,455;4,80;4,455;4,67;4,67;1147033;325;5360209;4,6731
08/08/2023;4,45;4,545;4,40;4,46;4,46;213851;125;957092;4,4755
07/08/2023;4,58;4,58;4,375;4,45;4,45;1690707;90;7459289;4,4119
04/08/2023;4,39;4,605;4,25;4,39;4,39;358737;153;1589968;4,4321
03/08/2023;4,355;4,45;4,21;4,45;4,45;173355;72;739380;4,2651
02/08/2023;4,30;4,37;4,23;4,29;4,29;121166;41;518459;4,2789
01/08/2023;4,36;4,38;4,295;4,325;4,325;202967;81;878052;4,3261
31/07/2023;4,39;4,39;4,26;4,36;4,36;259680;99;1123815;4,3277
28/07/2023;4,375;4,41;4,30;4,39;4,39;98807;36;431797;4,3701
27/07/2023;4,33;4,445;4,30;4,44;4,44;161591;53;703260;4,3521
26/07/2023;4,33;4,595;4,30;4,40;4,40;215591;65;934491;4,3346
25/07/2023;4,33;4,445;4,33;4,40;4,40;239754;95;1052693;4,3907
24/07/2023;4,40;4,455;4,31;4,41;4,41;221187;105;974384;4,4053
21/07/2023;4,46;4,46;4,20;4,345;4,345;253167;91;1078352;4,2595
20/07/2023;4,10;4,43;4,03;4,24;4,24;1041192;367;4325044;4,1539
19/07/2023;4,15;4,27;4,05;4,13;4,13;237240;83;971887;4,0966
18/07/2023;4,225;4,29;4,065;4,185;4,185;533879;170;2203823;4,1279
17/07/2023;4,295;4,35;4,13;4,225;4,225;737109;234;3121071;4,2342
14/07/2023;3,51;4,55;3,51;4,35;4,35;3406915;894;14438861;4,2381
