"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG7947V2045
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;11,32;11,32;11,15;11,15;11,15;22785;15;254764;11,1812
03/11/2023;11,998;11,998;11,252;11,32;11,32;13720;15;157132;11,4528
02/11/2023;11,35;11,35;10,988;11,112;11,112;56368;19;626741;11,1187
01/11/2023;11,442;11,442;11,336;11,336;11,336;126754;20;1444915;11,3994
31/10/2023;11,448;11,448;10,00;11,40;11,40;27204;29;307919;11,3189
30/10/2023;11,50;11,50;11,338;11,398;11,398;104979;11;1206675;11,4944
27/10/2023;11,48;12,00;11,48;11,50;11,50;130725;46;1529621;11,7011
26/10/2023;11,45;11,50;11,35;11,35;11,35;53917;10;615356;11,4130
25/10/2023;11,45;11,45;11,448;11,45;11,45;34342;7;393214;11,4499
24/10/2023;10,90;11,45;10,85;11,45;11,45;165465;30;1814134;10,9639
23/10/2023;11,20;11,50;10,90;10,90;10,90;127132;52;1432816;11,2703
20/10/2023;10,90;11,10;10,90;11,098;11,098;33872;17;371516;10,9682
19/10/2023;11,15;11,15;10,85;10,998;10,998;96624;22;1062788;10,9992
18/10/2023;10,85;10,85;10,85;10,85;10,85;4545;7;49313;10,8500
17/10/2023;11,10;11,10;10,852;10,852;10,852;276;4;3061;11,0915
16/10/2023;10,75;11,00;10,75;11,00;11,00;39469;28;427075;10,8205
13/10/2023;10,85;10,85;10,80;10,80;10,80;25000;2;270500;10,8200
12/10/2023;10,85;11,00;10,80;10,80;10,80;35549;8;384539;10,8172
11/10/2023;10,85;10,95;10,80;10,95;10,95;29119;16;315003;10,8178
10/10/2023;10,852;10,95;10,80;10,95;10,95;28993;5;313765;10,8221
09/10/2023;10,80;11,00;10,75;11,00;11,00;46465;19;501376;10,7904
06/10/2023;10,80;10,80;10,716;10,73;10,73;41539;12;447867;10,7818
05/10/2023;10,85;10,85;10,70;10,80;10,80;71631;15;774800;10,8165
04/10/2023;10,898;10,90;10,85;10,852;10,852;12599;7;137272;10,8954
03/10/2023;10,85;10,90;10,85;10,90;10,90;2452;12;26677;10,8796
02/10/2023;10,95;10,95;10,85;10,90;10,90;39593;12;432256;10,9175
29/09/2023;10,90;11,00;10,85;11,00;11,00;42453;16;461942;10,8813
28/09/2023;11,05;11,05;10,85;10,90;10,90;65084;16;709781;10,9056
27/09/2023;10,898;10,898;10,80;10,80;10,80;21426;5;232947;10,8722
26/09/2023;10,90;11,08;10,85;10,85;10,85;78685;37;857389;10,8965
25/09/2023;11,10;11,10;10,95;10,95;10,95;56431;8;623169;11,0430
22/09/2023;11,10;11,248;11,00;11,18;11,18;52904;15;585318;11,0638
21/09/2023;11,15;11,15;11,00;11,00;11,00;41647;10;461495;11,0811
20/09/2023;11,102;11,25;11,00;11,248;11,248;209321;20;2323694;11,1011
19/09/2023;11,10;11,398;11,10;11,20;11,20;20334;15;227721;11,1990
18/09/2023;11,10;11,24;11,10;11,10;11,10;18763;9;208720;11,1240
15/09/2023;11,10;11,498;10,95;11,10;11,10;431064;33;4799921;11,1351
14/09/2023;11,10;11,288;11,05;11,10;11,10;27258;10;302694;11,1048
13/09/2023;11,10;11,10;11,05;11,10;11,10;24236;10;269008;11,0995
12/09/2023;11,10;11,298;11,10;11,10;11,10;24289;12;269997;11,1160
11/09/2023;11,496;11,496;11,05;11,05;11,05;248;6;2814;11,3467
08/09/2023;11,10;11,10;11,05;11,05;11,05;10387;4;115294;11,0998
07/09/2023;11,30;11,30;11,10;11,10;11,10;43425;21;486620;11,2060
06/09/2023;11,30;11,30;11,25;11,25;11,25;11813;5;133396;11,2923
05/09/2023;11,30;11,384;11,25;11,25;11,25;25911;8;292841;11,3018
04/09/2023;11,99;11,99;11,25;11,30;11,30;23124;13;262252;11,3411
01/09/2023;11,40;11,40;11,30;11,30;11,30;17319;9;197005;11,3751
31/08/2023;11,45;11,50;11,35;11,35;11,35;131812;21;1511565;11,4676
30/08/2023;11,50;11,50;11,45;11,45;11,45;18645;9;213992;11,4772
29/08/2023;11,402;11,50;11,40;11,40;11,40;575;8;6571;11,4270
28/08/2023;11,40;11,502;11,40;11,502;11,502;22073;6;253742;11,4956
25/08/2023;11,202;11,508;11,102;11,508;11,508;5811;10;65802;11,3238
24/08/2023;11,75;11,752;11,748;11,75;11,75;101152;20;1188535;11,7500
23/08/2023;11,60;11,996;11,60;11,60;11,60;8957;18;104009;11,6120
22/08/2023;11,998;12,00;11,254;11,254;11,254;22049;20;261584;11,8638
21/08/2023;11,498;12,00;11,45;12,00;12,00;14300;13;167210;11,6930
18/08/2023;12,00;12,00;11,20;11,20;11,20;9473;13;112990;11,9276
17/08/2023;11,50;11,998;11,50;11,50;11,50;948;7;11132;11,7426
16/08/2023;11,48;11,50;11,48;11,50;11,50;811;5;9313;11,4827
15/08/2023;11,502;11,798;11,48;11,48;11,48;9614;8;110879;11,5331
14/08/2023;11,50;11,70;11,202;11,504;11,504;23016;14;264685;11,5000
11/08/2023;11,80;11,80;11,80;11,80;11,80;163;4;1923;11,8000
10/08/2023;12,20;12,20;12,15;12,20;12,20;82327;28;1004126;12,1968
09/08/2023;12,184;12,20;11,80;12,20;12,20;104580;39;1268112;12,1258
08/08/2023;12,20;12,23;12,00;12,00;12,00;208821;68;2543947;12,1824
07/08/2023;12,332;12,332;12,15;12,15;12,15;1738;8;21364;12,2922
04/08/2023;12,01;12,01;12,01;12,01;12,01;1121;8;13463;12,0100
03/08/2023;12,002;12,334;12,002;12,004;12,004;24265;27;292254;12,0443
02/08/2023;12,38;12,38;11,90;11,90;11,90;6921;22;82545;11,9268
01/08/2023;11,00;11,966;11,00;11,90;11,90;67625;70;799239;11,8187
31/07/2023;10,80;10,80;10,502;10,74;10,74;25400;28;270388;10,6452
28/07/2023;10,002;10,90;10,00;10,006;10,006;69946;19;714905;10,2208
27/07/2023;10,00;10,10;10,00;10,01;10,01;195349;38;1953626;10,0007
26/07/2023;10,00;10,06;10,00;10,03;10,03;249787;42;2498374;10,0020
25/07/2023;10,00;10,002;9,999;10,00;10,00;343999;39;3439994;10,0000
24/07/2023;9,989;10,00;9,849;10,00;10,00;817715;58;8176247;9,9989
21/07/2023;10,00;10,00;9,60;9,60;9,60;4141;13;41389;9,9949
20/07/2023;9,501;9,544;9,50;9,50;9,50;32966;13;313225;9,5014
19/07/2023;9,60;9,60;9,40;9,468;9,468;51459;27;487933;9,4820
18/07/2023;9,60;9,60;9,50;9,50;9,50;23450;14;223689;9,5390
17/07/2023;9,76;9,96;9,499;9,50;9,50;42149;20;406458;9,6434
