"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG7997W1029
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;458,00;465,00;455,00;460,00;460,00;33913;378;15605224;460,1546
03/11/2023;472,00;474,50;459,50;462,00;462,00;71876;718;33496052;466,0255
02/11/2023;455,00;470,50;453,00;467,50;467,50;80188;630;37043091;461,9530
01/11/2023;438,00;463,00;432,50;460,00;460,00;120452;906;54255742;450,4345
31/10/2023;447,00;451,00;435,00;442,00;442,00;203519;1368;89666200;440,5790
30/10/2023;446,00;455,00;444,50;446,00;446,00;70719;781;31775206;449,3164
27/10/2023;437,50;449,50;437,50;446,00;446,00;84267;807;37473591;444,7007
26/10/2023;446,00;457,50;445,00;447,50;447,50;100518;1079;45306821;450,7334
25/10/2023;460,00;460,00;450,50;454,00;454,00;94499;968;43093476;456,0204
24/10/2023;445,00;455,50;445,00;455,00;455,00;82002;869;37128528;452,7759
23/10/2023;443,50;449,00;440,00;446,50;446,50;76049;751;33776108;444,1361
20/10/2023;462,50;463,50;447,00;447,00;447,00;131852;1206;59795535;453,5050
19/10/2023;466,00;470,50;455,50;463,00;463,00;62114;659;28688462;461,8679
18/10/2023;471,00;479,50;467,50;468,00;468,00;71628;723;33702778;470,5252
17/10/2023;461,00;475,50;459,00;473,50;473,50;86864;755;40684520;468,3703
16/10/2023;480,00;480,00;462,50;462,50;462,50;90399;744;42303759;467,9671
13/10/2023;475,00;484,50;474,50;477,00;477,00;58212;538;27882253;478,9777
12/10/2023;460,50;477,50;460,50;477,50;477,50;62641;648;29673321;473,7045
11/10/2023;465,00;472,00;459,50;459,50;459,50;90778;1003;42252930;465,4534
10/10/2023;468,00;474,00;460,00;470,50;470,50;108015;1093;50664956;469,0548
09/10/2023;470,00;483,00;466,50;472,50;472,50;163153;1378;77411571;474,4723
06/10/2023;463,00;467,50;455,50;459,00;459,00;103842;1022;48080375;463,0147
05/10/2023;466,00;473,00;464,00;470,00;470,00;56301;625;26386826;468,6742
04/10/2023;487,00;487,00;465,00;466,00;466,00;36724;420;17334420;472,0188
03/10/2023;475,00;484,00;470,50;480,00;480,00;99069;824;47406538;478,5204
02/10/2023;484,00;487,50;477,00;479,00;479,00;62595;601;30194416;482,3774
29/09/2023;495,00;495,50;481,00;484,00;484,00;43291;485;21094168;487,2645
28/09/2023;500,00;502,00;491,50;495,00;495,00;33558;401;16679685;497,0405
27/09/2023;497,00;497,50;484,00;494,00;494,00;72962;793;35859066;491,4759
26/09/2023;474,50;490,00;474,50;483,00;483,00;71388;665;34440023;482,4343
25/09/2023;482,00;488,00;476,00;480,00;480,00;53793;657;25894307;481,3695
22/09/2023;495,00;496,50;484,50;487,00;487,00;120872;971;59013456;488,2310
21/09/2023;498,00;505,00;495,50;497,50;497,50;98774;909;49164706;497,7495
20/09/2023;506,00;508,00;498,50;505,00;505,00;106709;873;53699115;503,2295
19/09/2023;519,00;519,00;509,00;509,00;509,00;87264;659;44699095;512,2284
18/09/2023;517,00;523,00;517,00;522,00;522,00;119532;815;62284617;521,0707
15/09/2023;511,00;516,00;508,00;513,00;513,00;1223084;1088;627337774;512,9147
14/09/2023;502,00;516,00;502,00;510,00;510,00;162953;1186;82928749;508,9121
13/09/2023;513,00;518,00;509,00;509,00;509,00;132133;1156;67666414;512,1084
12/09/2023;496,00;515,00;494,00;511,00;511,00;137073;1320;69455871;506,7072
11/09/2023;494,00;502,00;492,00;494,00;494,00;80829;1014;40156902;496,8130
08/09/2023;502,00;504,00;496,00;499,00;499,00;119487;1250;59654444;499,2547
07/09/2023;525,00;525,00;507,00;509,00;509,00;59163;827;30287924;511,9403
06/09/2023;525,00;529,00;518,00;518,00;518,00;91445;1023;47715723;521,7970
05/09/2023;537,00;542,00;532,00;535,00;535,00;49152;555;26368612;536,4708
04/09/2023;544,00;550,00;535,00;536,00;536,00;63207;619;34021496;538,2552
01/09/2023;525,00;540,00;523,00;537,00;537,00;105686;1319;56436530;534,0019
31/08/2023;521,00;525,00;518,00;520,00;520,00;61330;477;31919004;520,4468
30/08/2023;515,00;519,00;512,00;518,00;518,00;51076;657;26338793;515,6785
29/08/2023;518,00;521,00;513,00;516,00;516,00;62754;759;32422702;516,6635
28/08/2023;517,00;524,00;517,00;523,00;523,00;48651;590;25340697;520,8669
25/08/2023;507,00;518,00;507,00;513,00;513,00;51793;783;26572651;513,0549
24/08/2023;511,00;517,00;505,00;509,00;509,00;54285;672;27705899;510,3785
