"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010612450
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;29,00;29,00;28,15;28,15;28,15;10970;79;314893;28,7049
03/11/2023;28,50;29,00;28,25;28,55;28,55;35293;122;1009952;28,6162
02/11/2023;26,40;28,85;26,05;28,15;28,15;52083;182;1455268;27,9413
01/11/2023;27,00;27,30;26,80;26,80;26,80;9354;84;252286;26,9709
31/10/2023;26,60;26,60;25,55;26,60;26,60;26660;103;702875;26,3644
30/10/2023;26,60;26,60;25,30;25,35;25,35;59326;178;1522680;25,6663
27/10/2023;27,10;27,10;25,85;26,20;26,20;13168;80;348317;26,4517
26/10/2023;27,00;27,15;26,00;26,00;26,00;48053;115;1269307;26,4147
25/10/2023;27,10;27,60;26,15;26,95;26,95;27737;118;738994;26,6429
24/10/2023;27,50;27,85;27,10;27,10;27,10;11357;69;310956;27,3801
23/10/2023;27,05;27,60;26,80;27,60;27,60;30371;101;819618;26,9869
20/10/2023;27,50;27,95;27,10;27,10;27,10;23508;99;643364;27,3679
19/10/2023;28,00;28,00;27,50;27,50;27,50;16747;75;463003;27,6469
18/10/2023;28,00;28,25;27,60;28,25;28,25;31272;78;876355;28,0236
17/10/2023;28,45;28,75;28,00;28,00;28,00;72317;110;2030097;28,0722
16/10/2023;28,50;28,80;28,10;28,50;28,50;114460;80;3260241;28,4837
13/10/2023;28,95;28,95;28,10;28,10;28,10;12461;81;352739;28,3075
12/10/2023;28,30;28,60;28,25;28,40;28,40;17441;72;496682;28,4778
11/10/2023;29,10;29,10;28,20;28,25;28,25;18723;82;532460;28,4388
10/10/2023;28,30;29,10;28,30;28,60;28,60;9015;43;260264;28,8701
09/10/2023;28,70;29,10;28,25;28,55;28,55;20050;72;578895;28,8726
06/10/2023;28,60;28,95;28,20;28,30;28,30;28618;69;814576;28,4638
05/10/2023;28,85;28,85;28,20;28,20;28,20;54291;138;1537801;28,3252
04/10/2023;28,10;29,00;28,10;28,85;28,85;34829;85;1001180;28,7456
03/10/2023;28,50;28,50;28,00;28,40;28,40;15812;101;446195;28,2188
02/10/2023;28,60;29,00;28,20;28,40;28,40;24294;96;694738;28,5971
29/09/2023;28,65;29,35;28,25;28,40;28,40;101011;180;2880095;28,5127
28/09/2023;28,50;29,35;28,50;29,00;29,00;32293;108;933680;28,9128
27/09/2023;29,45;29,45;28,55;28,55;28,55;22450;98;644147;28,6925
26/09/2023;29,00;29,20;28,65;28,65;28,65;42085;91;1213882;28,8436
25/09/2023;29,10;30,00;29,00;29,05;29,05;53574;127;1575345;29,4050
22/09/2023;29,70;29,70;29,20;29,20;29,20;836318;99;25078218;29,9865
21/09/2023;30,10;30,65;29,15;29,70;29,70;105337;186;3150280;29,9067
20/09/2023;28,80;29,00;28,50;28,50;28,50;12960;120;372219;28,7206
19/09/2023;30,00;30,00;28,50;28,90;28,90;38331;118;1105406;28,8384
18/09/2023;28,50;29,25;28,50;29,10;29,10;9782;70;283700;29,0023
15/09/2023;30,10;30,10;28,50;28,50;28,50;98797;168;2870314;29,0526
14/09/2023;28,50;30,05;28,50;29,35;29,35;29265;116;860779;29,4133
13/09/2023;29,00;29,00;28,50;28,50;28,50;18738;83;539582;28,7962
12/09/2023;29,00;29,00;28,40;29,00;29,00;7951;48;228539;28,7434
11/09/2023;28,40;28,55;28,05;28,05;28,05;8473;70;239940;28,3182
08/09/2023;28,50;28,55;28,25;28,25;28,25;18877;76;534944;28,3384
07/09/2023;29,05;29,95;28,20;28,50;28,50;45111;128;1299671;28,8105
06/09/2023;29,40;29,70;29,05;29,05;29,05;24284;146;713989;29,4016
05/09/2023;29,90;29,90;29,50;29,90;29,90;24622;101;731138;29,6945
04/09/2023;29,65;30,15;29,60;29,90;29,90;23973;99;715738;29,8560
01/09/2023;29,60;29,60;29,30;29,55;29,55;16877;68;497831;29,4976
31/08/2023;28,85;29,60;28,75;29,60;29,60;26375;96;767627;29,1043
30/08/2023;29,05;29,10;28,75;29,00;29,00;19197;111;555013;28,9115
29/08/2023;29,05;29,55;28,90;29,20;29,20;27387;145;796830;29,0952
28/08/2023;30,35;30,35;29,00;29,35;29,35;23752;121;693941;29,2161
25/08/2023;30,45;30,45;29,05;29,50;29,50;26694;154;786118;29,4492
24/08/2023;30,45;30,45;29,70;29,80;29,80;14156;131;424871;30,0135
23/08/2023;30,85;30,85;29,90;30,00;30,00;29272;124;881188;30,1034
22/08/2023;32,00;32,00;30,00;30,20;30,20;53223;239;1632531;30,6734
21/08/2023;31,70;31,80;31,50;31,55;31,55;15833;128;501325;31,6633
18/08/2023;33,00;33,00;31,55;31,55;31,55;16054;118;510741;31,8139
17/08/2023;32,05;32,65;32,05;32,55;32,55;28740;105;934128;32,5027
16/08/2023;32,10;32,50;32,00;32,50;32,50;56456;145;1815218;32,1528
15/08/2023;32,50;33,00;32,00;32,75;32,75;415983;119;13519070;32,4991
14/08/2023;33,00;33,40;32,85;33,30;33,30;90148;215;2989963;33,1673
11/08/2023;33,20;33,20;32,00;32,40;32,40;34197;152;1111400;32,4999
10/08/2023;33,20;33,20;31,90;32,25;32,25;106057;205;3424608;32,2903
09/08/2023;33,00;33,20;32,40;33,20;33,20;15263;86;500763;32,8089
08/08/2023;32,10;33,10;32,00;33,10;33,10;28326;121;914664;32,2906
07/08/2023;32,50;32,50;32,00;32,00;32,00;7563;61;243203;32,1570
04/08/2023;32,10;32,35;31,85;32,35;32,35;14653;89;470287;32,0949
03/08/2023;32,10;32,10;31,80;31,85;31,85;10376;78;331510;31,9497
02/08/2023;32,20;32,20;31,90;32,05;32,05;10893;67;348989;32,0379
01/08/2023;32,10;32,20;31,90;32,20;32,20;18215;121;583421;32,0297
31/07/2023;32,20;32,20;32,00;32,10;32,10;11289;68;362373;32,0996
28/07/2023;32,25;32,25;31,85;32,15;32,15;7418;59;237835;32,0618
27/07/2023;32,25;32,35;32,00;32,25;32,25;38293;99;1231393;32,1571
26/07/2023;32,15;32,25;32,00;32,20;32,20;13503;47;433103;32,0745
25/07/2023;31,95;32,25;31,80;32,15;32,15;33806;79;1082051;32,0077
24/07/2023;32,00;32,30;31,95;32,10;32,10;22264;76;714199;32,0786
21/07/2023;32,60;32,60;32,00;32,15;32,15;42292;84;1360091;32,1595
20/07/2023;32,85;32,85;32,35;32,75;32,75;28792;92;941620;32,7042
19/07/2023;32,00;32,85;32,00;32,85;32,85;23833;97;777226;32,6113
18/07/2023;31,95;32,20;31,95;32,15;32,15;3836;44;122990;32,0620
17/07/2023;33,00;33,00;32,00;32,05;32,05;10288;56;335150;32,5768
14/07/2023;32,00;32,50;32,00;32,50;32,50;16639;81;535439;32,1798
13/07/2023;31,20;33,00;31,20;32,40;32,40;13077;65;421373;32,2224
12/07/2023;31,60;33,00;31,60;32,80;32,80;34955;100;1135037;32,4714
11/07/2023;32,20;32,20;31,30;31,95;31,95;25957;98;829864;31,9707
10/07/2023;31,40;32,20;31,15;32,20;32,20;34147;95;1082686;31,7066
07/07/2023;32,15;32,15;31,25;31,45;31,45;6352;43;199573;31,4190
06/07/2023;32,20;32,20;31,00;31,60;31,60;31193;138;987721;31,6648
05/07/2023;32,65;32,65;32,00;32,25;32,25;656921;122;21033618;32,0185
04/07/2023;32,65;32,65;32,10;32,15;32,15;5898;61;190239;32,2548
03/07/2023;32,30;32,65;32,00;32,15;32,15;21608;100;698198;32,3120
30/06/2023;32,05;32,35;32,05;32,30;32,30;14514;78;467953;32,2415
29/06/2023;32,50;32,50;31,85;32,20;32,20;11622;60;373133;32,1057
28/06/2023;31,40;32,40;31,40;32,00;32,00;18345;92;588581;32,0840
27/06/2023;31,65;32,00;31,60;31,95;31,95;14093;75;449245;31,8772
26/06/2023;32,20;32,20;31,40;31,65;31,65;19097;100;605633;31,7135
23/06/2023;32,55;32,65;32,00;32,30;32,30;21560;103;698644;32,4046
22/06/2023;32,65;32,85;32,40;32,55;32,55;134855;85;4399774;32,6260
21/06/2023;34,75;34,75;32,20;32,20;32,20;11822;57;384567;32,5297
