"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG236541097
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;30,60;30,90;29,60;29,60;29,60;835;8;25152;30,1222
03/11/2023;30,00;30,80;29,20;29,90;29,90;13189;28;397142;30,1116
02/11/2023;28,40;30,50;28,40;30,40;30,40;5446;23;161422;29,6405
01/11/2023;28,80;29,00;28,50;28,60;28,60;6609;20;190614;28,8415
31/10/2023;28,80;28,80;28,80;28,80;28,80;591;2;17021;28,8000
30/10/2023;28,60;29,70;28,00;29,30;29,30;14917;29;431209;28,9072
27/10/2023;29,00;29,10;28,00;29,00;29,00;12840;24;365384;28,4567
26/10/2023;29,00;29,00;28,30;28,30;28,30;11433;19;329354;28,8073
25/10/2023;29,00;29,00;29,00;29,00;29,00;35;2;1015;29,0000
24/10/2023;30,40;30,40;29,00;29,90;29,90;5618;20;164037;29,1984
23/10/2023;30,20;30,30;29,50;29,80;29,80;5842;18;174830;29,9263
20/10/2023;30,10;31,00;29,60;29,60;29,60;879;6;26556;30,2111
19/10/2023;30,00;30,60;30,00;30,10;30,10;2744;9;82483;30,0595
18/10/2023;30,50;32,30;30,00;30,10;30,10;22701;48;695268;30,6272
17/10/2023;30,80;30,90;29,70;29,80;29,80;17496;28;530089;30,2977
16/10/2023;31,50;31,50;30,60;30,70;30,70;9169;28;282354;30,7944
13/10/2023;30,90;32,10;30,80;30,80;30,80;7645;20;236721;30,9642
12/10/2023;32,00;32,00;31,00;31,10;31,10;14154;21;443663;31,3454
11/10/2023;32,30;32,30;31,20;31,20;31,20;18649;28;587614;31,5092
10/10/2023;30,80;32,30;30,80;31,00;31,00;2658;14;82920;31,1963
09/10/2023;31,80;32,20;30,30;31,60;31,60;27531;52;866354;31,4683
06/10/2023;32,40;32,70;32,00;32,00;32,00;6109;8;196451;32,1577
05/10/2023;32,50;33,00;32,50;32,50;32,50;151495;11;4961218;32,7484
04/10/2023;34,00;34,00;32,70;33,00;33,00;25664;77;859021;33,4718
03/10/2023;34,00;34,80;33,00;34,00;34,00;33668;80;1141468;33,9037
02/10/2023;33,50;35,20;33,20;33,60;33,60;53820;101;1849401;34,3627
29/09/2023;31,70;34,00;31,60;33,70;33,70;42346;97;1395555;32,9560
28/09/2023;30,70;31,70;30,10;31,60;31,60;30547;85;947564;31,0199
27/09/2023;29,80;30,80;29,80;30,60;30,60;36960;49;1120229;30,3092
26/09/2023;30,10;30,10;29,00;29,00;29,00;18329;20;537449;29,3223
25/09/2023;28,90;29,90;28,90;29,80;29,80;1582;5;46939;29,6704
22/09/2023;30,00;30,40;30,00;30,40;30,40;706;3;21262;30,1167
21/09/2023;30,40;30,40;30,40;30,40;30,40;18;1;547;30,4000
20/09/2023;30,00;30,50;29,90;30,50;30,50;11796;61;356719;30,2407
19/09/2023;30,90;30,90;29,80;29,80;29,80;1019049;55;29576796;29,0239
18/09/2023;29,80;30,60;29,80;30,00;30,00;38013;114;1147806;30,1951
15/09/2023;28,80;30,00;28,60;29,90;29,90;1575825;81;45707948;29,0057
14/09/2023;29,00;29,00;28,30;28,80;28,80;18457;60;532019;28,8248
13/09/2023;28,60;29,20;27,90;28,00;28,00;36966;87;1050636;28,4217
12/09/2023;28,60;28,70;27,90;28,50;28,50;26745;22;747526;27,9501
11/09/2023;28,60;28,70;27,90;28,60;28,60;10077;52;287878;28,5678
08/09/2023;27,70;28,70;27,60;28,70;28,70;13042;24;364011;27,9106
07/09/2023;27,30;27,80;27,30;27,80;27,80;2125;10;58505;27,5317
06/09/2023;27,70;28,10;26,80;27,30;27,30;13763;22;374573;27,2160
05/09/2023;27,70;28,40;27,70;27,90;27,90;6382;12;177875;27,8713
04/09/2023;28,20;28,40;27,30;28,00;28,00;9405;15;264295;28,1016
01/09/2023;28,10;28,20;28,00;28,00;28,00;1052;9;29621;28,1572
31/08/2023;27,30;28,00;27,30;27,30;27,30;2956;21;81748;27,6549
30/08/2023;26,40;27,60;26,40;27,10;27,10;19346;23;527133;27,2476
29/08/2023;27,20;28,20;27,00;28,20;28,20;277333;17;7488551;27,0020
28/08/2023;26,80;27,40;26,40;27,40;27,40;14563;20;386882;26,5661
25/08/2023;26,50;26,80;26,50;26,80;26,80;1619;5;43069;26,6019
24/08/2023;26,40;27,00;26,40;27,00;27,00;1938;9;51278;26,4592
23/08/2023;26,60;26,60;26,60;26,60;26,60;150;3;3990;26,6000
22/08/2023;26,40;26,80;26,40;26,70;26,70;1428;6;38064;26,6554
21/08/2023;27,20;27,20;26,50;26,80;26,80;36899;37;986386;26,7320
18/08/2023;27,50;27,50;26,70;26,90;26,90;11454;21;309463;27,0179
17/08/2023;27,90;29,30;27,60;27,80;27,80;31912;19;886820;27,7895
16/08/2023;28,00;28,20;27,90;28,00;28,00;11428;16;321172;28,1040
15/08/2023;29,60;29,60;28,00;28,00;28,00;192384;56;5396720;28,0518
14/08/2023;29,00;29,70;27,30;29,30;29,30;34572;42;996838;28,8337
11/08/2023;30,10;30,30;29,00;30,30;30,30;7184;9;213819;29,7633
10/08/2023;31,30;31,30;31,30;31,30;31,30;50;1;1565;31,3000
09/08/2023;31,90;31,90;29,10;29,90;29,90;18461;33;548072;29,6881
08/08/2023;29,30;30,90;29,30;30,20;30,20;2649;9;78918;29,7917
07/08/2023;32,00;32,00;30,10;30,30;30,30;10936;36;335388;30,6682
04/08/2023;29,70;31,90;29,00;30,60;30,60;21483;52;656102;30,5405
03/08/2023;29,30;29,80;27,90;29,20;29,20;28970;45;843068;29,1014
02/08/2023;29,50;29,50;27,60;27,80;27,80;11154;34;322740;28,9349
01/08/2023;29,40;29,50;27,70;28,20;28,20;5629;27;161762;28,7373
31/07/2023;27,90;29,90;25,90;28,90;28,90;39821;65;1119837;28,1218
28/07/2023;25,20;27,00;25,20;25,80;25,80;4000;24;105050;26,2625
27/07/2023;25,70;27,00;25,70;26,20;26,20;3200;19;83886;26,2144
26/07/2023;26,30;27,90;25,60;25,60;25,60;6800;28;180770;26,5838
25/07/2023;28,00;28,00;26,20;26,20;26,20;13616;36;363047;26,6632
24/07/2023;24,20;28,00;24,20;27,40;27,40;13217;34;353186;26,7221
21/07/2023;26,10;27,20;26,10;26,10;26,10;3372;19;88356;26,2027
20/07/2023;27,00;27,70;27,00;27,20;27,20;402;4;10925;27,1756
19/07/2023;27,10;27,10;26,00;26,20;26,20;10304;15;271395;26,3388
18/07/2023;26,30;26,30;25,10;25,10;25,10;2951;11;74765;25,3353
17/07/2023;25,70;27,60;25,10;25,10;25,10;1955;4;51071;26,1230
14/07/2023;27,70;27,70;25,10;25,10;25,10;4388;11;111265;25,3567
