"Historical Data"
"From 2021-11-08 to 2023-11-07"
KYG236271055
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;32,00;32,65;31,85;32,05;32,05;2284383;740;73445874;32,1513
03/11/2023;32,40;32,40;31,50;31,90;31,90;841033;617;26799579;31,8651
02/11/2023;30,30;32,45;30,30;31,90;31,90;1159614;881;36839456;31,7687
01/11/2023;29,90;30,50;29,60;30,30;30,30;451411;420;13651179;30,2411
31/10/2023;30,35;30,35;29,70;29,90;29,90;443354;566;13268849;29,9283
30/10/2023;29,70;30,45;29,40;30,00;30,00;516955;507;15520064;30,0221
27/10/2023;30,00;31,15;29,60;29,80;29,80;738036;645;22445149;30,4120
26/10/2023;30,65;30,80;29,55;29,80;29,80;573644;657;17196609;29,9778
25/10/2023;31,55;31,60;30,35;30,35;30,35;777489;753;23878595;30,7125
24/10/2023;31,40;32,65;31,30;31,55;31,55;523780;659;16732549;31,9458
23/10/2023;31,25;32,35;31,25;31,90;31,90;592758;572;18946188;31,9628
20/10/2023;31,65;32,20;31,50;31,70;31,70;495465;448;15761138;31,8108
19/10/2023;31,80;32,40;31,60;32,30;32,30;389557;529;12474322;32,0218
18/10/2023;31,50;32,80;31,15;32,45;32,45;645799;677;20814707;32,2309
17/10/2023;32,85;32,90;31,15;31,55;31,55;1125539;1069;35786448;31,7949
16/10/2023;33,25;33,55;32,40;32,50;32,50;597568;664;19531584;32,6851
13/10/2023;33,50;33,75;32,80;33,15;33,15;656316;709;21839760;33,2763
12/10/2023;33,55;34,50;33,55;33,60;33,60;721933;675;24570088;34,0338
11/10/2023;34,50;34,80;33,55;33,70;33,70;739976;679;25347286;34,2542
10/10/2023;33,95;34,85;33,55;34,45;34,45;1694488;1217;57965896;34,2085
09/10/2023;33,60;34,00;33,15;33,60;33,60;951015;821;32098522;33,7519
06/10/2023;33,85;34,50;32,90;33,15;33,15;19013786;1773;628601680;33,0603
05/10/2023;34,60;35,60;34,40;35,00;35,00;1081293;1148;37776248;34,9362
04/10/2023;36,20;36,40;34,60;34,85;34,85;1174685;1125;41372389;35,2200
03/10/2023;37,85;38,20;35,90;36,35;36,35;1256584;1036;46184226;36,7538
02/10/2023;38,50;39,00;37,15;37,15;37,15;718542;892;27386127;38,1135
29/09/2023;36,75;37,80;36,75;37,50;37,50;1274588;941;46621713;36,5779
28/09/2023;38,25;38,70;37,45;38,00;38,00;968154;797;36840848;38,0527
27/09/2023;34,00;38,50;34,00;38,25;38,25;2751923;2133;100521936;36,5279
26/09/2023;34,85;35,95;34,80;34,80;34,80;450466;528;15923429;35,3488
25/09/2023;35,50;35,50;33,90;35,00;35,00;1081285;1009;37671949;34,8400
22/09/2023;36,20;36,80;35,90;36,20;36,20;636936;604;23095955;36,2610
21/09/2023;35,90;36,55;35,35;36,15;36,15;880620;836;31794436;36,1046
20/09/2023;34,80;36,00;34,45;36,00;36,00;500956;468;17680781;35,2941
19/09/2023;35,20;35,60;34,65;35,20;35,20;480228;574;16842776;35,0725
18/09/2023;34,90;36,40;34,65;35,15;35,15;1060978;863;37567346;35,4082
15/09/2023;34,00;34,45;33,50;34,20;34,20;736454;667;24986608;33,9283
14/09/2023;33,00;33,95;33,00;33,85;33,85;758825;439;25453768;33,5437
13/09/2023;33,00;33,85;33,00;33,20;33,20;688290;609;23037739;33,4710
12/09/2023;32,00;33,10;32,00;33,00;33,00;739597;515;24091637;32,5740
11/09/2023;31,50;32,30;31,45;32,15;32,15;618914;612;19749561;31,9100
08/09/2023;31,00;32,10;31,00;31,70;31,70;603939;645;19125148;31,6674
07/09/2023;30,20;31,90;30,20;31,55;31,55;843476;941;26143910;30,9954
06/09/2023;29,30;30,40;28,75;30,25;30,25;572480;593;17004264;29,7028
05/09/2023;29,20;29,20;28,45;28,85;28,85;355946;446;10254243;28,8084
04/09/2023;29,45;29,45;28,85;29,10;29,10;172491;211;5016121;29,0805
01/09/2023;28,70;29,35;28,55;29,00;29,00;449535;473;13026717;28,9782
31/08/2023;29,15;29,45;28,75;28,75;28,75;450107;447;13094725;29,0925
30/08/2023;28,15;29,20;28,15;29,15;29,15;424146;481;12232573;28,8405
29/08/2023;27,00;28,15;26,75;27,95;27,95;694912;605;19323390;27,8070
28/08/2023;27,75;27,75;26,80;26,95;26,95;309693;369;8412611;27,1644
25/08/2023;27,80;27,80;27,20;27,35;27,35;206784;290;5678108;27,4591
24/08/2023;26,90;27,75;26,70;27,60;27,60;473869;462;12879615;27,1797
23/08/2023;27,85;27,85;26,40;26,70;26,70;598310;620;16150349;26,9933
22/08/2023;28,10;28,10;27,70;27,90;27,90;345241;304;9636518;27,9124
21/08/2023;27,40;28,10;27,25;27,85;27,85;495735;459;13751624;27,7399
18/08/2023;27,40;27,70;26,40;27,15;27,15;738919;660;19961485;27,0144
17/08/2023;27,75;28,10;27,60;27,80;27,80;359697;432;10003639;27,8113
16/08/2023;27,10;28,45;27,05;28,00;28,00;440187;433;12254476;27,8392
15/08/2023;28,10;28,40;27,30;27,55;27,55;740885;679;20592370;27,7943
14/08/2023;27,60;28,00;26,95;27,80;27,80;561370;539;15503260;27,6168
11/08/2023;28,00;28,70;27,40;28,45;28,45;499782;610;14102480;28,2173
10/08/2023;27,40;28,15;27,20;28,15;28,15;727777;874;20146532;27,6823
09/08/2023;26,00;27,00;25,80;26,80;26,80;1153361;1183;30737932;26,6507
08/08/2023;25,35;25,60;24,30;24,85;24,85;904023;672;22547551;24,9413
07/08/2023;26,00;26,05;25,35;25,75;25,75;393803;432;10135224;25,7368
04/08/2023;25,30;26,50;25,00;26,10;26,10;810343;803;21105281;26,0449
03/08/2023;24,00;25,35;23,80;25,15;25,15;556403;637;13699430;24,6214
02/08/2023;24,70;25,10;23,90;24,05;24,05;955425;914;23481685;24,5772
01/08/2023;24,90;25,15;24,10;24,40;24,40;779314;742;19058949;24,4561
31/07/2023;24,20;25,15;23,85;24,85;24,85;667539;663;16399127;24,5665
28/07/2023;24,00;24,00;23,60;24,00;24,00;241315;285;5741532;23,7927
27/07/2023;23,00;24,05;22,80;23,80;23,80;449711;457;10588502;23,5451
26/07/2023;22,80;23,00;22,45;22,95;22,95;430403;292;9821574;22,8195
25/07/2023;22,60;23,00;22,55;22,95;22,95;329683;412;7519625;22,8087
24/07/2023;23,30;23,30;22,15;22,70;22,70;859200;613;19431823;22,6162
21/07/2023;23,10;23,50;22,60;23,10;23,10;585812;573;13477296;23,0062
20/07/2023;22,00;23,10;21,65;23,00;23,00;717374;763;16120615;22,4717
19/07/2023;20,90;22,00;20,60;21,95;21,95;393825;409;8448517;21,4525
18/07/2023;19,64;20,60;19,34;20,60;20,60;347267;353;6962094;20,0482
17/07/2023;19,76;19,98;19,20;19,36;19,36;405258;420;7890049;19,4692
14/07/2023;20,50;20,50;19,90;20,05;20,05;226636;256;4564427;20,1399
13/07/2023;20,50;20,70;20,20;20,25;20,25;266351;280;5422518;20,3585
12/07/2023;20,05;20,40;19,86;20,35;20,35;475780;287;9585982;20,1479
11/07/2023;19,60;19,84;19,48;19,62;19,62;282994;279;5558487;19,6417
10/07/2023;20,05;20,40;19,80;20,05;20,05;268035;300;5392156;20,1174
07/07/2023;19,88;20,15;19,60;20,05;20,05;290500;324;5776554;19,8849
06/07/2023;18,50;20,45;18,42;19,60;19,60;334596;319;6650178;19,8752
05/07/2023;19,98;20,30;19,50;19,96;19,96;319525;308;6380687;19,9693
04/07/2023;20,50;20,50;19,94;20,15;20,15;300038;318;6062108;20,2045
03/07/2023;20,00;20,60;19,98;20,55;20,55;357210;370;7261348;20,3280
30/06/2023;18,92;19,80;18,70;19,68;19,68;452248;396;8724581;19,2916
29/06/2023;18,50;18,98;18,14;18,88;18,88;371929;310;6895241;18,5391
28/06/2023;18,00;18,14;17,76;18,00;18,00;216601;254;3884091;17,9320
27/06/2023;18,10;18,36;17,54;18,14;18,14;458423;377;8200081;17,8876
26/06/2023;17,82;18,22;17,62;18,16;18,16;391104;378;7028436;17,9708
23/06/2023;18,12;18,32;17,88;17,96;17,96;410635;355;7428602;18,0905
22/06/2023;18,50;18,66;18,24;18,52;18,52;336810;324;6209490;18,4362
21/06/2023;18,20;18,78;18,20;18,70;18,70;365566;357;6804375;18,6133
20/06/2023;18,38;18,58;18,00;18,04;18,04;552860;542;10114512;18,2949
19/06/2023;18,88;19,00;17,92;18,50;18,50;772352;609;14247343;18,4467
