"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012548819
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;5,80;6,48;5,74;6,18;6,18;28816;27;178129;6,1816
03/11/2023;5,68;5,96;5,68;5,74;5,74;16013;9;93090;5,8134
02/11/2023;5,58;5,92;5,58;5,92;5,92;43900;23;248660;5,6642
01/11/2023;5,52;5,54;5,50;5,52;5,52;63770;8;350777;5,5007
31/10/2023;5,42;5,60;5,42;5,46;5,46;652863;20;3592137;5,5021
30/10/2023;5,60;5,60;5,40;5,44;5,44;4410;9;23992;5,4404
27/10/2023;5,58;5,66;5,40;5,66;5,66;7719;12;41895;5,4276
26/10/2023;5,52;5,58;5,48;5,48;5,48;9294;8;51345;5,5246
25/10/2023;5,50;5,68;5,50;5,68;5,68;1441;9;7950;5,5170
24/10/2023;5,52;5,68;5,36;5,54;5,54;27784;18;153681;5,5313
23/10/2023;5,66;5,70;5,46;5,70;5,70;18030;9;98643;5,4711
20/10/2023;5,80;5,84;5,38;5,62;5,62;41227;27;229955;5,5778
19/10/2023;5,52;5,76;5,26;5,76;5,76;55562;44;307706;5,5381
18/10/2023;5,58;5,58;5,50;5,50;5,50;9212;6;51063;5,5431
17/10/2023;5,48;5,60;5,48;5,60;5,60;7183;8;40022;5,5718
16/10/2023;5,56;5,62;5,52;5,62;5,62;14572;10;81685;5,6056
13/10/2023;5,56;5,70;5,50;5,70;5,70;19955;16;110086;5,5167
12/10/2023;5,60;5,64;5,56;5,58;5,58;20177;15;113091;5,6049
11/10/2023;5,70;5,70;5,56;5,56;5,56;16826;15;94036;5,5888
10/10/2023;5,64;5,82;5,52;5,70;5,70;59477;28;335207;5,6359
09/10/2023;0,00;0,00;0,00;0,00;5,66;0;0;0;0,0000
06/10/2023;5,52;5,68;5,52;5,66;5,66;15024;13;84281;5,6097
05/10/2023;5,54;5,54;5,50;5,52;5,52;120206;38;663028;5,5158
04/10/2023;5,64;5,70;5,56;5,58;5,58;24034;19;134599;5,6004
03/10/2023;5,72;5,72;5,72;5,72;5,72;10000;1;57200;5,7200
02/10/2023;6,00;6,00;5,80;5,86;5,86;43296;20;253168;5,8474
29/09/2023;5,70;5,70;5,58;5,70;5,70;51989;27;295397;5,6819
28/09/2023;5,62;5,76;5,60;5,62;5,62;27550;15;155676;5,6507
27/09/2023;5,54;5,78;5,54;5,70;5,70;129528;27;739503;5,7092
26/09/2023;5,70;5,70;5,68;5,70;5,70;53743;9;306033;5,6944
25/09/2023;5,84;5,84;5,70;5,74;5,74;14694;7;84448;5,7471
22/09/2023;0,00;0,00;0,00;0,00;5,80;0;0;0;0,0000
21/09/2023;5,74;5,90;5,74;5,80;5,80;31034;8;179588;5,7868
20/09/2023;5,88;5,90;5,60;5,74;5,74;91073;55;528031;5,7979
19/09/2023;5,74;5,80;5,72;5,80;5,80;15734;15;90471;5,7501
18/09/2023;5,70;5,78;5,70;5,78;5,78;2000;2;11553;5,7766
15/09/2023;5,70;5,70;5,54;5,70;5,70;61069;37;343325;5,6219
14/09/2023;5,80;5,80;5,62;5,70;5,70;48394;29;275834;5,6997
13/09/2023;5,78;5,80;5,64;5,80;5,80;18315;13;106087;5,7924
12/09/2023;5,76;5,96;5,76;5,80;5,80;67606;16;392067;5,7993
11/09/2023;6,00;6,16;5,80;5,98;5,98;109205;36;653750;5,9865
08/09/2023;5,78;6,00;5,76;6,00;6,00;19513;15;112609;5,7710
07/09/2023;5,86;5,90;5,86;5,88;5,88;15851;9;93210;5,8804
06/09/2023;5,80;5,86;5,80;5,86;5,86;13708;13;79830;5,8236
05/09/2023;5,82;5,94;5,80;5,88;5,88;20141;15;118136;5,8655
04/09/2023;5,94;5,94;5,90;5,94;5,94;50762;21;301066;5,9309
