"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010931207
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,874;0,874;0,63;0,678;0,678;523611;77;357045;0,6819
03/11/2023;0,616;0,756;0,598;0,692;0,692;1660720;163;1112682;0,6700
02/11/2023;0,45;0,59;0,45;0,586;0,586;4062817;231;2055986;0,5060
01/11/2023;0,422;0,45;0,422;0,422;0,422;61351;5;27415;0,4469
31/10/2023;0,40;0,45;0,40;0,45;0,45;1474491;39;661690;0,4488
30/10/2023;0,401;0,401;0,40;0,40;0,40;70151;4;28102;0,4006
27/10/2023;0,311;0,40;0,311;0,399;0,399;142810;17;56977;0,3990
26/10/2023;0,40;0,40;0,395;0,395;0,395;7797;5;3104;0,3981
25/10/2023;0,398;0,398;0,398;0,398;0,398;3000;1;1194;0,3980
24/10/2023;0,402;0,41;0,402;0,41;0,41;1675;4;674;0,4024
23/10/2023;0,44;0,446;0,44;0,44;0,44;287166;10;126354;0,4400
20/10/2023;0,00;0,00;0,00;0,00;0,409;0;0;0;0,0000
19/10/2023;0,419;0,419;0,409;0,409;0,409;103000;2;42457;0,4122
18/10/2023;0,415;0,42;0,415;0,42;0,42;23824;3;9907;0,4158
17/10/2023;0,40;0,40;0,399;0,399;0,399;7841;4;3131;0,3994
16/10/2023;0,445;0,445;0,40;0,40;0,40;130572;9;54038;0,4139
13/10/2023;0,445;0,447;0,412;0,447;0,447;159252;10;70162;0,4406
12/10/2023;0,446;0,446;0,412;0,438;0,438;915;3;390;0,4259
11/10/2023;0,411;0,42;0,411;0,42;0,42;32810;7;13701;0,4176
10/10/2023;0,416;0,435;0,411;0,425;0,425;182542;6;75533;0,4138
09/10/2023;0,412;0,449;0,412;0,449;0,449;15885;4;6952;0,4376
06/10/2023;0,416;0,447;0,416;0,416;0,416;93004;4;38783;0,4170
05/10/2023;0,448;0,448;0,448;0,448;0,448;29000;3;12992;0,4480
04/10/2023;0,448;0,448;0,411;0,422;0,422;29074;10;12255;0,4215
03/10/2023;0,41;0,449;0,41;0,447;0,447;65400;6;29150;0,4457
02/10/2023;0,449;0,449;0,411;0,411;0,411;725;2;306;0,4215
29/09/2023;0,449;0,449;0,449;0,449;0,449;108;2;48;0,4490
28/09/2023;0,45;0,45;0,41;0,41;0,41;5340;6;2291;0,4290
27/09/2023;0,442;0,442;0,411;0,442;0,442;15971;4;6995;0,4380
26/09/2023;0,45;0,45;0,41;0,435;0,435;104095;9;42993;0,4130
25/09/2023;0,45;0,45;0,411;0,411;0,411;55696;7;23499;0,4219
22/09/2023;0,45;0,476;0,45;0,475;0,475;404;3;183;0,4535
21/09/2023;0,48;0,48;0,424;0,45;0,45;10129;5;4433;0,4377
20/09/2023;0,405;0,479;0,405;0,435;0,435;254386;9;113924;0,4478
19/09/2023;0,40;0,499;0,40;0,48;0,48;353707;22;171581;0,4851
18/09/2023;0,50;0,50;0,40;0,459;0,459;99371;16;42667;0,4294
15/09/2023;0,45;0,496;0,443;0,496;0,496;201770;11;89406;0,4431
14/09/2023;0,498;0,52;0,462;0,463;0,463;236263;11;118394;0,5011
13/09/2023;0,00;0,00;0,00;0,00;0,499;0;0;0;0,0000
12/09/2023;0,431;0,499;0,431;0,499;0,499;20414;7;9793;0,4797
11/09/2023;0,499;0,499;0,499;0,499;0,499;115;1;57;0,4990
08/09/2023;0,45;0,492;0,441;0,492;0,492;37100;3;16605;0,4476
07/09/2023;0,475;0,494;0,43;0,492;0,492;151701;14;71095;0,4687
06/09/2023;0,52;0,52;0,401;0,44;0,44;132881;15;59327;0,4465
05/09/2023;0,40;0,528;0,40;0,526;0,526;13580;9;7023;0,5171
04/09/2023;0,445;0,445;0,441;0,441;0,441;47553;2;20980;0,4412
01/09/2023;0,53;0,53;0,42;0,426;0,426;3344;4;1410;0,4217
31/08/2023;0,45;0,485;0,39;0,405;0,405;26847;14;11444;0,4263
30/08/2023;0,49;0,49;0,45;0,49;0,49;113215;3;55456;0,4898
29/08/2023;0,46;0,49;0,46;0,49;0,49;58350;6;27927;0,4786
28/08/2023;0,43;0,489;0,43;0,464;0,464;6372;6;2833;0,4446
25/08/2023;0,41;0,469;0,41;0,469;0,469;17182;7;7578;0,4411
24/08/2023;0,49;0,49;0,463;0,469;0,469;2042;5;965;0,4724
23/08/2023;0,481;0,49;0,472;0,49;0,49;20223;3;9733;0,4813
22/08/2023;0,516;0,516;0,472;0,50;0,50;117016;11;58116;0,4967
21/08/2023;0,546;0,546;0,463;0,516;0,516;48973;6;22929;0,4682
18/08/2023;0,548;0,548;0,548;0,548;0,548;8613;1;4720;0,5480
17/08/2023;0,55;0,55;0,548;0,548;0,548;36675;3;20101;0,5481
16/08/2023;0,534;0,536;0,53;0,536;0,536;8144;3;4323;0,5308
15/08/2023;0,532;0,532;0,532;0,532;0,532;7839;2;4170;0,5320
14/08/2023;0,54;0,544;0,50;0,526;0,526;65216;8;34722;0,5324
11/08/2023;0,548;0,548;0,461;0,54;0,54;58298;14;29359;0,5036
10/08/2023;0,558;0,558;0,528;0,544;0,544;8521;5;4630;0,5434
09/08/2023;0,52;0,526;0,436;0,526;0,526;8501;7;4293;0,5050
08/08/2023;0,50;0,54;0,50;0,532;0,532;17794;6;9220;0,5182
07/08/2023;0,48;0,50;0,48;0,50;0,50;69855;9;34774;0,4978
04/08/2023;0,558;0,56;0,48;0,48;0,48;97171;18;49457;0,5090
03/08/2023;0,55;0,55;0,508;0,548;0,548;20217;9;11112;0,5496
02/08/2023;0,55;0,55;0,502;0,55;0,55;52307;5;26359;0,5039
01/08/2023;0,502;0,576;0,502;0,548;0,548;22310;10;11620;0,5208
31/07/2023;0,558;0,56;0,499;0,558;0,558;4908;8;2675;0,5449
28/07/2023;0,499;0,558;0,499;0,558;0,558;55451;7;28503;0,5140
27/07/2023;0,576;0,576;0,548;0,55;0,55;21335;7;11740;0,5503
26/07/2023;0,576;0,576;0,51;0,558;0,558;2151;4;1201;0,5581
25/07/2023;0,536;0,574;0,50;0,558;0,558;21985;11;12347;0,5616
24/07/2023;0,538;0,538;0,475;0,536;0,536;25337;7;13550;0,5348
21/07/2023;0,55;0,55;0,462;0,538;0,538;4760;6;2565;0,5389
20/07/2023;0,54;0,54;0,451;0,528;0,528;16368;12;8314;0,5079
19/07/2023;0,46;0,53;0,46;0,50;0,50;57235;9;27239;0,4759
18/07/2023;0,574;0,574;0,45;0,534;0,534;33820;7;17359;0,5133
17/07/2023;0,53;0,574;0,43;0,43;0,43;13883;12;7148;0,5149
14/07/2023;0,572;0,572;0,51;0,53;0,53;46250;5;24797;0,5362
13/07/2023;0,576;0,576;0,55;0,558;0,558;10770;7;6072;0,5638
12/07/2023;0,576;0,576;0,461;0,544;0,544;40018;15;21593;0,5396
11/07/2023;0,54;0,574;0,54;0,54;0,54;42523;6;23148;0,5444
10/07/2023;0,54;0,548;0,52;0,52;0,52;81526;10;44213;0,5423
07/07/2023;0,50;0,55;0,453;0,518;0,518;58034;9;26656;0,4593
06/07/2023;0,558;0,558;0,50;0,558;0,558;770;3;418;0,5433
05/07/2023;0,57;0,57;0,50;0,558;0,558;28259;11;15741;0,5570
04/07/2023;0,578;0,578;0,51;0,556;0,556;166632;22;86130;0,5169
03/07/2023;0,56;0,578;0,54;0,54;0,54;90430;8;49863;0,5514
30/06/2023;0,54;0,54;0,461;0,53;0,53;27898;10;14201;0,5090
29/06/2023;0,54;0,54;0,451;0,53;0,53;42974;11;21220;0,4938
28/06/2023;0,514;0,528;0,50;0,528;0,528;21641;10;11074;0,5117
27/06/2023;0,495;0,528;0,495;0,50;0,50;15850;9;8203;0,5176
26/06/2023;0,481;0,54;0,481;0,495;0,495;31787;12;16454;0,5176
23/06/2023;0,548;0,558;0,464;0,464;0,464;97434;8;48560;0,4984
22/06/2023;0,498;0,562;0,433;0,54;0,54;70891;12;31538;0,4449
21/06/2023;0,562;0,562;0,396;0,548;0,548;59774;13;32325;0,5408
20/06/2023;0,562;0,562;0,548;0,548;0,548;5034;6;2800;0,5561
19/06/2023;0,467;0,538;0,466;0,53;0,53;273679;42;136072;0,4972
16/06/2023;0,45;0,488;0,44;0,467;0,467;164430;24;76044;0,4625
15/06/2023;0,45;0,45;0,396;0,439;0,439;92083;18;40005;0,4344
14/06/2023;0,434;0,45;0,425;0,45;0,45;174484;24;76117;0,4362
13/06/2023;0,391;0,419;0,391;0,395;0,395;18287;7;7297;0,3990
12/06/2023;0,45;0,45;0,382;0,439;0,439;12374;5;5415;0,4376
09/06/2023;0,384;0,417;0,384;0,417;0,417;19291;9;7714;0,3999
08/06/2023;0,42;0,42;0,397;0,42;0,42;99647;14;39810;0,3995
07/06/2023;0,402;0,43;0,401;0,43;0,43;6818;4;2764;0,4054
06/06/2023;0,00;0,00;0,00;0,00;0,401;0;0;0;0,0000
05/06/2023;0,398;0,448;0,398;0,401;0,401;132075;19;54404;0,4119
02/06/2023;0,406;0,439;0,402;0,43;0,43;63544;8;26023;0,4095
01/06/2023;0,397;0,429;0,397;0,398;0,398;5363;3;2283;0,4257
31/05/2023;0,405;0,439;0,405;0,419;0,419;53460;16;22091;0,4132
30/05/2023;0,40;0,449;0,40;0,449;0,449;87200;18;35514;0,4073
29/05/2023;0,00;0,00;0,00;0,00;0,457;0;0;0;0,0000
26/05/2023;0,46;0,46;0,40;0,457;0,457;68168;6;27432;0,4024
25/05/2023;0,46;0,46;0,402;0,455;0,455;5920;12;2697;0,4556
24/05/2023;0,429;0,442;0,385;0,442;0,442;157077;18;65329;0,4159
23/05/2023;0,44;0,448;0,411;0,439;0,439;75973;11;32802;0,4318
22/05/2023;0,435;0,435;0,382;0,41;0,41;209585;23;87378;0,4169
19/05/2023;0,47;0,47;0,381;0,401;0,401;103232;28;42204;0,4088
18/05/2023;0,00;0,00;0,00;0,00;0,439;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;0,439;0;0;0;0,0000
16/05/2023;0,449;0,45;0,406;0,439;0,439;191668;15;80893;0,4221
15/05/2023;0,405;0,449;0,405;0,449;0,449;60856;13;26953;0,4429
12/05/2023;0,45;0,45;0,40;0,438;0,438;274902;25;116458;0,4236
11/05/2023;0,439;0,449;0,429;0,449;0,449;41183;10;17983;0,4367
10/05/2023;0,47;0,47;0,303;0,42;0,42;207449;24;83241;0,4013
09/05/2023;0,47;0,47;0,40;0,427;0,427;86912;11;37161;0,4276
08/05/2023;0,444;0,444;0,38;0,38;0,38;128518;15;51827;0,4033
05/05/2023;0,442;0,442;0,42;0,442;0,442;48699;9;20557;0,4221
04/05/2023;0,45;0,45;0,381;0,424;0,424;64640;6;25205;0,3899
03/05/2023;0,402;0,445;0,40;0,445;0,445;26126;5;10611;0,4061
02/05/2023;0,46;0,466;0,40;0,411;0,411;504475;45;212190;0,4206
28/04/2023;0,498;0,498;0,365;0,479;0,479;360297;27;143086;0,3971
27/04/2023;0,58;0,58;0,431;0,446;0,446;458909;37;211123;0,4601
26/04/2023;0,592;0,592;0,51;0,51;0,51;529935;43;282849;0,5337
25/04/2023;0,55;0,60;0,499;0,55;0,55;203637;43;111406;0,5471
24/04/2023;0,51;0,548;0,47;0,528;0,528;209150;37;105423;0,5041
21/04/2023;0,499;0,56;0,48;0,50;0,50;736539;69;379667;0,5155
20/04/2023;0,45;0,576;0,45;0,46;0,46;710124;54;352692;0,4967
19/04/2023;0,449;0,45;0,41;0,43;0,43;108793;14;47316;0,4349
18/04/2023;0,38;0,438;0,38;0,435;0,435;90000;17;38981;0,4331
17/04/2023;0,445;0,445;0,38;0,419;0,419;160180;22;70711;0,4415
14/04/2023;0,449;0,449;0,371;0,404;0,404;238121;34;93179;0,3913
13/04/2023;0,36;0,398;0,352;0,389;0,389;195028;14;73325;0,3760
12/04/2023;0,38;0,385;0,371;0,372;0,372;161641;22;60782;0,3760
11/04/2023;0,354;0,397;0,354;0,388;0,388;63830;15;24457;0,3832
06/04/2023;0,00;0,00;0,00;0,00;0,40;0;0;0;0,0000
05/04/2023;0,435;0,435;0,393;0,40;0,40;56349;10;22624;0,4015
04/04/2023;0,45;0,45;0,435;0,435;0,435;20378;8;8933;0,4383
03/04/2023;0,395;0,429;0,371;0,405;0,405;379284;21;152794;0,4028
31/03/2023;0,395;0,439;0,395;0,414;0,414;326535;28;134390;0,4116
30/03/2023;0,45;0,45;0,398;0,41;0,41;138483;25;58828;0,4248
29/03/2023;0,392;0,50;0,374;0,40;0,40;819612;78;337012;0,4112
28/03/2023;0,499;0,499;0,414;0,45;0,45;296314;44;128039;0,4321
27/03/2023;0,552;0,552;0,45;0,45;0,45;538936;53;251996;0,4676
24/03/2023;0,53;0,58;0,401;0,52;0,52;552807;123;305330;0,5523
23/03/2023;0,405;0,57;0,389;0,516;0,516;713143;127;358144;0,5022
22/03/2023;0,40;0,45;0,38;0,411;0,411;257797;39;105952;0,4110
21/03/2023;0,38;0,45;0,38;0,40;0,40;163108;33;66229;0,4060
20/03/2023;0,49;0,49;0,401;0,41;0,41;161059;40;71922;0,4466
17/03/2023;0,40;0,489;0,38;0,415;0,415;702087;99;306158;0,4361
16/03/2023;0,318;0,40;0,253;0,38;0,38;607172;88;214741;0,3537
15/03/2023;0,336;0,366;0,28;0,306;0,306;1059241;87;346827;0,3274
14/03/2023;0,365;0,365;0,33;0,336;0,336;553678;64;187314;0,3383
13/03/2023;0,40;0,40;0,326;0,365;0,365;508657;50;177189;0,3483
10/03/2023;0,40;0,40;0,329;0,388;0,388;285956;45;105225;0,3680
09/03/2023;0,395;0,40;0,343;0,366;0,366;457246;47;170188;0,3722
08/03/2023;0,40;0,40;0,336;0,367;0,367;377807;82;135145;0,3577
07/03/2023;0,39;0,40;0,361;0,396;0,396;146454;40;56216;0,3838
06/03/2023;0,50;0,50;0,36;0,385;0,385;849622;89;320650;0,3774
03/03/2023;0,449;0,499;0,38;0,44;0,44;640732;78;273173;0,4263
02/03/2023;0,588;0,588;0,43;0,445;0,445;852578;135;397009;0,4657
01/03/2023;0,42;0,60;0,371;0,52;0,52;1844848;183;842525;0,4567
28/02/2023;0,449;0,449;0,36;0,399;0,399;529479;56;212535;0,4014
27/02/2023;0,43;0,45;0,322;0,40;0,40;125558;42;51156;0,4074
24/02/2023;0,364;0,46;0,31;0,41;0,41;1038543;113;382979;0,3688
23/02/2023;0,44;0,465;0,351;0,395;0,395;1053572;109;415662;0,3945
22/02/2023;0,41;0,497;0,41;0,441;0,441;694935;106;310553;0,4469
21/02/2023;0,552;0,648;0,42;0,48;0,48;1540812;207;754426;0,4896
20/02/2023;0,85;0,85;0,55;0,55;0,55;1161922;158;745497;0,6416
17/02/2023;0,808;0,968;0,604;0,714;0,714;1243034;282;902417;0,7260
16/02/2023;0,802;1,05;0,75;0,83;0,83;6707864;1005;5858667;0,8734
15/02/2023;0,23;0,85;0,20;0,63;0,63;2725623;456;1578458;0,5791
14/02/2023;0,27;0,27;0,1725;0,23;0,23;689036;119;168806;0,2450
13/02/2023;0,30;0,30;0,18;0,20;0,20;168526;31;33510;0,1988
10/02/2023;0,265;0,265;0,18;0,224;0,224;658881;54;132775;0,2015
09/02/2023;0,317;0,36;0,231;0,26;0,26;1020522;99;284750;0,2790
08/02/2023;0,36;0,36;0,27;0,317;0,317;1100081;176;348749;0,3170
07/02/2023;0,319;0,35;0,23;0,271;0,271;1401829;174;386162;0,2755
06/02/2023;0,451;0,469;0,253;0,255;0,255;1894049;164;727014;0,3838
03/02/2023;2,26;2,26;0,30;0,35;0,35;714997;62;328901;0,4600
02/02/2023;2,31;2,31;2,15;2,15;2,15;11548;8;26581;2,3018
