"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0006000603
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;149,00;151,00;149,00;151,00;151,00;300;4;45250;150,8333
03/11/2023;150,00;150,00;148,00;149,00;149,00;2425;7;359455;148,2289
02/11/2023;152,00;152,00;152,00;152,00;152,00;35;1;5320;152,0000
01/11/2023;152,00;152,00;152,00;152,00;152,00;25;1;3800;152,0000
31/10/2023;154,00;154,00;154,00;154,00;154,00;1;1;154;154,0000
30/10/2023;150,00;152,00;150,00;152,00;152,00;202;3;30674;151,8515
27/10/2023;149,00;149,00;148,00;148,00;148,00;276;2;41057;148,7572
26/10/2023;152,00;152,00;148,00;151,00;151,00;1297;6;193949;149,5366
25/10/2023;153,00;153,00;153,00;153,00;153,00;50;1;7650;153,0000
24/10/2023;0,00;0,00;0,00;0,00;159,00;0;0;0;0,0000
23/10/2023;157,00;159,00;157,00;159,00;159,00;93;5;14751;158,6129
20/10/2023;0,00;0,00;0,00;0,00;157,00;0;0;0;0,0000
19/10/2023;0,00;0,00;0,00;0,00;157,00;0;0;0;0,0000
18/10/2023;0,00;0,00;0,00;0,00;157,00;0;0;0;0,0000
17/10/2023;156,00;157,00;156,00;157,00;157,00;244;2;38306;156,9918
16/10/2023;151,00;156,00;151,00;156,00;156,00;1036;5;157706;152,2259
13/10/2023;151,00;151,00;149,00;149,00;149,00;55;2;8205;149,1818
12/10/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
11/10/2023;152,00;152,00;148,00;149,00;149,00;63;6;9501;150,8095
10/10/2023;151,00;151,00;148,00;148,00;148,00;372;5;55872;150,1935
09/10/2023;152,00;152,00;151,00;151,00;151,00;72;3;10918;151,6389
06/10/2023;148,00;151,00;148,00;151,00;151,00;28;2;4183;149,3929
05/10/2023;151,00;151,00;148,00;148,00;148,00;90;3;13560;150,6667
04/10/2023;151,00;151,00;151,00;151,00;151,00;25;3;3775;151,0000
03/10/2023;0,00;0,00;0,00;0,00;151,00;0;0;0;0,0000
02/10/2023;0,00;0,00;0,00;0,00;151,00;0;0;0;0,0000
29/09/2023;150,00;151,00;150,00;151,00;151,00;538;7;80824;150,2305
28/09/2023;151,00;151,00;150,00;150,00;150,00;400;3;60334;150,8350
27/09/2023;155,00;155,00;155,00;155,00;155,00;2;1;310;155,0000
26/09/2023;0,00;0,00;0,00;0,00;155,00;0;0;0;0,0000
25/09/2023;155,00;155,00;155,00;155,00;155,00;1;1;155;155,0000
22/09/2023;155,00;156,00;152,00;152,00;152,00;754;7;117020;155,1989
21/09/2023;0,00;0,00;0,00;0,00;152,00;0;0;0;0,0000
20/09/2023;152,00;152,00;152,00;152,00;152,00;100;2;15200;152,0000
19/09/2023;152,00;152,00;152,00;152,00;152,00;6;1;912;152,0000
18/09/2023;0,00;0,00;0,00;0,00;155,00;0;0;0;0,0000
15/09/2023;153,00;155,00;153,00;155,00;155,00;511;4;78414;153,4521
14/09/2023;153,00;153,00;153,00;153,00;153,00;100;2;15300;153,0000
13/09/2023;0,00;0,00;0,00;0,00;156,00;0;0;0;0,0000
12/09/2023;156,00;156,00;156,00;156,00;156,00;10;1;1560;156,0000
11/09/2023;154,00;154,00;154,00;154,00;154,00;20;1;3080;154,0000
08/09/2023;155,00;155,00;154,00;154,00;154,00;375;3;57950;154,5333
07/09/2023;0,00;0,00;0,00;0,00;156,00;0;0;0;0,0000
06/09/2023;154,00;156,00;154,00;156,00;156,00;5;2;778;155,6000
05/09/2023;154,00;154,00;154,00;154,00;154,00;242;2;37268;154,0000
04/09/2023;0,00;0,00;0,00;0,00;154,00;0;0;0;0,0000
01/09/2023;154,00;154,00;154,00;154,00;154,00;35;1;5390;154,0000
31/08/2023;154,00;154,00;154,00;154,00;154,00;72;4;11088;154,0000
30/08/2023;154,00;154,00;154,00;154,00;154,00;25;1;3850;154,0000
29/08/2023;154,00;154,00;154,00;154,00;154,00;16;1;2464;154,0000
28/08/2023;154,00;154,00;154,00;154,00;154,00;3;1;462;154,0000
25/08/2023;156,00;156,00;153,00;155,00;155,00;577;8;89246;154,6724
24/08/2023;157,00;158,00;155,00;158,00;158,00;260;4;40723;156,6269
23/08/2023;0,00;0,00;0,00;0,00;158,00;0;0;0;0,0000
22/08/2023;0,00;0,00;0,00;0,00;158,00;0;0;0;0,0000
21/08/2023;158,00;158,00;158,00;158,00;158,00;5;1;790;158,0000
18/08/2023;0,00;0,00;0,00;0,00;161,00;0;0;0;0,0000
17/08/2023;161,00;161,00;161,00;161,00;161,00;93;1;14973;161,0000
16/08/2023;163,00;163,00;159,00;161,00;161,00;1394;13;222751;159,7927
15/08/2023;0,00;0,00;0,00;0,00;167,00;0;0;0;0,0000
14/08/2023;167,00;167,00;167,00;167,00;167,00;15;1;2505;167,0000
11/08/2023;164,00;167,00;163,00;163,00;163,00;22;3;3617;164,4091
10/08/2023;163,00;166,00;163,00;166,00;166,00;120;4;19620;163,5000
09/08/2023;0,00;0,00;0,00;0,00;166,00;0;0;0;0,0000
08/08/2023;166,00;166,00;166,00;166,00;166,00;7;1;1162;166,0000
07/08/2023;169,00;169,00;161,00;162,00;162,00;302;9;50304;166,5695
04/08/2023;0,00;0,00;0,00;0,00;160,00;0;0;0;0,0000
03/08/2023;163,00;163,00;160,00;160,00;160,00;415;3;67600;162,8916
02/08/2023;159,00;163,00;159,00;163,00;163,00;478;4;77202;161,5105
01/08/2023;160,00;160,00;160,00;160,00;160,00;62;5;9920;160,0000
31/07/2023;162,00;163,00;160,00;161,00;161,00;682;9;110276;161,6950
28/07/2023;165,00;168,00;163,00;163,00;163,00;956;16;159183;166,5094
27/07/2023;163,00;168,00;163,00;163,00;163,00;504;7;82743;164,1726
26/07/2023;0,00;0,00;0,00;0,00;164,00;0;0;0;0,0000
25/07/2023;156,00;167,00;156,00;164,00;164,00;2002;16;325051;162,3631
24/07/2023;156,00;156,00;156,00;156,00;156,00;40;1;6240;156,0000
21/07/2023;156,00;156,00;156,00;156,00;156,00;80;3;12480;156,0000
20/07/2023;156,00;156,00;156,00;156,00;156,00;35;1;5460;156,0000
19/07/2023;154,00;157,00;154,00;157,00;157,00;61;2;9469;155,2295
18/07/2023;151,00;151,00;151,00;151,00;151,00;500;3;75500;151,0000
17/07/2023;151,00;156,00;151,00;154,00;154,00;2127;12;326430;153,4697
14/07/2023;149,00;149,00;149,00;149,00;149,00;100;3;14900;149,0000
13/07/2023;149,00;149,00;149,00;149,00;149,00;35;1;5215;149,0000
12/07/2023;148,00;148,00;148,00;148,00;148,00;19;1;2812;148,0000
11/07/2023;150,00;151,00;150,00;151,00;151,00;35;3;5265;150,4286
10/07/2023;0,00;0,00;0,00;0,00;152,00;0;0;0;0,0000
07/07/2023;152,00;152,00;152,00;152,00;152,00;1;1;152;152,0000
06/07/2023;0,00;0,00;0,00;0,00;150,00;0;0;0;0,0000
05/07/2023;150,00;150,00;150,00;150,00;150,00;50;2;7500;150,0000
04/07/2023;150,00;152,00;149,00;149,00;149,00;1046;9;156712;149,8203
03/07/2023;150,00;152,00;150,00;152,00;152,00;119;2;17950;150,8403
30/06/2023;0,00;0,00;0,00;0,00;147,00;0;0;0;0,0000
29/06/2023;147,00;147,00;147,00;147,00;147,00;180;2;26460;147,0000
28/06/2023;146,00;146,00;146,00;146,00;146,00;31;1;4526;146,0000
27/06/2023;146,00;146,00;146,00;146,00;146,00;81;2;11826;146,0000
26/06/2023;146,00;147,00;145,00;147,00;147,00;244;6;35500;145,4918
23/06/2023;144,00;147,00;144,00;147,00;147,00;187;3;27317;146,0802
22/06/2023;146,00;148,00;145,00;145,00;145,00;944;12;138202;146,4004
21/06/2023;0,00;0,00;0,00;0,00;143,00;0;0;0;0,0000
20/06/2023;143,00;143,00;143,00;143,00;143,00;60;2;8580;143,0000
19/06/2023;145,00;145,00;145,00;145,00;145,00;50;1;7250;145,0000
16/06/2023;147,00;147,00;143,00;145,00;145,00;3315;18;479043;144,5077
15/06/2023;149,00;149,00;149,00;149,00;149,00;237;3;35313;149,0000
14/06/2023;146,00;146,00;146,00;146,00;146,00;252;2;36792;146,0000
13/06/2023;151,00;151,00;145,00;150,00;150,00;127;5;18850;148,4252
12/06/2023;153,00;153,00;151,00;151,00;151,00;520;3;78722;151,3885
09/06/2023;154,00;154,00;152,00;152,00;152,00;165;6;25260;153,0909
08/06/2023;155,00;156,00;155,00;156,00;156,00;38;2;5891;155,0263
07/06/2023;156,00;156,00;156,00;156,00;156,00;40;1;6240;156,0000
06/06/2023;0,00;0,00;0,00;0,00;156,00;0;0;0;0,0000
05/06/2023;0,00;0,00;0,00;0,00;156,00;0;0;0;0,0000
02/06/2023;156,00;156,00;156,00;156,00;156,00;13;1;2028;156,0000
01/06/2023;156,00;156,00;156,00;156,00;156,00;70;2;10920;156,0000
31/05/2023;0,00;0,00;0,00;0,00;156,00;0;0;0;0,0000
30/05/2023;157,00;157,00;154,00;156,00;156,00;372;5;57772;155,3011
29/05/2023;0,00;0,00;0,00;0,00;159,00;0;0;0;0,0000
26/05/2023;159,00;159,00;156,00;159,00;159,00;1571;11;248240;158,0140
25/05/2023;160,00;162,00;160,00;162,00;162,00;602;5;96520;160,3322
24/05/2023;157,00;158,00;157,00;157,00;157,00;106;4;16705;157,5943
23/05/2023;160,00;160,00;160,00;160,00;160,00;43;2;6880;160,0000
22/05/2023;159,00;159,00;157,00;157,00;157,00;40;3;6350;158,7500
19/05/2023;159,00;159,00;157,00;157,00;157,00;115;3;18065;157,0870
18/05/2023;0,00;0,00;0,00;0,00;156,00;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;156,00;0;0;0;0,0000
16/05/2023;159,00;159,00;156,00;156,00;156,00;58;3;9161;157,9483
15/05/2023;156,00;159,00;156,00;159,00;159,00;270;4;42908;158,9185
12/05/2023;157,00;157,00;156,00;156,00;156,00;362;2;56522;156,1381
11/05/2023;157,00;158,00;156,00;158,00;158,00;101;6;15847;156,9010
10/05/2023;159,00;159,00;157,00;159,00;159,00;113;6;17965;158,9823
09/05/2023;159,00;159,00;158,00;158,00;158,00;108;3;17158;158,8704
08/05/2023;159,00;161,00;159,00;159,00;159,00;676;7;108242;160,1213
05/05/2023;158,00;159,00;158,00;159,00;159,00;298;3;47132;158,1611
04/05/2023;159,00;161,00;156,00;158,00;158,00;468;10;74446;159,0727
03/05/2023;158,00;158,00;155,00;158,00;158,00;186;7;29299;157,5215
02/05/2023;160,00;160,00;159,00;159,00;159,00;6;3;959;159,8333
28/04/2023;157,00;159,00;154,00;154,00;154,00;950;6;150191;158,0958
27/04/2023;163,00;163,00;151,00;153,00;153,00;7025;61;1094535;155,8057
26/04/2023;166,00;166,00;161,00;162,00;162,00;733;10;118418;161,5525
25/04/2023;170,00;171,00;166,00;168,00;168,00;382;13;64458;168,7382
24/04/2023;180,00;180,00;170,00;170,00;170,00;2114;21;363659;172,0241
21/04/2023;162,00;192,00;157,00;185,00;185,00;10440;65;1836121;175,8737
20/04/2023;170,00;170,00;168,00;168,00;168,00;640;7;107992;168,7375
19/04/2023;168,00;174,00;168,00;170,00;170,00;2557;20;437254;171,0027
18/04/2023;168,00;168,00;165,00;165,00;165,00;37;3;6186;167,1892
17/04/2023;169,00;169,00;166,00;168,00;168,00;788;12;131780;167,2335
14/04/2023;170,00;170,00;166,00;166,00;166,00;395;8;66499;168,3519
13/04/2023;169,00;169,00;166,00;167,00;167,00;2008;14;335545;167,1041
12/04/2023;167,00;168,00;167,00;168,00;168,00;1132;11;189128;167,0742
11/04/2023;162,00;168,00;162,00;168,00;168,00;833;8;138070;165,7503
06/04/2023;0,00;0,00;0,00;0,00;162,00;0;0;0;0,0000
05/04/2023;162,00;163,00;162,00;162,00;162,00;281;4;45523;162,0036
04/04/2023;162,00;162,00;162,00;162,00;162,00;40;1;6480;162,0000
