"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003080608
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;25,60;25,68;24,84;25,00;25,00;300390;350;7563441;25,1787
03/11/2023;26,40;26,40;24,66;25,22;25,22;624556;574;15891379;25,4443
02/11/2023;25,50;26,40;25,22;25,82;25,82;783475;650;20315730;25,9303
01/11/2023;24,02;25,30;23,80;24,90;24,90;815165;658;20248073;24,8392
31/10/2023;22,88;24,00;22,00;23,70;23,70;739774;620;17259868;23,3313
30/10/2023;19,60;22,90;19,20;22,30;22,30;2247677;1341;47435696;21,1043
27/10/2023;23,42;24,92;22,10;23,00;23,00;3054477;1836;71977791;23,5647
26/10/2023;25,10;25,76;23,10;23,94;23,94;4453540;1668;108924683;24,4580
25/10/2023;27,50;27,66;25,04;25,78;25,78;5942003;1835;149110363;25,0943
24/10/2023;26,44;32,16;25,86;26,90;26,90;6167149;3613;171483325;27,8059
23/10/2023;34,00;34,00;22,78;26,76;26,76;7575980;6488;193408205;25,5291
20/10/2023;31,70;33,20;30,76;32,50;32,50;902068;775;28444839;31,5329
19/10/2023;30,80;32,08;29,80;31,72;31,72;1090342;645;33761769;30,9644
18/10/2023;29,06;30,66;28,34;30,66;30,66;1157121;803;34789031;30,0652
17/10/2023;27,70;29,10;27,34;29,06;29,06;706460;672;20344055;28,7972
16/10/2023;28,00;28,54;27,56;27,90;27,90;517388;530;14478509;27,9839
13/10/2023;29,04;29,56;27,78;28,00;28,00;1278059;1064;36516878;28,5721
12/10/2023;30,00;30,86;29,32;29,44;29,44;1474608;1251;44490232;30,1709
11/10/2023;28,60;30,30;28,40;29,82;29,82;1541317;1400;45837868;29,7394
10/10/2023;29,50;29,66;28,40;28,72;28,72;503464;561;14496068;28,7927
09/10/2023;30,40;30,80;28,78;29,10;29,10;1267991;1069;37657645;29,6987
06/10/2023;29,60;31,00;29,30;30,02;30,02;2200471;2140;66613668;30,2725
05/10/2023;27,58;30,00;27,00;29,86;29,86;2050034;1673;59198022;28,8766
04/10/2023;26,10;28,14;26,10;27,60;27,60;1190700;1116;32485843;27,2830
03/10/2023;26,36;27,04;25,44;26,88;26,88;868629;876;22716135;26,1517
02/10/2023;27,86;28,34;26,70;26,76;26,76;1478406;1394;40492967;27,3896
29/09/2023;28,00;30,42;26,90;27,06;27,06;2884157;2537;82763385;28,6959
28/09/2023;28,00;28,00;26,46;26,60;26,60;617264;566;16750959;27,1374
27/09/2023;26,10;27,84;25,68;27,60;27,60;1329797;1103;36106152;27,1516
26/09/2023;26,30;26,90;25,18;25,70;25,70;1600763;513;39810941;24,8700
25/09/2023;28,24;28,54;26,40;26,56;26,56;1349609;1126;37260469;27,6083
