"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0006390301
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;130,00;132,40;129,80;131,80;131,80;82706;400;10873247;131,4687
03/11/2023;129,40;130,60;129,00;129,60;129,60;116842;587;15150393;129,6656
02/11/2023;133,00;133,00;127,80;129,00;129,00;503285;1098;65330551;129,8083
01/11/2023;134,00;135,20;133,60;134,40;134,40;83975;314;11288830;134,4308
31/10/2023;134,00;135,60;134,00;135,40;135,40;77055;317;10412307;135,1282
30/10/2023;135,00;136,00;133,60;133,60;133,60;84125;299;11313921;134,4894
27/10/2023;135,00;135,60;133,60;134,20;134,20;59628;321;8029342;134,6572
26/10/2023;135,00;135,40;132,60;134,40;134,40;115380;407;15479234;134,1587
25/10/2023;137,00;137,00;134,80;134,80;134,80;107250;314;14495642;135,1575
24/10/2023;136,80;137,00;135,20;135,60;135,60;59779;273;8123145;135,8863
23/10/2023;136,20;137,40;135,60;136,80;136,80;44405;251;6051830;136,2871
20/10/2023;137,00;138,60;135,60;136,80;136,80;78641;348;10794195;137,2591
19/10/2023;140,20;140,20;137,20;137,80;137,80;77963;282;10766757;138,1009
18/10/2023;138,00;140,80;138,00;140,80;140,80;100484;363;14044466;139,7682
17/10/2023;138,20;138,80;137,80;138,00;138,00;90910;225;12569058;138,2583
16/10/2023;138,00;138,80;138,00;138,00;138,00;51257;249;7086332;138,2510
13/10/2023;140,80;141,20;138,40;139,20;139,20;62330;261;8699238;139,5674
12/10/2023;139,80;141,00;139,60;140,60;140,60;65801;212;9238669;140,4032
11/10/2023;139,00;140,00;138,20;140,00;140,00;50432;246;7039813;139,5902
10/10/2023;137,60;139,80;137,60;138,80;138,80;37040;204;5147276;138,9653
09/10/2023;137,00;138,60;136,40;138,20;138,20;95289;290;13144963;137,9484
06/10/2023;137,00;138,60;135,80;136,60;136,60;45906;247;6286306;136,9387
05/10/2023;134,80;137,20;134,20;137,00;137,00;51787;278;7067148;136,4657
04/10/2023;137,00;137,00;134,60;134,60;134,60;39362;269;5321567;135,1955
03/10/2023;139,60;139,60;136,00;136,80;136,80;69102;340;9477755;137,1560
02/10/2023;137,00;138,00;136,80;137,40;137,40;37730;277;5187500;137,4901
29/09/2023;139,20;139,20;137,00;137,20;137,20;86906;280;11926590;137,2355
28/09/2023;138,00;138,00;136,80;137,20;137,20;356379;393;48802727;136,9405
27/09/2023;138,40;139,00;137,20;138,20;138,20;216247;447;29944583;138,4740
26/09/2023;140,00;140,60;138,60;139,00;139,00;278992;368;39020233;139,8615
25/09/2023;142,20;142,80;140,20;140,20;140,20;62411;299;8780067;140,6814
22/09/2023;143,00;144,00;142,20;143,00;143,00;66072;265;9448087;142,9968
21/09/2023;144,00;144,20;142,80;143,80;143,80;43466;205;6243473;143,6404
20/09/2023;143,40;144,80;142,80;144,20;144,20;103230;402;14844422;143,7995
19/09/2023;143,00;143,80;142,00;143,20;143,20;138515;228;19848240;143,2931
18/09/2023;143,00;143,80;142,40;142,60;142,60;41190;277;5888613;142,9622
15/09/2023;141,60;143,40;141,60;143,20;143,20;137632;346;19683564;143,0159
14/09/2023;140,00;142,60;140,00;141,60;141,60;81348;293;11496690;141,3273
13/09/2023;142,00;142,20;140,40;140,40;140,40;65498;284;9234560;140,9900
12/09/2023;140,80;142,00;140,20;142,00;142,00;27766;235;3928145;141,4732
11/09/2023;140,60;141,60;140,20;140,40;140,40;52437;254;7382733;140,7924
08/09/2023;139,20;140,60;138,60;140,40;140,40;111970;239;15707781;140,2856
07/09/2023;140,00;140,60;139,00;139,80;139,80;47217;248;6597108;139,7189
06/09/2023;141,20;141,20;138,80;140,20;140,20;67362;258;9436144;140,0811
05/09/2023;141,00;142,00;140,60;141,00;141,00;50159;261;7078626;141,1237
04/09/2023;141,00;142,40;141,00;141,60;141,60;50392;239;7142773;141,7442
01/09/2023;142,00;142,20;140,80;141,40;141,40;40413;196;5714014;141,3905
31/08/2023;140,80;141,60;140,60;140,80;140,80;655443;495;92358449;140,9100
30/08/2023;142,80;143,00;140,20;140,80;140,80;268870;473;38113245;141,7534
29/08/2023;144,60;144,60;141,60;142,00;142,00;88592;341;12658170;142,8816
28/08/2023;142,40;144,00;142,00;143,40;143,40;56781;304;8131764;143,2128
25/08/2023;141,40;142,40;140,60;142,20;142,20;47402;270;6714228;141,6444
24/08/2023;141,00;141,80;140,20;141,00;141,00;66169;285;9334936;141,0772
23/08/2023;140,00;141,20;139,60;141,20;141,20;351077;350;49501142;140,9980
22/08/2023;142,80;142,80;140,80;141,20;141,20;117416;281;16604818;141,4187
21/08/2023;142,00;143,60;141,40;141,80;141,80;100780;508;14352389;142,4131
18/08/2023;142,00;143,60;141,20;142,00;142,00;152219;299;21746228;142,8615
17/08/2023;142,60;144,60;142,60;143,20;143,20;64109;311;9213992;143,7239
16/08/2023;142,00;144,40;141,40;144,40;144,40;147172;561;21119399;143,5015
15/08/2023;144,60;145,00;142,00;142,00;142,00;75158;370;10761279;143,1821
14/08/2023;144,40;147,20;144,40;146,00;146,00;90983;545;13302149;146,2048
11/08/2023;145,00;147,40;144,20;144,40;144,40;154528;640;22550789;145,9334
10/08/2023;145,00;145,00;140,40;144,60;144,60;135152;491;19452251;143,9287
09/08/2023;144,80;144,80;142,60;144,20;144,20;59943;362;8627824;143,9338
08/08/2023;144,00;144,80;140,20;141,20;141,20;116660;492;16543174;141,8067
07/08/2023;143,20;144,60;142,80;144,40;144,40;257404;343;36965995;143,6108
04/08/2023;144,00;144,80;143,20;143,40;143,40;63180;374;9085182;143,7984
03/08/2023;139,60;143,60;139,60;143,60;143,60;68059;380;9724632;142,8853
02/08/2023;142,80;142,80;141,40;142,60;142,60;54209;248;7713956;142,3003
01/08/2023;142,00;143,00;141,80;142,80;142,80;43780;235;6235977;142,4389
31/07/2023;141,40;142,80;141,40;142,20;142,20;83129;299;11817676;142,1607
28/07/2023;142,00;142,00;140,80;141,40;141,40;22401;180;3166219;141,3427
27/07/2023;142,60;142,60;140,80;141,20;141,20;26704;198;3771531;141,2347
26/07/2023;140,40;141,00;140,00;141,00;141,00;42090;257;5921475;140,6860
25/07/2023;140,80;141,00;140,20;140,40;140,40;28149;208;3954269;140,4764
24/07/2023;139,60;140,40;138,40;140,40;140,40;38859;273;5433125;139,8164
21/07/2023;139,80;139,80;138,40;139,00;139,00;53027;268;7377350;139,1244
20/07/2023;137,80;138,80;137,20;138,40;138,40;28928;195;3993322;138,0435
19/07/2023;137,20;137,80;137,00;137,40;137,40;39514;203;5428846;137,3904
18/07/2023;135,60;137,00;135,20;137,00;137,00;40918;239;5586007;136,5171
17/07/2023;135,40;136,00;134,20;135,60;135,60;50106;265;6778222;135,2777
14/07/2023;137,00;137,00;134,80;135,40;135,40;36077;242;4885840;135,4281
13/07/2023;135,40;136,20;135,00;136,00;136,00;55855;271;7580627;135,7198
12/07/2023;137,00;138,00;136,20;136,20;136,20;36632;207;5000716;136,5122
11/07/2023;137,00;137,40;135,60;137,00;137,00;41780;249;5705985;136,5722
10/07/2023;138,00;138,60;136,00;136,40;136,40;59339;238;8123489;136,8997
07/07/2023;139,60;139,60;136,60;138,20;138,20;76903;270;10593908;137,7568
06/07/2023;139,80;140,60;138,80;138,80;138,80;56250;225;7842573;139,4235
05/07/2023;141,00;141,00;139,20;139,60;139,60;221567;227;30988001;139,8584
04/07/2023;140,80;142,00;139,60;140,00;140,00;60190;209;8439049;140,2068
03/07/2023;141,60;141,80;140,40;140,60;140,60;56129;268;7914124;140,9988
30/06/2023;140,80;141,60;140,80;141,00;141,00;122537;217;17288653;141,0893
29/06/2023;139,60;141,00;138,60;140,80;140,80;54408;249;7630987;140,2549
28/06/2023;138,00;139,20;138,00;139,20;139,20;132016;287;18291166;138,5526
27/06/2023;137,00;137,60;136,00;137,40;137,40;64973;224;8914159;137,1979
26/06/2023;139,40;140,00;135,40;136,60;136,60;219058;365;29825325;136,1526
23/06/2023;138,40;138,40;136,00;137,00;137,00;212713;602;29193700;137,2445
22/06/2023;139,40;141,00;138,20;138,80;138,80;264710;538;36998566;139,7702
21/06/2023;138,80;140,40;138,40;139,20;139,20;86218;308;12021914;139,4362
20/06/2023;137,80;139,00;136,80;138,40;138,40;175495;340;24173851;137,7467
19/06/2023;137,60;138,00;136,40;137,80;137,80;86609;196;11919350;137,6225
16/06/2023;137,00;138,40;137,00;137,60;137,60;76012;210;10462236;137,6393
15/06/2023;137,60;138,40;137,00;137,20;137,20;106496;221;14636254;137,4348
14/06/2023;136,00;138,20;135,60;137,60;137,60;107663;350;14778473;137,2660
13/06/2023;136,00;136,20;134,00;136,20;136,20;59976;277;8123357;135,4435
12/06/2023;136,20;136,40;134,80;135,20;135,20;157456;212;21324997;135,4346
09/06/2023;135,60;136,40;135,20;136,00;136,00;127958;329;17379499;135,8219
08/06/2023;137,00;137,80;134,60;135,60;135,60;94934;283;12916513;136,0578
07/06/2023;136,00;137,60;136,00;137,60;137,60;114425;358;15697435;137,1854
06/06/2023;137,20;137,20;135,40;136,40;136,40;44989;197;6144722;136,5828
05/06/2023;137,00;137,80;136,80;137,20;137,20;111155;328;15250883;137,2038
02/06/2023;135,20;137,20;135,00;137,20;137,20;105420;344;14386987;136,4730
01/06/2023;134,60;135,60;134,40;135,00;135,00;55966;249;7557879;135,0441
31/05/2023;133,60;134,80;133,20;133,80;133,80;391904;443;52416872;133,7493
30/05/2023;134,60;136,80;133,80;134,80;134,80;171670;338;23241167;135,3828
29/05/2023;0,00;0,00;0,00;0,00;134,60;0;0;0;0,0000
26/05/2023;135,00;135,20;133,00;134,60;134,60;112062;417;15055846;134,3528
25/05/2023;134,60;135,80;134,00;134,80;134,80;158698;322;21405184;134,8800
24/05/2023;135,80;135,80;134,00;134,80;134,80;243307;245;32776272;134,7116
23/05/2023;135,80;136,80;135,40;135,40;135,40;72122;297;9802402;135,9142
22/05/2023;134,40;135,60;134,00;135,40;135,40;191169;482;25821495;135,0716
19/05/2023;133,20;135,00;133,00;134,80;134,80;92386;344;12423286;134,4715
18/05/2023;0,00;0,00;0,00;0,00;132,40;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;132,40;0;0;0;0,0000
16/05/2023;133,80;133,80;132,00;132,40;132,40;235985;400;31338365;132,7981
15/05/2023;131,60;133,40;129,60;133,40;133,40;179308;414;23586641;131,5426
12/05/2023;132,40;132,80;130,20;130,80;130,80;306341;397;40125388;130,9828
11/05/2023;132,20;132,20;129,20;131,00;131,00;129322;541;16898040;130,6664
10/05/2023;134,00;134,20;131,40;132,20;132,20;216265;626;28606014;132,2730
09/05/2023;134,60;135,00;133,40;135,00;135,00;97496;371;13115465;134,5231
08/05/2023;135,40;136,40;135,00;135,00;135,00;126127;432;17076496;135,3913
05/05/2023;134,40;136,40;132,80;135,20;135,20;131368;472;17697755;134,7189
04/05/2023;135,40;135,80;132,60;133,40;133,40;171094;416;22853424;133,5723
03/05/2023;137,00;137,40;134,40;135,80;135,80;154167;573;20913615;135,6556
02/05/2023;138,20;138,20;136,40;136,60;136,60;112000;384;15356119;137,1082
28/04/2023;136,40;137,80;134,60;137,80;137,80;174617;394;23775297;136,1568
27/04/2023;135,00;136,20;133,60;136,20;136,20;173029;376;23392614;135,1948
26/04/2023;133,40;135,00;132,60;134,40;134,40;138977;364;18660879;134,2731
25/04/2023;133,20;134,60;132,40;134,20;134,20;96626;280;12944704;133,9671
24/04/2023;133,20;134,00;132,80;134,00;134,00;81066;280;10817253;133,4376
21/04/2023;132,60;134,00;132,00;133,00;133,00;164776;437;21938976;133,1442
20/04/2023;132,80;134,80;132,00;133,20;133,20;245767;428;32844307;133,6400
19/04/2023;130,80;132,80;130,20;132,80;132,80;253409;440;33556914;132,4220
18/04/2023;130,00;131,20;128,80;130,80;130,80;207351;349;26977581;130,1059
17/04/2023;132,00;132,20;128,80;129,60;129,60;71983;323;9413609;130,7754
14/04/2023;128,20;130,80;128,20;130,60;130,60;170854;595;22183339;129,8380
13/04/2023;127,40;128,20;127,00;127,60;127,60;194433;364;24748310;127,2845
