"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010631567
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;120,00;121,30;120,00;121,10;121,10;113791;499;13755056;120,8800
03/11/2023;119,20;120,40;119,10;120,00;120,00;137347;447;16456231;119,8150
02/11/2023;121,50;121,50;117,80;118,90;118,90;153598;587;18247139;118,7980
01/11/2023;120,60;121,70;119,70;120,50;120,50;120937;576;14599238;120,7177
31/10/2023;121,00;121,70;119,90;121,20;121,20;295814;676;35800039;121,0221
30/10/2023;118,70;120,60;118,00;120,00;120,00;192930;662;23078179;119,6194
27/10/2023;118,50;120,00;117,40;118,20;118,20;8785491;1048;1031775096;117,4408
26/10/2023;122,20;125,80;116,30;117,40;117,40;398682;1401;47627395;119,4621
25/10/2023;121,80;121,80;118,50;118,70;118,70;241739;751;28906525;119,5774
24/10/2023;122,30;123,00;121,00;121,60;121,60;130999;647;15951468;121,7679
23/10/2023;123,40;123,80;122,40;123,40;123,40;90466;404;11143131;123,1748
20/10/2023;126,00;126,00;124,20;124,60;124,60;83089;383;10371704;124,8264
19/10/2023;126,50;126,90;124,30;126,00;126,00;128721;550;16160178;125,5442
18/10/2023;126,00;127,00;125,70;127,00;127,00;280014;445;35475477;126,6918
17/10/2023;125,90;126,40;125,10;125,70;125,70;76610;392;9631145;125,7165
16/10/2023;125,40;126,30;124,90;125,90;125,90;142726;610;17908636;125,4756
13/10/2023;126,60;127,20;124,60;125,20;125,20;138291;391;17452207;126,1992
12/10/2023;126,20;127,10;126,20;127,10;127,10;99246;417;12584851;126,8046
11/10/2023;124,70;126,50;124,60;125,50;125,50;113831;476;14295446;125,5848
10/10/2023;124,00;124,60;123,60;124,30;124,30;109756;436;13639802;124,2739
09/10/2023;123,50;124,40;123,20;123,30;123,30;71489;344;8831551;123,5372
06/10/2023;122,40;124,30;122,40;123,60;123,60;91266;386;11278335;123,5765
05/10/2023;121,80;122,40;121,50;122,40;122,40;81107;328;9914279;122,2370
04/10/2023;123,00;123,00;121,30;121,60;121,60;75344;449;9176071;121,7890
03/10/2023;124,20;124,30;122,70;122,90;122,90;217901;449;26877826;123,3488
02/10/2023;123,00;125,00;123,00;124,10;124,10;153652;483;19108230;124,3604
29/09/2023;124,70;124,70;122,70;122,70;122,70;293065;893;36164362;123,4005
28/09/2023;123,70;124,50;123,10;124,20;124,20;71898;322;8928938;124,1890
27/09/2023;124,40;124,70;123,50;123,60;123,60;101770;406;12600784;123,8163
26/09/2023;125,20;125,20;124,00;124,50;124,50;105267;449;13108053;124,5220
25/09/2023;126,00;126,10;124,50;125,20;125,20;76530;323;9579328;125,1709
22/09/2023;126,30;126,30;124,80;126,10;126,10;78050;393;9803073;125,5999
21/09/2023;126,00;127,00;125,90;126,30;126,30;73410;319;9272514;126,3113
20/09/2023;126,00;126,90;125,60;126,40;126,40;133508;440;16854868;126,2461
19/09/2023;126,00;126,70;126,00;126,20;126,20;83198;259;10502023;126,2293
18/09/2023;126,10;127,10;126,10;126,10;126,10;71856;342;9085424;126,4393
15/09/2023;127,70;127,70;126,00;126,30;126,30;192112;404;24281336;126,3916
