"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0006000207
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;59,40;59,60;59,20;59,40;59,40;20965;38;1247557;59,5067
03/11/2023;59,00;59,60;58,80;59,00;59,00;14661;49;866739;59,1187
02/11/2023;60,00;60,00;58,80;59,20;59,20;19979;59;1183290;59,2267
01/11/2023;59,60;59,80;59,40;59,40;59,40;29064;53;1731415;59,5725
31/10/2023;59,40;60,00;59,20;59,40;59,40;40168;72;2401292;59,7812
30/10/2023;59,60;60,00;59,00;59,40;59,40;186572;272;11170240;59,8709
27/10/2023;58,80;60,00;58,60;59,40;59,40;117014;155;6975462;59,6122
26/10/2023;58,40;61,00;57,60;58,80;58,80;416954;304;24567277;58,9208
25/10/2023;51,40;51,40;50,40;51,40;51,40;10543;19;536929;50,9276
24/10/2023;51,00;51,40;51,00;51,20;51,20;13227;19;679206;51,3500
23/10/2023;51,00;51,00;50,20;51,00;51,00;14166;18;722122;50,9757
20/10/2023;50,60;51,00;50,20;51,00;51,00;9084;20;459979;50,6362
19/10/2023;50,20;51,00;50,20;51,00;51,00;77101;10;3923680;50,8901
18/10/2023;50,00;51,00;50,00;50,60;50,60;37851;24;1904245;50,3090
17/10/2023;50,80;50,80;50,00;50,80;50,80;23153;34;1161877;50,1826
16/10/2023;50,00;50,80;50,00;50,80;50,80;11908;16;603426;50,6740
13/10/2023;50,60;50,60;49,90;50,00;50,00;6537;19;328809;50,2997
12/10/2023;51,00;51,00;50,00;50,60;50,60;11008;14;556527;50,5566
11/10/2023;50,80;51,00;50,60;51,00;51,00;3795;15;193072;50,8754
10/10/2023;50,40;50,80;50,40;50,80;50,80;5876;12;297252;50,5875
09/10/2023;50,80;51,00;50,40;50,40;50,40;19262;22;978111;50,7793
06/10/2023;50,00;50,60;50,00;50,60;50,60;2962;10;149230;50,3816
05/10/2023;49,80;50,60;49,80;50,60;50,60;18368;26;921393;50,1629
04/10/2023;50,20;50,80;49,30;49,30;49,30;9352;29;467648;50,0051
03/10/2023;50,40;51,00;50,40;50,80;50,80;5343;14;271219;50,7616
02/10/2023;51,00;51,00;50,60;50,80;50,80;2563;9;129831;50,6560
29/09/2023;51,00;51,20;51,00;51,00;51,00;1018;5;52106;51,1843
28/09/2023;51,00;51,00;50,60;50,80;50,80;4692;25;238049;50,7352
27/09/2023;50,20;51,00;50,20;51,00;51,00;11599;25;584040;50,3526
26/09/2023;51,00;51,20;50,20;50,20;50,20;21526;41;1091183;50,6914
25/09/2023;50,40;51,00;50,40;51,00;51,00;14849;26;755380;50,8708
22/09/2023;50,60;51,20;50,60;51,00;51,00;8224;29;420081;51,0799
21/09/2023;51,40;51,40;50,60;50,60;50,60;918;15;46847;51,0312
20/09/2023;51,00;51,40;50,40;51,40;51,40;34727;29;1773053;51,0569
19/09/2023;50,80;51,20;50,00;51,00;51,00;27977;37;1420980;50,7910
18/09/2023;50,40;51,00;50,00;50,00;50,00;7512;31;378219;50,3487
15/09/2023;50,80;51,00;50,40;50,80;50,80;4480;12;227310;50,7388
14/09/2023;50,00;51,20;50,00;51,20;51,20;28329;22;1442359;50,9146
13/09/2023;50,40;50,80;50,20;50,20;50,20;3835;21;193700;50,5085
12/09/2023;51,00;51,00;50,20;50,60;50,60;3334;12;169356;50,7966
11/09/2023;50,00;50,60;50,00;50,60;50,60;8919;25;447120;50,1312
08/09/2023;50,60;50,60;49,90;49,90;49,90;4464;11;225530;50,5220
07/09/2023;49,80;50,80;49,80;50,40;50,40;16006;20;806631;50,3955
06/09/2023;50,40;50,40;49,80;50,20;50,20;9950;40;499529;50,2039
05/09/2023;49,90;50,60;49,90;50,60;50,60;12870;23;643309;49,9852
04/09/2023;50,60;50,80;49,90;50,60;50,60;33874;56;1700038;50,1871
01/09/2023;50,00;50,60;49,80;50,60;50,60;5022;13;251194;50,0188
