"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012483207
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;76,00;77,00;76,00;76,60;76,60;24632;31;1883839;76,4794
03/11/2023;76,50;77,19;76,50;76,55;76,55;106831;43;8625100;80,7359
02/11/2023;76,95;76,95;75,50;76,15;76,15;2091;17;158445;75,7747
01/11/2023;77,80;77,80;75,50;75,50;75,50;2636;24;202708;76,9000
31/10/2023;76,31;76,73;75,76;76,73;76,73;14173;51;1081378;76,2985
30/10/2023;75,50;76,30;75,50;75,50;75,50;12532;46;947450;75,6025
27/10/2023;77,00;77,00;75,02;76,55;76,55;8407;29;637769;75,8616
26/10/2023;76,25;77,95;75,50;75,60;75,60;13943;39;1063512;76,2757
25/10/2023;77,00;78,00;76,25;77,95;77,95;12968;55;1009937;77,8791
24/10/2023;75,70;77,99;75,70;77,89;77,89;4608;20;352891;76,5821
23/10/2023;76,00;76,49;75,61;76,49;76,49;4235;22;321858;75,9995
20/10/2023;78,00;78,00;76,50;76,50;76,50;3190;27;246034;77,1267
19/10/2023;77,50;77,50;77,03;77,03;77,03;755;13;58348;77,2821
18/10/2023;78,00;78,50;76,00;78,22;78,22;85029;51;6613585;77,7803
17/10/2023;78,00;78,70;77,05;77,65;77,65;6351;29;493334;77,6781
16/10/2023;78,00;78,80;77,01;78,20;78,20;20832;93;1621793;77,8510
13/10/2023;79,49;79,89;78,20;78,20;78,20;253157;21;20123305;79,4894
12/10/2023;78,95;79,90;77,50;79,90;79,90;10265;38;812508;79,1533
11/10/2023;79,95;79,95;77,44;78,95;78,95;4667;22;362709;77,7177
10/10/2023;77,88;80,00;77,00;78,49;78,49;62707;84;4895800;78,0742
09/10/2023;78,00;78,00;76,70;77,00;77,00;1620;21;124817;77,0474
06/10/2023;78,00;78,64;76,50;77,11;77,11;13377;34;1037332;77,5459
05/10/2023;78,00;78,37;77,54;78,00;78,00;9362;25;730230;77,9994
04/10/2023;77,51;78,50;77,51;78,50;78,50;1306;14;102371;78,3853
03/10/2023;78,50;78,50;77,20;78,42;78,42;4658;23;361241;77,5528
02/10/2023;77,00;78,69;77,00;78,48;78,48;2671;26;208254;77,9686
29/09/2023;79,00;79,00;77,50;77,50;77,50;1207;16;94167;78,0171
28/09/2023;79,30;79,30;78,56;78,60;78,60;106854;21;8383995;78,4622
27/09/2023;79,80;79,99;77,90;79,99;79,99;7662;119;600587;78,3851
26/09/2023;78,81;79,79;78,80;79,79;79,79;9449;202;750044;79,3782
25/09/2023;78,49;79,00;78,00;78,91;78,91;12171;225;958397;78,7443
22/09/2023;79,90;79,90;78,01;78,70;78,70;4840;38;381814;78,8871
21/09/2023;80,00;80,47;78,40;78,92;78,92;6468;22;512306;79,2063
20/09/2023;79,00;81,00;78,95;80,90;80,90;13172;40;1048229;79,5801
19/09/2023;76,02;79,00;76,02;78,96;78,96;12935;297;1012661;78,2885
18/09/2023;77,60;79,00;75,70;78,00;78,00;13920;173;1073290;77,1042
15/09/2023;77,99;78,00;77,20;77,60;77,60;3369;21;261291;77,5576
14/09/2023;77,99;77,99;77,68;77,99;77,99;15033;22;1164120;77,4376
13/09/2023;77,99;77,99;76,00;76,00;76,00;10404;23;800846;76,9748
12/09/2023;77,00;78,48;76,87;78,48;78,48;9730;44;755220;77,6177
11/09/2023;76,00;77,00;75,88;77,00;77,00;4600;47;353369;76,8194
08/09/2023;77,00;77,00;75,81;75,81;75,81;3760;23;289229;76,9226
07/09/2023;75,50;77,00;75,50;76,99;76,99;17996;47;1378220;76,5848
06/09/2023;76,00;76,00;75,60;75,98;75,98;6728;68;510994;75,9503
05/09/2023;76,79;76,79;75,50;75,54;75,54;6557;31;497067;75,8071
04/09/2023;76,45;76,90;76,20;76,25;76,25;12388;30;946654;76,4170
01/09/2023;76,00;76,99;76,00;76,49;76,49;3038;14;231560;76,2212
31/08/2023;75,80;77,00;75,80;77,00;77,00;13554;72;1042821;76,9382
30/08/2023;76,00;76,89;75,97;75,97;75,97;10931;43;834192;76,3143
29/08/2023;77,00;77,00;76,01;76,88;76,88;4216;18;322664;76,5331
28/08/2023;77,00;77,00;75,90;76,95;76,95;39705;76;3043323;76,6483
25/08/2023;76,00;77,10;76,00;76,98;76,98;4865;27;374195;76,9158
24/08/2023;76,00;76,90;75,90;76,90;76,90;6917;25;526088;76,0573
23/08/2023;76,00;76,40;76,00;76,05;76,05;4188;25;319597;76,3126
22/08/2023;76,20;76,20;75,90;76,20;76,20;2465;13;187670;76,1338
21/08/2023;76,50;76,50;75,23;76,40;76,40;11378;52;863361;75,8799
18/08/2023;76,00;76,39;75,61;76,05;76,05;5861;18;445449;76,0023
17/08/2023;75,98;76,51;75,98;76,39;76,39;55647;30;4247357;76,3268
16/08/2023;76,40;76,40;75,61;75,98;75,98;7341;29;558069;76,0209
15/08/2023;76,40;76,50;75,96;76,00;76,00;13638;33;1038919;76,1783
14/08/2023;76,00;76,11;75,50;75,70;75,70;7919;38;600644;75,8485
11/08/2023;76,84;76,85;75,70;75,92;75,92;9446;48;718520;76,0661
10/08/2023;77,00;77,00;75,68;76,00;76,00;29736;57;2267781;76,2638
09/08/2023;76,55;77,00;75,10;76,99;76,99;8027;26;610795;76,0926
08/08/2023;77,00;77,80;76,20;76,55;76,55;13561;33;1043129;76,9212
07/08/2023;77,40;77,61;77,00;77,00;77,00;10381;35;803637;77,4142
04/08/2023;77,00;77,40;76,99;77,40;77,40;29354;34;2261815;77,0531
03/08/2023;76,01;76,99;76,00;76,99;76,99;1945;27;148093;76,1405
02/08/2023;76,30;77,00;76,30;76,50;76,50;2706;25;207853;76,8119
01/08/2023;76,50;77,20;76,30;76,30;76,30;4325;26;333366;77,0788
31/07/2023;76,00;76,50;76,00;76,50;76,50;3832;20;292826;76,4161
28/07/2023;76,30;76,40;75,72;76,00;76,00;3187;31;242963;76,2358
