"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0006001502
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;126,50;127,50;126,00;127,00;127,00;2692;22;340484;126,4799
03/11/2023;126,50;126,50;126,00;126,00;126,00;6213;21;783060;126,0357
02/11/2023;126,00;127,50;125,50;126,00;126,00;3718;21;470344;126,5044
01/11/2023;127,50;127,50;125,00;126,50;126,50;3100;28;390577;125,9926
31/10/2023;129,00;129,00;126,00;127,00;127,00;2291;22;292219;127,5509
30/10/2023;129,00;129,00;128,00;128,00;128,00;5189;15;665133;128,1813
27/10/2023;129,50;130,00;126,00;129,00;129,00;3938;23;506781;128,6898
26/10/2023;129,50;129,50;127,00;129,50;129,50;1532;18;197751;129,0800
25/10/2023;131,00;131,00;130,00;130,00;130,00;7260;26;949583;130,7966
24/10/2023;129,50;130,00;129,00;130,00;130,00;3418;12;442850;129,5639
23/10/2023;127,50;130,00;127,50;130,00;130,00;530;8;67959;128,2236
20/10/2023;128,00;128,50;127,50;128,50;128,50;40460;8;5198950;128,4960
19/10/2023;128,50;128,50;128,50;128,50;128,50;196;2;25186;128,5000
18/10/2023;129,00;129,50;128,00;129,00;129,00;1414;11;182618;129,1499
17/10/2023;127,50;129,00;127,50;129,00;129,00;937;4;120452;128,5507
16/10/2023;127,50;128,50;127,50;128,00;128,00;771;7;98632;127,9267
13/10/2023;128,00;128,50;127,50;128,00;128,00;2534;19;324037;127,8755
12/10/2023;127,00;129,00;127,00;128,50;128,50;3135;16;399173;127,3278
11/10/2023;125,50;127,00;125,50;127,00;127,00;2062;14;260330;126,2512
10/10/2023;127,00;127,00;125,00;125,50;125,50;3836;24;483442;126,0275
09/10/2023;127,00;127,00;124,50;126,00;126,00;2114;17;264883;125,2992
06/10/2023;127,50;127,50;126,00;126,50;126,50;402;7;50773;126,2998
05/10/2023;127,00;127,50;126,50;126,50;126,50;124;6;15721;126,7823
04/10/2023;126,00;127,00;126,00;127,00;127,00;415;7;52408;126,2831
03/10/2023;128,00;128,00;127,50;127,50;127,50;70;2;8935;127,6429
02/10/2023;128,00;128,00;127,50;127,50;127,50;103;2;13155;127,7184
29/09/2023;127,50;128,50;126,00;128,00;128,00;23075;19;2932883;127,1022
28/09/2023;128,00;128,50;128,00;128,00;128,00;4680;12;599061;128,0044
27/09/2023;128,50;128,50;128,00;128,00;128,00;1457;7;186599;128,0704
26/09/2023;127,50;128,50;127,50;128,50;128,50;344;8;43906;127,6337
25/09/2023;128,50;128,50;128,50;128,50;128,50;139;4;17862;128,5000
22/09/2023;127,00;128,00;127,00;128,00;128,00;771;11;98427;127,6615
21/09/2023;127,00;127,00;127,00;127,00;127,00;746;5;94742;127,0000
20/09/2023;127,50;128,00;127,00;127,50;127,50;935;20;118938;127,2064
19/09/2023;127,50;127,50;127,50;127,50;127,50;243;7;30983;127,5000
18/09/2023;127,50;127,50;127,00;127,50;127,50;138;8;17588;127,4457
15/09/2023;127,00;128,00;127,00;127,50;127,50;696;13;89016;127,8958
14/09/2023;127,00;128,00;127,00;127,00;127,00;22106;24;2826164;127,8460
13/09/2023;126,50;127,00;126,00;126,00;126,00;1836;19;232032;126,3791
12/09/2023;126,50;126,50;126,00;126,00;126,00;206;7;26059;126,4976
11/09/2023;127,00;127,00;126,00;126,00;126,00;1322;17;166898;126,2462
08/09/2023;126,50;127,00;126,50;126,50;126,50;246;6;31148;126,6179
07/09/2023;127,00;127,00;126,50;126,50;126,50;1807;5;229482;126,9958
06/09/2023;127,00;127,00;126,50;126,50;126,50;998;6;126743;126,9970
05/09/2023;127,00;127,00;126,50;127,00;127,00;4209;4;534343;126,9525
04/09/2023;127,00;127,50;126,50;126,50;126,50;253369;10;32175388;126,9902
01/09/2023;127,50;127,50;127,00;127,00;127,00;369;9;46961;127,2642
31/08/2023;128,00;128,00;127,50;127,50;127,50;105051;3;13341528;127,0005
30/08/2023;125,50;127,00;125,50;127,00;127,00;2900;22;366901;126,5176
29/08/2023;125,50;126,00;125,00;125,00;125,00;2899;6;363981;125,5538
28/08/2023;126,00;126,00;125,00;125,00;125,00;1991;12;250484;125,8081
25/08/2023;125,50;126,50;125,50;126,00;126,00;236;5;29692;125,8136
24/08/2023;125,50;126,00;125,50;125,50;125,50;1543;11;193669;125,5146
23/08/2023;127,00;127,00;125,50;125,50;125,50;1288;9;162535;126,1914
22/08/2023;129,00;129,50;127,00;127,00;127,00;413;9;52609;127,3826
21/08/2023;125,00;128,00;124,00;127,00;127,00;14162;14;1770402;125,0107
18/08/2023;130,00;130,00;127,00;127,00;127,00;486;10;62358;128,3076
17/08/2023;126,00;129,50;126,00;129,00;129,00;5011;33;644157;128,5485
16/08/2023;126,50;127,00;125,50;126,00;126,00;4392;23;553623;126,0526
15/08/2023;126,00;128,00;126,00;126,50;126,50;3540;29;450505;127,2613
14/08/2023;126,50;127,50;126,00;127,00;127,00;2284;22;289314;126,6697
11/08/2023;127,00;127,00;126,50;126,50;126,50;374;4;47321;126,5267
10/08/2023;127,50;127,50;126,50;127,50;127,50;5312;28;672031;126,5119
09/08/2023;126,00;127,50;126,00;126,50;126,50;6078;19;766447;126,1018
08/08/2023;126,00;126,00;125,50;126,00;126,00;436;9;54886;125,8853
07/08/2023;126,00;126,50;126,00;126,50;126,50;1570;9;197822;126,0010
04/08/2023;125,50;126,00;125,50;126,00;126,00;1286;10;161456;125,5486
03/08/2023;126,50;126,50;125,50;125,50;125,50;190;7;23935;125,9737
02/08/2023;126,00;126,50;125,50;126,50;126,50;546;5;68747;125,9103
01/08/2023;127,50;127,50;126,00;126,00;126,00;648;9;82370;127,1142
31/07/2023;125,50;127,00;125,00;127,00;127,00;1363;14;171222;125,6211
28/07/2023;126,00;126,50;126,00;126,50;126,50;465;5;58663;126,1559
27/07/2023;125,00;125,00;124,50;125,00;125,00;108;5;13450;124,5370
26/07/2023;125,00;125,00;124,00;125,00;125,00;1868;11;233300;124,8929
25/07/2023;124,50;126,50;124,50;126,50;126,50;2322;8;293121;126,2364
24/07/2023;127,00;127,00;125,00;126,00;126,00;2466;21;309027;125,3151
21/07/2023;127,00;127,00;126,00;126,50;126,50;548;8;69515;126,8522
20/07/2023;127,00;127,00;127,00;127,00;127,00;40;1;5080;127,0000
19/07/2023;126,50;127,00;126,00;127,00;127,00;381;5;48028;126,0564
18/07/2023;126,00;126,50;126,00;126,50;126,50;554;6;69889;126,1525
17/07/2023;127,00;127,00;126,00;126,50;126,50;384;11;48433;126,1263
14/07/2023;126,00;126,50;125,50;126,50;126,50;3180;22;401447;126,2412
13/07/2023;126,00;126,50;126,00;126,00;126,00;463;5;58363;126,0540
12/07/2023;126,00;127,00;126,00;127,00;127,00;40548;8;5149336;126,9936
11/07/2023;126,00;126,00;125,00;126,00;126,00;1556;8;195992;125,9589
10/07/2023;126,00;126,00;125,00;126,00;126,00;515;8;64630;125,4951
07/07/2023;125,50;125,50;125,50;125,50;125,50;50225;4;6378238;126,9933
06/07/2023;125,50;127,00;125,50;126,50;126,50;5269;21;664649;126,1432
05/07/2023;126,00;126,00;125,00;126,00;126,00;2422;16;303783;125,4265
04/07/2023;125,50;126,00;125,50;125,50;125,50;50992;9;6424584;125,9920
03/07/2023;125,00;125,50;125,00;125,50;125,50;7197;3;910216;126,4716
30/06/2023;126,00;126,00;126,00;126,00;126,00;400;2;50400;126,0000
29/06/2023;124,00;126,00;124,00;126,00;126,00;72;3;9000;124,9931
28/06/2023;125,50;125,50;125,00;125,00;125,00;245;3;30648;125,0918
27/06/2023;124,50;125,00;124,50;125,00;125,00;3514;8;439225;124,9929
26/06/2023;123,50;124,00;123,00;124,00;124,00;1327;6;163523;123,2276
23/06/2023;123,00;123,50;122,00;123,50;123,50;1571;5;193058;122,8886
22/06/2023;122,00;125,00;122,00;123,00;123,00;1650;14;203640;123,4179
21/06/2023;127,00;127,00;124,00;124,00;124,00;1059;16;132718;125,3239
20/06/2023;125,50;125,50;125,50;125,50;125,50;34236;4;4296618;125,5000
19/06/2023;124,00;128,00;123,50;126,00;126,00;3390;23;426100;125,6931
16/06/2023;127,00;127,00;124,50;124,50;124,50;220;7;27435;124,7045
15/06/2023;124,00;125,00;120,50;125,00;125,00;3066;15;379433;123,7549
14/06/2023;128,00;128,00;125,00;125,00;125,00;262;7;33057;126,1718
13/06/2023;123,50;127,00;123,50;127,00;127,00;4354;11;540873;124,2243
12/06/2023;123,00;124,00;122,00;123,50;123,50;1072;10;132348;123,4590
