"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010691660
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;122,00;122,00;122,00;122,00;122,00;50;1;6100;122,0000
03/11/2023;122,00;122,00;122,00;122,00;122,00;10;2;1220;122,0000
02/11/2023;122,00;123,00;122,00;123,00;123,00;2563;6;312759;122,0285
01/11/2023;123,00;123,00;123,00;123,00;123,00;18400;3;2299200;124,9565
31/10/2023;120,00;125,00;120,00;123,00;123,00;980;8;118645;121,0663
30/10/2023;119,00;119,00;119,00;119,00;119,00;18;2;2142;119,0000
27/10/2023;120,00;120,00;119,00;119,00;119,00;20;3;2396;119,8000
26/10/2023;120,00;121,00;119,00;119,00;119,00;37;5;4423;119,5405
25/10/2023;0,00;0,00;0,00;0,00;120,00;0;0;0;0,0000
24/10/2023;0,00;0,00;0,00;0,00;120,00;0;0;0;0,0000
23/10/2023;0,00;0,00;0,00;0,00;120,00;0;0;0;0,0000
20/10/2023;120,00;120,00;120,00;120,00;120,00;1477;3;177240;120,0000
19/10/2023;0,00;0,00;0,00;0,00;121,00;0;0;0;0,0000
18/10/2023;121,00;121,00;121,00;121,00;121,00;5;1;605;121,0000
17/10/2023;120,00;122,00;120,00;122,00;122,00;1040;7;125560;120,7308
16/10/2023;120,00;120,00;120,00;120,00;120,00;200;3;24000;120,0000
13/10/2023;0,00;0,00;0,00;0,00;119,00;0;0;0;0,0000
12/10/2023;0,00;0,00;0,00;0,00;119,00;0;0;0;0,0000
11/10/2023;119,00;119,00;119,00;119,00;119,00;1056;2;125664;119,0000
10/10/2023;0,00;0,00;0,00;0,00;119,00;0;0;0;0,0000
09/10/2023;119,00;119,00;119,00;119,00;119,00;494;1;58786;119,0000
06/10/2023;120,00;120,00;120,00;120,00;120,00;4;2;480;120,0000
05/10/2023;118,00;120,00;117,00;120,00;120,00;858;7;101111;117,8450
04/10/2023;120,00;120,00;119,00;119,00;119,00;1122;7;134451;119,8316
03/10/2023;0,00;0,00;0,00;0,00;122,00;0;0;0;0,0000
02/10/2023;0,00;0,00;0,00;0,00;122,00;0;0;0;0,0000
29/09/2023;122,00;122,00;122,00;122,00;122,00;6;2;732;122,0000
28/09/2023;0,00;0,00;0,00;0,00;120,00;0;0;0;0,0000
27/09/2023;120,00;120,00;120,00;120,00;120,00;4;2;480;120,0000
26/09/2023;120,00;122,00;120,00;122,00;122,00;2069;6;248286;120,0029
25/09/2023;121,00;122,00;120,00;120,00;120,00;5279;15;643456;121,8898
22/09/2023;121,00;121,00;120,00;121,00;121,00;509;5;61533;120,8900
21/09/2023;121,00;121,00;121,00;121,00;121,00;186;2;22506;121,0000
20/09/2023;121,00;121,00;120,00;120,00;120,00;54;3;6530;120,9259
19/09/2023;120,00;120,00;120,00;120,00;120,00;62;2;7440;120,0000
