"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010751910
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;128,40;128,40;127,00;127,20;127,20;14536;118;1851008;127,3396
03/11/2023;126,80;129,40;126,60;128,00;128,00;22956;160;2938130;127,9896
02/11/2023;124,80;126,20;124,00;126,20;126,20;775468;208;96201254;124,0557
01/11/2023;125,00;125,00;123,80;123,80;123,80;884034;96;109619276;123,9989
31/10/2023;122,60;125,20;122,60;124,00;124,00;34361;178;4264524;124,1094
30/10/2023;124,00;124,40;122,00;122,20;122,20;29358;185;3618152;123,2425
27/10/2023;126,60;127,00;123,60;123,60;123,60;32124;180;4036658;125,6586
26/10/2023;127,00;128,40;127,00;127,20;127,20;13736;110;1752506;127,5849
25/10/2023;127,80;129,20;127,20;128,20;128,20;16444;137;2105118;128,0174
24/10/2023;131,20;131,20;127,60;128,00;128,00;14232;146;1837335;129,0988
23/10/2023;131,20;131,20;130,40;130,40;130,40;8065;78;1053276;130,5984
20/10/2023;134,00;134,00;131,80;132,00;132,00;17773;122;2354083;132,4528
19/10/2023;134,40;134,40;132,00;133,60;133,60;14300;107;1904160;133,1580
18/10/2023;134,20;134,80;133,20;134,40;134,40;11787;153;1577860;133,8644
17/10/2023;135,20;135,20;133,60;134,20;134,20;17896;118;2404332;134,3502
16/10/2023;134,00;135,00;133,00;134,60;134,60;25813;131;3469699;134,4167
13/10/2023;134,40;134,60;133,40;133,80;133,80;16277;100;2178552;133,8423
12/10/2023;135,00;135,00;134,00;134,40;134,40;18271;108;2457748;134,5163
11/10/2023;133,00;134,00;132,40;133,80;133,80;24949;199;3325682;133,2992
10/10/2023;131,80;133,00;131,40;133,00;133,00;20895;110;2757123;131,9513
09/10/2023;131,40;131,60;130,00;131,60;131,60;7182;84;939918;130,8713
06/10/2023;129,40;131,00;129,40;130,60;130,60;9092;103;1186066;130,4517
05/10/2023;130,40;130,40;129,40;129,40;129,40;7790;79;1008736;129,4912
04/10/2023;129,40;130,40;128,40;130,00;130,00;13691;97;1776415;129,7506
03/10/2023;133,20;133,20;129,80;130,40;130,40;16572;143;2174727;131,2290
02/10/2023;134,00;134,00;132,60;133,00;133,00;4186;61;556267;132,8875
29/09/2023;133,00;134,40;132,40;133,40;133,40;34949;93;4658445;133,2926
28/09/2023;135,60;135,60;132,60;132,60;132,60;13312;108;1778621;133,6103
27/09/2023;135,80;135,80;134,00;134,60;134,60;10027;84;1350351;134,6715
26/09/2023;136,00;136,80;134,00;135,80;135,80;12419;86;1684344;135,6264
25/09/2023;138,20;138,20;135,20;135,60;135,60;18844;133;2563815;136,0547
22/09/2023;136,20;138,40;135,80;137,80;137,80;19822;118;2726757;137,5622
21/09/2023;137,00;138,00;136,20;136,20;136,20;14772;132;2020231;136,7609
20/09/2023;136,60;137,80;136,60;137,80;137,80;23905;128;3281647;137,2787
19/09/2023;134,80;137,00;133,60;137,00;137,00;49811;235;6770225;135,9183
18/09/2023;135,40;135,40;133,00;134,00;134,00;28291;144;3791377;134,0136
15/09/2023;131,00;137,40;131,00;134,60;134,60;608028;433;81825902;134,5759
14/09/2023;131,00;133,60;131,00;131,00;131,00;37564;249;4956176;131,9395
13/09/2023;131,00;132,80;130,80;130,80;130,80;18892;160;2478679;131,2026
12/09/2023;129,20;132,20;128,80;131,20;131,20;25553;192;3332698;130,4230
11/09/2023;130,60;130,60;128,60;129,60;129,60;13224;131;1712373;129,4898
08/09/2023;129,80;133,00;128,60;129,80;129,80;104737;196;13621248;130,0519
07/09/2023;131,20;131,20;128,80;128,80;128,80;31310;141;4052987;129,4471
06/09/2023;130,20;131,60;130,20;131,20;131,20;11947;180;1564658;130,9666
05/09/2023;130,60;130,80;130,40;130,40;130,40;6709;86;875214;130,4538
04/09/2023;131,80;132,00;130,60;130,80;130,80;15682;179;2057239;131,1847
01/09/2023;134,80;134,80;131,80;132,20;132,20;15865;133;2103298;132,5747
31/08/2023;131,40;134,00;131,40;134,00;134,00;33832;147;4519099;133,5747
