"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0006000801
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;95,00;95,30;94,80;94,80;94,80;49716;236;4720729;94,9539
03/11/2023;93,60;95,10;93,50;94,90;94,90;108468;392;10251543;94,5121
02/11/2023;94,90;95,10;93,00;93,50;93,50;192599;576;18009746;93,5090
01/11/2023;95,00;95,00;93,40;94,90;94,90;99686;468;9414773;94,4443
31/10/2023;92,90;94,40;92,30;94,40;94,40;125969;437;11816801;93,8072
30/10/2023;93,10;93,10;92,10;92,60;92,60;128539;509;11898174;92,5647
27/10/2023;94,20;95,00;92,50;93,10;93,10;144281;514;13503513;93,5918
26/10/2023;94,80;95,00;93,60;94,10;94,10;122657;488;11571025;94,3364
25/10/2023;97,50;97,50;93,90;93,90;93,90;137232;468;12996001;94,7009
24/10/2023;97,00;98,10;96,20;97,50;97,50;137175;363;13349002;97,3137
23/10/2023;96,30;97,80;96,30;97,10;97,10;71216;249;6901680;96,9119
20/10/2023;97,80;98,50;97,10;98,10;98,10;53100;276;5202416;97,9739
19/10/2023;98,80;99,10;97,60;98,30;98,30;94101;282;9263710;98,4443
18/10/2023;98,80;99,30;98,40;98,80;98,80;74057;282;7322447;98,8758
17/10/2023;99,00;99,00;98,00;98,40;98,40;53218;209;5232411;98,3203
16/10/2023;97,60;98,90;97,50;98,80;98,80;135135;487;13280690;98,2772
13/10/2023;99,00;99,70;97,40;97,80;97,80;134449;500;13232990;98,4239
12/10/2023;99,00;99,20;98,50;99,10;99,10;169082;301;16722491;98,9017
11/10/2023;97,80;98,60;97,40;98,00;98,00;101221;368;9929721;98,0994
10/10/2023;96,30;97,60;95,80;97,10;97,10;104158;345;10110458;97,0685
09/10/2023;95,80;96,00;95,20;95,80;95,80;48827;183;4675922;95,7651
06/10/2023;95,00;95,70;95,00;95,10;95,10;45191;171;4304058;95,2415
05/10/2023;94,00;95,50;93,80;94,80;94,80;59348;324;5617139;94,6475
