"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0006390400
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;300,00;304,00;292,00;292,00;292,00;8780;11;2643124;301,0392
03/11/2023;298,00;300,00;296,00;300,00;300,00;40311;11;11292684;280,1390
02/11/2023;288,00;296,00;288,00;296,00;296,00;50053;4;14015568;280,0145
01/11/2023;296,00;296,00;292,00;292,00;292,00;725;14;212258;292,7697
31/10/2023;298,00;298,00;298,00;298,00;298,00;24;3;7152;298,0000
30/10/2023;294,00;298,00;294,00;298,00;298,00;120;5;35288;294,0667
27/10/2023;300,00;300,00;300,00;300,00;300,00;134;2;40200;300,0000
26/10/2023;300,00;300,00;300,00;300,00;300,00;196;3;58800;300,0000
25/10/2023;0,00;0,00;0,00;0,00;300,00;0;0;0;0,0000
24/10/2023;0,00;0,00;0,00;0,00;300,00;0;0;0;0,0000
23/10/2023;300,00;300,00;300,00;300,00;300,00;361;2;108300;300,0000
20/10/2023;0,00;0,00;0,00;0,00;300,00;0;0;0;0,0000
19/10/2023;0,00;0,00;0,00;0,00;300,00;0;0;0;0,0000
18/10/2023;300,00;300,00;300,00;300,00;300,00;105;4;31500;300,0000
17/10/2023;302,00;302,00;302,00;302,00;302,00;131;2;39562;302,0000
16/10/2023;302,00;302,00;300,00;300,00;300,00;7150;3;2145100;300,0140
13/10/2023;302,00;302,00;302,00;302,00;302,00;100;1;30200;302,0000
12/10/2023;0,00;0,00;0,00;0,00;302,00;0;0;0;0,0000
11/10/2023;0,00;0,00;0,00;0,00;302,00;0;0;0;0,0000
10/10/2023;0,00;0,00;0,00;0,00;302,00;0;0;0;0,0000
09/10/2023;0,00;0,00;0,00;0,00;302,00;0;0;0;0,0000
06/10/2023;302,00;302,00;302,00;302,00;302,00;90;3;27180;302,0000
05/10/2023;302,00;302,00;302,00;302,00;302,00;874;5;263948;302,0000
04/10/2023;302,00;302,00;296,00;296,00;296,00;102;5;30204;296,1176
03/10/2023;302,00;302,00;302,00;302,00;302,00;4;1;1208;302,0000
02/10/2023;0,00;0,00;0,00;0,00;302,00;0;0;0;0,0000
29/09/2023;302,00;302,00;302,00;302,00;302,00;25;1;7550;302,0000
28/09/2023;300,00;300,00;296,00;298,00;298,00;419;6;124682;297,5704
27/09/2023;310,00;310,00;298,00;298,00;298,00;24;4;7164;298,5000
26/09/2023;0,00;0,00;0,00;0,00;294,00;0;0;0;0,0000
25/09/2023;0,00;0,00;0,00;0,00;294,00;0;0;0;0,0000
22/09/2023;0,00;0,00;0,00;0,00;294,00;0;0;0;0,0000
21/09/2023;294,00;294,00;294,00;294,00;294,00;50;1;14700;294,0000
20/09/2023;298,00;306,00;298,00;306,00;306,00;4781;7;1425562;298,1723
19/09/2023;300,00;300,00;300,00;300,00;300,00;33;1;9900;300,0000
18/09/2023;296,00;304,00;296,00;302,00;302,00;908;7;274996;302,8590
15/09/2023;292,00;292,00;292,00;292,00;292,00;106;4;30952;292,0000
14/09/2023;300,00;304,00;300,00;304,00;304,00;1011;7;306624;303,2878
13/09/2023;304,00;304,00;296,00;296,00;296,00;1018;11;305060;299,6660
12/09/2023;304,00;306,00;304,00;306,00;306,00;123;7;37626;305,9024
11/09/2023;304,00;304,00;304,00;304,00;304,00;300;1;91200;304,0000
08/09/2023;306,00;306,00;306,00;306,00;306,00;18;2;5508;306,0000
07/09/2023;304,00;304,00;304,00;304,00;304,00;77;4;23408;304,0000
06/09/2023;304,00;304,00;296,00;296,00;296,00;29;3;8800;303,4483
05/09/2023;306,00;306,00;306,00;306,00;306,00;10;1;3060;306,0000
04/09/2023;306,00;308,00;306,00;306,00;306,00;710;13;217972;307,0028
01/09/2023;308,00;308,00;308,00;308,00;308,00;19;2;5852;308,0000
31/08/2023;0,00;0,00;0,00;0,00;310,00;400;1;120000;300,0000
