"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010285562
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;310,00;0;0;0;0,0000
03/11/2023;0,00;0,00;0,00;0,00;310,00;0;0;0;0,0000
02/11/2023;318,00;318,00;310,00;310,00;310,00;4696;13;1455818;310,0124
01/11/2023;320,00;320,00;316,00;320,00;320,00;161;3;50980;316,6460
31/10/2023;310,00;320,00;310,00;320,00;320,00;3725;9;1191150;319,7718
30/10/2023;312,00;312,00;312,00;312,00;312,00;100;1;31200;312,0000
27/10/2023;314,00;314,00;314,00;314,00;314,00;4839;3;1519446;314,0000
26/10/2023;308,00;322,00;308,00;316,00;316,00;1051;6;332834;316,6832
25/10/2023;308,00;308,00;308,00;308,00;308,00;5;1;1540;308,0000
24/10/2023;0,00;0,00;0,00;0,00;314,00;0;0;0;0,0000
23/10/2023;314,00;314,00;314,00;314,00;314,00;115;1;36110;314,0000
20/10/2023;314,00;316,00;314,00;316,00;316,00;533;3;167628;314,4991
19/10/2023;0,00;0,00;0,00;0,00;314,00;0;0;0;0,0000
18/10/2023;308,00;314,00;308,00;314,00;314,00;62;3;19318;311,5806
17/10/2023;310,00;310,00;310,00;310,00;310,00;10;1;3100;310,0000
16/10/2023;306,00;308,00;306,00;308,00;308,00;63;3;19360;307,3016
13/10/2023;304,00;310,00;304,00;310,00;310,00;3948;3;1223796;309,9787
12/10/2023;304,00;310,00;304,00;310,00;310,00;5729;7;1775690;309,9476
11/10/2023;310,00;310,00;310,00;310,00;310,00;832;7;257920;310,0000
10/10/2023;310,00;310,00;310,00;310,00;310,00;15532;2;4783920;308,0041
09/10/2023;0,00;0,00;0,00;0,00;310,00;10000;1;3080000;308,0000
06/10/2023;310,00;310,00;310,00;310,00;310,00;40;2;12400;310,0000
05/10/2023;300,00;314,00;300,00;310,00;310,00;2575;8;798318;310,0264
04/10/2023;306,00;306,00;306,00;306,00;306,00;200;2;61200;306,0000
03/10/2023;308,00;310,00;308,00;308,00;308,00;412;5;126934;308,0922
02/10/2023;314,00;314,00;314,00;314,00;314,00;255;2;80070;314,0000
29/09/2023;312,00;312,00;312,00;312,00;312,00;300;1;93600;312,0000
28/09/2023;312,00;316,00;312,00;312,00;312,00;1147;5;360320;314,1412
27/09/2023;318,00;318,00;318,00;318,00;318,00;68;1;21624;318,0000
26/09/2023;312,00;318,00;312,00;318,00;318,00;481;4;152898;317,8753
25/09/2023;310,00;318,00;310,00;318,00;318,00;3553;3;1129734;317,9662
22/09/2023;0,00;0,00;0,00;0,00;314,00;0;0;0;0,0000
21/09/2023;0,00;0,00;0,00;0,00;314,00;0;0;0;0,0000
