"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010781560
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,23;0,23;0,22;0,23;0,23;6195;3;1373;0,2217
03/11/2023;0,267;0,267;0,20;0,232;0,232;223582;7;55720;0,2492
02/11/2023;0,00;0,00;0,00;0,00;0,274;0;0;0;0,0000
01/11/2023;0,00;0,00;0,00;0,00;0,274;0;0;0;0,0000
31/10/2023;0,21;0,274;0,21;0,274;0,274;54000;2;14735;0,2729
30/10/2023;0,225;0,225;0,225;0,225;0,225;1400;1;315;0,2250
27/10/2023;0,225;0,227;0,202;0,225;0,225;71346;7;15951;0,2236
26/10/2023;0,225;0,225;0,225;0,225;0,225;744;1;167;0,2250
25/10/2023;0,00;0,00;0,00;0,00;0,225;0;0;0;0,0000
24/10/2023;0,225;0,225;0,225;0,225;0,225;20882;2;4698;0,2250
23/10/2023;0,00;0,00;0,00;0,00;0,24;0;0;0;0,0000
20/10/2023;0,212;0,24;0,212;0,24;0,24;70840;5;15644;0,2208
19/10/2023;0,25;0,25;0,249;0,249;0,249;90400;5;22596;0,2500
18/10/2023;0,254;0,254;0,254;0,254;0,254;600;1;152;0,2540
17/10/2023;0,00;0,00;0,00;0,00;0,279;0;0;0;0,0000
16/10/2023;0,279;0,279;0,279;0,279;0,279;50011;2;13953;0,2790
13/10/2023;0,275;0,275;0,26;0,27;0,27;24825;4;6602;0,2659
12/10/2023;0,00;0,00;0,00;0,00;0,269;0;0;0;0,0000
11/10/2023;0,24;0,269;0,24;0,269;0,269;322700;9;84663;0,2624
10/10/2023;0,26;0,279;0,232;0,279;0,279;183550;9;45239;0,2465
09/10/2023;0,27;0,28;0,26;0,26;0,26;59065;5;15600;0,2641
06/10/2023;0,27;0,27;0,27;0,27;0,27;11784;2;3182;0,2700
05/10/2023;0,00;0,00;0,00;0,00;0,28;0;0;0;0,0000
04/10/2023;0,252;0,28;0,252;0,28;0,28;4850;2;1278;0,2635
03/10/2023;0,00;0,00;0,00;0,00;0,28;0;0;0;0,0000
02/10/2023;0,27;0,28;0,27;0,28;0,28;14300;4;3961;0,2770
29/09/2023;0,26;0,26;0,26;0,26;0,26;12100;2;3146;0,2600
28/09/2023;0,286;0,286;0,26;0,26;0,26;33000;5;9013;0,2731
27/09/2023;0,00;0,00;0,00;0,00;0,25;0;0;0;0,0000
26/09/2023;0,226;0,27;0,226;0,25;0,25;200000;8;46900;0,2345
25/09/2023;0,279;0,30;0,21;0,29;0,29;693101;31;176534;0,2547
22/09/2023;0,301;0,301;0,28;0,293;0,293;267682;16;77665;0,2901
21/09/2023;0,307;0,335;0,30;0,30;0,30;309292;21;93256;0,3015
20/09/2023;0,301;0,348;0,301;0,305;0,305;1675447;42;523162;0,3123
19/09/2023;0,32;0,344;0,32;0,343;0,343;181960;8;62475;0,3433
18/09/2023;0,31;0,354;0,31;0,354;0,354;542837;17;176308;0,3248
15/09/2023;0,358;0,361;0,31;0,354;0,354;1000815;40;329664;0,3294
14/09/2023;0,301;0,36;0,301;0,34;0,34;492547;17;160503;0,3259
13/09/2023;0,36;0,36;0,30;0,344;0,344;1456154;62;472108;0,3242
12/09/2023;0,318;0,36;0,314;0,36;0,36;374675;10;120769;0,3223
11/09/2023;0,301;0,379;0,301;0,36;0,36;431697;24;142406;0,3299
08/09/2023;0,31;0,35;0,31;0,35;0,35;319959;8;105325;0,3292
07/09/2023;0,369;0,369;0,302;0,35;0,35;5468;3;1909;0,3492
06/09/2023;0,302;0,35;0,302;0,35;0,35;318340;16;102429;0,3218
05/09/2023;0,00;0,00;0,00;0,00;0,36;0;0;0;0,0000
04/09/2023;0,00;0,00;0,00;0,00;0,36;0;0;0;0,0000
01/09/2023;0,304;0,36;0,301;0,36;0,36;422616;11;138905;0,3287
31/08/2023;0,349;0,349;0,349;0,349;0,349;2800;1;977;0,3490
30/08/2023;0,302;0,34;0,302;0,34;0,34;277035;11;89918;0,3246
29/08/2023;0,00;0,00;0,00;0,00;0,335;0;0;0;0,0000
28/08/2023;0,349;0,349;0,302;0,335;0,335;301769;11;98956;0,3279
25/08/2023;0,358;0,359;0,358;0,359;0,359;6000;3;2148;0,3580
24/08/2023;0,00;0,00;0,00;0,00;0,369;0;0;0;0,0000
23/08/2023;0,369;0,369;0,369;0,369;0,369;1250;1;461;0,3690
22/08/2023;0,00;0,00;0,00;0,00;0,37;0;0;0;0,0000
21/08/2023;0,369;0,37;0,369;0,37;0,37;8000;3;2955;0,3694
18/08/2023;0,336;0,385;0,336;0,385;0,385;16000;2;6136;0,3835
17/08/2023;0,00;0,00;0,00;0,00;0,382;0;0;0;0,0000
16/08/2023;0,00;0,00;0,00;0,00;0,382;0;0;0;0,0000
15/08/2023;0,36;0,391;0,341;0,382;0,382;78093;9;28558;0,3657
14/08/2023;0,00;0,00;0,00;0,00;0,395;0;0;0;0,0000
11/08/2023;0,00;0,00;0,00;0,00;0,395;0;0;0;0,0000
10/08/2023;0,332;0,395;0,332;0,395;0,395;346718;17;118619;0,3421
09/08/2023;0,00;0,00;0,00;0,00;0,398;0;0;0;0,0000
08/08/2023;0,398;0,398;0,398;0,398;0,398;33;1;13;0,3979
07/08/2023;0,40;0,40;0,40;0,40;0,40;100;1;40;0,4000
04/08/2023;0,355;0,36;0,34;0,36;0,36;55999;8;19212;0,3431
03/08/2023;0,345;0,355;0,344;0,355;0,355;428000;10;149638;0,3496
02/08/2023;0,332;0,355;0,332;0,355;0,355;13550;4;4729;0,3490
