"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012780958
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;43,495;44,49;43,495;43,99;43,99;90581;27;3942336;43,5228
03/11/2023;43,49;43,785;42,50;43,445;43,445;9193;17;392746;42,7223
02/11/2023;43,79;43,80;42,90;42,90;42,90;23445;45;1010253;43,0903
01/11/2023;44,50;44,995;43,80;43,80;43,80;22012;21;980076;44,5246
31/10/2023;45,965;45,965;44,995;44,995;44,995;215;2;9771;45,4462
30/10/2023;44,48;44,48;43,015;43,995;43,995;3342;5;146580;43,8600
27/10/2023;44,795;44,795;43,00;43,80;43,80;9902;19;429686;43,3939
26/10/2023;45,585;45,585;42,50;44,69;44,69;153855;13;6615832;43,0004
25/10/2023;45,00;45,00;42,815;44,80;44,80;2318;10;100631;43,4127
24/10/2023;45,795;45,995;44,00;45,995;45,995;22830;7;1024986;44,8965
23/10/2023;47,98;47,98;42,50;45,74;45,74;9060;12;389120;42,9493
20/10/2023;42,885;42,98;42,00;42,98;42,98;20958;23;881094;42,0409
19/10/2023;42,98;42,98;42,00;42,885;42,885;13132;24;552621;42,0820
18/10/2023;41,94;42,985;41,495;42,00;42,00;98012;45;4095844;41,7892
17/10/2023;41,95;41,95;41,085;41,40;41,40;36688;39;1517757;41,3693
16/10/2023;42,00;42,80;41,505;41,70;41,70;102373;61;4274417;41,7534
13/10/2023;42,00;42,995;41,90;42,00;42,00;657643;157;27640731;42,0300
12/10/2023;41,75;45,00;41,75;42,00;42,00;262618;100;11043752;42,0525
11/10/2023;41,75;41,75;41,20;41,75;41,75;8238;12;342892;41,6231
10/10/2023;41,99;42,00;41,75;41,75;41,75;23933;27;1002480;41,8869
09/10/2023;0,00;0,00;0,00;0,00;41,975;0;0;0;0,0000
06/10/2023;41,00;41,975;41,00;41,975;41,975;18102;12;742231;41,0027
05/10/2023;41,80;41,80;40,51;41,40;41,40;5461;7;221538;40,5673
04/10/2023;41,00;42,00;40,105;41,00;41,00;47924;51;1974287;41,1962
03/10/2023;42,00;42,10;42,00;42,00;42,00;65729;51;2762289;42,0254
02/10/2023;46,975;46,975;42,02;42,02;42,02;4116;9;179405;43,5873
29/09/2023;48,70;48,70;42,00;44,00;44,00;164544;58;7051590;42,8553
28/09/2023;0,00;0,00;0,00;0,00;48,75;0;0;0;0,0000
27/09/2023;0,00;0,00;0,00;0,00;48,75;0;0;0;0,0000
26/09/2023;48,75;48,75;48,75;48,75;48,75;3792;3;184860;48,7500
25/09/2023;0,00;0,00;0,00;0,00;48,75;0;0;0;0,0000
22/09/2023;0,00;0,00;0,00;0,00;48,75;0;0;0;0,0000
21/09/2023;0,00;0,00;0,00;0,00;48,75;0;0;0;0,0000
20/09/2023;0,00;0,00;0,00;0,00;48,75;0;0;0;0,0000
19/09/2023;0,00;0,00;0,00;0,00;48,75;0;0;0;0,0000
18/09/2023;0,00;0,00;0,00;0,00;48,75;0;0;0;0,0000
15/09/2023;0,00;0,00;0,00;0,00;48,75;0;0;0;0,0000
14/09/2023;48,75;48,75;48,75;48,75;48,75;103;1;5021;48,7500
13/09/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
12/09/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
11/09/2023;47,50;49,00;47,50;49,00;49,00;1630;5;77590;47,6012
08/09/2023;0,00;0,00;0,00;0,00;48,995;0;0;0;0,0000
07/09/2023;0,00;0,00;0,00;0,00;48,995;0;0;0;0,0000
06/09/2023;46,005;48,995;46,005;48,995;48,995;41;2;1916;46,7344
05/09/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
04/09/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
01/09/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
31/08/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
30/08/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
29/08/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
28/08/2023;49,00;49,00;49,00;49,00;49,00;3069;2;150381;49,0000
25/08/2023;0,00;0,00;0,00;0,00;48,665;0;0;0;0,0000
24/08/2023;50,00;50,00;50,00;50,00;50,00;30;2;1500;50,0000
23/08/2023;48,00;48,00;48,00;48,00;48,00;1000;4;48000;48,0000
22/08/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
21/08/2023;49,50;50,00;46,00;50,00;50,00;718;5;35281;49,1372
18/08/2023;0,00;0,00;0,00;0,00;49,50;0;0;0;0,0000
17/08/2023;0,00;0,00;0,00;0,00;49,50;0;0;0;0,0000
16/08/2023;0,00;0,00;0,00;0,00;49,50;0;0;0;0,0000
15/08/2023;49,50;49,50;49,50;49,50;49,50;2580;5;127710;49,5000
14/08/2023;50,00;50,00;49,00;50,00;50,00;1325;4;65500;49,4340
11/08/2023;53,00;53,00;50,00;50,00;50,00;12100;14;623000;51,4876
10/08/2023;53,00;53,00;52,49;52,50;52,50;7988;9;422862;52,9371
09/08/2023;55,00;55,00;53,00;53,00;53,00;5094;5;270142;53,0314
08/08/2023;51,75;52,00;51,75;52,00;52,00;2880;5;149635;51,9566
07/08/2023;51,50;51,50;51,50;51,50;51,50;4;1;206;51,5000
04/08/2023;52,00;52,00;50,00;50,00;50,00;4508;3;225416;50,0035
03/08/2023;0,00;0,00;0,00;0,00;52,00;0;0;0;0,0000
02/08/2023;0,00;0,00;0,00;0,00;52,00;0;0;0;0,0000
01/08/2023;0,00;0,00;0,00;0,00;52,00;0;0;0;0,0000
31/07/2023;49,00;52,00;49,00;52,00;52,00;120;3;5940;49,5000
28/07/2023;0,00;0,00;0,00;0,00;48,00;0;0;0;0,0000
27/07/2023;0,00;0,00;0,00;0,00;48,00;0;0;0;0,0000
26/07/2023;0,00;0,00;0,00;0,00;48,00;0;0;0;0,0000
25/07/2023;0,00;0,00;0,00;0,00;48,00;0;0;0;0,0000
24/07/2023;0,00;0,00;0,00;0,00;48,00;0;0;0;0,0000
21/07/2023;0,00;0,00;0,00;0,00;48,00;0;0;0;0,0000
20/07/2023;44,005;48,00;44,005;48,00;48,00;99;3;4552;45,9824
19/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
18/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
17/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
14/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
13/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
12/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
11/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
10/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
07/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
06/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
05/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
04/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
03/07/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
30/06/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
29/06/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
28/06/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
27/06/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
26/06/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
23/06/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
22/06/2023;0,00;0,00;0,00;0,00;50,97;0;0;0;0,0000
21/06/2023;50,97;50,97;50,97;50,97;50,97;500;2;25485;50,9700
20/06/2023;49,00;49,00;49,00;49,00;49,00;450;1;22050;49,0000
19/06/2023;0,00;0,00;0,00;0,00;50,98;0;0;0;0,0000
16/06/2023;0,00;0,00;0,00;0,00;50,98;0;0;0;0,0000
15/06/2023;0,00;0,00;0,00;0,00;50,98;0;0;0;0,0000
14/06/2023;0,00;0,00;0,00;0,00;50,98;0;0;0;0,0000
13/06/2023;0,00;0,00;0,00;0,00;50,98;0;0;0;0,0000
12/06/2023;47,00;50,98;47,00;50,98;50,98;505;2;23755;47,0394
09/06/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
08/06/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
07/06/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
06/06/2023;0,00;0,00;0,00;0,00;50,00;0;0;0;0,0000
05/06/2023;50,00;50,00;50,00;50,00;50,00;95;1;4750;50,0000
02/06/2023;0,00;0,00;0,00;0,00;50,98;0;0;0;0,0000
01/06/2023;0,00;0,00;0,00;0,00;50,98;0;0;0;0,0000
31/05/2023;0,00;0,00;0,00;0,00;50,98;15000;1;750000;50,0000
30/05/2023;0,00;0,00;0,00;0,00;50,98;0;0;0;0,0000
29/05/2023;0,00;0,00;0,00;0,00;50,98;0;0;0;0,0000
